PickerType	ItemType	ItemId	Name	Prob0	Prob1	Prob2	Prob3	Prob4	Prob5	Prob6	Prob7	Prob8	Prob9	ProbHighVip0	ProbHighVip1	ProbHighVip2	ProbHighVip3	ProbHighVip4	ProbHighVip5	ProbHighVip6	ProbHighVip7	ProbHighVip8	ProbHighVip9	nKinTips	nWorldTips
Gold	Partner	104	张仲天	3401	3401	3401	3401	1667						3574	3574	3574	3574	1333							
Gold	Partner	105	路达	3401	3401	3401	3401	1666						3574	3574	3574	3574	1333							
Gold	Partner	107	卢青	3401	3401	3401	3401	1666						3574	3574	3574	3574	1333							
Gold	Partner	108	莺儿（以上是B）	3401	3401	3401	3401	1666						3574	3574	3574	3574	1333							
Gold	Partner	95	柴嵩	55890	55890	55890	55890	0						56830	56830	56830	56830	0							
Gold	Partner	95	柴嵩	0	0	0	0	0						0	0	0	0	1000							
Gold	Partner	95	柴嵩	0	0	0	0	0						0	0	0	0	3000							
Gold	Partner	95	柴嵩	0	0	0	0	56000						0	0	0	0	55000							
Gold	PartnerCard	103	小殷方	0	0	0	0	100						0	0	0	0	100							
Gold	PartnerCard	104	苏墨芸	0	0	0	0	100						0	0	0	0	100							
Gold	PartnerCard	105	萧动尘	0	0	0	0	100						0	0	0	0	100							
Gold	PartnerCard	106	白眉猴王	0	0	0	0	100						0	0	0	0	100							
Gold	PartnerCard	107	大地狼王	0	0	0	0	100						0	0	0	0	100							
Gold	PartnerCard	108	寒玉鹿王	0	0	0	0	100						0	0	0	0	100							
Gold	PartnerCard	109	胡神医	0	0	0	0	100						0	0	0	0	100							
Gold	PartnerCard	110	秦沐白	0	0	0	0	100						0	0	0	0	100							
Gold	PartnerCard	111	张仲天	0	0	0	0	100						0	0	0	0	100							
Gold	PartnerCard	112	路达	0	0	0	0	100						0	0	0	0	100							
Gold	PartnerCard	113	李三	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	114	卢青	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	115	莺儿	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	116	顾武	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	103	小殷方	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	104	苏墨芸	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	105	萧动尘	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	106	白眉猴王	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	107	大地狼王	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	108	寒玉鹿王	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	109	胡神医	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	110	秦沐白	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	111	张仲天	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	112	路达	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	113	李三	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	114	卢青	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	115	莺儿	0	0	0	0	152						0	0	0	0	152							
Gold	PartnerCard	116	顾武	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	151						0	0	0	0	151							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	484						0	0	0	0	484							
Gold	Partner	95	柴嵩	0	0	0	0	483						0	0	0	0	483							
Gold	Partner	95	柴嵩	0	0	0	0	483						0	0	0	0	483							
Gold	Partner	95	柴嵩	0	0	0	0	483						0	0	0	0	483							
Gold	Partner	95	柴嵩	0	0	0	0	483						0	0	0	0	483							
Coin	Partner	59	纳兰真	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	60	少年杨影枫	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	61	杨铁心	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	63	无想	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	62	柳潇庭	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	64	李恬儿	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	65	李天目	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	66	完颜襄	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	76	唐潇	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	77	紫轩	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	78	蔷薇	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	79	卓非凡	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	80	月明瑶	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	81	南宫彩虹	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	82	张如梦	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	83	张琳心	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	84	封玉书	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	85	曲霞	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	86	耶律辟离	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	87	林海	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	88	陆文龙	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	89	赵无双	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	90	无相	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	91	赵节	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	92	邵骑风	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	93	何暮雪	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	94	赵升权	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	95	柴嵩	185	185	185	185	185						185	185	185	185	185							
Coin	Partner	73	双首异兽	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	74	奔焰豹王	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	75	九尾狐王（以上是A）	92	92	92	92	92						92	92	92	92	92							
Coin	Partner	96	小殷方	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	97	苏墨芸	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	98	萧动尘	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	102	胡神医	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	103	秦沐白	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	104	张仲天	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	105	路达	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	107	卢青	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	108	莺儿（以上是B）	3055	3055	3055	3055	3055						3055	3055	3055	3055	3055							
Coin	Partner	114	金钱豹	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	115	黑翼猎鹰	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	116	武林恶徒	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	117	猛虎	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	118	枫林卫	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	119	猿猴	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	120	铁面捕头	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	121	红衣女童	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	122	铸剑师	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	123	猎人	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	124	红缨侍	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	125	强盗	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	126	药王谷弟子	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	127	灰狼	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	128	东瀛忍者	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	129	生使	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	130	死侍	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	131	火狐	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	132	九幽弟子	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	133	黑熊	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	134	无忧教弟子	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	135	天工匠者	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	136	傀儡士兵	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
Coin	Partner	137	机关人（以上是C）	2812	2812	2812	2812	2812						2812	2812	2812	2812	2812							
