nCardId	nPartnerTempleteId	nNpcTempleteId	nNpcNoTurnTempleteId	nExtAttribId	nExtPartnerSkillId	szUniquePartnerSkillId	szCost	nSuitIdx	szName	szTask	nDialogId	szRepeat	nHide
83	76	3060		4083	5161	5170	item|1969|10	28	唐潇		90079	item|8361|15	
84	77	3061		4084	5154	5171	item|1969|10	6	紫轩		90080	item|8361|15	
85	78	3062		4085	5155	5168	item|1969|10	6	蔷薇		90081	item|8361|15	
86	79	3063		4086	5159	5168	item|1969|10	6	卓非凡		90082	item|8361|15	
87	80	3064		4087	5154	5171	item|1969|10	34	月明瑶		90083	item|8361|15	
88	81	3065		4088	5154	5171	item|1969|10	8	南宫彩虹		90084	item|8361|15	
89	82	3066		4089	5157	5170	item|1969|10	8	张如梦		90085	item|8361|15	
90	83	3067		4090	5158	5171	item|1969|10	7	张琳心		90086	item|8361|15	
91	84	3068		4091	5153	5170	item|1969|10	36	封玉书		90087	item|8361|15	
92	85	3069		4092	5159	5168	item|1969|10	33	曲霞		90088	item|8361|15	
93	86	3070		4093	5156	5169	item|1969|10	11	耶律辟离		90089	item|8361|15	
94	87	3071		4094	5160	5169	item|1969|10	18	林海		90090	item|8361|15	
95	88	3072		4095	5162	5171	item|1969|10	3	陆文龙		90091	item|8361|15	
96	89	3073		4096	5152	5169	item|1969|10	14	赵无双		90092	item|8361|15	
97	90	3074		4097	5157	5170	item|1969|10	18	无相		90093	item|8361|15	
98	91	3075		4098	5151	5168	item|1969|10	18	赵节		90094	item|8361|15	
99	92	3076		4099	5156	5169	item|1969|10	11	邵骑风		90095	item|8361|15	
100	93	3077		4100	5158	5171	item|1969|10	28	何暮雪		90096	item|8361|15	
101	94	3078		4101	5153	5170	item|1969|10	14	赵升权		90097	item|8361|15	
102	95	3079		4102	5155	5168	item|1969|10	33	柴嵩		90098	item|8361|15	
103	96	3080		4103	5159	5168	item|1969|4	28	小殷方		90099	item|8360|12	
104	97	3081		4104	5162	5171	item|1969|4	10	苏墨芸		90100	item|8360|12	
105	98	3082		4105	5153	5170	item|1969|4	17	萧动尘		90101	item|8360|12	
106	99	3083		4106	5154	5171	item|1969|4	32	白眉猴王		90102	item|8360|12	
107	100	3084		4107	5151	5168	item|1969|4	32	大地狼王		90103	item|8360|12	
108	101	3085		4108	5158	5171	item|1969|4	32	寒玉鹿王		90104	item|8360|12	
109	102	3086		4109	5152	5169	item|1969|4	10	胡神医		90105	item|8360|12	
110	103	3087		4110	5155	5168	item|1969|4	34	秦沐白		90106	item|8360|12	
111	104	3088		4111	5161	5170	item|1969|4	17	张仲天		90107	item|8360|12	
112	105	3089		4112	5157	5170	item|1969|4	18	路达		90108	item|8360|12	
113	106	3090		4113	5154	5171	item|1969|4	35	李三		90109	item|8360|12	
114	107	3091		4114	5160	5169	item|1969|4	35	卢青		90110	item|8360|12	
115	108	3092		4115	5156	5169	item|1969|4	15	莺儿		90111	item|8360|12	
116	109	3093		4116	5151	5168	item|1969|4	36	顾武		90112	item|8360|12	
117	110	3094		4119	5152	5169	item|1969|4		B15（暂无产出）			item|8360|12	
118	111	3095		4120	5153	5170	item|1969|4		B16（暂无产出）			item|8360|12	
119	112	3096		4121	5154	5171	item|1969|4		B17（暂无产出）			item|8360|12	
120	113	3097		4122	5155	5168	item|1969|4		B18（暂无产出）			item|8360|12	
