Type	Faction	SkillBookID	DESC
2	19	10538	初级秘籍·五罗轻烟
3	19	10539	初级秘籍·六脉神剑
4	19	10540	初级秘籍·水龙狱
1	20	11273	初级秘籍·执颖点墨
2	20	11274	初级秘籍·兰摧玉折
3	20	11275	初级秘籍·墨虎如生
4	20	11276	初级秘籍·绘虎点睛
1	21	11952	初级秘籍·执颖点墨
2	21	11953	初级秘籍·兰摧玉折
3	21	11954	初级秘籍·墨虎如生
4	21	11955	初级秘籍·绘虎点睛
5	1	2725	中级秘籍·野蛮冲撞
6	1	2726	中级秘籍·血战八方
7	1	2728	中级秘籍·金钟罩
8	1	2727	中级秘籍·霸王怒吼
5	2	2732	中级秘籍·江海凝波
6	2	2729	中级秘籍·天舞宝轮
7	2	2730	中级秘籍·慈航普渡
8	2	2731	中级秘籍·白露凝霜
5	3	2737	中级秘籍·飞火流星
6	3	2740	中级秘籍·九耀连珠
7	3	2738	中级秘籍·火凤燎原
8	3	2739	中级秘籍·穿云破月
5	4	2736	中级秘籍·白虹贯日
6	4	2733	中级秘籍·七探蛇盘
7	4	2734	中级秘籍·斗转星移
8	4	2735	中级秘籍·风卷残云
5	5	2741	中级秘籍·无我无剑
6	5	2743	中级秘籍·天地无极
7	5	2742	中级秘籍·坐忘无我
8	5	2744	中级秘籍·人剑合一
5	6	2748	中级秘籍·死亡回旋
6	6	2745	中级秘籍·魔焰在天
7	6	2746	中级秘籍·血月之影
8	6	2747	中级秘籍·摄魂乱心
5	7	2751	中级秘籍·降龙棍
6	7	2752	中级秘籍·大力金刚指
7	7	2753	中级秘籍·金刚伏魔
8	7	2754	中级秘籍·十二擒龙手
5	8	2755	中级秘籍·璇玑罗舞
6	8	2756	中级秘籍·雨打梨花
7	8	2757	中级秘籍·召唤啵啵
8	8	2758	中级秘籍·冰踪无影
5	9	3275	中级秘籍·缠身刺
6	9	3276	中级秘籍·暴雨梨花
7	9	3277	中级秘籍·迷影纵
8	9	3278	中级秘籍·九宫飞星
5	10	3279	中级秘籍·仙人指路
6	10	3280	中级秘籍·啸风三连击
7	10	3281	中级秘籍·混沌剑阵
8	10	3282	中级秘籍·雷动九天
5	11	4029	中级秘籍·亢龙有悔
6	11	4030	中级秘籍·困龙功
7	11	4031	中级秘籍·醉蝶狂舞
8	11	4032	中级秘籍·龙战于野
5	12	4033	中级秘籍·阴风蚀骨
6	12	4034	中级秘籍·召唤毒虫
7	12	4035	中级秘籍·迷心蛊
8	12	4036	中级秘籍·万蛊蚀心
5	13	5209	中级秘籍·断潮
6	13	5210	中级秘籍·心剑
7	13	5211	中级秘籍·玉泉鱼跃
8	13	5212	中级秘籍·峰插云景
5	14	5213	中级秘籍·平沙雁落
6	14	5214	中级秘籍·云生结海
7	14	5215	中级秘籍·清音长啸
8	14	5216	中级秘籍·江逐月天
5	15	6678	中级秘籍·飞燕凌波
6	15	6679	中级秘籍·银瓶玉碎
7	15	6680	中级秘籍·空山凝云
8	15	6681	中级秘籍·水龙吟
5	16	7524	中级秘籍·化血劫光
6	16	7525	中级秘籍·挟山超海
7	16	7526	中级秘籍·逆血截脉
8	16	7527	中级秘籍·浴血蹈锋
5	17	8449	中级秘籍·萧史乘龙
6	17	8450	中级秘籍·天绅倒悬
7	17	8451	中级秘籍·朝阳一气剑
8	17	8452	中级秘籍·风送紫霞
5	18	9883	中级秘籍·焚山噬川
6	18	9884	中级秘籍·电光石火
7	18	9885	中级秘籍·火光残影
8	18	9886	中级秘籍·毁天灭地
5	19	10541	中级秘籍·一阳指
6	19	10542	中级秘籍·五罗轻烟
7	19	10543	中级秘籍·六脉神剑
8	19	10544	中级秘籍·水龙狱
5	20	11277	中级秘籍·执颖点墨
6	20	11278	中级秘籍·兰摧玉折
7	20	11279	中级秘籍·墨虎如生
8	20	11280	中级秘籍·绘虎点睛
5	21	11956	中级秘籍·执颖点墨
6	21	11957	中级秘籍·兰摧玉折
7	21	11958	中级秘籍·墨虎如生
8	21	11959	中级秘籍·绘虎点睛
9	1	3317	高级秘籍·野蛮冲撞
10	1	3318	高级秘籍·血战八方
11	1	3320	高级秘籍·金钟罩
12	1	3319	高级秘籍·霸王怒吼
9	2	3324	高级秘籍·江海凝波
10	2	3321	高级秘籍·天舞宝轮
11	2	3322	高级秘籍·慈航普渡
12	2	3323	高级秘籍·白露凝霜
9	3	3329	高级秘籍·飞火流星
10	3	3332	高级秘籍·九耀连珠
11	3	3330	高级秘籍·火凤燎原
12	3	3331	高级秘籍·穿云破月
9	4	3328	高级秘籍·白虹贯日
10	4	3325	高级秘籍·七探蛇盘
11	4	3326	高级秘籍·斗转星移
12	4	3327	高级秘籍·风卷残云
9	5	3333	高级秘籍·无我无剑
10	5	3335	高级秘籍·天地无极
11	5	3334	高级秘籍·坐忘无我
12	5	3336	高级秘籍·人剑合一
9	6	3340	高级秘籍·死亡回旋
10	6	3337	高级秘籍·魔焰在天
11	6	3338	高级秘籍·血月之影
12	6	3339	高级秘籍·摄魂乱心
9	7	3341	高级秘籍·降龙棍
10	7	3342	高级秘籍·大力金刚指
11	7	3343	高级秘籍·金刚伏魔
12	7	3344	高级秘籍·十二擒龙手
9	8	3345	高级秘籍·璇玑罗舞
10	8	3346	高级秘籍·雨打梨花
11	8	3347	高级秘籍·召唤啵啵
12	8	3348	高级秘籍·冰踪无影
9	9	3349	高级秘籍·缠身刺
10	9	3350	高级秘籍·暴雨梨花
11	9	3351	高级秘籍·迷影纵
12	9	3352	高级秘籍·九宫飞星
9	10	3353	高级秘籍·仙人指路
10	10	3354	高级秘籍·啸风三连击
11	10	3355	高级秘籍·混沌剑阵
12	10	3356	高级秘籍·雷动九天
9	11	4037	高级秘籍·亢龙有悔
10	11	4038	高级秘籍·困龙功
11	11	4039	高级秘籍·醉蝶狂舞
12	11	4040	高级秘籍·龙战于野
9	12	4041	高级秘籍·阴风蚀骨
10	12	4042	高级秘籍·召唤毒虫
11	12	4043	高级秘籍·迷心蛊
12	12	4044	高级秘籍·万蛊蚀心
9	13	5217	高级秘籍·断潮
10	13	5218	高级秘籍·心剑
11	13	5219	高级秘籍·玉泉鱼跃
12	13	5220	高级秘籍·峰插云景
9	14	5221	高级秘籍·平沙雁落
10	14	5222	高级秘籍·云生结海
11	14	5223	高级秘籍·清音长啸
12	14	5224	高级秘籍·江逐月天
9	15	6682	高级秘籍·飞燕凌波
10	15	6683	高级秘籍·银瓶玉碎
11	15	6684	高级秘籍·空山凝云
12	15	6685	高级秘籍·水龙吟
9	16	7528	高级秘籍·化血劫光
10	16	7529	高级秘籍·挟山超海
11	16	7530	高级秘籍·逆血截脉
12	16	7531	高级秘籍·浴血蹈锋
9	17	8453	高级秘籍·萧史乘龙
10	17	8454	高级秘籍·天绅倒悬
11	17	8455	高级秘籍·朝阳一气剑
12	17	8456	高级秘籍·风送紫霞
9	18	9887	高级秘籍·焚山噬川
10	18	9888	高级秘籍·电光石火
11	18	9889	高级秘籍·火光残影
12	18	9890	高级秘籍·毁天灭地
9	19	10545	高级秘籍·一阳指
10	19	10546	高级秘籍·五罗轻烟
11	19	10547	高级秘籍·六脉神剑
12	19	10548	高级秘籍·水龙狱
9	20	11281	高级秘籍·执颖点墨
10	20	11282	高级秘籍·兰摧玉折
11	20	11283	高级秘籍·墨虎如生
12	20	11284	高级秘籍·绘虎点睛
9	21	11960	高级秘籍·执颖点墨
10	21	11961	高级秘籍·兰摧玉折
11	21	11962	高级秘籍·墨虎如生
12	21	11963	高级秘籍·绘虎点睛
