NpcType	ChatID	Faction	Sex	ActionEvent	SoundId	Desc
-1	3	20	2	10064		标女
-1	4	1	1	10066		壮男
-1	4	1	2	10068		萝莉
-1	4	2	2	10067		标女
-1	4	3	2	10068		萝莉
-1	4	4	1	10066		标男
-1	4	4	2	10067		标女
-1	4	5	1	10066		标男
-1	4	5	2	10067		标女
-1	4	6	2	10067		标女
-1	4	7	1	10066		壮男
-1	4	8	2	10067		标女
-1	4	9	1	10066		标男
-1	4	10	1	10066		壮男
-1	4	10	2	10067		标女
-1	4	11	1	10066		壮男
-1	4	11	2	10068		萝莉
-1	4	12	2	10068		萝莉
-1	4	13	1	10066		标男
-1	4	14	2	10067		标女
-1	4	15	1	10066		标男
-1	4	15	2	10067		标女
-1	4	16	1	10066		壮男
-1	4	16	2	10068		萝莉
-1	4	17	1	10066		标男
-1	4	17	2	10067		标女
-1	4	18	1	10066		标男
-1	4	18	2	10067		标女
-1	4	19	1	10066		标男
-1	4	19	2	10068		萝莉
-1	4	20	1	10066		标男
-1	4	20	2	10067		标女
-1	5	1	1	10069		壮男
-1	5	1	2	10071		萝莉
-1	5	2	2	10070		标女
-1	5	3	2	10071		萝莉
-1	5	4	1	10072		标男
-1	5	4	2	10070		标女
-1	5	5	1	10072		标男
-1	5	5	2	10070		标女
-1	5	6	2	10070		标女
-1	5	7	1	10069		壮男
-1	5	8	2	10070		标女
-1	5	9	1	10072		标男
-1	5	10	1	10069		壮男
-1	5	10	2	10070		标女
-1	5	11	1	10069		壮男
-1	5	11	2	10071		萝莉
-1	5	12	2	10071		萝莉
-1	5	13	1	10072		标男
-1	5	14	2	10070		标女
-1	5	15	1	10072		标男
-1	5	15	2	10070		标女
-1	5	16	1	10069		壮男
-1	5	16	2	10071		萝莉
-1	5	17	1	10072		标男
-1	5	17	2	10070		标女
-1	5	18	1	10072		标男
-1	5	18	2	10070		标女
-1	5	19	1	10072		标男
-1	5	19	2	10071		萝莉
-1	5	20	1	10072		标男
-1	5	20	2	10070		标女
-1	6	1	1	10079		壮男
-1	6	1	2	10081		萝莉
-1	6	2	2	10080		标女
-1	6	3	2	10081		萝莉
-1	6	4	1	10079		标男
-1	6	4	2	10080		标女
-1	6	5	1	10079		标男
-1	6	5	2	10080		标女
-1	6	6	2	10080		标女
-1	6	7	1	10079		壮男
-1	6	8	2	10080		标女
-1	6	9	1	10079		标男
-1	6	10	1	10079		壮男
-1	6	10	2	10080		标女
-1	6	11	1	10079		壮男
-1	6	11	2	10081		萝莉
-1	6	12	2	10081		萝莉
-1	6	13	1	10079		标男
-1	6	14	2	10080		标女
-1	6	15	1	10079		标男
-1	6	15	2	10080		标女
-1	6	16	1	10079		壮男
-1	6	16	2	10081		萝莉
-1	6	17	1	10079		标男
-1	6	17	2	10080		标女
-1	6	18	1	10079		标男
-1	6	18	2	10080		标女
-1	6	19	1	10079		标男
-1	6	19	2	10081		萝莉
-1	6	20	1	10079		标男
-1	6	20	2	10080		标女
-1	7	1	1	10085	4021	壮男
-1	7	1	2	10087	4021	萝莉
-1	7	2	2	10086	4021	标女
-1	7	3	2	10087	4021	萝莉
-1	7	4	1	10085	4021	标男
-1	7	4	2	10086	4021	标女
-1	7	5	1	10085	4021	标男
-1	7	5	2	10086	4021	标女
-1	7	6	1	10085	4021	标男
-1	7	6	2	10086	4021	标女
-1	7	7	1	10085	4021	壮男
-1	7	8	2	10086	4021	标女
-1	7	9	1	10085	4021	标男
-1	7	10	1	10085	4021	壮男
-1	7	10	2	10086	4021	标女
-1	7	11	1	10085	4021	壮男
-1	7	11	2	10087	4021	萝莉
-1	7	12	2	10087	4021	萝莉
-1	7	13	1	10085	4021	标男
-1	7	14	2	10086	4021	标女
-1	7	15	1	10085	4021	标男
-1	7	15	2	10086	4021	标女
-1	7	16	1	10085	4021	壮男
-1	7	16	2	10087	4021	萝莉
-1	7	17	1	10085	4021	标男
-1	7	17	2	10086	4021	标女
-1	7	18	1	10085	4021	标男
-1	7	18	2	10086	4021	标女
-1	7	19	1	10085	4021	标男
-1	7	19	2	10087	4021	萝莉
-1	7	20	1	10085	4021	标男
-1	7	20	2	10086	4021	标女
-1	7	21	1	10085	4021	标男
-1	7	21	2	10086	4021	标女
-1	8	1	1	10089		壮男
-1	8	1	2	10091		萝莉
-1	8	2	2	10090		标女
-1	8	3	2	10091		萝莉
-1	8	4	1	10089		标男
-1	8	4	2	10090		标女
-1	8	5	1	10089		标男
-1	8	5	2	10090		标女
-1	8	6	1	10089		标男
-1	8	6	2	10090		标女
-1	8	7	1	10089		壮男
-1	8	8	2	10090		标女
-1	8	9	1	10089		标男
-1	8	10	1	10089		壮男
-1	8	10	2	10090		标女
-1	8	11	1	10089		壮男
-1	8	11	2	10091		萝莉
-1	8	12	2	10091		萝莉
-1	8	13	1	10089		标男
-1	8	14	2	10090		标女
-1	8	15	1	10089		标男
-1	8	15	2	10090		标女
-1	8	16	1	10089		壮男
-1	8	16	2	10091		萝莉
-1	8	17	1	10089		标男
-1	8	17	2	10090		标女
-1	8	18	1	10089		标男
-1	8	18	2	10090		标女
-1	8	19	1	10089		标男
-1	8	19	2	10091		萝莉
-1	8	20	1	10089		标男
-1	8	20	2	10090		标女
-1	8	21	1	10089		标男
-1	8	21	2	10090		标女
