SkillId	Desc	Selector	LiftPercent
906	破天斩		
907	冰封指		
908	袖里箭		
909	烈焰指		
910	怒雷指		
911	半月斩		
912	惊涛骇浪		
914	穿心刺		
916	推山填海		
917	九天狂雷		
921	治愈术	Poorest	95
923	群体治愈术	Poorest	95
925	百草仙露	Poorest	95
927	毒瘴术		
928	群体毒瘴		
930	金刚护体	Random	
931	群体金刚		
933	不动明王	Random	
934	群体明王		
940	蓄力箭		
992	落石		
995	悲酥清风		
998	人剑合一		
999	治疗术	Poorest	95
3026	潜伏		
3066	长生不老		
3162	熊猫冲顶		
3202	山崩地裂		
3205	七探蛇盘		
3209	射石搏虎		
3213	猛扑		
3225	护驾		
3235	金矢		
3238	密林斗繁星		
3241	逆流		
3244	三昧离火狱		
3247	八方星雷恸		
3250	高级群体金刚		
3252	高级群体明王		
3257	破天一击		
3259	十方俱静		
3261	高级群体毒瘴		
4012	九宫飞星		
4008	暴雨梨花		
4006	缠身刺		
4106	仙人指路		
4108	混沌剑阵		
4110	啸风三连击		
4112	雷动九天		
3278	九宫飞星-唐简同伴		
1787	九宫飞星-唐简盟主		
1790	穿心镖-唐简盟主		
4323	灵蛇技能（致缠）		
4325	碧蟾技能（降木抗）		
4330	风蜈技能（降闪避）		
4333	墨蛛技能（延毒时间）		
4211	醉蝶狂舞		
4208	困龙功		
4213	龙战于野		
4206	亢龙有悔		
4312	召唤毒虫		
4334	迷心蛊		
4309	阴风蚀骨		
4339	万蛊蚀心		
3283	风卷尘沙		
3289	阴风蚀骨		
3292	亢龙有悔		
3295	暴雨梨花		
3902	鸿门摆宴		
3906	寒冰尖刺		
3909	蝎皇蛊		
3914	狱火天焰		
3924	飞燕凌波		
3925	银瓶玉碎		
4410	心剑		
4413	峰插云景		
4408	平湖断月		
4406	九溪弥烟		
4508	云生结海		
4506	平沙雁落		
4512	清音长啸		
4518	江逐月天		
3921	女帝之力		
3918	青山我意		
4611	空山凝云		
4608	银瓶玉碎		
4606	飞燕凌波		
4613	水龙吟		
1780	暗影刺		
5015	霸刀-狂暴		
5008	霸刀-冲刺		
5011	霸刀-撕裂		
5005	霸刀-血刀		
5212	朝阳一气剑		
5209	天绅倒悬		
5215	风送紫霞		
5206	萧史乘龙		
5511	火光残影		
5508	电光石火		
5515	毁天灭地		
5506	焚山噬川		
3928	合纵连横		
5626	水龙狱		
5611	六脉神剑		
5606	一阳指		
5608	五罗轻烟		
5703	启明之怒		
5705	句芒唤荆		
5707	怒霜狂滔		
5709	焚天火祭		
5711	大地蟒动		
5713	超群金刚		
5716	超群明王		
5721	破天惊月		
5724	百念惧灭		
5726	毒泷恶雾		
3932	纯阳无极功		
3939	火尽薪传		
5806	执颖点墨		
5839	与虎添翼		
5812	绘虎点睛		
5810	墨虎如生		
5808	兰摧玉折		
5462	碎金箭术		
5471	奇门盾		
5469	奔狼枪		
5473	横扫千军		
