ServerId	RoleId	Count
30037	38823774	3
30061	63967730	4
40057	59782053	3
40006	6291833	3
30005	5246189	4
40065	68158093	4
30076	79699563	4
40001	1050465	12
30002	2123436	2
30006	6305148	6
40022	23076356	8
30018	18886164	3
40080	83888201	1
30097	101713458	1
40049	51393828	4
30005	5261709	4
30041	42998011	2
40001	1087422	9
30036	37772340	4
40023	24128147	3
10001	1052524	6
30101	105911939	1
10038	39847357	12
30001	1059688	13
30055	57674356	4
40004	4201918	4
30008	8388618	2
30078	81794057	4
30011	11538324	3
30005	5257673	15
40045	47196791	3
30005	5257678	14
30020	20977549	3
30001	1049468	12
30005	5263477	3
30024	25174113	4
30006	6292974	2
30062	65016095	3
30020	20971807	3
30002	2123498	4
30015	15728654	3
30001	1055765	7
30003	3146504	4
30009	9452189	3
30042	44050554	6
30008	8397110	3
30023	24119791	3
30011	11539978	4
30090	94385480	4
10036	37761251	3
30023	24121785	3
30015	15739199	8
30001	1061461	7
30001	1048796	3
30022	23073005	6
10040	41944131	4
30057	59785482	3
40063	66061743	3
20060	62931404	3
30004	4210241	3
30003	3152989	4
30001	1068594	3
30038	39851158	4
30089	93339812	4
30017	17839048	4
10001	1052183	2
10006	6297858	4
30062	65013671	3
40006	6304068	8
10036	37775220	3
40044	46138244	3
10103	108015519	3
30010	10491124	12
30061	63971246	4
30030	31470069	7
30033	34613860	4
40047	49287438	4
10009	9439529	7
30009	9437993	4
30022	23073993	2
30009	9451518	2
30068	71304926	2
40005	5249704	4
10034	35656959	4
10104	109064608	2
40016	16792151	3
30001	1051765	13
40054	56634759	4
20012	12585946	2
30065	68179753	1
30080	83891690	4
30006	6301381	1
30001	1048981	3
30033	34604643	2
30010	10495401	6
30001	1055748	4
30072	75520230	3
30001	1107951	7
30028	29370480	1
30001	1108519	3
30086	90187239	2
10021	22036657	3
30019	19923190	4
10030	31466269	4
30034	35663812	12
40073	76553051	3
30086	90179641	3
30008	8404496	4
30004	4198424	8
30100	104858450	2
40001	1058752	4
30027	28316144	4
30085	89144598	2
30001	1051666	4
30005	5262108	4
30069	72351874	3
30008	8393989	11
30095	99620390	2
10051	53493095	3
40005	5245760	2
30075	78647889	2
20006	6293317	8
30067	70260482	4
10001	1053254	9
10002	2098048	7
30057	59770205	11
10007	7342913	4
30055	57677125	4
30004	4207864	3
40019	19928326	4
30004	4203404	8
10054	56634287	12
10054	56636199	3
30021	22038990	8
10030	31458744	4
30081	84943529	4
30033	34609070	4
30029	30419223	3
30011	11538702	4
30040	41954315	3
40002	2114988	3
30001	1066967	6
40028	29365253	10
30010	10487597	8
30052	54530456	3
