nGroup	nIndex	nLevel	nAwardGold	nDay	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
7	4	1	600	7	1		1	1	1	1	1
7	5	1	600	9	1		1	1	1	1	1
7	6	1	600	11	1		1	1	1	1	1
7	7	1	600	13	1		1	1	1	1	1
7	8	1	600	15	1		1	1	1	1	1
7	9	1	600	17	1		1	1	1	1	1
7	10	1	600	19	1		1	1	1	1	1
7	11	1	600	21	1		1	1	1	1	1
7	12	1	600	23	1		1	1	1	1	1
7	13	1	600	25	1		1	1	1	1	1
7	14	1	800	27	1		1	1	1	1	1
7	1	0	800	1		1					
7	2	1	400	3		1					
7	3	1	400	5		1					
7	4	1	400	7		1					
7	5	1	400	9		1					
7	6	1	400	11		1					
7	7	1	400	13		1					
7	8	1	400	15		1					
7	9	1	400	17		1					
7	10	1	400	19		1					
7	11	1	400	21		1					
7	12	1	400	23		1					
7	13	1	400	25		1					
7	14	1	800	27		1					
8	1	120	2160		1		1	1			1
8	2	123	1080		1		1	1			1
8	3	126	2160		1		1	1			1
8	4	128	1080		1		1	1			1
8	5	130	2160		1		1	1			1
8	1	120	1960			1					
8	2	123	980			1					
8	3	126	1560			1					
8	4	128	980			1					
8	5	130	1560			1					
8	1	120	2180							1	
8	2	123	1000							1	
8	3	126	1000							1	
8	4	128	1500							1	
8	5	130	2000							1	
9	1	130	2160		1		1	1			1
9	2	133	1080		1		1	1			1
9	3	136	2160		1		1	1			1
9	4	138	1080		1		1	1			1
9	5	140	2160		1		1	1			1
9	1	130	1960			1					
9	2	133	980			1					
9	3	136	1560			1					
9	4	138	980			1					
9	5	140	1560			1					
9	1	130	2180							1	
9	2	133	1000							1	
9	3	136	1000							1	
9	4	138	1500							1	
9	5	140	2000							1	
10	1	140	2160		1		1	1			1
10	2	143	1080		1		1	1			1
10	3	146	2160		1		1	1			1
10	4	148	1080		1		1	1			1
10	5	150	2160		1		1	1			1
10	1	140	2180							1	
10	2	143	1000							1	
10	3	146	1000							1	
10	4	148	1500							1	
10	5	150	2000							1	
10	1	140	1960			1					
10	2	143	980			1					
10	3	146	1560			1					
10	4	148	980			1					
10	5	150	1560			1					
11	1	150	2160		1		1	1			1
11	2	153	1080		1		1	1			1
11	3	156	2160		1		1	1			1
11	4	158	1080		1		1	1			1
11	5	160	2160		1		1	1			1
11	1	150	1960			1					
11	2	153	980			1					
11	3	156	1560			1					
11	4	158	980			1					
11	5	160	1560			1					
12	1	160	2160		1		1	1			1
12	2	163	1080		1		1	1			1
12	3	166	2160		1		1	1			1
12	4	168	1080		1		1	1			1
12	5	170	2160		1		1	1			1
12	1	160	1960			1					
12	2	163	980			1					
12	3	166	1560			1					
12	4	168	980			1					
12	5	170	1560			1					
13	1	170	2160		1		1	1			1
13	2	173	1080		1		1	1			1
13	3	176	2160		1		1	1			1
13	4	178	1080		1		1	1			1
13	5	180	2160		1		1	1			1
13	1	170	1960			1					
13	2	173	980			1					
13	3	176	1560			1					
13	4	178	980			1					
13	5	180	1560			1					
14	1	180	2160		1		
14	2	183	1080		1		
14	3	186	2160		1		
14	4	188	1080		1		
14	5	190	2160		1		
14	1	180	1960			1					
14	2	183	980			1					
14	3	186	1560			1					
14	4	188	980			1					
14	5	190	1560			1					
15	1	190	2160		1						
15	2	192	1080		1						
15	3	195	2160		1						
15	4	197	1080		1						
15	5	199	2160		1						
