Index	Name	AttribID	AttackSpeed	MaxLife	FightPower	Miss	HitRate	MinBaseAttack	MaxBaseAttack	WoodDamage	WaterDamage	FireDamage	EarthDamage	MetalResist	WoodResist	WaterResist	FireResist	EarthResist	DeadlyStrike	MetalDamage	SeriesDamageValue
fuben_boss_60s	fuben_boss_60	11	15	{1,3756},{10,6011},{20,8782},{30,80000}	0	0	{10,1000},{100,2800},{150,7000}	{10,5},{30,100}	{10,5},{30,100}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
Xisuidao_Fire	天机制式傀儡-火	13	15	{1,1500},{2,1800},{3,2200},{4,2600},{5,4000},{6,7500},{7,8500},{8,9500},{9,12000},{10,14000},{15,20000},{20,36000},{30,56000},{40,76000},{100,60000*12},{110,75000*12}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	0	0	0	0	1000	200	0	200	200			1000
Xisuidao_Earth	天机制式傀儡-土	12	15	{1,1500},{2,1800},{3,2200},{4,2600},{5,4000},{6,7500},{7,8500},{8,9500},{9,12000},{10,14000},{15,20000},{20,36000},{30,56000},{40,76000},{100,60000*12},{110,75000*12}	0	0	{10,1000},{100,2800},{150,7000}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	{1,3},{2,3},{3,4},{4,5},{5,12},{6,18},{7,30},{8,35},{9,50},{10,70},{15,110},{20,160},{21,110*2},{30,230*2},{31,196*2},{40,380*2},{41,420*2},{50,600*2}	0	0	0	0	200	0	1000	200	200			1000
3000s	boss	21	15	{1,75300},{10,120220},{20,175640},{30,1500000}	0	0	{10,1000},{100,2800},{150,7000}	{1,200},{30,300}	{1,200},{30,300}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
Cuiyan_baby	翠烟宝宝	31	15	1	0	0	{10,1000},{100,2800},{150,7000}	1	1	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
Damo	达摩	1122	15	{60,2500000*588},{70,4000000*588},{80,5000000*588},{100,6000000*588},{110,9000000*588},{120,12500000*588},{130,15000000*588},{140,10114851060},{150,11580472340},{160,13238069360},{170,15111381060},{180,17226974410},{190,19614572620},{200,22307420725}	0	0	{10,50000}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	{20,120*2},{30,200*2},{40,700*2},{50,1200*2},{60,1600*2},{70,2000*2},{80,2400*2},{90,2800*2},{100,3200*2},{110,4000*2}	0	0	0	0	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,257},{20,300},{30,342},{40,385},{50,428},{60,471},{70,514},{80,557},{100,642},{110,685},{120,728},{130,771},{140,1103},{150,1214},{160,1335},{170,1468},{180,1615},{190,1777},{200,1955}
Team_dadao_10s	大盗	51	20	{10,20000},{20,60000},{30,150000},{40,200000},{50,334051},{60,512068},{70,739224},{80,1020689},{90,1361637},{100,1767241},{110,2242672},{120,2793103},{130,3423706},{140,3926336},{150,4495254},{160,5138692},{170,5865866},{180,6687087},{190,7613894},{200,8659191}	0	0	{10,1140},{20,2090},{30,3040},{40,3990},{50,4940},{60,5889},{70,6839},{80,7789},{100,9689},{110,10640},{120,11590},{130,12540},{140,13699},{150,15086},{160,16587},{170,18240},{180,20083},{190,22078},{200,24282}	{10,30},{20,120*1.5},{30,250*1.5},{40,400*1.5}	{10,30},{20,120*1.5},{30,250*1.5},{40,400*1.5}	0	0	0	0	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,257},{20,300},{30,342},{40,385},{50,428},{60,471},{70,514},{80,557},{100,642},{110,685},{120,728},{130,771},{140,1103},{150,1214},{160,1335},{170,1468},{180,1615},{190,1777},{200,1955}		
Team_dadao_15s	大盗	52	25	{10,30000},{20,80000},{30,200000},{40,350000},{50,584590},{60,896120},{70,1293642},{80,1786206},{90,2382866},{100,3092672},{110,3924676},{120,4887931},{130,5991487},{140,6871088},{150,7866695},{160,8992712},{170,10265265},{180,11702402},{190,13324314},{200,15153585}	0	0	{10,1140},{20,2090},{30,3040},{40,3990},{50,4940},{60,5889},{70,6839},{80,7789},{100,9689},{110,10640},{120,11590},{130,12540},{140,13699},{150,15086},{160,16587},{170,18240},{180,20083},{190,22078},{200,24282}	{10,30},{20,120*2},{30,250*2},{40,400*2}	{10,30},{20,120*2},{30,250*2},{40,400*2}	0	0	0	0	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,257},{20,300},{30,342},{40,385},{50,428},{60,471},{70,514},{80,557},{100,642},{110,685},{120,728},{130,771},{140,1103},{150,1214},{160,1335},{170,1468},{180,1615},{190,1777},{200,1955}		
Team_dadao_20s	大盗	53	30	{10,40000},{20,100000},{30,250000},{40,400000},{50,668103},{60,1024137},{70,1478448},{80,2041379},{90,2723275},{100,3534482},{110,4485344},{120,5586206},{130,6847413},{140,7852672},{150,8990508},{160,10277385},{170,11731732},{180,13374174},{190,15227788},{200,17318383}	0	0	{10,1140},{20,2090},{30,3040},{40,3990},{50,4940},{60,5889},{70,6839},{80,7789},{100,9689},{110,10640},{120,11590},{130,12540},{140,13699},{150,15086},{160,16587},{170,18240},{180,20083},{190,22078},{200,24282}	{10,30},{20,120*2},{30,250*2},{40,400*2}	{10,30},{20,120*2},{30,250*2},{40,400*2}	0	0	0	0	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,257},{20,300},{30,342},{40,385},{50,428},{60,471},{70,514},{80,557},{100,642},{110,685},{120,728},{130,771},{140,1103},{150,1214},{160,1335},{170,1468},{180,1615},{190,1777},{200,1955}		
Kin_Theif	家族盗贼	61	15	{10,40000},{20,80000*1.3},{30,150000*1.3},{40,250000*1.3}	0	0	{10,1000},{100,2800},{150,7000}	{10,30},{20,120*2},{30,250*2},{40,400*2}	{10,30},{20,120*2},{30,250*2},{40,400*2}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
Kin_Tasknpc	家族任务NPC	62	15	{10,27500},{20,80000},{30,110000},{40,160000}	0	0	{10,1000},{100,2800},{150,7000}	{10,30},{20,120*2},{30,250*2},{40,400*2}	{10,30},{20,120*2},{30,250*2},{40,400*2}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
newrole_boss	新人秘境BOSS	91	15	{1,84000},{10,320000}	0	0	{10,1000},{100,2800},{150,7000}	{1,6},{2,7},{3,12},{4,14},{5,18},{6,24},{7,36},{8,42},{9,48},{10,54},{30,120},{40,180}	{1,6},{2,7},{3,12},{4,14},{5,18},{6,24},{7,36},{8,42},{9,48},{10,54},{30,120},{40,180}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
newrole_normal	新人秘境普通	92	15	{1,6800},{10,24800}	0	0	{10,1000},{100,2800},{150,7000}	{1,5},{2,6},{3,10},{4,12},{5,15},{6,20},{7,30},{8,35},{9,40},{10,45},{30,100},{40,150}	{1,5},{2,6},{3,10},{4,12},{5,15},{6,20},{7,30},{8,35},{9,40},{10,45},{30,100},{40,150}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
newrole_jy	新人秘境精英	93	15	{1,10200},{10,37200}	0	0	{10,1000},{100,2800},{150,7000}	{1,5},{2,6},{3,10},{4,12},{5,15},{6,20},{7,30},{8,35},{9,40},{10,45},{30,100},{40,150}	{1,5},{2,6},{3,10},{4,12},{5,15},{6,20},{7,30},{8,35},{9,40},{10,45},{30,100},{40,150}	0	0	0	0		0	0	0	0	{1,50},{10,100},{50,150},{70,200},{110,800}		
	木桩	100	15	{10,100000},{200,2000000000}	0																
		101	15	10	0																
muzhuang_gold	金系木桩	111	15	{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{50,9000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}										200	1000	200	0	200			1000
muzhuang_wood	木系木桩	112	15	{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{50,9000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}										0	200	200	200	1000			1000
muzhuang_water	水系木桩	113	15	{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{50,9000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}										200	200	200	1000	0			1000
muzhuang_fire	火系木桩	114	15	{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{50,9000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}										1000	200	0	200	200			1000
muzhuang_earth	土系木桩	115	15	{5,320*0.5},{10,650*0.5},{20,2500*0.5},{30,3500*0.5},{40,6000*0.5},{50,9000*0.5},{60,13500*0.5},{70,20000*0.5},{80,30000*0.5},{100,60000*0.5},{110,75000*0.5}										200	0	1000	200	200			1000
Battle_Solider	战场小兵	131	15	{10,3000*3},{20,5000*3},{30,10000*3},{40,16000*3},{50,30000*3},{100,150000*3},{110,200000*3},{120,747261},{130,915971},{140,1050443},{150,1202651},{160,1374795},{170,1569341},{180,1789049},{190,2037005},{200,2316662}	0	0	{10,1140},{20,2090},{30,3040},{40,3990},{50,4940},{60,5889},{70,6839},{80,7789},{100,9689},{110,10640},{120,11590},{130,12540},{140,13699},{150,15086},{160,16587},{170,18240},{180,20083},{190,22078},{200,24282}	{10,60},{20,120},{30,300},{40,500}	{10,60},{20,120},{30,300},{40,500}	0	0	0	0	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,257},{20,300},{30,342},{40,385},{50,428},{60,471},{70,514},{80,557},{100,642},{110,685},{120,728},{130,771},{140,1103},{150,1214},{160,1335},{170,1468},{180,1615},{190,1777},{200,1955}		
Battle_Tower	战场箭塔	132	15	{10,3000*10},{20,5000*10},{30,10000*10},{40,16000*10},{50,30000*10},{100,150000*10},{110,200000*10},{120,2490870},{130,3053238},{140,3501479},{150,4008837},{160,4582651},{170,5231139},{180,5963499},{190,6790019},{200,7722208}	0	0	{10,1140},{20,2090},{30,3040},{40,3990},{50,4940},{60,5889},{70,6839},{80,7789},{100,9689},{110,10640},{120,11590},{130,12540},{140,13699},{150,15086},{160,16587},{170,18240},{180,20083},{190,22078},{200,24282}	{10,60*4},{20,120*4},{30,300*4},{40,500*4}	{10,60*4},{20,120*4},{30,300*4},{40,500*4}	0	0	0	0	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,257},{20,300},{30,342},{40,385},{50,428},{60,471},{70,514},{80,557},{100,642},{110,685},{120,728},{130,771},{140,1103},{150,1214},{160,1335},{170,1468},{180,1615},{190,1777},{200,1955}		
Battle_Wild	战场野怪	133	15	{10,3000*5},{20,5000*5},{30,10000*5},{40,16000*5},{50,30000*5},{100,150000*5},{110,200000*5},{120,1245435},{130,1526619},{140,1750739},{150,2004418},{160,2291325},{170,2615569},{180,2981749},{190,3395009},{200,3861104}	0	0	{10,1140},{20,2090},{30,3040},{40,3990},{50,4940},{60,5889},{70,6839},{80,7789},{100,9689},{110,10640},{120,11590},{130,12540},{140,13699},{150,15086},{160,16587},{170,18240},{180,20083},{190,22078},{200,24282}	{10,60},{20,120},{30,300},{40,500}	{10,60},{20,120},{30,300},{40,500}	0	0	0	0	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,257},{20,300},{30,342},{40,385},{50,428},{60,471},{70,514},{80,557},{100,642},{110,685},{120,728},{130,771},{140,1103},{150,1214},{160,1335},{170,1468},{180,1615},{190,1777},{200,1955}		
Battle_Home	战场大营	134	15	{10,3000*20},{20,5000*30},{30,10000*30},{40,16000*30},{50,30000*30},{100,150000*30},{110,200000*30},{120,7472611},{130,9159715},{140,10504439},{150,12026511},{160,13747953},{170,15693418},{180,17890497},{190,20370057},{200,23166624}	0	0	{10,1140},{20,2090},{30,3040},{40,3990},{50,4940},{60,5889},{70,6839},{80,7789},{100,9689},{110,10640},{120,11590},{130,12540},{140,13699},{150,15086},{160,16587},{170,18240},{180,20083},{190,22078},{200,24282}	{10,60*4},{20,120*4},{30,300*4},{40,500*4}	{10,60*4},{20,120*4},{30,300*4},{40,500*4}	0	0	0	0	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,257},{20,300},{30,342},{40,385},{50,428},{60,471},{70,514},{80,557},{100,642},{110,685},{120,728},{130,771},{140,1103},{150,1214},{160,1335},{170,1468},{180,1615},{190,1777},{200,1955}		
Battle_Tower_M	战场箭塔	135	15	{10,3000*100},{20,5000*100},{30,10000*100},{40,16000*100},{50,30000*100},{100,150000*100},{110,200000*100},{120,24908706},{130,30532385},{140,35014799},{150,40088372},{160,45826511},{170,52311395},{180,59634990},{190,67900191},{200,77222081}	0	0	{10,1140},{20,2090},{30,3040},{40,3990},{50,4940},{60,5889},{70,6839},{80,7789},{100,9689},{110,10640},{120,11590},{130,12540},{140,13699},{150,15086},{160,16587},{170,18240},{180,20083},{190,22078},{200,24282}	{10,60*8},{20,120*8},{30,300*8},{40,500*8}	{10,60*8},{20,120*8},{30,300*8},{40,500*8}	0	0	0	0	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,210},{20,410},{30,610},{40,810},{50,1010},{60,1210},{70,1410},{80,1610},{100,2010},{110,2210},{120,2410},{130,2610},{140,2860},{150,3146},{160,3461},{170,3807},{180,4188},{190,4607},{200,5068}	{10,257},{20,300},{30,342},{40,385},{50,428},{60,471},{70,514},{80,557},{100,642},{110,685},{120,728},{130,771},{140,1103},{150,1214},{160,1335},{170,1468},{180,1615},{190,1777},{200,1955}		
