Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	DefaultDialog	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife	Sex
BaDao_Master	2924	王腾	2	1			1241	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
HuaShan_Master	2972	孟苍岚	2	1			1243	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
MingJiao_Master	3316	明教教主	2	1			712	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Music_diaoxiang	3686	诗音阁雕像	2	0	GoodVoiceStatue		565		993			1									Setting/Npc/Ai/KeepMoving.ini			0	10	3						NoTurn		10	5									
HuaShan_Master0	3197	神秘人	2	1			1243	999	999	凡事都逃不过一个情字啊！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
TianWang_Leader	1533	杨铁心	2	1			5211	999	999	「天王」属性为[FFFE0D]金[-]，克制[FFFE0D]木[-]属性的[FFFE0D]逍遥、唐门、五毒、华山[-]，进可乘胜追击，退可控敌暂避，擅长攻坚！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
XiaoYao_Leader	1534	柳潇庭	2	1			5210	999	999	「逍遥」属性为[FFFE0D]木[-]，克制[FFFE0D]土[-]属性的[FFFE0D]武当、昆仑、长歌、万花[-]，滑若游鱼，迅若飞鸟，控敌与指掌之间！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Emei_Leader	1535	无想	2	1			5212	999	999	「峨嵋」属性为[FFFE0D]水[-]，克制[FFFE0D]火[-]属性的[FFFE0D]桃花、天忍、丐帮、明教[-]，佛心慈佑，救济世人，心若冰清，天塌不惊。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
TaoHua_Leader	1536	李恬儿	2	1			5209	999	999	「桃花」属性为[FFFE0D]火[-]，克制[FFFE0D]金[-]属性的[FFFE0D]天王、少林、藏剑、霸刀、杨门[-]，百里之外取人首级，未见其人，先见其矢。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
TianRen_Leader	1537	李天目	2	1			6111	999	999	「武当」属性为[FFFE0D]土[-]，克制[FFFE0D]水[-]属性的[FFFE0D]峨嵋、翠烟、天山、段氏[-]，融阴阳之道，攻可剑芒凌霄，守可剑气化盾。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
WuDang_Leader	1538	完颜襄	2	1			1131	999	999	「天忍」属性为[FFFE0D]火[-]，克制[FFFE0D]金[-]属性的[FFFE0D]天王、少林、藏剑、霸刀、杨门[-]，伺机而动，一击必中！十步杀一人，千里不留行！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
ShaoLin_Leader	2668	玄慈	2	1			1169	999	999	「少林」属性为[FFFE0D]金[-]，克制[FFFE0D]木[-]属性的[FFFE0D]逍遥、唐门、五毒、华山[-]，阿弥陀佛，练就一身铜皮铁骨，擅长以守代攻。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
CuiYan_Leader	2669	尹筱雨	2	1			1149	999	999	「翠烟」属性为[FFFE0D]水[-]，克制[FFFE0D]火[-]属性的[FFFE0D]桃花、天忍、丐帮、明教[-]，灵宠熊猫来助战，冰罗华伞雨成霜。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
TangMen_Leader	2670	唐晓	2	1			1166	999	999	「唐门」属性为[FFFE0D]木[-]，克制[FFFE0D]土[-]属性的[FFFE0D]武当、昆仑、长歌、万花[-]，擅长暗器、陷阱，步步为营，巧劲制敌！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
KunLun_Leader	2671	宋秋石	2	1			1165	999	999	「昆仑」属性为[FFFE0D]土[-]，克制[FFFE0D]水[-]属性的[FFFE0D]峨嵋、翠烟、天山、段氏[-]，天雷妙法，控敌无踪，飞剑御体，来去自如。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
GaiBang_Leader	2672	何人我	2	1			1170	999	999	「丐帮」属性为[FFFE0D]火[-]，克制[FFFE0D]金[-]属性的[FFFE0D]天王、少林、藏剑、霸刀、杨门[-]，步法精妙，精于躲闪，擒龙控鹤，敌所难逃！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
WuDu_Leader	2673	古嫣然	2	1			1174	999	999	「五毒」属性为[FFFE0D]木[-]，克制[FFFE0D]土[-]属性的[FFFE0D]武当、昆仑、长歌、万花[-]，天下毒尊，掌控五毒灵兽，沾毒者必将受尽折磨而亡！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
CangJian_Leader	2674	叶青阳	2	1			1218	999	999	「藏剑」属性为[FFFE0D]金[-]，克制[FFFE0D]木[-]属性的[FFFE0D]逍遥、唐门、五毒、华山[-]，只可攻，不善守，以身为剑，无坚不摧！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
ChangGe_Leader	2675	冰仪	2	1			1210	999	999	「长歌」属性为[FFFE0D]土[-]，克制[FFFE0D]水[-]属性的[FFFE0D]峨嵋、翠烟、天山、段氏[-]，轻音霓裳，妙曼舞姿势，得我舞者，得武之助！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
TianShan_Leader	2676	惊雪	2	1			1232	999	999	「天山」属性为[FFFE0D]水[-]，克制[FFFE0D]火[-]属性的[FFFE0D]桃花、天忍、丐帮、明教[-]，以万年不化之天山寒霜内力侵入敌体，削弱其身。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
BaDao_Leader	2925	王云潇	2	1			1242	999	999	「霸刀」属性为[FFFE0D]金[-]，克制[FFFE0D]木[-]属性的[FFFE0D]逍遥、唐门、五毒、华山[-]，最擅背水一战，置之死地而后生！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
HuaShan_Leader	2973	林青羽	2	1			1244	999	999	「华山」属性为[FFFE0D]木[-]，克制[FFFE0D]土[-]属性的[FFFE0D]武当、昆仑、长歌、万花[-]，身法灵动，飘逸自如，万花丛中过，片叶不沾身！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
MingJiao_Leader	3317	风行周	2	1			711	999	999	「明教」属性为[FFFE0D]火[-]，克制[FFFE0D]金[-]属性的[FFFE0D]天王、少林、藏剑、霸刀、杨门[-]，步法精妙，精于躲闪，擒龙控鹤，敌所难逃！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Fb_zhangai	104	副本动态障碍	5	1			312																	1		1																		
CommerceTask	190	万金财	2	1	CommerceTask		146	206	306			1							560	980					17	1		109																
CookMateria_Hunter	3833	小猎户	2	1	HuntingNpc		159	623	994	一二三四五，上山打老虎！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	17	1
CookMaterial_Bear	3830		0	1			990	200	994			1112	166	1	200	1			600	10000	Setting/Npc/Ai/CommonPassive2.ini			1	20	2
CookMaterial_Cai1	3758	菜	2	0	ClientCookGatherNpc		3753	992	992			1							560	980				1	15							NoTurn
CookMaterial_Cai2	3759	菜	2	0	CookGather		3753	992	992			1							560	980				1	15							NoTurn
CookMaterial_Chicken	3832		0	1			992	200	994			1112	166	1	200	1			600	10000	Setting/Npc/Ai/CommonPassive2.ini			1	20	2
CookMaterial_Hetun1	3780	鱼篓	2	0	ClientCookGatherNpc		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Hetun2	3781	鱼篓	2	0	CookGather		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Jiangtuan1	3782	鱼篓	2	0	ClientCookGatherNpc		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Jiangtuan2	3783	鱼篓	2	0	CookGather		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Jidan1	3760	鸡蛋	2	0	ClientCookGatherNpc		3754	992	992			1							560	980				1	15							NoTurn
CookMaterial_Jidan2	3761	鸡蛋	2	0	CookGather		3754	992	992			1							560	980				1	15							NoTurn
CookMaterial_Lajiao1	3764	辣椒	2	0	ClientCookGatherNpc		3756	992	992			1							560	980				1	15							NoTurn
CookMaterial_Lajiao2	3765	辣椒	2	0	CookGather		3756	992	992			1							560	980				1	15							NoTurn
CookMaterial_Liyu1	3772	鱼篓	2	0	ClientCookGatherNpc		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Liyu2	3773	鱼篓	2	0	CookGather		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Luyu1	3774	鱼篓	2	0	ClientCookGatherNpc		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Luyu2	3775	鱼篓	2	0	CookGather		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Manyu1	3778	鱼篓	2	0	ClientCookGatherNpc		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Manyu2	3779	鱼篓	2	0	CookGather		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Pangxie1	3770	鱼篓	2	0	ClientCookGatherNpc		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Pangxie2	3771	鱼篓	2	0	CookGather		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Pig	3831		0	1			991	200	994			1112	166	1	200	1			600	10000	Setting/Npc/Ai/CommonPassive2.ini			1	20	2
CookMaterial_Shui1	3756	水桶	2	0	ClientCookGatherNpc		3752	992	992			1							560	980				1	15							NoTurn
CookMaterial_Shui2	3757	水桶	2	0	CookGather		3752	992	992			1							560	980				1	15							NoTurn
CookMaterial_Xia1	3768	鱼篓	2	0	ClientCookGatherNpc		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Xia2	3769	鱼篓	2	0	CookGather		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Xianggu1	3762	香菇	2	0	ClientCookGatherNpc		3755	992	992			1							560	980				1	15							NoTurn
CookMaterial_Xianggu2	3763	香菇	2	0	CookGather		3755	992	992			1							560	980				1	15							NoTurn
CookMaterial_Yiner1	3766	银耳	2	0	ClientCookGatherNpc		3757	992	992			1							560	980				1	15							NoTurn
CookMaterial_Yiner2	3767	银耳	2	0	CookGather		3757	992	992			1							560	980				1	15							NoTurn
CookMaterial_Yinyu1	3776	鱼篓	2	0	ClientCookGatherNpc		3758	992	992			1							560	980				1	15							NoTurn
CookMaterial_Yinyu2	3777	鱼篓	2	0	CookGather		3758	992	992			1							560	980				1	15							NoTurn
BuffBall_white	202	白色能量球	5	0			346					1							560	980				1	15																			
BuffBall_green	203	绿色能量球	5	0			347					1							560	980				1	15																			
BuffBall_blue	204	蓝色能量球	5	0			348					1							560	980				1	15																			
BuffBall_purple	205	紫色能量球	5	0			349					1							560	980				1	15																			
BuffBall_red	206	红色能量球	5	0			350					1							560	980				1	15																			
BuffBall_gold	207	金色能量球	5	0			351					1							560	980				1	15																			
tansuo_baoxiang	208	探索宝箱	5	1			352					1							560	980				1	15																			
KinGatherBox	1840	庆典宝箱	2	1	GatherBox	2707	352	995	300			1												1	15	1						NoTurn										1		
KinDinnerGatherBox	3439	庆典宝箱	2	1	FamilyReunionDinnerBoxNpc	10438	352	995	300			1												1	15	1						NoTurn										1		
KinFoKu_1	3733	天龙旗	0	1	KinFoKuBattle		737	200	994			1120			91	1	105	1	1500	1500	Setting/Npc/Ai/Stay.ini			1	20	2	1					NoTurn										1	1	
KinFoKu_2	3734	天龙珠	2	1	KinFoKuBattle		732	992	992										560	980				1	1																			
PunishAttack_npc1	212	武林恶徒	0	1	PunishTaskAttack		123					51	21	1	91	1			3000	3000	Setting/Npc/Ai/CommonActive.ini			1	18			9																
PunishAttack_npc2	214	武林恶徒	0	1	PunishTaskAttack		123					51	21	1	91	1			3000	3000	Setting/Npc/Ai/CommonActive.ini			1	18			10																
PunishAttack_npc3	215	武林恶徒	0	1	PunishTaskAttack		123					52	21	1	91	1			3000	3000	Setting/Npc/Ai/CommonActive.ini			1	18			11																
PunishAttack_npc4	216	武林恶徒	0	1	PunishTaskAttack		123					52	21	1	91	1			3000	3000	Setting/Npc/Ai/CommonActive.ini			1	18			12																
PunishAttack_npc5	217	武林恶徒	0	1	PunishTaskAttack		123					53	21	1	91	1			3000	3000	Setting/Npc/Ai/CommonActive.ini			1	18			13																
PunishDialog_npc1	213	武林恶徒	2	0	PunishTaskDialog		123					51	21	1					3000	3000					18			9																
PunishDialog_npc2	219	武林恶徒	2	0	PunishTaskDialog		123					51	21	1					3000	3000					18			10																
PunishDialog_npc3	218	武林恶徒	2	0	PunishTaskDialog		123					52	21	1					3000	3000					18			11																
PunishDialog_npc4	220	武林恶徒	2	0	PunishTaskDialog		123					52	21	1					3000	3000					18			12																
PunishDialog_npc5	221	武林恶徒	2	0	PunishTaskDialog		123					52	21	1					3000	3000					18	1		13																
Eagle	222	腐食鹰	0	1	FubenDeath		113					3	22	1					3000	3000	Setting/Npc/Ai/CommonActive.ini			1	20	1																		
Red_Security	223	红缨卫	0	1	FubenDeath		118					3	21	1					3000	3000	Setting/Npc/Ai/CommonActive.ini			1	20	1																		
Yehao	224	叶浩	0	1	FubenDeath		119					3	21	1					3000	3000	Setting/Npc/Ai/CommonActive.ini			1	20	1																		
LeavegGateNpc	225	离开地宫	4	0			8					1							560	980				1	15																			
NextGateNpc	226	神秘入口	4	0			8					1							560	980				1	15																			
KinRobber_np1	228	盗贼	2	0	KinRobber		174					3	21	1					3000	3000					18																			
KinRobber_np2	229	盗贼	0	1	KinRobber		174					61	21	1	91	1			3000	3000	Setting/Npc/Ai/CommonActive.ini			1	18	1																		
Onehand_big	231	独臂壮汉	0	1	FubenDeath		354					205	1359	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss8.ini			1	12	2																		
Kin_Manager	266	家族总管	2	0	KinManager		107	213	313			3	21	1					3000	3000					18	1																		
NoneRes	267		0	1			358					3	1398	1					3000	3000	Setting/Npc/Ai/RangeActive.ini			1	0	1	1																	
Npc_Sword	268	剑	4	0			362					1							560	980				1	15																			
WJ_dici	429	地刺	5	0			374					1							560	980				1	15																			
WJ_gunshi	430	滚石	5	0			375					1							560	980				1	15																			
WJ_jianqun	431	剑群	5	0			376					1							560	980				1	15																			
WJ_kaiguan	432	开关	5	0			377					1							560	980				1	15																			
WJ_paoche	433	炮车	5	0			378					1							560	980				1	15																			
Fb_Stone	435	宝石矿	2	0	FubenDialogEvent	2,采集中...,DigStone	389	995																								NoTurn												
Fb_Crystal	187	水晶矿	2	0	FubenDialogEvent	2,采集中...,DigCrystal	390	995																								NoTurn												
digong_gouhuo	436	篝火	4	0	GouHuoNpc	all|3000|6|3000|0|10	380																	0																				
digong_gouhuo_1	695	篝火	4	0	GouHuoNpc	all|3000|5|3000|0|6	380																	0																				
Duanshi_fight	3460	段氏弟子	0	1	FubenDeath		1210	999	999			20000	21	1	63	1					Setting/Npc/Ai/CommonActive.ini			1	20	1																		
Duanshi_Leader	3454	段智兴	2	1			1250	999	999	「段氏」属性为[FFFE0D]水[-]，克制[FFFE0D]火[-]属性的[FFFE0D]桃花、天忍、丐帮、明教[-]，扇出游龙，指若惊鸿，潇洒飘逸，翩翩贵公子。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Duanshi_Master	3453	段正兴	2	1			1251	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
activity_dyr_gouhuo_1	2402	温暖的炉火	4	0	GouHuoNpc	teamfuben|3000|5|6000|0|12	945																	0																				
task_gouhuo	453	篝火	5	0			380																																					
zhiyin_jiantou	451	指引箭头	5	0			382																																					
zhiyin_quan	452	指引圈	5	0			383																																					
yw_commerce_npc1	454	灵猴	0	1			117				2700	3	1032	1					600	600	Setting/Npc/Ai/CommonActive.ini			1	18			21																
yw_commerce_npc2	455	蛮熊	0	1			116				2700	3	1031	1					600	600	Setting/Npc/Ai/CommonActive.ini			1	18			21																
yw_commerce_npc3	456	巨蝎	0	1			109				2700	3	1032	1					600	600	Setting/Npc/Ai/CommonActive.ini			1	18			21																
yw_commerce_npc4	457	灰狼	0	1			115				2700	3	1031	1					600	600	Setting/Npc/Ai/CommonActive.ini			1	18			21																
yw_commerce_npc5	458	金钱豹	0	1			111				2700	3	1031	1					600	600	Setting/Npc/Ai/CommonActive.ini			1	18	1		21																
guangquan	459	上升气流	5	0			361					1							560	980				1	15																			
kin_gouhuo_2	516	家族篝火火焰	5	0	GouHuoNpc	kin|10000|30|600|1|0	392																																					
XinshouFb_enemy_1	517	强盗	0	1	FubenDeath		136					92	166	1					3000	3000	Setting/Npc/Ai/CommonActive.ini			1	20	1																		
XinshouFb_Boss_1	518	神秘人	4	0	FubenDeath		24	200	994			91	194	1	91	1			1500	1500	Setting/Npc/Ai/fuben/newrole.ini			1	20	2					900006													
XinshouFb_Boss_2	663	神秘人	0	1	FubenDeath		24	200	994			91	194	1	91	1			1500	1500	Setting/Npc/Ai/fuben/newrole.ini			1	20	2																		
XinshouFb_Npc_1	519	卓非凡	4	0	FubenDeath		194	218	318			91	177	1	91	1			1500	1500	Setting/Npc/Ai/Stay.ini			1	20	1																		
XinshouFb_Npc_2	520	卓非凡	0	0	FubenDeath		194	218	318			91	177	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																		
xs_shibing_dh	1150	重伤的宋兵	0	0	FubenDeath		477	200	300			92	166	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	3									2									
xs_nalanzhen_dh	1221	神秘少女	0	0	FubenDeath		177	13	113			92	166	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1									2									
xs_jinbing_gw	1151	金兵	0	1	FubenDeath		1127	200	300			92	166	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1									1									
xs_jinbing_jy	1158	百夫长	0	1	FubenDeath		181	200	300			93	166	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1									3									
xs_sishi_gw	1152	死士	0	1	FubenDeath		124	200	300			92	166	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1					900001													
xs_jiangjun_hs	1153	大将军	0	0	FubenDeath		1113	209	309			91	177	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2									2									
xs_zhuofeifan_hs	1154	卓非凡	0	0	FubenDeath		194	218	318			91	177	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2									2									
