Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	NormalSkill4	NormalSkillLevel4	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	DropReazon	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife
CallYeWaiBoss_19005	19005	小Boss-秦始皇	0	1	ImperialTombEmperor		522	8000	300		900805	3038	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Tomb/qinshihuang.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994251.tab		1	18	2							1			1	1000		1871	5000			1	
CallYeWaiBoss_19006	19006	小Boss-无字碑	0	1	ImperialTombBoss		637	9030	300		900806	4855	1	91	1					1500	1500	Setting/Npc/Ai/Imperial/wuzibei.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994251.tab		1	18	2							1			1	1000		1871	5000	1		1	
CallYeWaiBoss_19007	19007	小Boss-元芳	0	1	ImperialTombBoss		639	9032	300		900807	3051	1	91	1					1500	1500	Setting/Npc/Ai/Imperial/yuanfang.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994251.tab		1	18	2							1			1	1000		1871	5000	1		1	
CallYeWaiBoss_19008	19008	小Boss-狄仁杰	0	1	ImperialTombBoss		638	9031	300		900808	3051	1	91	1					1500	1500	Setting/Npc/Ai/Imperial/direnjie.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994251.tab		1	18	2							1			1	1000		1871	5000	1		1	
CallYeWaiBoss_19009	19009	小Boss-伪帝鸾姬	0	1	ImperialTombEmperorMirror		636	9033	300		900809	4851	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian_false.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994251.tab		1	18	2							1			1	1000		1871	5000	1		1	
CallYeWaiBoss_19010	19010	小Boss-武则天	0	1	ImperialTombEmperor		636	9033	300		900810	4851	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994251.tab		1	18	2							1			1	1000		1871	5000	1		1	
CallYeWaiBoss_19011	19011	大Boss-百将	0	1	ImperialTombLeader		190		300	675	900811	54	1	91	1	197	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994331.tab		1	18	1							1			4	1000		1871	5000				
CallYeWaiBoss_19012	19012	大Boss-白起	0	1	ImperialTombBoss		523	8002	300		900812	3023	1	91	1	1065	1			1500	1500	Setting/Npc/Ai/Tomb/Boss_baiqi.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994331.tab		1	18	2							1			4	1000		1871	5000				
CallYeWaiBoss_19013	19013	大Boss-李斯	0	1	ImperialTombBoss		524	8003	300		900813	3001	1	91	1	1065	1			1500	1500	Setting/Npc/Ai/Tomb/Boss_lisi.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994331.tab		1	18	2							1			4	1000		1871	5000				
CallYeWaiBoss_19014	19014	大Boss-疑冢伪帝	0	1	ImperialTombEmperorMirror		522	8000	300		900814	3038	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Tomb/qinshihuang_weidi.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994331.tab		1	18	2							1			4	1000		1871	5000				
CallYeWaiBoss_19015	19015	大Boss-秦始皇	0	1	ImperialTombEmperor		522	8000	300		900815	3038	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Tomb/qinshihuang.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994331.tab		1	18	2							1			4	1000		1871	5000			1	
CallYeWaiBoss_19016	19016	大Boss-无字碑	0	1	ImperialTombBoss		637	9030	300		900816	4855	1	91	1					1500	1500	Setting/Npc/Ai/Imperial/wuzibei.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994331.tab		1	18	2							1			4	1000		1871	5000	1		1	
CallYeWaiBoss_19017	19017	大Boss-元芳	0	1	ImperialTombBoss		639	9032	300		900817	3051	1	91	1					1500	1500	Setting/Npc/Ai/Imperial/yuanfang.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994331.tab		1	18	2							1			4	1000		1871	5000	1		1	
CallYeWaiBoss_19018	19018	大Boss-狄仁杰	0	1	ImperialTombBoss		638	9031	300		900818	3051	1	91	1					1500	1500	Setting/Npc/Ai/Imperial/direnjie.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994331.tab		1	18	2							1			4	1000		1871	5000	1		1	
CallYeWaiBoss_19019	19019	大Boss-伪帝鸾姬	0	1	ImperialTombEmperorMirror		636	9033	300		900819	4851	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian_false.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994331.tab		1	18	2							1			4	1000		1871	5000	1		1	
CallYeWaiBoss_19020	19020	大Boss-武则天	0	1	ImperialTombEmperor		636	9033	300		900820	4851	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian.ini	1	Setting/Npc/DropFile/yewai/callyewaiboss_994331.tab		1	18	2							1			4	1000		1871	5000	1		1	
CallYeWaiBoss_19021	19021	世界Boss-百将	0	1	WorldBoss		190		300	675	900821	54	1	91	1	197	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini	1			1	18	1										6	1000							
CallYeWaiBoss_19022	19022	世界Boss-白起	0	1	WorldBoss		523	8002	300		900822	3023	1	91	1	1065	1			1500	1500	Setting/Npc/Ai/Tomb/Boss_baiqi.ini	1			1	18	2										6	1000							
CallYeWaiBoss_19023	19023	世界Boss-李斯	0	1	WorldBoss		524	8003	300		900823	3001	1	91	1	1065	1			1500	1500	Setting/Npc/Ai/Tomb/Boss_lisi.ini	1			1	18	2										6	1000							
CallYeWaiBoss_19024	19024	世界Boss-疑冢伪帝	0	1	WorldBoss		522	8000	300		900824	3038	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Tomb/qinshihuang_weidi.ini	1			1	18	2										6	1000							
CallYeWaiBoss_19025	19025	世界Boss-秦始皇	0	1	WorldBoss		522	8000	300		900825	3038	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Tomb/qinshihuang.ini	1			1	18	2										6	1000						1	
CallYeWaiBoss_19026	19026	世界Boss-无字碑	0	1	WorldBoss		637	9030	300		900826	4855	1	91	1					1500	1500	Setting/Npc/Ai/Imperial/wuzibei.ini	1			1	18	2										6	1000				1		1	
CallYeWaiBoss_19027	19027	世界Boss-元芳	0	1	WorldBoss		639	9032	300		900827	3051	1	91	1					1500	1500	Setting/Npc/Ai/Imperial/yuanfang.ini	1			1	18	2										6	1000				1		1	
CallYeWaiBoss_19028	19028	世界Boss-狄仁杰	0	1	WorldBoss		638	9031	300		900828	3051	1	91	1					1500	1500	Setting/Npc/Ai/Imperial/direnjie.ini	1			1	18	2										6	1000				1		1	
CallYeWaiBoss_19029	19029	世界Boss-伪帝鸾姬	0	1	WorldBoss		636	9033	300		900829	4851	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian_false.ini	1			1	18	2										6	1000				1		1	
CallYeWaiBoss_19030	19030	世界Boss-武则天	0	1	WorldBoss		636	9033	300		900830	4851	1	91	1	1065	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian.ini	1			1	18	2										6	1000				1		1	
BOSS_Leader_18011	18011	神魔附体·黑暗神灵	0	1	BossHomeLeader2		185	2	300	675	9008013	54	1	91	1	197	1			1500	1500	Setting/Npc/Ai/Tomb/Boss_baiqi.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan.tab		1	18	1							1			3	1000		1871	5000				
BOSS_Leader_18012	18012	神魔附体·光明之神	0	1	BossHomeLeader2		1113	209	300	675	9008013	54	1	91	1	197	1			1500	1500	Setting/Npc/Ai/Tomb/Boss_lisi.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan.tab		1	18	1							1			3	1000		1871	5000				
BOSS_Leader_18013	18013	神魔附体·虚空守卫	0	1	BossHomeLeader2		194	218	300	675	9008013	54	1	91	1	197	1			1500	1500	Setting/Npc/Ai/Imperial/yuanfang.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan.tab		1	18	1							1			3	1000		1871	5000				
BOSS_Leader_18014	18014	神魔附体·审判者	0	1	BossHomeLeader2		1169	999	300	675	9008013	54	1	91	1	197	1			1500	1500	Setting/Npc/Ai/Imperial/direnjie.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan.tab		1	18	1							1			3	1000		1871	5000				
BOSS_Leader_18015	18015	神魔附体·剑尊	0	1	BossHomeLeader2		1242	999	300	675	9008013	54	1	91	1	197	1			1500	1500	Setting/Npc/Ai/Imperial/wuzetian_false.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan.tab		1	18	1							1			3	1000		1871	5000				
BOSS_Leader_18016	18016	神魔附体·凶残的神兽	0	1	BossHomeLeader2		576	200	994	675	9008013	54	1	91	1	197	1			1500	1500	Setting/Npc/Ai/Imperial/wuzetian_false.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan.tab		1	18	1							1			3	1000		1871	5000				
BOSS_HOME_18017	18017	九世怨女·一层大佬	0	1	BossHomeElite		185	2	300		9008007	3051	1	4994	1					1500	1500	Setting/Npc/Ai/Imperial/direnjie.ini	1			1	18	2										6	1000000				1		1	
BOSS_HOME_18018	18018	神祇人皇·二层大佬	0	1	BossHomeElite		1113	209	300		9008008	4851	1	4994	1	3051	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian_false.ini	1			1	18	2										6	2000000				1		1	
BOSS_HOME_18019	18019	远古神灵·三层大佬	0	1	BossHomeElite		194	218	300		9008009	4851	1	4994	1	3051	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian.ini	1			1	18	2										6	3000000				1		1	
BOSS_HOME_18020	18020	怨女·一层小怪	0	1	BossHomeMonster		5318	702	110		9008001	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/xiaoguai11.tab		1	18	2							1			4	10000		18017	5000	1		1	
BOSS_HOME_18021	18021	人皇·二层小怪	0	1	BossHomeMonster		522	8000	300		9008002	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/xiaoguai22.tab		1	18	2							1			4	20000		18018	5000	1		1	
BOSS_HOME_18022	18022	神灵·三层小怪	0	1	BossHomeMonster		637	9030	300		9008003	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/xiaoguai33.tab		1	18	2							1			4	30000		18019	5000	1		1	
BOSS_HOME_18023	18023	邪恶妖灵·四层大佬	0	1	BossHomeElite		1169	999	300		9008010	3051	1	4994	1	3051	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian.ini	1			1	18	2										6	4000000				1		1	
BOSS_HOME_18024	18024	虚空法魂·五层大佬	0	1	BossHomeElite		1242	999	300		9008011	3051	1	4994	1	3051	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian.ini	1			1	18	2										6	5000000				1		1	
BOSS_HOME_18025	18025	梦魇守墓人·六层大佬	0	1	BossHomeElite		576	200	994		9008012	3051	1	4994	1	3051	1	3067	1	1500	1500	Setting/Npc/Ai/Imperial/wuzetian.ini	1			1	18	2										6	6000000				1		1	
BOSS_HOME_18026	18026	妖灵·四层小怪	0	1	BossHomeMonster		639	9032	300		9008004	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/xiaoguai44.tab		1	18	2							1			4	40000		18023	5000	1		1	
BOSS_HOME_18027	18027	法魂·五层小怪	0	1	BossHomeMonster		638	9031	300		9008005	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/xiaoguai55.tab		1	18	2							1			4	50000		18024	5000	1		1	
BOSS_HOME_18028	18028	守墓人·六层小怪	0	1	BossHomeMonster		636	9033	300		9008006	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/xiaoguai66.tab		1	18	2							1			4	60000		18025	5000	1		1	
BOSS_HOME_18029	18029	神魔附体·九世怨女	0	1	BossHomeLeader2		5318	702	110		9008014	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan2.tab		1	18	2							1			6	55555		1871	5000	1		1	
BOSS_HOME_18030	18030	神魔附体·人皇	0	1	BossHomeLeader2		522	8000	300		9008014	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan2.tab		1	18	2							1			6	55555		1871	5000	1		1	
BOSS_HOME_18031	18031	神魔附体·神灵	0	1	BossHomeLeader2		637	9030	300		9008014	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan2.tab		1	18	2							1			6	55555		1871	5000	1		1	
BOSS_HOME_18032	18032	神魔附体·妖灵	0	1	BossHomeLeader2		639	9032	300		9008014	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan2.tab		1	18	2							1			6	55555		1871	5000	1		1	
BOSS_HOME_18033	18033	神魔附体·法魂	0	1	BossHomeLeader2		638	9031	300		9008014	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan2.tab		1	18	2							1			6	55555		1871	5000	1		1	
BOSS_HOME_18034	18034	神魔附体·守墓人	0	1	BossHomeLeader2		636	9033	300		9008015	3051	1	91	1	3051	1			1500	1500	Setting/Npc/Ai/CommonActive.ini	1	Setting/Npc/DropFile/Beichen/shenmuwaizhuan2.tab		1	18	2							1			6	55555		1871	5000	1		1	
