Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	AuraSkillId	AuraSkillLevel	BigFaceID	BloodStyle	DefaultDialog	DropType	ForbitMove	StartActEvent	Tag	TitleID	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	FixExperience	IsNotShowShadow	SyncFirst	IsNotBYStealLife	Sex
newrole_zc_wudu	2230	新手战场五毒	0	1			1004		10	21							1000	3000					27																					2
newrole_zc_cj	2341	新手战场藏剑	0	1			1005		10	21							1000	3000					27																					1
newrole_zc_cg	2342	新手战场长歌	0	1			1006		10	21							1000	3000					27																					2
newrole_zc_ts	2684	新手战场天山	0	1			1007		10	21							1000	3000					27																					2
newrole_zc_bd	2879	新手战场霸刀	0	1			1009		10	21							1000	3000					27																					2
newrole_zc_hs	2965	新手战场华山	0	1			1009		10	21							1000	3000					27																					2
Baby_cuiyan	1827	啵啵	7	1			1139		10	31	832	1	833	1	836	1	1200	1200	Setting/Npc/Ai/faction/xiongmao.ini				27																				1	
Shadow_tangmen	1965	唐门影子	8	1			1001		10								3000	3000					27																				1	
Baby_wudu_ls	2190	灵蛇	7	1			585		10	31	4322	1	4323	1	836	1	1200	1200	Setting/Npc/Ai/faction/wudu_lingshe.ini			1	27																				1	
Baby_wudu_bc	2191	碧蟾	7	1			583		10	31	4324	1	4325	1	836	1	1200	1200	Setting/Npc/Ai/faction/wudu_bichan.ini			1	27																				1	
Baby_wudu_cx	2192	赤蝎	7	1			581		10	31	4327	1			836	1	1200	1200	Setting/Npc/Ai/faction/wudu_chixie.ini			1	27																				1	
Baby_wudu_fw	2193	风蜈	7	1			584		10	31	4329	1	4330	1	836	1	1200	1200	Setting/Npc/Ai/faction/wudu_fengwu.ini			1	27																				1	
Baby_wudu_mz	2194	墨蛛	7	1			582		10	31	4332	1	4333	1	836	1	1200	1200	Setting/Npc/Ai/faction/wudu_mozhu.ini			1	27																				1	
Baby_shuimohu	3730	水墨虎	7	1			1268		10	31	5817	1			836	1	1200	1200	Setting/Npc/Ai/faction/wanhua_shuimohu.ini			1	40								5816												1	
Baby_shuimohu_big	3748	巨型水墨虎	7	1			735		10	31	5817	1			836	1	1200	1200	Setting/Npc/Ai/faction/wanhua_shuimohu.ini			1	40								5816												1	
