Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	AuraSkillId	AuraSkillLevel	ForbitMove	StartActEvent	TitleID	DropType	Tag	DefaultDialog	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	WalkSpeed	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst	Sex
Guest_SS_3	2991	杨影枫	0	0	PartnerCardHouseNpc		6101	630	325									3000					2	10	3														10					
Guest_SS_3_show	3367	杨影枫	0	0			6101	630	325									3000					2	10	3							NoTurn							10					
Guest_SS_4	2992	唐简	0	0	PartnerCardHouseNpc		6190	661	999									3000					2	10	3														10					
Guest_SS_4_show	3368	唐简	0	0			6190	661	999									3000					2	10	3							NoTurn							10					
Guest_SS_5	2993	玄天道人	0	0	PartnerCardHouseNpc		5016	604	326									3000					2	10	3														10					
Guest_SS_5_show	3369	玄天道人	0	0			5016	604	326									3000					2	10	3							NoTurn							10					
Guest_SS_6	2994	SS6	0	0	PartnerCardHouseNpc		5031	653	999									3000					2	10	3														10					
Guest_SS_6_show	3370	SS6	0	0			5031	653	999									3000					2	10	3							NoTurn							10					
Guest_SS_7	2995	李元霸	0	0	PartnerCardHouseNpc		6107	631	999									3000					2	10	3														10					
Guest_SS_7_show	3371	李元霸	0	0			6107	631	999									3000					2	10	3							NoTurn							10					
Guest_SS_8	2996	赵云	0	0	PartnerCardHouseNpc		6113	635	309									3000					2	10	3														10					
Guest_SS_8_show	3372	赵云	0	0			6113	635	309									3000					2	10	3							NoTurn							10					
Guest_SS_9	2997	李广	0	0	PartnerCardHouseNpc		1135	659	999									3000					2	10	3														10					
Guest_SS_9_show	3373	李广	0	0			1135	659	999									3000					2	10	3							NoTurn							10					
Guest_SS_10	2998	荆轲	0	0	PartnerCardHouseNpc		6108	655	999									3000					2	10	3														10					
Guest_SS_10_show	3374	荆轲	0	0			6108	655	999									3000					2	10	3							NoTurn							10					
Guest_SS_11	2999	虞姬	0	0	PartnerCardHouseNpc		6112	717	997									3000					2	10	3														10					
Guest_SS_11_show	3375	虞姬	0	0			6112	717	997									3000					2	10	3							NoTurn							10					
Guest_SS_12	3000	岳飞	0	0	PartnerCardHouseNpc		6130	657	999									3000					2	10	3														10					
Guest_SS_12_show	3376	岳飞	0	0	PartnerCardHouseNpc		6130	657	999									3000					2	10	3							NoTurn							10					
Guest_S_1	3001	月眉儿	0	0	PartnerCardHouseNpc		6102	716	122									3000					2	10	3														10					
Guest_S_2	3002	杨瑛	0	0	PartnerCardHouseNpc		5141	710	117									3000					2	10	3														10					
Guest_S_3	3003	祝子虚	0	0	PartnerCardHouseNpc		5214	642	316									3000					2	10	3														10					
Guest_S_4	3004	清晓师太	0	0	PartnerCardHouseNpc		5185	713	114									3000					2	10	3														10					
Guest_S_5	3005	黄暮云	0	0	PartnerCardHouseNpc		5213	718	116									3000					2	10	3														10					
Guest_S_6	3006	道一真人	0	0	PartnerCardHouseNpc		6116	636	999									3000					2	10	3														10					
Guest_S_7	3007	端木睿	0	0	PartnerCardHouseNpc		6122	656	999									3000					2	10	3														10					
Guest_S_8	3008	玄因	0	0	PartnerCardHouseNpc		6132	801	999									3000					2	10	3														10					
Guest_S_9	3009	尹含烟	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_S_10	3010	黑面郎君	0	0	PartnerCardHouseNpc		6167	662	328									3000					2	10	3														10					
Guest_S_11	3011	璇玑子	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_S_12	3012	何人我	0	0	PartnerCardHouseNpc		6170	663	999									3000					2	10	3														10					
Guest_S_13	3013	唐仇	0	0	PartnerCardHouseNpc		6175	664	999									3000					2	10	3														10					
Guest_S_14	3014	孟知秋	0	0	PartnerCardHouseNpc		5156	622	303									3000					2	10	3														10					
Guest_S_15	3015	高长恭	0	0	PartnerCardHouseNpc		5149	620	319									3000					2	10	3														10					
Guest_S_16	3016	哲别	0	0	PartnerCardHouseNpc		5015	603	320									3000					2	10	3														10					
Guest_S_17	3017	秦良玉	0	0	PartnerCardHouseNpc		6125	816	999									3000					2	10	3														10					
Guest_S_18	3018	袁承志	0	0	PartnerCardHouseNpc		5019	606	321									3000					2	10	3														10					
Guest_S_19	3019	鳌拜	0	0	PartnerCardHouseNpc		5025	609	322									3000					2	10	3														10					
Guest_S_20	3020	韩世忠	0	0	PartnerCardHouseNpc		5130	615	999									3000					2	10	3														10					
Guest_S_21	3021	赤睛虎皇	0	0	PartnerCardHouseNpc		5039	823	1000									3000					2	10	3														10					
Guest_S_22	3022	撼天熊皇	0	0	PartnerCardHouseNpc		5037	822	1000									3000					2	10	3														10					
Guest_S_23	3023	紫背鳄皇	0	0	PartnerCardHouseNpc		5041	824	1000									3000					2	10	3														10					
Guest_S_24	3024	定海金刚	0	0	PartnerCardHouseNpc		5040	810	1000									3000					2	10	3														10					
Guest_S_25	3025	金翅鹏皇	0	0	PartnerCardHouseNpc		5036	811	1000									3000					2	10	3														10					
Guest_S_26	3026	银角犀皇	0	0	PartnerCardHouseNpc		5038	812	1000									3000					2	10	3														10					
Guest_S_27	3027	张风	0	0	PartnerCardHouseNpc		6119	639	999									3000					2	10	3														10					
Guest_S_28	3028	南宫灭	0	0	PartnerCardHouseNpc		5129	614	999									3000					2	10	3														10					
Guest_S_29	3029	方勉	0	0	PartnerCardHouseNpc		6117	637	999									3000					2	10	3														10					
Guest_S_30	3030	唐影	0	0	PartnerCardHouseNpc		5119	611	301									3000					2	10	3														10					
Guest_S_31	3031	秋依水	0	0	PartnerCardHouseNpc		5158	711	121									3000					2	10	3														10					
Guest_S_32	3032	天星道长	0	0	PartnerCardHouseNpc		5013	601	999									3000					2	10	3														10					
Guest_S_33	3033	燕若雪	0	0	PartnerCardHouseNpc		6129	727	997									3000					2	10	3														10					
Guest_S_34	3034	杨熙烈	0	0	PartnerCardHouseNpc		6110	633	999									3000					2	10	3														10					
Guest_S_35	3035	上官飞龙	0	0	PartnerCardHouseNpc		5021	607	310									3000					2	10	3														10					
Guest_S_36	3036	纳兰潜凛	0	0	PartnerCardHouseNpc		5187	626	312									3000					2	10	3														10					
Guest_S_37	3037	冰鳞蜥皇	0	0	PartnerCardHouseNpc		5042	825	1000									3000					2	10	3														10					
Guest_S_38	3038	银钩蝎皇	0	0	PartnerCardHouseNpc		5043	826	1000									3000					2	10	3														10					
Guest_S_39	3039	狂鬃獒皇	0	0	PartnerCardHouseNpc		5044	827	1000									3000					2	10	3														10					
Guest_S_40	3040	黄真伊	0	0	PartnerCardHouseNpc		6214	721	121									3000					2	10	3														10					
Guest_S_41	3041	林更新	0	0	PartnerCardHouseNpc		6179	236	336									3000					2	10	3														10					
Guest_S_42	3042	颖宝宝	0	0	PartnerCardHouseNpc		6178	29	129									3000					2	10	3														10					
Guest_S_43	3810	李斯	0	0	PartnerCardHouseNpc		3759	730	999									3000					2	10	3														10					
Guest_S_44	3811	狄仁杰	0	0	PartnerCardHouseNpc		1221	731	999									3000					2	10	3														10					
Guest_A_1	3043	纳兰真	0	0	PartnerCardHouseNpc		5177	712	113									3000					2	10	3														10					
Guest_A_2	3044	少年杨影枫	0	0	PartnerCardHouseNpc		5198	629	304									3000					2	10	3														10					
Guest_A_3	3045	杨铁心	0	0	PartnerCardHouseNpc		5211	644	302									3000					2	10	3														10					
Guest_A_4	3046	柳潇庭	0	0	PartnerCardHouseNpc		5210	643	317									3000					2	10	3														10					
Guest_A_5	3047	无想	0	0	PartnerCardHouseNpc		5212	720	106									3000					2	10	3														10					
Guest_A_6	3048	李恬儿	0	0	PartnerCardHouseNpc		5209	719	108									3000					2	10	3														10					
Guest_A_7	3049	李天目	0	0	PartnerCardHouseNpc		6111	634	999									3000					2	10	3														0					
Guest_A_8	3050	完颜襄	0	0	PartnerCardHouseNpc		6131	658	999									3000					2	10	3														10					
Guest_A_9	3051	玄慈	0	0	PartnerCardHouseNpc		6169	801	999									3000					2	10	3														10					
Guest_A_10	3052	尹筱雨	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_A_11	3053	古嫣然	0	0	PartnerCardHouseNpc		6174	802	997									3000					2	10	3														10					
Guest_A_12	3054	宋秋石	0	0	PartnerCardHouseNpc		6165	801	999									3000					2	10	3														10					
Guest_A_13	3055	石轩辕	0	0	PartnerCardHouseNpc		6168	801	999									3000					2	10	3														10					
Guest_A_14	3056	唐晓	0	0	PartnerCardHouseNpc		6166	802	997									3000					2	10	3														10					
Guest_A_15	3057	双首异兽	0	0	PartnerCardHouseNpc		5034	809	1000									3000					2	10	3														10					
Guest_A_16	3058	奔焰豹王	0	0	PartnerCardHouseNpc		5030	807	1000									3000					2	10	3														10					
Guest_A_17	3059	九尾狐王	0	0	PartnerCardHouseNpc		5026	804	1000									3000					2	10	3														10					
Guest_A_18	3060	唐潇	0	0	PartnerCardHouseNpc		5023	650	997									3000					2	10	3														10					
Guest_A_19	3061	紫轩	0	0	PartnerCardHouseNpc		5131	708	120									3000					2	10	3														10					
Guest_A_20	3062	蔷薇	0	0	PartnerCardHouseNpc		5103	703	118									3000					2	10	3														10					
Guest_A_21	3063	卓非凡	0	0	PartnerCardHouseNpc		5194	628	318									3000					2	10	3														10					
Guest_A_22	3064	月明瑶	0	0	PartnerCardHouseNpc		5118	705	997									3000					2	10	3														10					
Guest_A_23	3065	南宫彩虹	0	0	PartnerCardHouseNpc		5126	706	997									3000					2	10	3														10					
Guest_A_24	3066	张如梦	0	0	PartnerCardHouseNpc		5193	627	314									3000					2	10	3														10					
Guest_A_25	3067	张琳心	0	0	PartnerCardHouseNpc		5200	715	997									3000					2	10	3														10					
Guest_A_26	3068	封玉书	0	0	PartnerCardHouseNpc		5182	645	324									3000					2	10	3														10					
Guest_A_27	3069	曲霞	0	0	PartnerCardHouseNpc		6106	817	112									3000					2	10	3														10					
Guest_A_28	3070	耶律辟离	0	0	PartnerCardHouseNpc		5122	612	327									3000					2	10	3														10					
Guest_A_29	3071	林海	0	0	PartnerCardHouseNpc		6120	640	314									3000					2	10	3														10					
Guest_A_30	3072	陆文龙	0	0	PartnerCardHouseNpc		5144	619	999									3000					2	10	3														10					
Guest_A_31	3073	赵无双	0	0	PartnerCardHouseNpc		5127	707	997									3000					2	10	3														10					
Guest_A_32	3074	无相	0	0	PartnerCardHouseNpc		6118	638	999									3000					2	10	3														10					
Guest_A_33	3075	赵节	0	0	PartnerCardHouseNpc		5153	621	999									3000					2	10	3														10					
Guest_A_34	3076	邵骑风	0	0	PartnerCardHouseNpc		5199	652	999									3000					2	10	3														10					
Guest_A_35	3077	何暮雪	0	0	PartnerCardHouseNpc		5215	851	997									3000					2	10	3														10					
Guest_A_36	3078	赵升权	0	0	PartnerCardHouseNpc		6109	632	999									3000					2	10	3														10					
Guest_A_37	3079	柴嵩	0	0	PartnerCardHouseNpc		5132	651	999									3000					2	10	3														10					
Guest_B_1	3080	小殷方	0	0	PartnerCardHouseNpc		5125	613	308									3000					2	10	3														10					
Guest_B_2	3081	苏墨芸	0	0	PartnerCardHouseNpc		5133	709	119									3000					2	10	3														10					
Guest_B_3	3082	萧动尘	0	0	PartnerCardHouseNpc		5014	602	329									3000					2	10	3														10					
Guest_B_4	3083	白眉猴王	0	0	PartnerCardHouseNpc		5035	808	1000									3000					2	10	3														10					
Guest_B_5	3084	大地狼王	0	0	PartnerCardHouseNpc		5029	806	1000									3000					2	10	3														10					
Guest_B_6	3085	寒玉鹿王	0	0	PartnerCardHouseNpc		5028	805	1000									3000					2	10	3														10					
Guest_B_7	3086	胡神医	0	0	PartnerCardHouseNpc		5022	608	323									3000					2	10	3														10					
Guest_B_8	3087	秦沐白	0	0	PartnerCardHouseNpc		5318	702	110									3000					2	10	3														10					
Guest_B_9	3088	张仲天	0	0	PartnerCardHouseNpc		5160	624	999									3000					2	10	3														10					
Guest_B_10	3089	路达	0	0	PartnerCardHouseNpc		5138	616	999									3000					2	10	3														10					
Guest_B_11	3090	李三	0	0	PartnerCardHouseNpc		5159	623	999									3000					2	10	3														10					
Guest_B_12	3091	卢青	0	0	PartnerCardHouseNpc		6121	641	999									3000					2	10	3														10					
Guest_B_13	3092	莺儿	0	0	PartnerCardHouseNpc		5196	714	997									3000					2	10	3														10					
Guest_B_14	3093	顾武	0	0	PartnerCardHouseNpc		5143	618	999									3000					2	10	3														10					
Guest_B_15	3094	B15	0	0	PartnerCardHouseNpc		5138	801	999									3000					2	10	3														10					
Guest_B_16	3095	B16	0	0	PartnerCardHouseNpc		5165	801	999									3000					2	10	3														10					
Guest_B_17	3096	B17	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_B_18	3097	B18	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_C_1	3098	金钱豹	0	0	PartnerCardHouseNpc		5111	803	1000									3000					2	10	3														10					
Guest_C_2	3099	黑翼猎鹰	0	0	PartnerCardHouseNpc		147	803	1000									3000					2	10	3														10					
Guest_C_3	3100	武林恶徒	0	0	PartnerCardHouseNpc		5123	801	999									3000					2	10	3														10					
Guest_C_4	3101	猛虎	0	0	PartnerCardHouseNpc		5114	803	1000									3000					2	10	3														10					
Guest_C_5	3102	枫林卫	0	0	PartnerCardHouseNpc		5106	801	999									3000					2	10	3														10					
Guest_C_6	3103	猿猴	0	0	PartnerCardHouseNpc		5117	803	1000									3000					2	10	3														10					
Guest_C_7	3104	铁面捕头	0	0	PartnerCardHouseNpc		5157	801	999									3000					2	10	3														10					
Guest_C_8	3105	红衣女童	0	0	PartnerCardHouseNpc		5104	802	997									3000					2	10	3														10					
Guest_C_9	3106	铸剑师	0	0	PartnerCardHouseNpc		5135	801	999									3000					2	10	3														10					
Guest_C_10	3107	猎人	0	0	PartnerCardHouseNpc		5159	801	999									3000					2	10	3														10					
Guest_C_11	3108	红缨侍	0	0	PartnerCardHouseNpc		5108	802	997									3000					2	10	3														10					
Guest_C_12	3109	强盗	0	0	PartnerCardHouseNpc		5136	801	999									3000					2	10	3														10					
Guest_C_13	3110	药王谷弟子	0	0	PartnerCardHouseNpc		5139	801	999									3000					2	10	3														10					
Guest_C_14	3111	灰狼	0	0	PartnerCardHouseNpc		5115	803	1000									3000					2	10	3														10					
Guest_C_15	3161	东瀛忍者	0	0	PartnerCardHouseNpc		5124	801	999									3000					2	10	3														10					
Guest_C_16	3112	生使	0	0	PartnerCardHouseNpc		5107	801	999									3000					2	10	3														10					
Guest_C_17	3113	死侍	0	0	PartnerCardHouseNpc		5155	801	999									3000					2	10	3														10					
Guest_C_18	3114	火狐	0	0	PartnerCardHouseNpc		5110	803	1000									3000					2	10	3														10					
Guest_C_19	3115	九幽弟子	0	0	PartnerCardHouseNpc		5174	801	999									3000					2	10	3														10					
Guest_C_20	3116	黑熊	0	0	PartnerCardHouseNpc		5116	803	1000									3000					2	10	3														10					
Guest_C_21	3117	无忧教弟子	0	0	PartnerCardHouseNpc		5134	801	999									3000					2	10	3														10					
Guest_C_22	3118	天工匠者	0	0	PartnerCardHouseNpc		5142	801	999									3000					2	10	3														10					
Guest_C_23	3119	傀儡士兵	0	0	PartnerCardHouseNpc		5151	803	1000									3000					2	10	3														10					
Guest_C_24	3120	机关人	0	0	PartnerCardHouseNpc		5154	803	1000									3000					2	10	3														10					
Guest_C_25	3121	C25	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_C_26	3122	C26	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_C_27	3123	C27	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_C_28	3124	C28	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_C_29	3125	C29	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_C_30	3126	C30	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_Laohu	3127	猛虎(废弃)	0	0	PartnerCardHouseNpc		5114	803	1000									3000					2	10	3														10					
Guest_Houzi	3128	猴子(废弃)	0	0	PartnerCardHouseNpc		5117	803	1000									3000					2	10	3														10					
Guest_Heixiong	3129	黑熊(废弃)	0	0	PartnerCardHouseNpc		5116	803	1000									3000					2	10	3														10					
Guest_TW_1	3130	天王大师兄(废弃)	0	0	PartnerCardHouseNpc		5207	801	999									3000					2	10	3														10					
Guest_XY_1	3131	逍遥大师兄(废弃)	0	0	PartnerCardHouseNpc		5210	801	999									3000					2	10	3														10					
Guest_EM_1	3132	峨嵋大师姐(废弃)	0	0	PartnerCardHouseNpc		5208	801	999									3000					2	10	3														10					
Guest_TH_1	3133	桃花大师姐(废弃)	0	0	PartnerCardHouseNpc		5209	801	999									3000					2	10	3														10					
Guest_TW_2	3134	天王十侠(废弃)	0	0	PartnerCardHouseNpc		5211	801	999									3000					2	10	3														10					
Guest_XY_2	3135	逍遥十侠(废弃)	0	0	PartnerCardHouseNpc		5214	801	999									3000					2	10	3														10					
Guest_EM_2	3136	峨嵋十侠(废弃)	0	0	PartnerCardHouseNpc		5212	801	999									3000					2	10	3														10					
Guest_TH_2	3137	桃花十侠(废弃)	0	0	PartnerCardHouseNpc		5213	801	999									3000					2	10	3														10					
Guest_Header_1_1	3138	玩家男头像半身像-1	0	0	PartnerCardHouseNpc		5101	202	302									3000					2	10	3														10					
Guest_Header_1_2	3139	玩家男头像半身像-2	0	0	PartnerCardHouseNpc		5101	204	304									3000					2	10	3														10					
Guest_Header_1_3	3140	玩家男头像半身像-3	0	0	PartnerCardHouseNpc		5101	205	305									3000					2	10	3														10					
Guest_Header_1_4	3141	玩家男头像半身像-4	0	0	PartnerCardHouseNpc		5101	207	307									3000					2	10	3														10					
Guest_Header_2_1	3142	玩家男头像半身像-5	0	0	PartnerCardHouseNpc		5101	215	315									3000					2	10	3														10					
Guest_Header_2_2	3143	玩家男头像半身像-6	0	0	PartnerCardHouseNpc		5101	801	999									3000					2	10	3														10					
Guest_Header_2_3	3144	玩家男头像半身像-7	0	0	PartnerCardHouseNpc		5101	801	999									3000					2	10	3														10					
Guest_Header_2_4	3145	玩家男头像半身像-8	0	0	PartnerCardHouseNpc		5101	801	999									3000					2	10	3														10					
Guest_Boss_1_1	3146	玩家女头像半身像-1	0	0	PartnerCardHouseNpc		5101	1	101									3000					2	10	3														10					
Guest_Boss_1_2	3147	玩家女头像半身像-2	0	0	PartnerCardHouseNpc		5101	2	102									3000					2	10	3														10					
Guest_Boss_1_3	3148	玩家女头像半身像-3	0	0	PartnerCardHouseNpc		5101	3	103									3000					2	10	3														10					
Guest_Boss_1_4	3149	玩家女头像半身像-4	0	0	PartnerCardHouseNpc		5101	4	104									3000					2	10	3														10					
Guest_Boss_2_1	3150	玩家女头像半身像-5	0	0	PartnerCardHouseNpc		5101	7	107									3000					2	10	3														10					
Guest_Boss_2_2	3151	玩家女头像半身像-6	0	0	PartnerCardHouseNpc		5101	9	109									3000					2	10	3														10					
Guest_Boss_2_3	3152	玩家女头像半身像-7	0	0	PartnerCardHouseNpc		5101	12	112									3000					2	10	3														10					
Guest_Boss_2_4	3153	玩家女头像半身像-8	0	0	PartnerCardHouseNpc		5101	15	115									3000					2	10	3														10					
Guest_Jiantong	3154	玩家女头像半身像-9	0	0	PartnerCardHouseNpc		5125	801	999									3000					2	10	3														10					
Guest_Youli_1	3194	采魂蜂	0	1	FubenDeath		1182	200	300		403	1689	1	105	1			1500	1500	Setting/Npc/Ai/CommonActive2.ini			1	15	1									3										
Guest_Youli_Boss	3195	驱蜂人	0	1	FubenDeath		24	200	994		404	194	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive2.ini			1	20	2									4										
Guest_xiangyu_ji	3360	封印之戟	2	1	PartnerCardComposeNpc		3360	200	994		404							1500	1500	Setting/Npc/Ai/CommonActive2.ini			1	20	2									4										
Guest_guiguzi_zhang	3361	封印之杖	2	1	PartnerCardComposeNpc		3361	200	994		404							1500	1500	Setting/Npc/Ai/CommonActive2.ini			1	20	2									4										
Guest_qinshihuang_jian	3362	封印之剑	2	1	PartnerCardComposeNpc		3362	200	994		404							1500	1500	Setting/Npc/Ai/CommonActive2.ini			1	20	2									4										
Guest_wanyanhonglie_ying	3363	封印之鹰	2	1	PartnerCardComposeNpc		3363	200	994		404							1500	1500	Setting/Npc/Ai/CommonActive2.ini			1	20	2									4										
Guest_wuzetian_yumao	3364	封印之羽	2	1	PartnerCardComposeNpc		3364	200	994		404							1500	1500	Setting/Npc/Ai/CommonActive2.ini			1	20	2									4										
