FaceId	Atlas	Sprite	Desc
40	UI/Atlas/Head/Partner/Partner_Female_03.prefab	FemaleHead30	越土之魂成女
41	UI/Atlas/Head/Partner/Partner_Female_03.prefab	FemaleHead31	2019元宵头像-女
42	UI/Atlas/Head/Partner/Partner_Female_03.prefab	FemaleHead32	2019情人节-女
43	UI/Atlas/Head/Partner/Partner_Female_03.prefab	HunShaHead2	婚礼-女
44	UI/Atlas/Head/Partner/Partner_Female_03.prefab	JunZhuangHead2	军装-女
45	UI/Atlas/Head/Partner/Partner_Female_03.prefab	YanZiHead2	燕子-女
101	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust01	-
102	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust02	-
103	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust03	-
104	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust04	赵无双
105	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust05	公孙惜花
106	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust06	无想
107	UI/Atlas/NPC/Female_01/Female_01.prefab	FemaleBust07	-
108	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust08	李恬儿
109	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust09	-
110	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust10	秦沐白
111	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust11	家园管理员
112	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust12	曲霞
113	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust13	纳兰真
114	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust14	峨嵋大师姐
115	UI/Atlas/NPC/Female_02/Female_02.prefab	FemaleBust15	-
116	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust16	黄暮云
117	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust17	杨瑛
118	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust18	蔷薇
119	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust19	苏墨芸
120	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust20	紫轩
121	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust21	秋依水
122	UI/Atlas/NPC/Female_03/Female_03.prefab	FemaleBust22	月眉儿
123	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust23	新峨嵋
124	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust24	新翠烟
125	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust25	新昆仑
126	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust26	新桃花
127	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust27	新天忍
128	UI/Atlas/NPC/Female_04/Female_04.prefab	FemaleBust28	颖宝宝
129	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust30	颖宝宝-天山
130	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust29	公测活动-女
131	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust31	元宵节活动-女
132	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust32	妇女节头像-女
133	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust33	好声音娓娓动听
134	UI/Atlas/NPC/Female_05/Female_05.prefab	FemaleBust34	好声音本服十强
135	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust35	好声音复赛前三
136	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust36	好声音全服十强
137	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust37	好声音全服冠军
138	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust38	越土之魂萝莉
139	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust39	越土之魂成女
140	UI/Atlas/NPC/Female_06/Female_06.prefab	FemaleBust40	2019元宵头像-女
141	UI/Atlas/NPC/Female_07/Female_07.prefab	FemaleBust41	2019情人节-女
200	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001	通用-男
201	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_019	唐影
202	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_005	杨铁心
203	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_056	孟知秋
204	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_001	少年独孤剑
205	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_040	捕头
206	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_046	商会老板
207	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss017	南宫飞云
208	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_025	小殷方
209	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_113	赵云
210	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss011	上官飞龙
211	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss002	九尾狐
212	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_087	纳兰潜凛
213	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_007	官员
214	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_093	张如梦
215	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss003	天星道长
216	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_003	祝子虚
217	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_004	柳潇庭
218	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_094	卓非凡
219	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_049	高长恭
220	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss005	哲别
221	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss009	袁承志
222	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss015	鳌拜
223	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss012	胡神医
224	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_006	封玉书
225	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_101	杨影枫
226	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss006	玄天道人
227	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_022	耶律辟离
228	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_044	陆文龙
229	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss004	萧动尘
230	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead30	新少林
231	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead31	新唐门
232	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead32	新天王
233	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead33	新武当
234	UI/Atlas/Head/Partner/Partner_Male_03.prefab	MaleHead34	新逍遥
235	UI/Atlas/Head/Partner/Partner_Male_04.prefab	MaleHead35	林更新
236	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_209	林更新-天山
237	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_208	公测头像-男
238	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_212	林更新明星头像
239	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_1	元宵节头像-男
240	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_2	万金财-新版
241	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_3	好声音复赛前三
242	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_4	天星道长-新版
243	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_5	胡神医-新版
244	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_6	好声音本服十强
245	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_7	好声音余音袅袅
246	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_8	好声音全服十强
247	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_Act_Male_9	好声音全服冠军
248	UI/Atlas/Head/Partner/Partner_Male_04.prefab	MaleHead36	越土之魂壮男
249	UI/Atlas/Head/Partner/Partner_Male_04.prefab	MaleHead37	越土之魂标男
250	UI/Atlas/Head/Partner/Partner_Male_04.prefab	MaleHead38	2019元宵头像-男
251	UI/Atlas/Head/Partner/Partner_Male_05.prefab	MaleHead39	2019情人节-男
252	UI/Atlas/Head/Partner/Partner_Male_05.prefab	MaleHead41	水龙吟头像-男
253	UI/Atlas/Head/Partner/Partner_Female_03.prefab	FemaleHead33	水龙吟头像-女
254	UI/Atlas/Head/Partner/Partner_Male_05.prefab	HunShaHead1	婚礼-男
255	UI/Atlas/Head/Partner/Partner_Male_05.prefab	JunZhuangHead1	军装-男
256	UI/Atlas/Head/Partner/Partner_Male_05.prefab	YanZiHead1	燕子-男
257	UI/Atlas/Head/Partner/Partner_Male_05.prefab	UtcungHead	越南宠物活动
258	UI/Atlas/Head/Partner/Partner_Male_05.prefab	TeXiaoHead1	特效-男
259	UI/Atlas/Head/Partner/Partner_Female_03.prefab	TeXiaoHead2	特效-女
301	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust01	唐影
302	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust02	杨铁心
303	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust03	孟知秋
304	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust04	少年独孤剑
305	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust05	-
306	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust06	商会老板
307	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust07	南宫飞云
308	UI/Atlas/NPC/Male_01/Male_01.prefab	MaleBust08	剑童
309	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust09	赵云
310	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust10	上官飞龙
311	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust11	叶无心
312	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust12	纳兰潜凛
313	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust13	刘云将军
314	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust14	张如梦
315	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust15	天星道长
316	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust16	祝子虚
317	UI/Atlas/NPC/Male_02/Male_02.prefab	MaleBust17	柳潇庭
318	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust18	卓非凡
319	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust19	高长恭
320	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust20	哲别
321	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust21	袁承志
322	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust22	鳌拜
323	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust23	胡神医
324	UI/Atlas/NPC/Male_03/Male_03.prefab	MaleBust24	封玉书
325	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust25	杨影枫
326	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust26	玄天道人
327	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust27	耶律辟离
328	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust28	陆文龙
329	UI/Atlas/NPC/Male_04/Male_04.prefab	MaleBust29	萧动尘
330	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust30	新少林
331	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust31	新唐门
332	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust32	新天王
333	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust33	新武当
334	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust34	新逍遥
335	UI/Atlas/NPC/Male_05/Male_05.prefab	MaleBust35	林更新
336	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust37	林更新-天山
337	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust36	公测半身像-男
338	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust38	元宵节活动-男
339	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust39	万金财-新版
340	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust40	好声音复赛前三
341	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust41	天星道长-新版
342	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust42	胡神医-新版
343	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust43	好声音本服十强
344	UI/Atlas/NPC/Male_06/Male_06.prefab	MaleBust44	好声音余音袅袅
345	UI/Atlas/NPC/Male_07/Male_07.prefab	MaleBust45	好声音全服十强
346	UI/Atlas/NPC/Male_07/Male_07.prefab	MaleBust46	好声音全服冠军
347	UI/Atlas/NPC/Male_07/Male_07.prefab	MaleBust47	越土之魂壮男
348	UI/Atlas/NPC/Male_07/Male_07.prefab	MaleBust48	越土之魂标男
349	UI/Atlas/NPC/Male_07/Male_07.prefab	MaleBust49	2019元宵头像-男
350	UI/Atlas/NPC/Male_08/Male_08.prefab	MaleBust50	2019情人节-男
351	UI/Atlas/NPC/Male_08/Male_08.prefab	Bust_Utcung	越南宠物活动
601	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss003	天星道长
602	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss004	萧动尘
603	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss005	哲别
604	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss006	玄天道人
605	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss007	黑面郎君
606	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss009	袁承志
607	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss011	上官飞龙
608	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss012	胡神医
609	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss015	鳌拜
610	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss017	南宫飞云
611	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_019	唐影
612	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_022	耶律辟离
613	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_025	小殷方
614	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_029	南宫灭
615	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_030	韩世忠
616	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_038	路达
617	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_040	??
618	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_043	顾武
619	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_044	陆文龙
620	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_049	高长恭
621	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_053	赵节
622	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_056	孟知秋
623	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_059	李三
624	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_060	张仲天
625	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_086	岳飞（旧）
626	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_087	纳兰潜凛
627	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_093	张如梦
628	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_094	卓非凡
629	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_098	少年杨影枫
630	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_101	杨影枫
631	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_107	李元霸
632	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_109	赵升权
633	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_110	杨熙烈
634	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_111	李天目
635	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_113	赵云
636	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_116	道一真人
637	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_117	方勉
638	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_118	无相
639	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_119	张风
640	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_120	林海
641	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_121	卢青
642	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_003	祝子虚
643	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_004	柳潇庭
644	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_005	杨铁心
645	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_006	封玉书
646	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss001	心魔
647	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss002	九尾狐
648	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_007	官员
649	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_046	商会老板
650	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_boss013	唐潇
651	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_032	柴嵩
652	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_099	邵骑风
653	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss021	完颜洪烈
654	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss022	独孤剑
655	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_108	荆轲
656	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_122	端木睿
657	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_130	岳飞
658	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_131	完颜襄
659	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_135	李广
660	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_136	秦始皇
661	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_190	唐简
662	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_167	黑面郎君
663	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_170	何人我
664	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_175	唐仇
665	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_173	项羽
666	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_213	鬼谷子
701	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_135	占位
702	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_boss111	秦沐白
703	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_003	蔷薇
704	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_005	？？
705	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_018	月明瑶
706	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_026	南宫彩虹
707	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_027	赵无双
708	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_031	紫轩
709	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_033	苏墨芸
710	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_041	杨瑛
711	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_058	秋依水
712	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_077	纳兰真
713	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_085	清晓师太
714	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_096	莺儿
715	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_100	张琳心
716	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_102	月眉儿
717	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_112	虞姬
718	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_001	黄暮云
719	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_002	李恬儿
720	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	无想
721	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_npc_214	黄真伊
722	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_npc_205	武则天
723	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	占位
724	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	占位
725	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	占位
726	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_125	秦良玉
727	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_129	燕若雪
728	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_106	-
729	UI/Atlas/Head/Partner/Partner_Male_05.prefab	MaleHead40	张三丰
730	UI/Atlas/Head/Partner/Partner_Male_05.prefab	MaleHead43	李斯
731	UI/Atlas/Head/Partner/Partner_Male_05.prefab	MaleHead42	狄仁杰
732	UI/Atlas/Head/Partner/Partner_Others_02.prefab 	Head_npc_267	达摩
801	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001	通用-男
802	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002	通用-女
803	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_003	通用-兽
804	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss016	狐王
805	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss018	鹿王
806	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss019	狼王
807	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss020	豹王
808	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss025	白眉猴王
809	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss024	双首异兽
810	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss030	定海金刚
811	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss026	金翅鹏皇
812	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss028	银角犀皇
813	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_064	丝巾妹子
814	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_076	紫衣妹子
815	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_092	蓝色桃花
816	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_pet_008	峨嵋大师姐
817	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_002	曲霞
818	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_001	旧杨影枫
819	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_002	白发杨瑛
820	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_003	家族管理员
821	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_005b	白衣女子
822	UI/Atlas/Head/Partner/Partner_Others_02.prefab	Head_boss027	熊王
823	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss029	虎皇
824	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss031	鳄皇
825	UI/Atlas/Head/Partner/Partner_Others_02.prefab	Head_boss032	蜥王
826	UI/Atlas/Head/Partner/Partner_Others_02.prefab	Head_boss033	蝎王
827	UI/Atlas/Head/Partner/Partner_Others_02.prefab	Head_boss034	獒王
851	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_005a	何暮雪
