Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	FixExperience	IsNotBYStealLife	IsNotShowShadow	Sex	SyncFirst
Kin_Resouce_3	1198	金军后勤·水	0	1	FubenDeath		136	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini			1	18	1																			
Kin_Resouce_4	1199	金军后勤·盐	0	1	FubenDeath		142	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini			1	18	1																			
Kin_Resouce_5	1200	金军后勤·军饷	0	1	FubenDeath		146	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini			1	18	1																			
Kin_Train	1201	物资车	2	1	KinTrainCar		438	995	326		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1						NoTurn													
Kin_Box	1258	宝箱	2	1	KinTrainBox	5|60	352	995	326		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1						NoTurn													
Kin_Stone	1203	岩石	0	1	FubenDeath		335	200	300	30	921	22	1	91	1								1	18	1																			
Kin_Enemy_1_2	1290	金军斥候	0	1	FubenDeath		1127	200	300		811	22	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1										1									
Kin_Enemy_2_2	1291	机关战车	0	1	FubenDeath		154	200	300		813	1874	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										3									
Kin_Enemy_3_2	1292	铜锤蛮士	0	1	FubenDeath		1107	200	300		813			91	1			1500	1500	Setting/Npc/Ai/kinfuben/tongchuimanshi.ini			1	18	2										3									
Kin_Enemy_4_2	1293	反弹卫士	0	1	FubenDeath		180	200	300		813	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2			1687	1						3									
Kin_Enemy_5_2	1294	蒙面刺客	0	1	FubenDeath		121	200	300		813	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2			1685	1						3									
Kin_Enemy_6_2	1295	金军斥候·精英	0	1	FubenDeath		1127	200	300		813	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										3									
Kin_Enemy_7_2	1296	火炮	0	1	FubenDeath		378	200	300		813	22	1	91	1			1500	1500	Setting/Npc/Ai/kinfuben/huopao.ini			1	18	2										3									
Kin_Enemy_1_3	1297	金军斥候	0	1	FubenDeath		1127	200	300		811	22	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1										1									
Kin_Enemy_2_3	1298	机关战车	0	1	FubenDeath		154	200	300		814	1874	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										3									
Kin_Enemy_3_3	1299	铜锤蛮士	0	1	FubenDeath		1107	200	300		814			91	1			1500	1500	Setting/Npc/Ai/kinfuben/tongchuimanshi.ini			1	18	2										3									
Kin_Enemy_4_3	1300	反弹卫士	0	1	FubenDeath		180	200	300		814	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2			1687	1						3									
Kin_Enemy_5_3	1301	蒙面刺客	0	1	FubenDeath		121	200	300		814	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2			1685	1						3									
Kin_Enemy_6_3	1302	金军斥候·精英	0	1	FubenDeath		1127	200	300		814	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										3									
Kin_Enemy_7_3	1303	火炮	0	1	FubenDeath		378	200	300		814	22	1	91	1			1500	1500	Setting/Npc/Ai/kinfuben/huopao.ini			1	18	2										3									
KinCaptain_1	2753	徒单大雄	0	1	FubenDeath		20400	200	994		816	166	1	91	1			1500	1500	Setting/Npc/Ai/fuben/KinFubenCaptaion.ini			1	20	2		550																	
KinCaptain_2	2754	徒单二雄	0	1	FubenDeath		20400	200	994		816	166	1	91	1			1500	1500	Setting/Npc/Ai/fuben/KinFubenCaptaion.ini			1	20	2		550																	
KinCaptain_3	2755	徒单三雄	0	1	FubenDeath		20400	200	994		816	166	1	91	1			1500	1500	Setting/Npc/Ai/fuben/KinFubenCaptaion.ini			1	20	2		550																	
KinCaptain_1_2	2756	徒单大雄	0	1	FubenDeath		20400	200	994		817	166	1	91	1			1500	1500	Setting/Npc/Ai/fuben/KinFubenCaptaion.ini			1	20	2		550																	
KinCaptain_2_2	2757	徒单二雄	0	1	FubenDeath		20400	200	994		817	166	1	91	1			1500	1500	Setting/Npc/Ai/fuben/KinFubenCaptaion.ini			1	20	2		550																	
KinCaptain_3_2	2758	徒单三雄	0	1	FubenDeath		20400	200	994		817	166	1	91	1			1500	1500	Setting/Npc/Ai/fuben/KinFubenCaptaion.ini			1	20	2		550																	
KinCaptain_1_3	2759	徒单大雄	0	1	FubenDeath		20400	200	994		818	166	1	91	1			1500	1500	Setting/Npc/Ai/fuben/KinFubenCaptaion.ini			1	20	2		550																	
KinCaptain_2_3	2760	徒单二雄	0	1	FubenDeath		20400	200	994		818	166	1	91	1			1500	1500	Setting/Npc/Ai/fuben/KinFubenCaptaion.ini			1	20	2		550																	
KinCaptain_3_3	2761	徒单三雄	0	1	FubenDeath		20400	200	994		818	166	1	91	1			1500	1500	Setting/Npc/Ai/fuben/KinFubenCaptaion.ini			1	20	2		550																	
Kin_longzhu_sun	2762	日耀龙柱	0	0	FubenDeath		499	200	994		1008	91	1	105	1			1500	1500	Setting/Npc/Ai/Stay.ini			1	20	2	1															1	1		
Kin_longzhu_moon	2763	月华龙柱	0	0	FubenDeath		498	200	994		1009	91	1	105	1			1500	1500	Setting/Npc/Ai/Stay.ini			1	20	2	1															1	1		
Kin_longzhu_star	2764	星辉龙柱	0	0	FubenDeath		498	200	994		1009	91	1	105	1			1500	1500	Setting/Npc/Ai/Stay.ini			1	20	2	1															1	1		
Kin_shibing_dh	2765	宋军指挥官	2	0			477	200	300									1500	1500	Setting/Npc/Ai/CommonActive.ini				20	3		552						金军三雄击破一路后，需[FFFE0D]10秒[-]内击破另外两路，切记切记……            [FF6464FF]提示：打开地图可查看相应信息[-]		2									
Kin_gate	2772	城门	0	0	FubenDeath		504	200	994		1001	91	1	105	1			1500	1500	Setting/Npc/Ai/Stay.ini			0	20	3	1															1	1		
Kin_Flag_2	2773	金军据点	6	0			412	200	300		135	22	1	91	1			1500	1500					18	3						NoTurn													
Kin_Resouce_n1	2774	金军后勤·粮	0	1	FubenDeath		171	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini			1	18	1																			
Kin_Resouce_n2	2775	金军后勤·草	0	1	FubenDeath		181	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini			1	18	1																			
Kin_Resouce_n3	2776	金军后勤·水	0	1	FubenDeath		136	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini			1	18	1																			
Kin_Resouce_n4	2777	金军后勤·盐	0	1	FubenDeath		142	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini			1	18	1																			
Kin_Train2	2778	军资车	0	0	FubenDeath		438	995	326		1008	21	1										0	15	1	1					NoTurn													
Kin_shibing_dh2	2779	军资官	2	0	KinTrainCar		477	995	326		1	21	1										0	15	3						NoTurn													
Kin_Enemy_n1	2780	金军士兵	0	1	FubenDeath		1127	200	300		811	22	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1										1									
Kin_Enemy_n1_2	2781	金军士兵	0	1	FubenDeath		1127	200	300		811	22	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1										1									
Kin_Enemy_n1_3	2782	金军士兵	0	1	FubenDeath		1127	200	300		811	22	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1										1									
Kin_Boss_n1	2783	完颜洪烈	0	1	FubenDeath		20401	200	993		815	3137	1	91	1			1000	1500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2		551																	
Kin_Boss_n2	2784	完颜洪烈	0	1	FubenDeath		20401	200	993		815	3137	1	91	1			1000	1500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2		551																	
Kin_Boss_n3	2785	完颜洪烈	0	1	FubenDeath		20401	200	993		815	3137	1	91	1			1000	1500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2		551																	
Kin_Boss_n4	2786	完颜洪烈	0	1	FubenDeath		20401	200	993		815	3137	1	91	1			1000	1500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2		551																	
mijing_boss_1	2928	南宫飞云	0	1	FubenDeath		27	200	993		819	21	1	91	1			1000	1500	Setting/Npc/Ai/kinfuben/nangongfeiyun.ini			1	20	2																1			
mijing_boss_2	2929	杨影枫	0	1	KinSecretNpc2		536	200	993		820	21	1	91	1			1000	1500	Setting/Npc/Ai/kinfuben/yangyingfeng.ini			1	20	2																1			
mijing_boss_3a	2930	独孤剑	0	1	KinSecretNpc3A		32	200	993		821	21	1	91	1			1000	1500	Setting/Npc/Ai/kinfuben/dugujian.ini			1	20	2		5105														1			
mijing_boss_3b	2931	张琳心	0	1	KinSecretNpc3B		461	200	993		822	41	1	91	1			1000	1500	Setting/Npc/Ai/kinfuben/zhanglinxin.ini			1	20	2		5106														1			
mijing_fazhen_jin	2919	金系法阵	6	0			692	200	300																						NoTurn													
mijing_fazhen_mu	2920	木系法阵	6	0			693	200	300																						NoTurn													
mijing_fazhen_shui	2921	水系法阵	6	0			694	200	300																						NoTurn													
mijing_fazhen_huo	2922	火系法阵	6	0			695	200	300																						NoTurn													
mijing_fazhen_tu	2923	土系法阵	6	0			696	200	300																						NoTurn													
mijing_xianjing	2932	秒杀陷阱	6	1	FubenDeath		456	200	300		323	2468	30										1								NoTurn											1		
mijing_rewardbox	2933	巨大宝箱	2	0	FubenDialog	4,开启中…	574	200	300																						NoTurn													
Defend_Boss	3332	完颜宗翰	0	1	FubenDeath		20400	200	300		824	22	1	91	1			1500	1500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																			
Defend_fenshen_jin	3333	完颜宗翰·金	0	1	FubenDeath		20400	200	300		825	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_mu	3334	完颜宗翰·木	0	1	FubenDeath		20400	200	300		825	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_shui	3335	完颜宗翰·水	0	1	FubenDeath		20400	200	300		825	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_huo	3336	完颜宗翰·火	0	1	FubenDeath		20400	200	300		825	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_tu	3337	完颜宗翰·土	0	1	FubenDeath		20400	200	300		825	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_linghunqiu_jin	3338	灵魂球·金	0	0	FubenDeath		487	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	3																			
Defend_linghunqiu_mu	3339	灵魂球·木	0	0	FubenDeath		489	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	3																			
Defend_linghunqiu_shui	3340	灵魂球·水	0	0	FubenDeath		485	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	3																			
Defend_linghunqiu_huo	3341	灵魂球·火	0	0	FubenDeath		486	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	3																			
Defend_linghunqiu_tu	3342	灵魂球·土	0	0	FubenDeath		488	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	3																			
Defend_wushi_jin	3343	巫师·金	0	1	FubenDeath		121	200	300		826	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_mu	3344	巫师·木	0	1	FubenDeath		121	200	300		826	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_shui	3345	巫师·水	0	1	FubenDeath		121	200	300		826	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_huo	3346	巫师·火	0	1	FubenDeath		121	200	300		826	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_tu	3347	巫师·土	0	1	FubenDeath		121	200	300		826	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_yao_jin	3348	仙芝·金	2	1	KinDefendPickNpc	20,采集中…	962	992	300	900								1500	1500	Setting/Npc/Ai/CommonActive.ini											NoTurn													
Defend_yao_mu	3349	仙芝·木	2	1	KinDefendPickNpc	20,采集中…	962	992	300	900								1500	1500	Setting/Npc/Ai/CommonActive.ini											NoTurn													
Defend_yao_shui	3350	仙芝·水	2	1	KinDefendPickNpc	20,采集中…	962	992	300	900								1500	1500	Setting/Npc/Ai/CommonActive.ini											NoTurn													
Defend_yao_huo	3351	仙芝·火	2	1	KinDefendPickNpc	20,采集中…	962	992	300	900								1500	1500	Setting/Npc/Ai/CommonActive.ini											NoTurn													
Defend_yao_tu	3352	仙芝·土	2	1	KinDefendPickNpc	20,采集中…	962	992	300	900								1500	1500	Setting/Npc/Ai/CommonActive.ini											NoTurn													
Defend_sishi_jin	3353	携宝斥候·金	0	1	FubenDeath		1127	200	300	1800	827	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_mu	3354	携宝斥候·木	0	1	FubenDeath		1127	200	300	1800	827	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_shui	3355	携宝斥候·水	0	1	FubenDeath		1127	200	300	1800	827	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_huo	3356	携宝斥候·火	0	1	FubenDeath		1127	200	300	1800	827	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_tu	3357	携宝斥候·土	0	1	FubenDeath		1127	200	300	1800	827	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_qibing	3358	骑兵精锐	0	1	FubenDeath		181	200	300		823	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_bubing	3359	步兵精锐	0	1	FubenDeath		431	200	300		823	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_shibei	3377	石碑	2	0	KinDefendSteleNpc		415	200	300																						NoTurn													
Defend_Boss2	3378	完颜宗翰	0	1	FubenDeath		20400	200	300		829	22	1	91	1			1500	1500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																			
Defend_fenshen_jin2	3379	完颜宗翰·金	0	1	FubenDeath		20400	200	300		830	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_mu2	3380	完颜宗翰·木	0	1	FubenDeath		20400	200	300		830	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_shui2	3381	完颜宗翰·水	0	1	FubenDeath		20400	200	300		830	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_huo2	3382	完颜宗翰·火	0	1	FubenDeath		20400	200	300		830	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_tu2	3383	完颜宗翰·土	0	1	FubenDeath		20400	200	300		830	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_wushi_jin2	3384	巫师·金	0	1	FubenDeath		121	200	300		831	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_mu2	3385	巫师·木	0	1	FubenDeath		121	200	300		831	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_shui2	3386	巫师·水	0	1	FubenDeath		121	200	300		831	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_huo2	3387	巫师·火	0	1	FubenDeath		121	200	300		831	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_tu2	3388	巫师·土	0	1	FubenDeath		121	200	300		831	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_sishi_jin2	3389	携宝斥候·金	0	1	FubenDeath		1127	200	300	1800	832	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_mu2	3390	携宝斥候·木	0	1	FubenDeath		1127	200	300	1800	832	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_shui2	3391	携宝斥候·水	0	1	FubenDeath		1127	200	300	1800	832	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_huo2	3392	携宝斥候·火	0	1	FubenDeath		1127	200	300	1800	832	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_tu2	3393	携宝斥候·土	0	1	FubenDeath		1127	200	300	1800	832	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_qibing2	3394	骑兵精锐	0	1	FubenDeath		181	200	300		828	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_bubing2	3395	步兵精锐	0	1	FubenDeath		431	200	300		828	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_Boss3	3396	完颜宗翰	0	1	FubenDeath		20400	200	300		834	22	1	91	1			1500	1500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																			
Defend_fenshen_jin3	3397	完颜宗翰·金	0	1	FubenDeath		20400	200	300		835	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_mu3	3398	完颜宗翰·木	0	1	FubenDeath		20400	200	300		835	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_shui3	3399	完颜宗翰·水	0	1	FubenDeath		20400	200	300		835	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_huo3	3400	完颜宗翰·火	0	1	FubenDeath		20400	200	300		835	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_fenshen_tu3	3401	完颜宗翰·土	0	1	FubenDeath		20400	200	300		835	22	1	91	1			500	500	Setting/Npc/Ai/random/pilihuo.ini			1	20	2																1			
Defend_wushi_jin3	3402	巫师·金	0	1	FubenDeath		121	200	300		836	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_mu3	3403	巫师·木	0	1	FubenDeath		121	200	300		836	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_shui3	3404	巫师·水	0	1	FubenDeath		121	200	300		836	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_huo3	3405	巫师·火	0	1	FubenDeath		121	200	300		836	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_wushi_tu3	3406	巫师·土	0	1	FubenDeath		121	200	300		836	22	1	3735	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	5	1																			
Defend_sishi_jin3	3407	携宝斥候·金	0	1	FubenDeath		1127	200	300	1800	837	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_mu3	3408	携宝斥候·木	0	1	FubenDeath		1127	200	300	1800	837	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_shui3	3409	携宝斥候·水	0	1	FubenDeath		1127	200	300	1800	837	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_huo3	3410	携宝斥候·火	0	1	FubenDeath		1127	200	300	1800	837	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_sishi_tu3	3411	携宝斥候·土	0	1	FubenDeath		1127	200	300	1800	837	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_qibing3	3412	骑兵精锐	0	1	FubenDeath		181	200	300		833	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_bubing3	3413	步兵精锐	0	1	FubenDeath		431	200	300		833	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1																			
Defend_Boss_zhanshi	3414	完颜宗翰	0	1	FubenDeath		180	200	300		824	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2																			
Defend_jineng	3415	放技能	6	1	FubenDeath		469	200	300		343							1000	1000	Setting/Npc/Ai/CommonActive.ini			1	14	1																1			
