Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	AuraSkillId	AuraSkillLevel	StartActEvent	TitleID	BigFaceID	DefaultDialog	DropType	Tag	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst
MOBA_Soldier_1	2431	宋军士兵	0	0	BattleNpc		150			140	3755	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_2	2432	宋军劲弩车	0	0	BattleNpc		946			140	3756	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_3	2433	金军士兵	0	0	BattleNpc		1127			140	3755	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_4	2434	金军劲弩车	0	0	BattleNpc		946			140	3756	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_B1	2478	宋军士兵	0	0	BattleNpc		150			141	3755	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_B2	2479	宋军劲弩车	0	0	BattleNpc		946			141	3756	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_B3	2480	金军士兵	0	0	BattleNpc		1127			141	3755	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_B4	2481	金军劲弩车	0	0	BattleNpc		946			141	3756	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_C1	2482	宋军士兵	0	0	BattleNpc		150			142	3755	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_C2	2483	宋军劲弩车	0	0	BattleNpc		946			142	3756	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_C3	2484	金军士兵	0	0	BattleNpc		1127			142	3755	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Soldier_C4	2485	金军劲弩车	0	0	BattleNpc		946			142	3756	1	91	1			800	800	Setting/Npc/Ai/battle/MobaSoldier.ini			1	15	1	0																	1	
MOBA_Wild_1	2435	灰狼	0	0	BattleNpc		115			149	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1																		1	
MOBA_Wild_2	2436	蛮熊	0	0	BattleNpc		116			149	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1																		1	
MOBA_Wild_B1	2501	灰狼	0	0	BattleNpc		115			150	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1																		1	
MOBA_Wild_B2	2502	蛮熊	0	0	BattleNpc		116			150	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1																		1	
MOBA_Wild_C1	2503	灰狼	0	0	BattleNpc		115			151	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1																		1	
MOBA_Wild_C2	2504	蛮熊	0	0	BattleNpc		116			151	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1																		1	
MOBA_paota_1	2439	宋军守卫塔	5	0			949			131							800	800	Setting/Npc/Ai/Stay.ini			1	15	3	1								NoTurn									1	
MOBA_paotakou_1	2440	宋军守卫塔	0	0	BattleNpc		950			143	3751	6	91	1			800	800	Setting/Npc/Ai/battle/MobaTower.ini			1	15	2	1																	1	
MOBA_paota_2	2441	金军守卫塔	5	0			947			131							800	800	Setting/Npc/Ai/Stay.ini			1	15	3	1								NoTurn									1	
MOBA_paotakou_2	2442	金军守卫塔	0	0	BattleNpc		948			143	3751	6	91	1			800	800	Setting/Npc/Ai/battle/MobaTower.ini			1	15	2	1																	1	
MOBA_paotakou_B1	2486	宋军守卫塔	0	0	BattleNpc		950			144	3751	6	91	1			800	800	Setting/Npc/Ai/battle/MobaTower.ini			1	15	2	1																	1	
MOBA_paotakou_B2	2487	金军守卫塔	0	0	BattleNpc		948			144	3751	6	91	1			800	800	Setting/Npc/Ai/battle/MobaTower.ini			1	15	2	1																	1	
MOBA_paotakou_C1	2488	宋军守卫塔	0	0	BattleNpc		950			145	3751	6	91	1			800	800	Setting/Npc/Ai/battle/MobaTower.ini			1	15	2	1																	1	
MOBA_paotakou_C2	2489	金军守卫塔	0	0	BattleNpc		948			145	3751	6	91	1			800	800	Setting/Npc/Ai/battle/MobaTower.ini			1	15	2	1																	1	
MOBA_daying_1	2443	宋军大营	0	0	BattleNpc		952			143	91	1					800	800	Setting/Npc/Ai/Stay.ini			1	15	2	1								NoTurn									1	
MOBA_daying_2	2444	金军大营	0	0	BattleNpc		951			143	91	1					800	800	Setting/Npc/Ai/Stay.ini			1	15	2	1								NoTurn									1	
MOBA_daying_B1	2490	宋军大营	0	0	BattleNpc		952			144	91	1					800	800	Setting/Npc/Ai/Stay.ini			1	15	2	1								NoTurn									1	
MOBA_daying_B2	2491	金军大营	0	0	BattleNpc		951			144	91	1					800	800	Setting/Npc/Ai/Stay.ini			1	15	2	1								NoTurn									1	
MOBA_daying_C1	2492	宋军大营	0	0	BattleNpc		952			145	91	1					800	800	Setting/Npc/Ai/Stay.ini			1	15	2	1								NoTurn									1	
MOBA_daying_C2	2493	金军大营	0	0	BattleNpc		951			145	91	1					800	800	Setting/Npc/Ai/Stay.ini			1	15	2	1								NoTurn									1	
MOBA_BOSS	2448	战地熊皇	0	0	BattleNpc		37	9023		146	3757	1	91	1	195	1			Setting/Npc/Ai/battle/moba_xiongwang.ini			1	25	2																		1	
MOBA_BOSS_B	2495	战地熊皇	0	0	BattleNpc		37	9023		147	3757	1	91	1	195	1			Setting/Npc/Ai/battle/moba_xiongwang.ini			1	25	2																		1	
MOBA_BOSS_C	2496	战地熊皇	0	0	BattleNpc		37	9023		148	3757	1	91	1	195	1			Setting/Npc/Ai/battle/moba_xiongwang.ini			1	25	2																		1	
