Level	Layer	EquipId	Desc
90	1	465	
90	2	473	
90	3	481	
90	1	370	
90	2	378	
90	3	386	
90	1	394	
90	2	401	
90	3	409	
90	1	441	
90	2	449	
90	3	457	
90	1	417	
90	2	425	
90	3	433	
90	1	561	
90	2	569	
90	3	577	
90	1	489	
90	2	497	
90	3	505	
90	1	537	
90	2	545	
90	3	553	
90	1	513	
90	2	521	
90	3	529	
90	1	346	
90	2	354	
90	3	362	
100	1	466	T8头盔（低）
100	2	474	T8头盔（中）
100	3	482	T8头盔（高）
100	1	371	T8衣服（低）
100	2	379	T8衣服（中）
100	3	387	T8衣服（高）
100	1	395	T8腰带（低）
100	2	402	T8腰带（中）
100	3	410	T8腰带（高）
100	1	442	T8护腕(低）
100	2	450	T8护腕(中）
100	3	458	T8护腕(高）
100	1	418	T8鞋子（低）
100	2	426	T8鞋子（中）
100	3	434	T8鞋子（高）
100	1	562	T8武器（低）
100	2	570	T8武器（中）
100	3	578	T8武器（高）
100	1	490	T8项链（低）
100	2	498	T8项链（中）
100	3	506	T8项链（高）
100	1	538	T8戒指（低）
100	2	546	T8戒指（中）
100	3	554	T8戒指（高）
100	1	514	T8玉佩（低）
100	2	522	T8玉佩（中）
100	3	530	T8玉佩（高）
100	1	347	T8护身符（低）
100	2	355	T8护身符（中）
100	3	363	T8护身符（高）
110	1	3824	T9头盔（低）
110	2	3826	T9头盔（中）
110	3	3828	T9头盔（高）
110	1	3830	T9衣服（低）
110	2	3832	T9衣服（中）
110	3	3834	T9衣服（高）
110	1	3842	T9腰带（低）
110	2	3844	T9腰带（中）
110	3	3846	T9腰带（高）
110	1	3836	T9护腕(低）
110	2	3838	T9护腕(中）
110	3	3840	T9护腕(高）
110	1	3848	T9鞋子（低）
110	2	3850	T9鞋子（中）
110	3	3852	T9鞋子（高）
110	1	3794	T9武器（低）
110	2	3796	T9武器（中）
110	3	3798	T9武器（高）
110	1	3800	T9项链（低）
110	2	3802	T9项链（中）
110	3	3804	T9项链（高）
110	1	3806	T9戒指（低）
110	2	3808	T9戒指（中）
110	3	3810	T9戒指（高）
110	1	3812	T9玉佩（低）
110	2	3814	T9玉佩（中）
110	3	3816	T9玉佩（高）
110	1	3818	T9护身符（低）
110	2	3820	T9护身符（中）
110	3	3822	T9护身符（高）
120	1	3825	T10头盔（低）
120	2	3827	T10头盔（中）
120	3	3829	T10头盔（高）
120	1	3831	T10衣服（低）
120	2	3833	T10衣服（中）
120	3	3835	T10衣服（高）
120	1	3843	T10腰带（低）
120	2	3845	T10腰带（中）
120	3	3847	T10腰带（高）
120	1	3837	T10护腕(低）
120	2	3839	T10护腕(中）
120	3	3841	T10护腕(高）
120	1	3849	T10鞋子（低）
120	2	3851	T10鞋子（中）
120	3	3853	T10鞋子（高）
120	1	3795	T10武器（低）
120	2	3797	T10武器（中）
120	3	3799	T10武器（高）
120	1	3801	T10项链（低）
120	2	3803	T10项链（中）
120	3	3805	T10项链（高）
120	1	3807	T10戒指（低）
120	2	3809	T10戒指（中）
120	3	3811	T10戒指（高）
120	1	3813	T10玉佩（低）
120	2	3815	T10玉佩（中）
120	3	3817	T10玉佩（高）
120	1	3819	T10护身符（低）
120	2	3821	T10护身符（中）
120	3	3823	T10护身符（高）
130	1	5151	T11头盔（低）
130	2	5051	T11头盔（中）
130	3	5385	T11头盔（高）
130	1	5161	T11衣服（低）
130	2	5061	T11衣服（中）
130	3	5390	T11衣服（高）
130	1	5181	T11腰带（低）
130	2	5081	T11腰带（中）
130	3	5400	T11腰带（高）
130	1	5171	T11护腕(低）
130	2	5071	T11护腕(中）
130	3	5395	T11护腕(高）
130	1	5191	T11鞋子（低）
130	2	5091	T11鞋子（高）
130	3	5405	T11鞋子（高）
130	1	5101	T11武器（低）
130	2	5001	T11武器（中）
130	3	5360	T11武器（高）
130	1	5111	T11项链（低）
130	2	5011	T11项链（中）
130	3	5365	T11项链（高）
130	1	5121	T11戒指（低）
130	2	5021	T11戒指（中）
130	3	5370	T11戒指（高）
130	1	5131	T11玉佩（低）
130	2	5031	T11玉佩（中）
130	3	5375	T11玉佩（高）
130	1	5141	T11护身符（低）
130	2	5041	T11护身符（中）
130	3	5380	T11护身符（高）
140	1	5152	【传承】12阶头盔
140	2	5052	【稀有】12阶头盔
140	3	5386	【黄金】12阶头盔
140	1	5162	【传承】12阶衣服
140	2	5062	【稀有】12阶衣服
140	3	5391	【黄金】12阶衣服
140	1	5182	【传承】12阶腰带
140	2	5082	【稀有】12阶腰带
140	3	5401	【黄金】12阶腰带
140	1	5172	【传承】12阶护腕
140	2	5072	【稀有】12阶护腕
140	3	5396	【黄金】12阶护腕
140	1	5192	【传承】12阶鞋子
140	2	5092	【稀有】12阶鞋子
140	3	5406	【黄金】12阶鞋子
140	1	5102	【传承】12阶武器
140	2	5002	【稀有】12阶武器
140	3	5361	【黄金】12阶武器
140	1	5112	【传承】凌霄之链
140	2	5012	【稀有】凌霄之链
140	3	5366	【黄金】凌霄之链
140	1	5122	【传承】麒麟之戒
140	2	5022	【稀有】麒麟之戒
140	3	5371	【黄金】麒麟之戒
140	1	5132	【传承】貔貅佩
140	2	5032	【稀有】貔貅佩
140	3	5376	【黄金】貔貅佩
140	1	5142	【传承】广寒符
140	2	5042	【稀有】广寒符
140	3	5381	【黄金】广寒符
150	1	5154	【传承】14阶头盔
150	2	5054	【稀有】14阶头盔
150	3	5388	【黄金】14阶头盔
150	1	5164	【传承】14阶衣服
150	2	5064	【稀有】14阶衣服
150	3	5393	【黄金】14阶衣服
150	1	5184	【传承】14阶腰带
150	2	5084	【稀有】14阶腰带
150	3	5403	【黄金】14阶腰带
150	1	5174	【传承】14阶护腕
150	2	5074	【稀有】14阶护腕
150	3	5398	【黄金】14阶护腕
150	1	5194	【传承】14阶鞋子
150	2	5094	【稀有】14阶鞋子
150	3	5408	【黄金】14阶鞋子
150	1	5104	【传承】14阶武器
150	2	5004	【稀有】14阶武器
150	3	5363	【黄金】14阶武器
150	1	5114	【传承】仙乐之链
150	2	5014	【稀有】仙乐之链
150	3	5368	【黄金】仙乐之链
150	1	5124	【传承】羡鱼之戒
150	2	5024	【稀有】羡鱼之戒
150	3	5373	【黄金】羡鱼之戒
150	1	5134	【传承】烛照佩
150	2	5034	【稀有】烛照佩
150	3	5378	【黄金】烛照佩
150	1	5144	【传承】双鱼符
150	2	5044	【稀有】双鱼符
150	3	5383	【黄金】双鱼符
