Level	Layer	EquipPos	StoneId1	StoneId2	StoneId3	StoneId4	StoneId5	StoneId6	StoneId7	desc	desc2
100	1	5	1754	1755	1757	1758	1759			护腕	5个4级
100	1	4	2532	2672	1844	1847	3215			鞋子	5个4级
100	1	3	2528	1808	1827	1828	1829			武器	5个4级
100	1	8	2531	2674	2824	1821	1848			项链	5个4级
100	1	7	2534	1809	3216	1840	2880			戒指	5个4级
100	1	9	2530	2673	2826	1817	1841			玉佩	5个4级
100	1	6	1756	2536	2696	1807	1811			护身符	5个4级
100	2	0	2542	2669	1814	1845	1866			头	2个5级+3个4级
100	2	1	2538	2830	1791	1810	1867			衣服	2个5级+3个4级
100	2	2	2544	1890	1846	1860	1861			腰带	2个5级+3个4级
100	2	5	1832	1833	1757	1758	1759			护腕	2个5级+3个4级
100	2	4	2541	2675	1844	1847	3215			鞋子	2个5级+3个4级
100	2	3	2537	1886	1827	1828	1829			武器	2个5级+3个4级
100	2	8	2540	2677	2824	1821	1848			项链	2个5级+3个4级
100	2	7	2543	1887	3216	1840	2880			戒指	2个5级+3个4级
100	2	9	2539	2676	2826	1817	1841			玉佩	2个5级+3个4级
100	2	6	1834	2545	2696	1807	1811			护身符	2个5级+3个4级
100	3	0	2542	2669	1892	1923	3375	2827		头	6个5级
100	3	1	2538	2830	1869	1888	3023	1888		衣服	6个5级
100	3	2	2544	1890	1924	3374	2883	2828		腰带	6个5级
100	3	5	1832	1833	1835	1836	1837	3220		护腕	6个5级
100	3	4	2541	2675	1922	1926	3218	3710		鞋子	6个5级
100	3	3	2537	1886	1905	1906	1907	1908		武器	6个5级
100	3	8	2540	2677	2829	1899	1925	1925		项链	6个5级
100	3	7	2543	1887	1918	3219	2882	1918		戒指	6个5级
100	3	9	2539	2676	2831	1895	1919	1921		玉佩	6个5级
100	3	6	1834	2545	2697	1885	1889	2851		护身符	6个5级
110	1	0	2533	2668	1814	1845	1866	3372		头	6个4级
110	1	1	2529	2825	1791	1810	1867	3022		衣服	6个4级
110	1	2	2535	1812	1846	1860	1861	2881		腰带	6个4级
110	1	5	1754	1755	1757	1758	1759	3217		护腕	6个4级
110	1	4	2532	2672	1844	1847	3215	3709		鞋子	6个4级
110	1	3	2528	1808	1827	1828	1829	1826		武器	6个4级
110	1	8	2540	2677	2829	1821	1848	1848		项链	6个4级
110	1	7	2534	1809	3216	1840	2880	1840		戒指	6个4级
110	1	9	2530	2673	2826	1817	1841	1843		玉佩	6个4级
110	1	6	1756	2536	2696	1807	1811	2849		护身符	6个4级
110	2	0	2542	2669	1892	1845	1866	3372		头	3个5级+3个4级
110	2	1	2538	2830	1869	1810	1867	3022		衣服	3个5级+3个4级
110	2	2	2544	1890	1924	1860	1861	2881		腰带	3个5级+3个4级
110	2	5	1832	1833	1835	1758	1759	3217		护腕	3个5级+3个4级
110	2	4	2541	2675	1922	1847	3215	3709		鞋子	3个5级+3个4级
110	2	3	2537	1886	1905	1828	1829	1826		武器	3个5级+3个4级
110	2	8	2531	2674	2824	1821	1848	1848		项链	3个5级+3个4级
110	2	7	2543	1887	1918	1840	2880	1840		戒指	3个5级+3个4级
110	2	9	2539	2676	2831	1817	1841	1843		玉佩	3个5级+3个4级
110	2	6	1834	2545	2697	1807	1811	2849		护身符	3个5级+3个4级
110	3	0	2551	2669	1892	1923	3375	2827	1923	头	1个6级+6个5级
110	3	1	2547	2830	1869	1888	3023	1888	1888	衣服	1个6级+6个5级
110	3	2	2553	1890	1924	3374	2883	2828	1924	腰带	1个6级+6个5级
110	3	5	1832	1833	1835	1836	1837	1891	3223	护腕	1个6级+6个5级
110	3	4	2550	2675	1922	1926	3218	3710	1926	鞋子	1个6级+6个5级
110	3	3	2546	1886	1905	1906	1907	1908	1909	武器	1个6级+6个5级
110	3	8	2549	2677	2829	1899	1925	1925	1925	项链	1个6级+6个5级
110	3	7	2552	1887	1918	3219	2882	1918	1918	戒指	1个6级+6个5级
110	3	9	2548	2676	2831	1895	1919	1921	1919	玉佩	1个6级+6个5级
110	3	6	1912	2545	2697	1885	1889	2851	1885	护身符	1个6级+6个5级
120	1	0	2533	2668	1814	1845	1866	3372	1866	头	7个4级
120	1	1	2529	2825	1791	1810	1867	3022	1810	衣服	7个4级
120	1	2	2535	1812	1846	1860	1861	2881	1846	腰带	7个4级
120	1	5	1754	1755	1757	1758	1759	1813	3217	护腕	7个4级
120	1	4	2532	2672	1844	1847	3215	3709	1847	鞋子	7个4级
120	1	3	2528	1808	1827	1828	1829	1830	1831	武器	7个4级
120	1	8	2531	2674	2824	1821	1848	1848	1848	项链	7个4级
120	1	7	2534	1809	3216	1840	2880	1840	1840	戒指	7个4级
120	1	9	2530	2673	2826	1817	1841	1843	1841	玉佩	7个4级
120	1	6	1756	2536	2696	1807	1811	2849	1807	护身符	7个4级
120	2	0	2542	2669	1892	1923	1866	3372	1866	头	4个5级+3个4级
120	2	1	2538	2830	1869	1888	1867	3022	1810	衣服	4个5级+3个4级
120	2	2	2544	1890	1924	3374	1861	2881	1846	腰带	4个5级+3个4级
120	2	5	1832	1833	1835	1836	1759	1813	3217	护腕	4个5级+3个4级
120	2	4	2541	2675	1922	1926	3215	3709	1847	鞋子	4个5级+3个4级
120	2	3	2537	1886	1905	1906	1829	1830	1831	武器	4个5级+3个4级
120	2	8	2540	2677	2829	1899	1848	1848	1848	项链	4个5级+3个4级
120	2	7	2543	1887	1918	3219	2880	1840	1840	戒指	4个5级+3个4级
120	2	9	2539	2676	2831	1895	1841	1843	1841	玉佩	4个5级+3个4级
120	2	6	1834	2545	2697	1885	1811	2849	1807	护身符	4个5级+3个4级
120	3	0	2551	2670	1892	1923	3375	2827	1923	头	2个6级+5个5级
120	3	1	2547	2835	1869	1888	3023	1888	1888	衣服	2个6级+5个5级
120	3	2	2553	1890	1924	3374	2885	2828	1924	腰带	2个6级+5个5级
120	3	5	1910	1833	1835	1836	1837	1891	3223	护腕	2个6级+5个5级
120	3	4	2550	2678	1922	1926	3218	3710	1926	鞋子	2个6级+5个5级
120	3	3	2546	2852	1904	1906	1907	1908	1909	武器	2个6级+5个5级
120	3	8	2549	2680	2829	1899	1925	1925	1925	项链	2个6级+5个5级
120	3	7	2552	1887	1918	3222	2882	1918	1918	戒指	2个6级+5个5级
120	3	9	2548	2679	2831	1895	1919	1921	1919	玉佩	2个6级+5个5级
120	3	6	1912	2554	2697	1885	1889	2851	1885	护身符	2个6级+5个5级
