Type	TitleID	Name	Achievement	ColorDesc	ColorID	GTopColorID	GBottomColorID	OutlineColorID	Timeout	ImgAltlas	ImgPrefix	EffectResID	EffecUitResID	Rank	WorldNotify	Desc	Quality	Icon
citynpc29	128	诗音大使		紫色称号	200	207	208	209								诗音阁报名npc称号	4	
citynpc30	129			紫色称号	200	207	208	209									4	
citynpc31	130			粉色称号	200	210	211	212									5	
citynpc32	131			粉色称号	200	210	211	212									5	
citynpc33	132			粉色称号	200	210	211	212									5	
citynpc34	133			粉色称号	200	210	211	212									5	
citynpc35	134			粉色称号	200	210	211	212									5	
citynpc36	135			粉色称号	200	210	211	212									5	
citynpc37	136			粉色称号	200	210	211	212									5	
citynpc38	137			粉色称号	200	210	211	212									5	
citynpc39	138			粉色称号	200	210	211	212									5	
citynpc40	139			粉色称号	200	210	211	212									5	
citynpc41	140			橙色称号	200	213	214	215									6	
citynpc42	141			橙色称号	200	213	214	215									6	
citynpc43	142			橙色称号	200	213	214	215									6	
citynpc44	143			橙色称号	200	213	214	215									6	
citynpc45	144			橙色称号	200	213	214	215									6	
citynpc46	145			橙色称号	200	213	214	215									6	
citynpc47	146			橙色称号	200	213	214	215									6	
citynpc48	147			橙色称号	200	213	214	215									6	
citynpc49	148			橙色称号	200	213	214	215									6	
citynpc50	149			橙色称号	200	213	214	215									6	
birthplacenpc1	150	无忧少女		紫色称号	200	207	208	209								新手村npc	4	
birthplacenpc2	151	绝世枭雄		粉色称号	200	210	211	212								新手村npc	5	
birthplacenpc3	152	村民		蓝色称号	200	204	205	206								新手村npc	3	
birthplacenpc4	153	村民		蓝色称号	200	204	205	206								新手村npc	3	
birthplacenpc5	154	村民		蓝色称号	200	204	205	206								新手村npc	3	
birthplacenpc6	155	村民		蓝色称号	200	204	205	206								新手村npc	3	
birthplacenpc7	156	藏剑庄主		紫色称号	200	207	208	209								新手村npc	4	
birthplacenpc8	157	村民		绿色称号	200	201	202	203								新手村npc	2	
birthplacenpc9	158	村民		绿色称号	200	201	202	203								新手村npc	2	
birthplacenpc10	159	村民		绿色称号	200	201	202	203								新手村npc	2	
birthplacenpc11	160	师徒管理员		粉色称号	200	210	211	212								新手村npc	5	
Battle_NPC_1	201	宋军大将		紫色称号	200	207	208	209								战场NPC称号	4	
Battle_NPC_2	202	宋军元帅		橙色称号	200	213	214	215								战场NPC称号	6	
Battle_NPC_3	203	金军大将		紫色称号	200	207	208	209								战场NPC称号	4	
Battle_NPC_4	204	金军元帅		橙色称号	200	213	214	215								战场NPC称号	6	
Battle_NPC_5	205	攻击		白色称号	200											战场NPC称号	1	
Battle_NPC_6	206	回血		白色称号	200											战场NPC称号	1	
Battle_Player_1	210	宋军士兵		白色称号	200											战场玩家称号	1	
Battle_Player_2	211	宋军校尉		绿色称号	200	201	202	203								战场玩家称号	2	
Battle_Player_3	212	宋军统领		蓝色称号	200	204	205	206								战场玩家称号	3	
Battle_Player_4	213	宋军副将		紫色称号	200	207	208	209								战场玩家称号	4	
Battle_Player_5	214	宋军大将		粉色称号	200	210	211	212								战场玩家称号	5	
Battle_Player_6	215	宋军元帅		橙色称号	200	213	214	215								战场玩家称号	6	
Battle_Player_7	216	战场月度赛选手	Title_Normal;	蓝色称号	200	204	205	206						1		获得宋金战场月度赛资格	3	
Battle_Player_8	217	战场季度赛选手	Title_Normal;Title_Purple	紫色称号	200	207	208	209						1		获得宋金战场季度赛资格	4	
Battle_Player_10	219	金军士兵		白色称号	200											战场玩家称号	1	
Battle_Player_11	220	金军校尉		绿色称号	200	201	202	203								战场玩家称号	2	
Battle_Player_12	221	金军统领		蓝色称号	200	204	205	206								战场玩家称号	3	
Battle_Player_13	222	金军副将		紫色称号	200	207	208	209								战场玩家称号	4	
Battle_Player_14	223	金军大将		粉色称号	200	210	211	212								战场玩家称号	5	
Battle_Player_15	224	金军元帅		橙色称号	200	213	214	215								战场玩家称号	6	
Battle_Player_16	225	所向披靡	Title_Normal;Title_Gold	金色称号	200	216	217	218	31536000					1		在宋金战场年度赛中获得第一名	7	
KinTaskNpc1	300	武痴		蓝色称号	200	204	205	206						1		家族任务npc	3	
FactionBattle1	301	天王新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle2	302	逍遥新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle3	303	桃花新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle4	304	峨嵋新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle5	305	武当新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle6	306	天忍新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle7	307	少林新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle8	308	翠烟新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle80	387	万花新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5
FactionBattle81	388	万花月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5
FactionBattle82	389	万花季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5
FactionBattle83	390	万花大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6
FactionBattle84	391	万花大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6
FactionBattle85	392	丐帮大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6
FactionBattle86	393	杨门新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5
FactionBattle87	394	杨门月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5
FactionBattle88	395	杨门季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5
FactionBattle89	396	杨门大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6
FactionBattle9	309	唐门新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle90	397	杨门大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6
FactionBattle91	398	天忍大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6
FactionBattle10	310	昆仑新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle11	311	天王大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle12	312	逍遥大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle13	313	桃花大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle14	314	峨嵋大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle15	315	武当大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle16	316	天忍大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle17	317	少林大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle18	318	翠烟大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle19	319	唐门大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle20	320	昆仑大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle21	321	丐帮新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle22	322	丐帮大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle23	323	五毒新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle24	324	五毒大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle25	325	藏剑新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle26	326	藏剑大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle27	327	长歌新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle28	328	长歌大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle29	329	天山新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle30	330	天山大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle31	331	天山大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle32	332	天王月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle33	333	逍遥月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle34	334	桃花月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle35	335	峨嵋月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle36	336	武当月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle37	337	天忍月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle38	338	少林月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle39	339	翠烟月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle40	340	唐门月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle41	341	昆仑月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle42	342	丐帮月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle43	343	五毒月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle44	344	藏剑月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle45	345	长歌月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle46	346	天山月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle47	347	天王季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle48	348	逍遥季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle49	349	桃花季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle50	350	峨嵋季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle51	351	武当季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle52	352	天忍季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle53	353	少林季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle54	354	翠烟季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle55	355	唐门季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle56	356	昆仑季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle57	357	丐帮季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle58	358	五毒季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle59	359	藏剑季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle60	360	长歌季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle61	361	天山季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle62	362	霸刀新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle63	363	霸刀月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle64	364	霸刀季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle65	365	霸刀大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle66	366	霸刀大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle67	367	武当大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle62	368	华山新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle63	369	华山月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle64	370	华山季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle65	371	华山大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle66	372	华山大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle67	373	昆仑大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
DrinkHouse_1	374	内容征集接引人	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		江湖盛典npc	5	
DrinkToDream_title1	6727	大醉江湖梦一场	Title_Normal;Title_Orange	橙色称号	200	213	214	215	7776000					1		大醉江湖梦一场活动中获赞数排行第1名获得此称号	6
DrinkToDream_title2	6728	诉衷情	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		大醉江湖梦一场活动中获赞数排行第2~3名获得此称号	5
FactionBattle68	375	明教新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5	
FactionBattle69	376	明教月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5	
FactionBattle70	377	明教季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5	
FactionBattle71	378	明教大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle72	379	明教大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle73	380	天王大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6	
FactionBattle74	381	段氏新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		门派竞技活动第一名获得此称号	5
FactionBattle75	382	段氏月度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	2592000					1		门派竞技月度赛活动第一名获得此称号	5
FactionBattle76	383	段氏季度新人王	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		门派竞技季度赛活动第一名获得此称号	5
FactionBattle77	384	段氏大师兄	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6
FactionBattle78	385	段氏大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6
FactionBattle79	386	逍遥大师姐	Title_Normal;Title_Orange	橙色称号	200	213	214	215	2592000					1		门派大师兄/大师姐评选中第一名获得此称号	6
Card_collection_1	400	江湖百晓生	Title_Normal;Title_Purple	紫色称号	200	207	208	209						1		凌绝峰卡片收集前30名的称号！	4	
Card_collection_1	401	凌绝笑红尘	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		凌绝峰卡片收集前10名的称号！	5	
Card_collection_1	402	九天逍遥游	Title_Normal;Title_Orange	橙色称号	200	213	214	215						1		凌绝峰卡片收集第1名的称号！	6	
Card_collection_gq	403	心有丘壑	Title_Normal;Title_Purple	紫色称号	200	207	208	209						1		锦绣山河收集前30名的称号！	4	
Card_collection_gq	404	华夏万事通	Title_Normal;Title_Pink	粉色称号	200	210	211	212						2		锦绣山河收集前10名的称号！	5	
Card_collection_gq	405	知天晓地	Title_Normal;Title_Orange	橙色称号	200	213	214	215						3		锦绣山河收集第1名的称号！	6	
hd_putiantongqing1	406	门庭若市	Title_Normal;Title_Purple	紫色称号	200	207	208	209						1		普天同庆前30名的称号！	4	
hd_putiantongqing2	407	高朋满座	Title_Normal;Title_Pink	粉色称号	200	210	211	212						1		普天同庆前10名的称号！	5	
hd_putiantongqing3	408	挚友如云	Title_Normal;Title_Orange	橙色称号	200	213	214	215						1		普天同庆第1名的称号！	6	
QSHL_Leader1	500	非攻		紫色称号	200	207	208	209						2		秦始皇陵称号	4	
QSHL_Leader2	501	杀神		紫色称号	200	207	208	209						2		秦始皇陵称号	4	
QSHL_Leader3	502	鬼相		紫色称号	200	207	208	209						2		秦始皇陵称号	4	
QSHL_Boss	503	千古一帝		橙色称号	200	213	214	215						3		秦始皇陵称号	6	
QSHL_BossFaker	504	始皇替身		橙色称号	200	213	214	215						3		秦始皇陵称号	6	
NDYZ_Leader1	505	女帝守护者		紫色称号	200	207	208	209						2		秦始皇陵称号	4	
NDYZ_Leader2	506	卫队长		紫色称号	200	207	208	209						2		秦始皇陵称号	4	
NDYZ_Leader3	507	神探		紫色称号	200	207	208	209						2		秦始皇陵称号	4	
NDYZ_Boss	508	无双女帝		橙色称号	200	213	214	215						3		秦始皇陵称号	6	
NDYZ_BossFaker	509	伪帝鸾姬		橙色称号	200	213	214	215						3		秦始皇陵称号	6	
KinTrain_Captain	550	兄弟同心		紫色称号	200	207	208	209						1		新家族试炼称号	4	
