Level	ExpUpGrade	BaseAwardExp	RunSpeed	AttackSpeed	FightPower	AttackSeriesResist
132	692000000	13000	0	0	765000	1920
133	693000000	13000	0	0	780000	1940
134	694000000	13000	0	0	795000	1960
135	695000000	13000	0	0	810000	1980
136	696000000	13000	0	0	825000	2000
137	697000000	13000	0	0	840000	2020
138	698000000	13000	0	0	855000	2040
139	699000000	13000	0	0	870000	2060
140	700000000	13000	0	0	885000	2080
141	701000000	13000	0	0	900000	2100
142	702000000	13000	0	0	915000	2120
143	703000000	13000	0	0	930000	2140
144	704000000	13000	0	0	945000	2160
145	705000000	13000	0	0	960000	2180
146	706000000	13000	0	0	975000	2200
147	707000000	13000	0	0	990000	2220
148	708000000	13000	0	0	1005000	2240
149	709000000	13000	0	0	1020000	2260
150	710000000	13000	0	0	1035000	2280
151	711000000	13000	0	0	1050000	2300
152	712000000	13000	0	0	1065000	2320
153	713000000	13000	0	0	1080000	2340
154	714000000	13000	0	0	1095000	2360
155	715000000	13000	0	0	1110000	2380
156	716000000	13000	0	0	1125000	2400
157	717000000	13000	0	0	1140000	2420
158	718000000	13000	0	0	1155000	2440
159	719000000	13000	0	0	1170000	2460
160	720000000	13000	0	0	1185000	2480
161	721000000	13000	0	0	1200000	2500
162	722000000	13000	0	0	1215000	2520
163	723000000	13000	0	0	1230000	2540
164	724000000	13000	0	0	1245000	2560
165	725000000	13000	0	0	1260000	2580
166	726000000	13000	0	0	1275000	2600
167	727000000	13000	0	0	1290000	2620
168	728000000	13000	0	0	1305000	2640
169	729000000	13000	0	0	1320000	2660
170	730000000	13000	0	0	1335000	2680
171	731000000	13000	0	0	1350000	2700
172	732000000	13000	0	0	1365000	2720
173	733000000	13000	0	0	1380000	2740
174	734000000	13000	0	0	1395000	2760
175	735000000	13000	0	0	1410000	2780
176	736000000	13000	0	0	1425000	2800
177	737000000	13000	0	0	1440000	2820
178	738000000	13000	0	0	1455000	2840
179	739000000	13000	0	0	1470000	2860
180	740000000	13000	0	0	1485000	2880
181	741000000	13000	0	0	1500000	2900
182	742000000	13000	0	0	1515000	2920
183	743000000	13000	0	0	1530000	2940
184	744000000	13000	0	0	1545000	2960
185	745000000	13000	0	0	1560000	2980
186	746000000	13000	0	0	1575000	3000
187	747000000	13000	0	0	1590000	3020
188	748000000	13000	0	0	1605000	3040
189	749000000	13000	0	0	1620000	3060
190	750000000	13000	0	0	1635000	3080
191	751000000	13000	0	0	1650000	3100
192	752000000	13000	0	0	1665000	3120
193	753000000	13000	0	0	1680000	3140
194	754000000	13000	0	0	1695000	3160
195	755000000	13000	0	0	1710000	3180
196	756000000	13000	0	0	1725000	3200
197	757000000	13000	0	0	1740000	3220
198	758000000	13000	0	0	1755000	3240
199	759000000	13000	0	0	1770000	3260
