szKey	nReqLevel	szUiName	szTitle	nShowPriority	szContent	szTimeFunc	szTimeParam1	szTimeParam2	szClickFunc	szBtnName	szBtnTrap	nBtnCloseWnd	szTimeFrameLimit1	szTimeFrameLimit2
OpenLevel119	10		119级等级上限		[FFFE0D]119级即将开放[-]\n    诸位侠士，江湖即将开放119级等级上限，诸位可做好历练准备，争取早日名动武林。开放119级上限后，武林各大活动将会有更多稀有物品掉落！\n\n[FFFE0D]新增活动奖励[-]\n   [FFFE0D]提升周卡、月卡每日领取额度（周卡每日280元宝、月卡每日200元宝）。[-]\n   武林盟主：[ff8f06] [url=openwnd:10阶稀有衣服碎片, ItemTips,  "Item", nil, 3679, me.nFaction] [-]\n   英雄挑战：[ff8f06] [url=openwnd:10阶稀有腰带碎片, ItemTips,  "Item", nil, 3683, me.nFaction] [-]\n   野外首领：[ff8f06] [url=openwnd:10阶稀有护身符碎片, ItemTips,  "Item", nil, 3675, me.nFaction] [-]\n   历代名将：[ff8f06] [url=openwnd:10阶稀有武器碎片, ItemTips,  "Item", nil, 3667, me.nFaction] [-] [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   组队秘境：[ff8f06] [url=openwnd:10阶稀有帽子碎片, ItemTips,  "Item", nil, 3677, me.nFaction] [-]\n   惩恶任务：[ff8f06] [url=openwnd:10阶稀有护腕碎片, ItemTips,  "Item", nil, 3681, me.nFaction] [-]\n   商会任务：[ff8f06] [url=openwnd:10阶稀有玉佩碎片, ItemTips,  "Item", nil, 3673, me.nFaction] [-]\n   宋金战场：[ff8f06] [url=openwnd:10阶稀有戒指碎片, ItemTips,  "Item", nil, 3671, me.nFaction] [-] [aa62fc] [url=openwnd:10阶传承戒指碎片, ItemTips, "Item", nil, 3672, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:10阶稀有鞋子碎片, ItemTips,  "Item", nil, 3685, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:10阶稀有项链碎片, ItemTips,  "Item", nil, 3669, me.nFaction] [-] [ff8f06] [url=openwnd:天河石, ItemTips, "Item", nil, 4325] [-]\n   心魔幻境：  [ff8f06] [url=openwnd:10阶稀有戒指碎片, ItemTips, "Item", nil, 3671, me.nFaction] [-]\n   门派竞技：[aa62fc] [i]3级家园材料[/i] [-]\n   藏宝图：   [aa62fc] [i]3级家园材料[/i] [-]\n   黄金宝箱：[aa62fc] [i]10阶传承装备碎片[/i] [-] [aa62fc] [i]3级家园材料[/i] [-]\n   1元超值礼包：[ff578c] [url=openwnd:初级魂石·叶无心（唯一）碎片, ItemTips, "Item", nil, 10170, me.nFaction] [-]\n   3元超值礼包：[ff578c] [url=openwnd:初级魂石·叶无心（唯一）碎片, ItemTips, "Item", nil, 10170, me.nFaction] [-]\n   6元超值礼包：[ff578c] [url=openwnd:初级魂石·叶无心（唯一）碎片, ItemTips, "Item", nil, 10170, me.nFaction] [-]\n 18元超值礼包：[ff578c] [url=openwnd:初级魂石·叶无心（唯一）碎片, ItemTips, "Item", nil, 10170, me.nFaction] [-]\n     除以上特殊奖励外，其他活动的奖励也将整体提升！备战武林，好奖相迎！ 	fnOpenServer	OpenLevel119|-3	OpenLevel119|2						
FieldBoss1	20		40级历代名将		[FFFE0D]40级历代名将[-]\n\n    诸位侠士，前朝诸多奇人异士即将在特定时间现身江湖，击败他们将获得高额奖励！\n\n[FFFE0D]名将出现时间[-]\n   每日下午15：30\n   每日晚上22：00\n\n[FFFE0D]名将对应关系[-]\n   鳌拜       地牢禁地\n   袁承志    落叶禁地\n   韩世忠    竹林禁地\n   哲别       轮回禁地\n   高长恭    溟渊禁地\n   秦良玉    森罗禁地\n\n小提示：进入历代名将地图后强制开启[FFFE0D]家族模式[-]\n  	fnOpenServer	OpenDay7|-1	OpenDay7|2						
FieldBoss2	20		60级历代名将		[FFFE0D]60级历代名将[-]\n\n    诸位侠士，前朝诸多奇人异士即将在特定时间现身江湖，击败他们将获得高额奖励！\n\n[FFFE0D]名将出现时间[-]\n   每日下午15：30\n   每日晚上22：00\n\n[FFFE0D]名将对应关系[-]\n   荆轲       望月遗迹\n   虞姬       凝尘遗迹\n   岳飞       千叶遗迹   \n\n小提示：进入历代名将地图后强制开启[FFFE0D]家族模式[-]\n  	fnOpenServer	OpenDay52|-1	OpenDay52|2						
FieldBoss3	20		80级历代名将		[FFFE0D]80级历代名将[-]\n\n    诸位侠士，前朝诸多奇人异士即将在特定时间现身江湖，击败他们将获得高额奖励！\n\n[FFFE0D]名将出现时间[-]\n   每日晚上22：00\n\n[FFFE0D]名将对应关系[-]\n   李广       黑狱废墟\n   赵云       长坂废墟\n   李元霸       禁谷废墟   \n\n小提示：进入历代名将地图后强制开启[FFFE0D]家族模式[-]\n  	fnOpenServer	OpenDay128|-1	OpenDay128|2						
FieldBoss4	20		110级历代名将		[FFFE0D]110级历代名将[-]\n\n    诸位侠士，前朝名将项羽即将在特定时间现身江湖，击败他将获得高额奖励！\n\n[FFFE0D]名将出现时间[-]\n   名将挑战日晚上22：00\n\n[FFFE0D]名将出现地图[-]\n   黑狱废墟、长坂废墟与禁谷废墟中随机出现   \n\n小提示：进入历代名将地图后强制开启[FFFE0D]家族模式[-]\n  	fnOpenServer	OpenDay353|-1	OpenDay353|2						
ChuanGong	10		家族传功		[FFFE0D]家族传功开放[-]\n\n    诸位侠士，江湖中成名已久的侠士如今功力已颇为深厚，可以福泽武林中的新秀，通过给[FFFE0D]家族成员[-]传功，被传功者可获得大量经验，快速成长。	fnOpenServer	OpenDay2	OpenDay4						
DomainBattle	20		攻城战将临		[FFFE0D]攻城战开放[-]\n\n    诸位侠士，江湖即将开放攻城战，诸位侠士可做好准备投身历练，为家族争夺领地、剑指襄阳尽一份力。占据领地后，每日更有领地行商到家族拍卖珍稀物品，参与城战的家族成员天天都有分红拿！	fnOpenServer	OpenDomainBattle|-2	OpenDomainBattle|1						
DuanWuJie	20		端午节活动预告		[FFFE0D]端午节活动预告[-]\n\n    诸位侠士，端午节，为每年农历五月初五。据《荆楚岁时记》记载，因仲夏登高，顺阳在上，五月是仲夏，它的第一个午日正是登高顺阳好天气之日，故五月初五亦称为“端阳节”。\n    此外端午节还称“午日节、五月节、龙舟节、浴兰节”等。端午节是我华夏四大传统节日之一，值此佳节，端午节活动也将于[FFFE0D]5月28日凌晨4时[-]正式开启！	fnSpecialTime	2017/5/25	2017/5/28						
Weekend6	10	Weekend6	不限号周末狂欢			fnSpecialTime	2016/6/5	2016/6/12						
WeekendActivity	10		周末狂欢		[FFFE0D]周末来临，欢庆武林[-]\n    诸位侠士，喜迎周末，武林将开启欢庆活动！\n    活动时间：[c8ff00]本周末6月25日凌晨4点开启，6月26日0点结束[-]\n\n活动一：\n    炎炎夏日，烈火融金；福利狂欢，元宝为邻；活动期间，充值送礼活动7日礼包、30日礼包可额外领取[FFFE0D]100%元宝[-]\n\n活动二：\n    炎炎夏日，热情不减；挑战盟主，元宝不断；阳刚热忱的盟主独孤剑将褒奖诸位挑战者，活动期间，挑战盟主的拍卖物品的产出将提升[FFFE0D]50%[-]\n\n活动三：\n    炎炎夏日，热情高涨；家族烤火，人人有奖；活动期间参与家族烤火，答题将获得[FFFE0D]双倍贡献[-]，且投掷骰子的获奖成员[FFFE0D]增加一倍[-]	fnSpecialTime	2016/6/22	2016/6/25						
CardCollection_1	30		凌绝峰收集活动		[FFFE0D]凌绝峰收集活动开放[-]\n\n    诸位侠士，开放59级等级上限后，江湖将会开放凌绝峰收集活动！\n    开放后的每一个月，大侠们参加凌绝峰的过程中可能获得各种卡片，收集起来进行为期一月的排行争夺，最终获得高额奖励。\n    若活动开放当天已超过本月20日，活动将在下月1日开放，请各位大侠周知。活动奖励如下：\n    第1名：蓝水晶×50，橙色称号\n    第2-10名：蓝水晶×30，粉色称号\n    第11-30名：蓝水晶×25，紫色称号\n    第31-100名：蓝水晶×20\n    第101-200名：蓝水晶×15\n    第201-300名：蓝水晶×12\n    第301-500名：蓝水晶×10\n    第501-1000名：蓝水晶×8\n    第1001-1500名：蓝水晶×6\n    第1500名以后：蓝水晶×5	fnOpenServer	OpenLevel49|-2	OpenLevel49|1						
SummerGift	20		盛夏之周		[FFFE0D]盛夏之周，武林狂欢[-]\n    诸位侠士，武林即将迎来一场大变革，此次将会有许多全新的人与物出现在阁下的面前，敬请期待。在此之前，如今武林中的一些活动也会与我等共襄盛举，参与活动均将获得一份额外奖励，同时累积参加满一定天数还将获得另外一份奖励！与我一同[47f005][url=openwnd:前往参与活动, WelfareActivity, SummerGift][-]吧！[-]	fnSpecialTime	2016/7/23	2016/7/30						
NewPackageGift	20	NewPackageGift	新版本更换			fnNewPackage								
OpenDay89	20		秦始皇陵		[FFFE0D]秦始皇陵[-]\n\n    诸位侠士，武林中风云变幻，竟有一批盗墓贼发现了通往秦始皇陵的线索，近日江湖中闹得沸沸扬扬，侠士若是有兴致，不妨也去查探一番，有机会从其中复活的士兵身上找到密室，前去争夺宝藏，或许会有意料之外的收获。秦始皇陵中十分凶险，最好组队前往。另外，秦始皇陵内毒雾弥漫，不能常驻其中！   \n\n小提示：进入秦始皇陵地图后强制开启[FFFE0D]家族模式[-]\n  	fnOpenServer	OpenDay89|-2	OpenDay89|1						
NyBless	10		新年祝福		[FFFE0D]新年祝福活动即将开始！[-]\n\n    通过祝福道具给好友送出祝福并获得奖励。活动共开启[FFFE0D]3轮[-]，分别在[FFFE0D]1月28日、2月1日、2月5日[-]0点开始，[FFFE0D]下一天4点[-]结束。\n    [FFFE0D]参与等级：[-]20级\n\n    活动开启后，满足条件的玩家能收到一封系统邮件，查收附件可得到[FFFE0D]新年祝福函[-]。\n    使用祝福函后，在祝福界面可对好友送出祝福，同时对方能获得[FFFE0D]祝福宝箱[-]。每轮活动，每个玩家最多获得[FFFE0D]10个[-]祝福宝箱。\n    每轮活动，每位侠客最多向[FFFE0D]20名[-]好友送出祝福，对同一好友最多祝福1次。消耗元宝祝福不会消耗祝福次数。\n    可能获得奖励：[11adf6][url=openwnd:修炼丹, ItemTips, "Item", nil, 2301][-]，[11adf6][url=openwnd:传功丹, ItemTips, "Item", nil, 2759][-]，[11adf6][url=openwnd:外装染色剂, ItemTips, "Item", nil, 2569][-]，[11adf6][url=openwnd:紫水晶, ItemTips, "Item", nil, 224][-]。	fnSpecialTime	2017.1.25 4:00:00	2017.1.28						
NewWaiYiActivity	1		邪魅狷狂外装		邪魅一笑，狷狂自任。\n\n9月22日~10月12日期间，黎饰商店[47f005]七折限时限量[-]出售邪魅狷狂外装\n\n[e6d012][url=openwnd:【天王】狂客, WaiyiPreview, 6288, 1][-]        [e6d012][url=openwnd:【峨眉】狷者, WaiyiPreview, 6292, 2][-]\n[e6d012][url=openwnd:【桃花】魅灵, WaiyiPreview, 6296, 3][-]        [e6d012][url=openwnd:【逍遥】邪侠, WaiyiPreview, 6300, 4][-]\n[e6d012][url=openwnd:【武当】邪侠, WaiyiPreview, 6304, 5][-]        [e6d012][url=openwnd:【天忍】狷者, WaiyiPreview, 6308, 6][-]\n[e6d012][url=openwnd:【少林】狂客, WaiyiPreview, 6312, 7][-]        [e6d012][url=openwnd:【翠烟】魅灵, WaiyiPreview, 6316, 8][-]\n[e6d012][url=openwnd:【唐门】邪侠, WaiyiPreview, 6320, 9][-]        [e6d012][url=openwnd:【昆仑】狷者, WaiyiPreview, 6324, 10][-]\n[e6d012][url=openwnd:【丐帮】狂客, WaiyiPreview, 6328, 11][-]        [e6d012][url=openwnd:【五毒】魅灵, WaiyiPreview, 6332, 12][-]\n[e6d012][url=openwnd:【藏剑】邪侠, WaiyiPreview, 6336, 13][-]        [e6d012][url=openwnd:【长歌】魅灵, WaiyiPreview, 6340, 14][-]\n\n除此之外，还有更具性价比的[e6d012][url=openwnd:<邪魅狷狂无敌宝箱>, ItemTips, "Item", nil, 6358][-]感兴趣的少侠可不要错过哦，可前往[47f005] [url=openwnd:黎饰商店, CommonShop, 'Dress'] [-]购买！	fnSpecialTime	2017.9.22 4:00:00	2017.10.13		去看看	[url=openwnd:点击此处, CommonShop, 'Dress']			
NewWaiYiActivity2	1		一抹月牙白		身披月牙衣，共庆佳节至\n\n9月28日~10月12日期间，黎饰商店[47f005]七折限时限量[-]出售[e6d012][url=openwnd:<外装染色剂>, ItemTips, "Item", nil, 2569][-]，同时邪魅狷狂外装开放新配色\n\n[e6d012][url=openwnd:狂客·天王·月牙白, WaiyiPreview, 6539, 1][-]        [e6d012][url=openwnd:狷者·峨眉·月牙白, WaiyiPreview, 6540, 2][-]\n[e6d012][url=openwnd:魅灵·桃花·月牙白, WaiyiPreview, 6541, 3][-]        [e6d012][url=openwnd:邪侠·逍遥·月牙白, WaiyiPreview, 6542, 4][-]\n[e6d012][url=openwnd:邪侠·武当·月牙白, WaiyiPreview, 6543, 5][-]        [e6d012][url=openwnd:狷者·天忍·月牙白, WaiyiPreview, 6544, 6][-]\n[e6d012][url=openwnd:狂客·少林·月牙白, WaiyiPreview, 6545, 7][-]        [e6d012][url=openwnd:魅灵·翠烟·月牙白, WaiyiPreview, 6546, 8][-]\n[e6d012][url=openwnd:邪侠·唐门·月牙白, WaiyiPreview, 6547, 9][-]        [e6d012][url=openwnd:狷者·昆仑·月牙白, WaiyiPreview, 6548, 10][-]\n[e6d012][url=openwnd:狂客·丐帮·月牙白, WaiyiPreview, 6549, 11][-]        [e6d012][url=openwnd:魅灵·五毒·月牙白, WaiyiPreview, 6550, 12][-]\n[e6d012][url=openwnd:邪侠·藏剑·月牙白, WaiyiPreview, 6551, 13][-]        [e6d012][url=openwnd:魅灵·长歌·月牙白, WaiyiPreview, 6552, 14][-]\n\n感兴趣的少侠赶紧前往[47f005] [url=openwnd:黎饰商店, CommonShop, 'Dress'] [-]购买吧！	fnSpecialTime	2017.9.28 00:00:00	2017.10.13		去看看	[url=openwnd:点击此处, CommonShop, 'Dress']			
NpcBiWuZhaoQinMale	60		颖宝宝比武招亲		活动时间：[FFFE0D]2017年6月18日20：30-21：30[-]\n\n[FFFE0D]天生丽质，冰雪聪颖[-]\n    诸位侠士，近日江湖出了一位了不得的女中豪杰，她非但倾国倾城，武艺超群，更是心地善良，聪慧过人。相信诸位侠士也有所耳闻，此人便是如今风头正劲的女侠——颖宝宝！如今她即将在襄阳城中摆下比武招亲擂台，欢迎各路侠士前来参与，比赛规则如下：\n\n参与等级：\n最低参与等级：[FFFE0D]60级[-]\n开放89级上限：[FFFE0D]70级[-]\n开放99级上限：[FFFE0D]80级[-]\n开放109级上限：[FFFE0D]90级[-]\n开放119级上限：[FFFE0D]100级[-]\n\n[FFFE0D]参与招亲比赛[-]\n2017年6月18日20：30活动开启时，前往襄阳寻找[FFFE0D][url=npc:颖宝宝, 2279, 10][-]缴纳报名费参加\n需注意报名时间仅有[FFFE0D]5分钟[-]，过期不候\n比赛为无差别形式，报名后以当前门派参赛，所有参赛者公平竞争，[FFFE0D]等级、战力相同，无装备等外在因素差异，无五行相克[-]\n参赛人数最多[FFFE0D]128人[-]，开始后两两随机配对战斗，赢者晋级，剩余参赛人数不大于[FFFE0D]8人[-]后进入决赛阶段\n决赛阶段比赛在[FFFE0D]场内擂台[-]上进行，玩家可以进行[FFFE0D]观战[-]\n\n[FFFE0D]活动奖励[-]\n所有未获得优胜的参赛者均将获得一份奖励\n优胜者不但可获得颖宝宝的情缘称号，颖宝宝/林更新的头像绘卷，更可邀请她前往自己家园小憩一番	fnSpecialTime	2017.6.12	2017.6.18 21:30:00		去看看	[url=npc:颖宝宝, 2279, 10]	1		
NpcBiWuZhaoQinFemale	60		林更新比武招亲		活动时间：[FFFE0D]2018年11月26日20：30-21：30[-]\n\n[FFFE0D]英俊潇洒，玉树临风[-]\n    诸位侠士，近日江湖出了位了不得的人物，此人非但风姿卓越，武艺超群，更能征善战，足智多谋。相信诸位侠士也有所耳闻，此人便是如今风头正劲的少侠——林更新！如今林少侠在襄阳城中摆下比武招亲擂台，欢迎各路侠士前来参与，比赛规则如下：\n\n参与等级：\n最低参与等级：[FFFE0D]60级[-]\n开放89级上限：[FFFE0D]70级[-]\n开放99级上限：[FFFE0D]80级[-]\n开放109级上限：[FFFE0D]90级[-]\n开放119级上限：[FFFE0D]100级[-]\n\n[FFFE0D]参与招亲比赛[-]\n2018年11月26日20：30活动开启时，前往襄阳寻找[FFFE0D][url=npc:林更新, 2326, 10][-]缴纳报名费参加\n需注意报名时间仅有[FFFE0D]5分钟[-]，过期不候\n比赛为无差别形式，报名后以当前门派参赛，所有参赛者公平竞争，[FFFE0D]等级、战力相同，无装备等外在因素差异，无五行相克[-]\n参赛人数最多[FFFE0D]128人[-]，开始后两两随机配对战斗，赢者晋级，剩余参赛人数不大于[FFFE0D]8人[-]后进入决赛阶段\n决赛阶段比赛在[FFFE0D]场内擂台[-]上进行，玩家可以进行[FFFE0D]观战[-]\n\n[FFFE0D]活动奖励[-]\n所有未获得优胜的参赛者均将获得一份奖励\n优胜者不但可获得林更新的情缘称号，颖宝宝/林更新的头像绘卷，更可邀请他前往自己家园小憩一番	fnSpecialTime	2018.11.20	2018.11.26 21:30:00		去看看	[url=npc:林更新, 2326, 10]	1		
NewWaiYiActivity_vn1	1		佳期新外装上架		越南版本佳期外装第一期\n\n7月20日~7月28日，第一期佳期外装正式上架外装商城！\n\n[e6d012][url=openwnd:【峨眉】佳期·花恋, WaiyiPreview, 4370, 2][-]\n[e6d012][url=openwnd:【武当】佳期·墨语, WaiyiPreview, 4373, 5][-]\n[e6d012][url=openwnd:【少林】佳期·梵心, WaiyiPreview, 4375, 7][-]\n[e6d012][url=openwnd:【五毒】佳期·玲珑, WaiyiPreview, 4380, 12][-]\n\n将限时开放售卖，感兴趣的少侠可不要错过哦，可前往[47f005] [url=openwnd:外装商城, CommonShop, 'Dress'] [-]购买！	fnSpecialTime	2017.7.20 4:00:00	2017.7.29		去看看	[url=openwnd:点击此处, CommonShop, 'Dress']			
NewWaiYiActivity_vn2	1		佳期新外装上架		越南版本佳期外装第二期\n\n8月3日~8月11日，第二期佳期外装正式上架外装商城！\n\n[e6d012][url=openwnd:【翠烟】佳期·绯梦, WaiyiPreview, 4376, 8][-]\n[e6d012][url=openwnd:【天王】佳期·金鳞, WaiyiPreview, 4243, 1][-]\n[e6d012][url=openwnd:【唐门】佳期·惊羽, WaiyiPreview, 4377, 9][-]\n[e6d012][url=openwnd:【桃花】佳期·琼华, WaiyiPreview, 4371, 3][-]\n\n将限时开放售卖，感兴趣的少侠可不要错过哦，可前往[47f005] [url=openwnd:外装商城, CommonShop, 'Dress'] [-]购买！	fnSpecialTime	2017.8.3 4:00:00	2017.8.12		去看看	[url=openwnd:点击此处, CommonShop, 'Dress']			
NewWaiYiActivity_vn3	1		佳期新外装上架		越南版本佳期外装第三期\n\n8月17日~8月25日，第三期佳期外装正式上架外装商城！\n\n[e6d012][url=openwnd:【丐帮】佳期·解风, WaiyiPreview, 4379, 11][-]\n[e6d012][url=openwnd:【昆仑】佳期·雪鲤, WaiyiPreview, 4378, 10][-]\n[e6d012][url=openwnd:【逍遥】佳期·鸿影, WaiyiPreview, 4372, 4][-]\n[e6d012][url=openwnd:【天忍】佳期·紫鸾, WaiyiPreview, 4374, 6][-]\n\n将限时开放售卖，感兴趣的少侠可不要错过哦，可前往[47f005] [url=openwnd:外装商城, CommonShop, 'Dress'] [-]购买！	fnSpecialTime	2017.8.17 4:00:00	2017.8.26		去看看	[url=openwnd:点击此处, CommonShop, 'Dress']			
NewWaiYiActivity_vn4	1		浮光若梦外装		10月17日~10月29日期间，首款以稀世珍品【浮光锦】为面料的外装【浮光若梦】系列限时上架黎饰商店。\n[e6d012][url=openwnd:【桃花】浮光·梦蝶, WaiyiPreview, 5867, 3][-]        [e6d012][url=openwnd:【翠烟】浮光·梦蝶, WaiyiPreview, 5887, 8][-]\n[e6d012][url=openwnd:【五毒】浮光·梦蝶, WaiyiPreview, 5903, 12][-]        [e6d012][url=openwnd:【唐门】浮光·梦羽, WaiyiPreview, 5891, 9][-]\n[e6d012][url=openwnd:【逍遥】浮光·梦羽, WaiyiPreview, 5871, 4][-]        [e6d012][url=openwnd:【天忍】浮光·梦羽, WaiyiPreview, 5879, 6][-]\n[e6d012][url=openwnd:【天王】浮光·梦羽, WaiyiPreview, 3878, 1][-]        [e6d012][url=openwnd:【峨眉】浮光·梦缘, WaiyiPreview, 5863, 2][-]\n[e6d012][url=openwnd:【武当】浮光·梦缘, WaiyiPreview, 5875, 5][-]        [e6d012][url=openwnd:【长歌】浮光·梦缘, WaiyiPreview, 5911, 14][-]\n[e6d012][url=openwnd:【藏剑】浮光·梦缘, WaiyiPreview, 5907, 13][-]        [e6d012][url=openwnd:【昆仑】浮光·梦缘, WaiyiPreview, 5895, 10][-]\n[e6d012][url=openwnd:【丐帮】浮光·梦缘, WaiyiPreview, 5899, 11][-]        [e6d012][url=openwnd:【少林】浮光·梦缘, WaiyiPreview, 5883, 7][-]\n绝代匠师精心裁设，流光溢彩质感非凡，除此之外还有更具性价比的[e6d012][url=openwnd:<浮光若梦盛典箱>, ItemTips, "Item", nil, 6020][-]，一次性获得全部4种配色并附赠独有称号的[e6d012][url=openwnd:<浮光若梦豪华箱>, ItemTips, "Item", nil, 6021][-]\n\n稀世珍品，只给品位不凡的你！心动的少侠请抓紧时间前往[47f005] [url=openwnd:黎饰商店, CommonShop, 'Dress', 'tabActShop'] [-]抢购	fnSpecialTime	2017.10.17 4:00:00	2017.10.30		去看看	[url=openwnd:点击此处, CommonShop, 'Dress']			
NewWaiYiActivity_xm1	1		佳期新外装上架		忆往昔，似水年华，与君同游。现如今，君安否？如梦佳期，邀君同游盛世江湖！\n\n7月31日~8月6日，第一期佳期外装正式上架外装商城！\n\n[e6d012][url=openwnd:【唐门】佳期·惊羽, WaiyiPreview, 4377, 9][-]\n[e6d012][url=openwnd:【翠烟】佳期·绯梦, WaiyiPreview, 4376, 8][-]\n[e6d012][url=openwnd:【五毒】佳期·玲珑, WaiyiPreview, 4380, 12][-]\n[e6d012][url=openwnd:【逍遥】佳期·鸿影, WaiyiPreview, 4372, 4][-]\n[e6d012][url=openwnd:【少林】佳期·梵心, WaiyiPreview, 4375, 7][-]\n[e6d012][url=openwnd:【武当】佳期·墨语, WaiyiPreview, 4373, 5][-]\n\n将限时开放售卖，感兴趣的少侠可不要错过哦，可前往[47f005] [url=openwnd:外装商城, CommonShop, 'Dress'] [-]购买！	fnSpecialTime	2017.7.31	2017.8.7		去看看	[url=openwnd:点击此处, CommonShop, 'Dress']			
NewWaiYiActivity_xm2	1		佳期新外装上架		忆往昔，似水年华，与君同游。现如今，君安否？如梦佳期，邀君同游盛世江湖！\n\n8月7日~8月13日，第二期佳期外装正式上架外装商城！\n\n[e6d012][url=openwnd:【丐帮】佳期·解风, WaiyiPreview, 4379, 11][-]\n[e6d012][url=openwnd:【天王】佳期·金鳞, WaiyiPreview, 4243, 1][-]\n[e6d012][url=openwnd:【桃花】佳期·琼华, WaiyiPreview, 4371, 3][-]\n[e6d012][url=openwnd:【昆仑】佳期·雪鲤, WaiyiPreview, 4378, 10][-]\n[e6d012][url=openwnd:【天忍】佳期·紫鸾, WaiyiPreview, 4374, 6][-]\n[e6d012][url=openwnd:【峨眉】佳期·花恋, WaiyiPreview, 4370, 2][-]\n\n将限时开放售卖，感兴趣的少侠可不要错过哦，可前往[47f005] [url=openwnd:外装商城, CommonShop, 'Dress'] [-]购买！	fnSpecialTime	2017.8.7	2017.8.14		去看看	[url=openwnd:点击此处, CommonShop, 'Dress']			
NewWaiYiActivity_xm3	1		浮光若梦外装		9月19日~10月2日期间，首款以稀世珍品【浮光锦】为面料的外装【浮光若梦】系列限时上架黎饰商店。\n[e6d012][url=openwnd:【桃花】浮光·梦蝶, WaiyiPreview, 5867, 3][-]        [e6d012][url=openwnd:【翠烟】浮光·梦蝶, WaiyiPreview, 5887, 8][-]\n[e6d012][url=openwnd:【五毒】浮光·梦蝶, WaiyiPreview, 5903, 12][-]        [e6d012][url=openwnd:【唐门】浮光·梦羽, WaiyiPreview, 5891, 9][-]\n[e6d012][url=openwnd:【逍遥】浮光·梦羽, WaiyiPreview, 5871, 4][-]        [e6d012][url=openwnd:【天忍】浮光·梦羽, WaiyiPreview, 5879, 6][-]\n[e6d012][url=openwnd:【天王】浮光·梦羽, WaiyiPreview, 3878, 1][-]        [e6d012][url=openwnd:【峨眉】浮光·梦缘, WaiyiPreview, 5863, 2][-]\n[e6d012][url=openwnd:【武当】浮光·梦缘, WaiyiPreview, 5875, 5][-]        [e6d012][url=openwnd:【长歌】浮光·梦缘, WaiyiPreview, 5911, 14][-]\n[e6d012][url=openwnd:【藏剑】浮光·梦缘, WaiyiPreview, 5907, 13][-]        [e6d012][url=openwnd:【昆仑】浮光·梦缘, WaiyiPreview, 5895, 10][-]\n[e6d012][url=openwnd:【丐帮】浮光·梦缘, WaiyiPreview, 5899, 11][-]        [e6d012][url=openwnd:【少林】浮光·梦缘, WaiyiPreview, 5883, 7][-]\n绝代匠师精心裁设，流光溢彩质感非凡，除此之外还有更具性价比的[e6d012][url=openwnd:<浮光若梦盛典箱>, ItemTips, "Item", nil, 6020][-]，一次性获得全部4种配色并附赠独有称号的[e6d012][url=openwnd:<浮光若梦豪华箱>, ItemTips, "Item", nil, 6021][-]\n\n稀世珍品，只给品位不凡的你！心动的少侠请抓紧时间前往[47f005] [url=openwnd:黎饰商店, CommonShop, 'Dress', 'tabActShop'] [-]抢购	fnSpecialTime	2017.9.19 4:00:00	2017.10.3		去看看	[url=openwnd:点击此处, CommonShop, 'Dress']			
NewWaiYiActivity_xm4	1		园艺武器外装		10月9日~10月15日期间，“园艺”系列武器外装售价低至6.8折，仅限6天！自用送人两相宜，心动的少侠请打开【黎饰商城】[47f005] [url=openwnd:限时限购, CommonShop, 'Dress'] [-]分页购买！\n\n[e6d012][url=openwnd:【天王】流星水果锤, WaiyiPreview, 3933, 1][-]        [e6d012][url=openwnd:【峨眉】蔷薇风霜剑, WaiyiPreview, 4381, 2][-]\n[e6d012][url=openwnd:【桃花】晴天落花弓, WaiyiPreview, 4385, 3][-]        [e6d012][url=openwnd:【逍遥】飞天流彗枪, WaiyiPreview, 4389, 4][-]\n[e6d012][url=openwnd:【武当】太岳金桔剑, WaiyiPreview, 4393, 5][-]        [e6d012][url=openwnd:【天忍】破月春花刺, WaiyiPreview, 4397, 6][-]\n[e6d012][url=openwnd:【少林】扶风破梦杖, WaiyiPreview, 4401, 7][-]        [e6d012][url=openwnd:【翠烟】梦幻芙蕖枝, WaiyiPreview, 4405, 8][-]\n[e6d012][url=openwnd:【唐门】神弩木生花, WaiyiPreview, 4409, 9][-]        [e6d012][url=openwnd:【昆仑】桃花笑春风, WaiyiPreview, 4413, 10][-]\n[e6d012][url=openwnd:【丐帮】翠玉青竹杖, WaiyiPreview, 4417, 11][-]        [e6d012][url=openwnd:【五毒】苗疆朝颜笛, WaiyiPreview, 4421, 12][-]\n[e6d012][url=openwnd:【藏剑】冷杉翠芽枝, WaiyiPreview, 5351, 13][-]        [e6d012][url=openwnd:【长歌】摇曳百合束, WaiyiPreview, 5355, 14][-]	fnSpecialTime	2017.10.09	2017.10.16		去看看	[url=openwnd:点击此处, CommonShop, 'Dress']			
