EquipType	Attrib	Probility	Delta	WeightAdd
Ring	deadlystrike_v	1000		
Ring	state_zhican_resistrate	1000		
Ring	meleedamagereturn_p	1000		
Pendant	vitality_v	1000		
Pendant	energy_v	1000		
Pendant	lifemax_v	1000		
Pendant	recover_life_v	1000		
Pendant	fire_resist_v	1000		
Pendant	ignore_defense_v	1000		
Pendant	deadlystrike_damage_p	1000		
Pendant	weaken_deadlystrike_v	1000		
Pendant	state_palsy_resistrate	1000		
Pendant	rangedamagereturn_p	1000		
Amulet	vitality_v	1000		
Amulet	dexterity_v	1000		
Amulet	lifemax_v	1000		
Amulet	recover_life_v	1000		
Amulet	lifereplenish_p	1000		
Amulet	earth_resist_v	1000		
Amulet	ignore_defense_v	1000		
Amulet	deadlystrike_damage_p	1000		
Amulet	rangedamagereturn_p	1000		
Amulet	state_stun_resistrate	1000		
ZhenYuan	vitality_v	1000		
ZhenYuan	dexterity_v	1000		
ZhenYuan	strength_v	1000		
ZhenYuan	energy_v	1000		
ZhenYuan	physical_damage_v	1000		
ZhenYuan	basic_damage_v	1000		
ZhenYuan	all_series_resist_v	1000		
ZhenYuan	ignore_all_resist_v	1000		
ZhenYuan	defense_v	1000		
ZhenYuan	ignore_defense_v	1000		
ZhenYuan	deadlystrike_v	1000		
ZhenYuan	weaken_deadlystrike_v	1000		
ZhenYuan	all_series_resist_p	1000		
ZhenYuan	ignore_all_resist_vp	1000		
ZhenYuan	defense_p	1000	5	9000
ZhenYuan	ignore_defense_vp	1000	5	9000
ZhenYuan	attackrate_p	1000		
ZhenYuan	deadlystrike_p	1000		
ZhenYuan	ignore_deadlystrike_vp	1000		
WeaponSeriesDark	energy_v	1000		
WeaponSeriesDark	strength_v	1000		
WeaponSeriesDark	lifemax_v	1000		
WeaponSeriesDark	physical_damage_v	1000		
WeaponSeriesDark	basic_damage_v	1000		
HelmSeriesDark	vitality_v	1000		
HelmSeriesDark	energy_v	1000		
HelmSeriesDark	dexterity_v	1000		
HelmSeriesDark	lifemax_v	1000		
HelmSeriesDark	lifemax_p	1000		
CuffSeriesDark	vitality_v	1000		
CuffSeriesDark	strength_v	1000		
CuffSeriesDark	dexterity_v	1000		
CuffSeriesDark	lifemax_v	1000		
CuffSeriesDark	wood_resist_v	1000		
ArmorSeriesDark	vitality_v	1000		
ArmorSeriesDark	dexterity_v	1000		
ArmorSeriesDark	lifemax_v	1000		
ArmorSeriesDark	recover_life_v	1000		
ArmorSeriesDark	metal_resist_v	1000		
BeltSeriesDark	vitality_v	1000		
BeltSeriesDark	dexterity_v	1000		
BeltSeriesDark	energy_v	1000		
BeltSeriesDark	lifemax_v	1000		
BeltSeriesDark	lifemax_p	1000		
BootsSeriesDark	vitality_v	1000		
BootsSeriesDark	dexterity_v	1000		
BootsSeriesDark	strength_v	1000		
BootsSeriesDark	lifemax_v	1000		
BootsSeriesDark	lifereplenish_p	1000		
RingSeriesDark	energy_v	1000		
RingSeriesDark	strength_v	1000		
RingSeriesDark	lifemax_v	1000		
RingSeriesDark	wood_resist_v	1000		
RingSeriesDark	attackrate_v	1000		
NecklaceSeriesDark	strength_v	1000		
NecklaceSeriesDark	dexterity_v	1000		
NecklaceSeriesDark	lifemax_v	1000		
NecklaceSeriesDark	water_resist_v	1000		
NecklaceSeriesDark	defense_v	1000		
PendantSeriesDark	vitality_v	1000		
PendantSeriesDark	energy_v	1000		
PendantSeriesDark	lifemax_v	1000		
PendantSeriesDark	recover_life_v	1000		
PendantSeriesDark	fire_resist_v	1000		
AmuletSeriesDark	vitality_v	1000		
AmuletSeriesDark	dexterity_v	1000		
AmuletSeriesDark	lifemax_v	1000		
AmuletSeriesDark	recover_life_v	1000		
AmuletSeriesDark	lifereplenish_p	1000		
WeaponSeries	attackrate_v	1000		
WeaponSeries	deadlystrike_v	1000		
WeaponSeries	add_seriesstate_rate_v	1000		
WeaponSeries	steallife_p	1000		
WeaponSeries	ignore_all_resist_v	1000		
HelmSeries	recover_life_v	1000		
HelmSeries	water_resist_v	1000		
HelmSeries	defense_v	1000		
HelmSeries	weaken_deadlystrike_v	1000		
HelmSeries	state_stun_resistrate	1000		
CuffSeries	defense_v	1000		
CuffSeries	weaken_deadlystrike_v	1000		
CuffSeries	weaken_deadlystrike_damage_p	1000		
CuffSeries	state_zhican_resistrate	1000		
CuffSeries	attackrate_v	1000		
ArmorSeries	all_series_resist_v	1000		
ArmorSeries	weaken_deadlystrike_v	1000		
ArmorSeries	weaken_deadlystrike_damage_p	1000		
ArmorSeries	state_hurt_resistrate	1000		
ArmorSeries	resist_allseriesstate_rate_v	1000		
BeltSeries	fire_resist_v	1000		
BeltSeries	defense_v	1000		
BeltSeries	weaken_deadlystrike_v	1000		
BeltSeries	weaken_deadlystrike_damage_p	1000		
BeltSeries	state_slowall_resistrate	1000		
BootsSeries	earth_resist_v	1000		
BootsSeries	defense_v	1000		
BootsSeries	weaken_deadlystrike_v	1000		
BootsSeries	weaken_deadlystrike_damage_p	1000		
BootsSeries	state_palsy_resistrate	1000		
NecklaceSeries	ignore_defense_v	1000		
NecklaceSeries	deadlystrike_v	1000		
NecklaceSeries	deadlystrike_damage_p	1000		
NecklaceSeries	state_slowall_resistrate	1000		
NecklaceSeries	meleedamagereturn_p	1000		
RingSeries	defense_v	1000		
RingSeries	ignore_defense_v	1000		
RingSeries	deadlystrike_v	1000		
RingSeries	state_zhican_resistrate	1000		
RingSeries	meleedamagereturn_p	1000		
PendantSeries	ignore_defense_v	1000		
PendantSeries	deadlystrike_damage_p	1000		
PendantSeries	weaken_deadlystrike_v	1000		
PendantSeries	state_palsy_resistrate	1000		
PendantSeries	rangedamagereturn_p	1000		
AmuletSeries	earth_resist_v	1000		
AmuletSeries	ignore_defense_v	1000		
AmuletSeries	deadlystrike_damage_p	1000		
AmuletSeries	rangedamagereturn_p	1000		
AmuletSeries	state_stun_resistrate	1000		
