AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	Value1Offset	Value2Offset	Value3Offset	SpecialDesc
metal_resist_v	7	16000	16000000	522			174			
metal_resist_v	8	0	0	0			0			
metal_resist_v	9	0	0	0			0			
metal_resist_v	10	0	0	0			0			
metal_resist_v	11	0	0	0			0			
metal_resist_v	12	0	0	0			0			
metal_resist_v	13	0	0	0			0			
metal_resist_v	14	0	0	0			0			
metal_resist_v	15	0	0	0			0			
wood_resist_v	1	1000	1000000	188			63			
wood_resist_v	2	2000	2000000	243			81			
wood_resist_v	3	5000	5000000	340			114			
wood_resist_v	4	8000	8000000	404			135			
wood_resist_v	5	12000	12000000	470			157			
wood_resist_v	6	14000	14000000	497			166			
wood_resist_v	7	16000	16000000	522			174			
wood_resist_v	8	0	0	0			0			
wood_resist_v	9	0	0	0			0			
wood_resist_v	10	0	0	0			0			
wood_resist_v	11	0	0	0			0			
wood_resist_v	12	0	0	0			0			
wood_resist_v	13	0	0	0			0			
wood_resist_v	14	0	0	0			0			
wood_resist_v	15	0	0	0			0			
water_resist_v	1	1000	1000000	188			63			
water_resist_v	2	2000	2000000	243			81			
water_resist_v	3	5000	5000000	340			114			
water_resist_v	4	8000	8000000	404			135			
water_resist_v	5	12000	12000000	470			157			
water_resist_v	6	14000	14000000	497			166			
water_resist_v	7	16000	16000000	522			174			
water_resist_v	8	0	0	0			0			
water_resist_v	9	0	0	0			0			
water_resist_v	10	0	0	0			0			
water_resist_v	11	0	0	0			0			
water_resist_v	12	0	0	0			0			
water_resist_v	13	0	0	0			0			
water_resist_v	14	0	0	0			0			
water_resist_v	15	0	0	0			0			
fire_resist_v	1	1000	1000000	188			63			
fire_resist_v	2	2000	2000000	243			81			
fire_resist_v	3	5000	5000000	340			114			
fire_resist_v	4	8000	8000000	404			135			
fire_resist_v	5	12000	12000000	470			157			
fire_resist_v	6	14000	14000000	497			166			
fire_resist_v	7	16000	16000000	522			174			
fire_resist_v	8	0	0	0			0			
fire_resist_v	9	0	0	0			0			
fire_resist_v	10	0	0	0			0			
fire_resist_v	11	0	0	0			0			
fire_resist_v	12	0	0	0			0			
fire_resist_v	13	0	0	0			0			
fire_resist_v	14	0	0	0			0			
fire_resist_v	15	0	0	0			0			
earth_resist_v	1	1000	1000000	188			63			
earth_resist_v	2	2000	2000000	243			81			
earth_resist_v	3	5000	5000000	340			114			
earth_resist_v	4	8000	8000000	404			135			
earth_resist_v	5	12000	12000000	470			157			
earth_resist_v	6	14000	14000000	497			166			
earth_resist_v	7	16000	16000000	522			174			
earth_resist_v	8	0	0	0			0			
earth_resist_v	9	0	0	0			0			
earth_resist_v	10	0	0	0			0			
earth_resist_v	11	0	0	0			0			
earth_resist_v	12	0	0	0			0			
earth_resist_v	13	0	0	0			0			
earth_resist_v	14	0	0	0			0			
earth_resist_v	15	0	0	0			0			
