BuildingId	Level	MainBuildingLimit	LevelUpCost	Desc
6	6	7	8000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	7	8	16000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	8	9	24000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	9	10	32000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	10	11	40000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	11	12	50000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	12	13	60000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	13	14	70000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
7	1	2	250000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	2	3	500000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	3	4	1000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	4	5	2000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	5	6	4000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	6	7	8000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	7	8	16000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	8	9	24000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	9	10	32000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	10	11	40000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	11	12	50000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	12	13	60000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
7	13	14	70000000	●  兵甲坊提供打造：[FFFE0D]武器[-]、[FFFE0D]衣服[-]\n●  兵甲坊等级越高打造成本折扣越优惠
8	1	2	250000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	2	3	500000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	3	4	1000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	4	5	2000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	5	6	4000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	6	7	8000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	7	8	16000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	8	9	24000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	9	10	32000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	10	11	40000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	11	12	50000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	12	13	60000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
8	13	14	70000000	●  首饰坊提供打造：[FFFE0D]项链[-]、[FFFE0D]戒指[-]、[FFFE0D]玉佩[-]、[FFFE0D]护身符[-]\n●  首饰坊等级越高打造成本折扣越优惠
9	1	4	1000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
9	2	5	2000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
9	3	6	4000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
9	4	7	8000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
9	5	8	16000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
9	6	9	24000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
9	7	10	32000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
9	8	11	40000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
9	9	12	50000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
9	10	13	60000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
9	11	14	70000000	●  战争坊出售攻城战道具：[FFFE0D]攻城车[-]、[FFFE0D]劲弩车[-]、[FFFE0D]铁炮车[-]、[FFFE0D]神射手[-]、[FFFE0D]鼓舞旗[-]\n●  战争坊等级越高购买折扣越优惠
