nId	szMark	szRecordFormat	szRelation	szRepeat	nGlobal
120	好声音评选获得复赛门派前三（全服红包）	好声音评选复赛门派前三		nolimit	1
121	好声音评选获得复赛区域冠军（全服红包）	好声音评选复赛区域冠军		nolimit	1
122	好声音评选获得复赛门派冠军（全服红包）	好声音评选复赛门派冠军		nolimit	1
123	好声音评选获得复赛冠军（全服红包）	好声音评选复赛冠军		nolimit	1
124	好声音评选获得决赛前十（全服红包）	好声音评选决赛前十		nolimit	1
125	好声音评选获得决赛第一（全服红包）	好声音评选决赛第一		nolimit	1
126	美女评选获投8000	美女评选获投8000票	>=	nolimit	
127	美女评选决赛第二	美女评选中获得决赛第二		nolimit	
128	美女评选决赛第三	美女评选中获得决赛第三		nolimit	
129	美女评选决赛前20	美女评选中获得决赛前十		nolimit	
130	美女评选获投8000（全服红包）	美女评选获投8000票	>=	nolimit	1
131	美女评选决赛第二（全服红包）	美女评选中获得决赛第二		nolimit	1
132	美女评选决赛第三（全服红包）	美女评选中获得决赛第三		nolimit	1
133	美女评选决赛前20（全服红包）	美女评选中获得决赛前20		nolimit	1
134	雄才伟略	作为领袖在家族遭遇战中表现优秀		nolimit	
135	古之名将不能及	作为族长在家族遭遇战中表现优秀		nolimit	
136	料敌机先	作为领袖在家族遭遇战中表现良好		nolimit	
137	万军从我塞上征	作为族长在家族遭遇战中表现良好		nolimit	
138	结婚一年	结婚满一年		nolimit	
139	鼎盛家族领袖	鼎盛家族领袖		nolimit	
140	鼎盛家族族长	鼎盛家族族长		nolimit	
141	兴旺家族领袖	兴旺家族领袖		nolimit	
142	兴旺家族族长	兴旺家族族长		nolimit	
143	活跃家族领袖	活跃家族领袖		nolimit	
144	活跃家族族长	活跃家族族长		nolimit	
145	购买所有充值返利礼包	购买所有充值返利礼包		nolimit	
146	金牌指挥	金牌指挥	>=	weekly	
147	卓越指挥	卓越指挥	>=	weekly	
148	优秀指挥	优秀指挥	>=	weekly	
149	购买每日礼包168元套包	购买每日礼包168元套包		nolimit	
150	饺子宴活动第一家族领袖	饺子宴活动第一家族领袖		nolimit	
151	饺子宴活动第一家族族长	饺子宴活动第一家族族长		nolimit	
152	饺子宴活动第二家族领袖	饺子宴活动第二家族领袖		nolimit	
153	饺子宴活动第二家族族长	饺子宴活动第二家族族长		nolimit	
154	饺子宴活动第三家族领袖	饺子宴活动第三家族领袖		nolimit	
155	饺子宴活动第三家族族长	饺子宴活动第三家族族长		nolimit	
156	20人舞龙达成	20人舞龙达成		nolimit	
157	20人舞龙达成	20人舞龙达成		nolimit	
158	30人舞龙达成	30人舞龙达成		nolimit	
159	30人舞龙达成	30人舞龙达成		nolimit	
160	50人舞龙达成	50人舞龙达成		nolimit	
161	50人舞龙达成	50人舞龙达成		nolimit	
162	70人舞龙达成	70人舞龙达成		nolimit	
163	70人舞龙达成	70人舞龙达成		nolimit	
164	100人舞龙达成	100人舞龙达成		nolimit	
165	100人舞龙达成	100人舞龙达成		nolimit	
166	第1轮年夜饭祝福语	第1轮年夜饭祝福语		nolimit	
167	第2轮年夜饭祝福语	第2轮年夜饭祝福语		nolimit	
168	第3轮年夜饭祝福语	第3轮年夜饭祝福语		nolimit	
169	第4轮年夜饭祝福语	第4轮年夜饭祝福语		nolimit	
170	年夜饭跳舞红包	年夜饭跳舞红包		nolimit	
171	年夜饭跳舞红包	年夜饭跳舞红包		nolimit	
172	【剑侠V12】回归红包	【剑侠V12】回归红包		nolimit	
173	【剑侠V13】回归红包	【剑侠V13】回归红包		nolimit	
174	【剑侠V14】回归红包	【剑侠V14】回归红包		nolimit	
175	【剑侠V15】回归红包	【剑侠V15】回归红包		nolimit	
176	【剑侠V16】回归红包	【剑侠V16】回归红包		nolimit	
177	【剑侠V17】回归红包	【剑侠V17】回归红包		nolimit	
178	【剑侠V18】回归红包	【剑侠V18】回归红包		nolimit	
179	购买一本万利（150级）	购买一本万利（150级）		nolimit	
180	购买一本万利（160级）	购买一本万利（160级）		nolimit	
181	购买一本万利（170级）	购买一本万利（170级）		nolimit	
182	创建家族	创建家族			
183	愚人节活动本日答题全对	愚人节活动本日答题全对		nolimit	
184	天机迷阵破阵	天机迷阵破阵		weekly	
185	跨服武神殿排名	跨服武神殿冠军	<=		
186	名扬四海荣耀礼包（648）	购买名扬四海荣耀礼包		nolimit	
187	名扬四海华贵礼包（648）	购买名扬四海华贵礼包		nolimit	
188	微信专享礼包	购买微信专享礼包		nolimit	
189	领土战赛季冠军	领土战赛季冠军		nolimit	
190	领土战赛季四强	领土战赛季四强		nolimit	
191	领土战赛季八强	领土战赛季八强		nolimit	
192	领土战赛季精锐	领土战赛季精锐		nolimit	
193	购买一本万利（180级）	购买一本万利（180级）		nolimit	
194	家族评选复赛总冠军（全服红包）	家族评选复赛总冠军		nolimit	1
195	家族评选复赛分主题冠军（全服红包）	家族评选复赛分主题冠军		nolimit	1
196	家族评选复赛分主题三甲（全服红包）	家族评选复赛分主题三甲		nolimit	1
197	家族评选决赛冠军（全服红包）	家族评选决赛冠军		nolimit	1
198	家族评选决赛亚军（全服红包）	家族评选决赛亚军		nolimit	1
199	家族评选决赛季军（全服红包）	家族评选决赛季军		nolimit	1
200	家族评选决赛十强（全服红包）	家族评选决赛十强		nolimit	1
201	家族评选初赛冠军	家族评选初赛冠军		nolimit	
202	家族评选初赛获投12000票	家族评选初赛获投12000票		nolimit	
203	家族评选初赛获投6000票	家族评选初赛获投6000票		nolimit	
204	家族评选复赛总冠军	家族评选复赛总冠军		nolimit	
205	家族评选复赛分主题冠军	家族评选复赛分主题冠军		nolimit	
206	家族评选复赛分主题三甲	家族评选复赛分主题三甲		nolimit	
207	家族评选复赛获投10000票	家族评选复赛获投10000票		nolimit	
208	家族评选决赛冠军	家族评选决赛冠军		nolimit	
209	家族评选决赛亚军	家族评选决赛亚军		nolimit	
210	家族评选决赛季军	家族评选决赛季军		nolimit	
211	家族评选决赛十强	家族评选决赛十强		nolimit	
212	家族评选决赛精锐	家族评选决赛精锐		nolimit	
213	购买一本万利（190级）	购买一本万利（190级）		nolimit	
214	琼花杯冠军领袖	琼花杯冠军领袖		nolimit	
215	琼花杯冠军族长	琼花杯冠军族长		nolimit	
216	琼花杯亚军领袖	琼花杯亚军领袖		nolimit	
217	琼花杯亚军族长	琼花杯亚军族长		nolimit	
218	琼花杯四强领袖	琼花杯四强领袖		nolimit	
219	琼花杯四强族长	琼花杯四强族长		nolimit	
220	琼花杯八强领袖	琼花杯八强领袖		nolimit	
221	琼花杯八强族长	琼花杯八强族长		nolimit	
