nEventId	nTypeId	szTyepName	nTarget	nBaseGold	szAddGoldList	nCount	nAverageMin	nKind
156	97	购买一本万利（120级）		400	2000_800_400	20	5	1
157	98	购买一本万利（130级）		400	2000_800_400	20	5	1
158	99	群英会排名	1	600	3000_1200_600	20	6	1
159	100	季度战场第一	1	4000	20000_8000_4000	20	40	3
160	101	年度战场第一（家族）	1	6000	30000_12000_6000	20	60	3
161	102	年度战场第一（全服）	1	10000	50000_20000_10000	20	33	1
162	103	购买一本万利（140级）		400	2000_800_400	20	5	1
163	104	购买7日礼包		200	1000_400_200	20	5	1
164	105	登上年度通天塔八层	8	8000	40000_16000_8000	20	80	3
165	106	好声音评选海选赛获投199票	199	400	2000_800_400	20	5	1
166	107	「诗音阁」活动三甲		2000	10000_4000_2000	100	20	1
167	108	「诗音阁」活动冠军		5000	25000_10000_5000	100	50	1
168	109	好声音评选复赛获投8000票	8000	5000	25000_10000_5000	20	50	1
169	110	好声音评选获得复赛区域前三		5000	25000_10000_5000	20	50	1
170	111	好声音评选获得复赛门派前三		5000	25000_10000_5000	20	50	1
171	112	好声音评选获得复赛区域冠军		10000	50000_20000_10000	20	100	1
172	113	好声音评选获得复赛门派冠军		10000	50000_20000_10000	20	100	1
173	114	好声音评选获得复赛冠军		20000	100000_40000_20000	20	100	1
174	115	好声音评选获得决赛前十		50000	250000_100000_50000	20	500	1
175	116	好声音评选获得决赛第一		100000	500000_200000_100000	20	1000	1
176	117	「诗音阁」活动冠军（全服红包）		15000	75000_30000_15000	500	30	1
177	118	好声音评选复赛获投8000票（全服红包）	8000	10000	50000_20000_10000	20	33	1
178	119	好声音评选获得复赛区域前三（全服红包）		10000	50000_20000_10000	20	33	1
179	120	好声音评选获得复赛门派前三（全服红包）		10000	50000_20000_10000	20	33	1
180	121	好声音评选获得复赛区域冠军（全服红包）		20000	100000_40000_20000	20	40	1
181	122	好声音评选获得复赛门派冠军（全服红包）		20000	100000_40000_20000	20	40	1
182	123	好声音评选获得复赛冠军（全服红包）		40000	200000_80000_40000	20	80	1
183	124	好声音评选获得决赛前十（全服红包）		100000	500000_200000_100000	20	100	1
184	125	好声音评选获得决赛第一（全服红包）		200000	1000000_400000_200000	20	200	1
185	126	vn-美女评选获投8000	8000	15000	75000_30000_15000	20	150	1
186	127	vn-美女评选决赛第二		80000	400000_160000_80000	20	800	1
187	128	vn-美女评选决赛第三		60000	300000_120000_60000	20	600	1
188	129	vn-美女评选决赛前20		50000	250000_100000_50000	20	500	1
189	130	vn-美女评选获投8000（全服红包）	8000	20000	100000_40000_20000	20	40	1
190	131	vn-美女评选决赛第二（全服红包）		150000	750000_300000_150000	20	150	1
191	132	vn-美女评选决赛第三（全服红包）		120000	600000_240000_120000	20	120	1
192	133	vn-美女评选决赛前20（全服红包）		100000	500000_200000_100000	20	100	1
193	134	雄才伟略		5000	25000_10000_5000	20	50	2
194	135	古之名将不能及		3000	15000_6000_3000	20	30	2
195	136	料敌机先		3000	15000_6000_3000	20	30	2
196	137	万军从我塞上征		2000	10000_4000_2000	20	20	2
197	138	结婚满一年		2000	10000_4000_2000	20	20	2
198	139	鼎盛家族领袖		5000	25000_10000_5000	20	50	2
199	140	鼎盛家族族长		3000	15000_6000_3000	20	30	2
200	141	兴旺家族领袖		3000	15000_6000_3000	20	30	2
201	142	兴旺家族族长		2000	10000_4000_2000	20	20	2
202	143	活跃家族领袖		2000	10000_4000_2000	20	20	2
203	144	活跃家族族长		1000	5000_2000_1000	20	10	2
204	145	购买所有充值返利礼包		1000	5000_2000_1000	50	10	3
205	146	金牌指挥		500	2500_1000_500	20	5	1
206	147	卓越指挥		200	1000_400_200	20	5	1
207	148	优秀指挥		100	500_200_100	20	5	1
208	149	购买每日礼包168元套包		400	2000_800_400	20	5	1
209	150	饺子宴活动第一家族领袖		5000	25000_10000_5000	20	50	2
210	151	饺子宴活动第一家族族长		3000	15000_6000_3000	20	30	2
211	152	饺子宴活动第二家族领袖		3000	15000_6000_3000	20	30	2
212	153	饺子宴活动第二家族族长		2000	10000_4000_2000	20	20	2
213	154	饺子宴活动第三家族领袖		2000	10000_4000_2000	20	20	2
214	155	饺子宴活动第三家族族长		1000	5000_2000_1000	20	10	2
215	156	20人舞龙达成		500	2500_1000_500	20	25	3
216	157	20人舞龙达成		500	2500_1000_500	20	25	3
217	158	30人舞龙达成		1000	5000_2000_1000	20	33	3
218	159	30人舞龙达成		1000	5000_2000_1000	20	33	3
219	160	50人舞龙达成		2000	10000_4000_2000	20	40	3
220	161	50人舞龙达成		2000	10000_4000_2000	20	40	3
221	162	70人舞龙达成		3000	15000_6000_3000	20	42	3
222	163	70人舞龙达成		3000	15000_6000_3000	20	42	3
223	164	100人舞龙达成		5000	25000_10000_5000	20	50	3
224	165	100人舞龙达成		5000	25000_10000_5000	20	50	3
225	166	第1轮年夜饭祝福语		5000	25000_10000_5000	20	50	4
226	167	第2轮年夜饭祝福语		5000	25000_10000_5000	20	50	4
227	168	第3轮年夜饭祝福语		5000	25000_10000_5000	20	50	4
228	169	第4轮年夜饭祝福语		5000	25000_10000_5000	20	50	4
229	170	年夜饭跳舞红包		1000	5000_2000_1000	20	33	2
230	171	年夜饭跳舞红包		1000	5000_2000_1000	20	33	3
231	172	【剑侠V12】回归红包		1500	7500_3000_1500	20	30	2
232	173	【剑侠V13】回归红包		1500	7500_3000_1500	20	30	2
233	174	【剑侠V14】回归红包		1500	7500_3000_1500	20	30	2
234	175	【剑侠V15】回归红包		3000	15000_6000_3000	20	37	2
235	176	【剑侠V16】回归红包		3000	15000_6000_3000	20	37	2
236	177	【剑侠V17】回归红包		3000	15000_6000_3000	20	37	2
237	178	【剑侠V18】回归红包		5000	25000_10000_5000	20	50	2
238	179	购买一本万利（150级）		400	2000_800_400	20	5	1
239	180	购买一本万利（160级）		400	2000_800_400	20	5	1
240	181	购买一本万利（170级）		400	2000_800_400	20	5	1
241	182	创建家族		400	2000_800_400	30	5	2
242	183	愚人节活动本日答题全对		5000	25000_10000_5000	20	100	3
243	184	天机迷阵破阵		500	2500_1000_500	30	5	3
244	185	跨服武神殿排名	1	3000	15000_6000_3000	100	30	1
245	186	名扬四海荣耀礼包		1000	5000_2000_1000	50	10	1
246	187	名扬四海华贵礼包		1000	5000_2000_1000	50	10	1
247	188	微信专享礼包		400	2000_800_400	30	5	1
248	189	领土战赛季冠军		5000	25000_10000_5000	100	50	1
249	190	领土战赛季四强		3000	15000_6000_3000	80	37	1
250	191	领土战赛季八强		2000	10000_4000_2000	60	33	1
251	192	领土战赛季精锐		1000	5000_2000_1000	50	20	1
252	193	购买一本万利（180级）		400	2000_800_400	30	5	1
253	194	家族评选复赛总冠军		30000	150000_60000_30000	500	60	1
254	195	家族评选复赛分主题冠军		20000	100000_40000_20000	500	40	1
255	196	家族评选复赛分主题三甲		10000	50000_20000_10000	300	33	1
256	197	家族评选决赛冠军		50000	250000_100000_50000	500	100	1
257	198	家族评选决赛亚军		30000	150000_60000_30000	500	60	1
258	199	家族评选决赛季军		20000	100000_40000_20000	500	40	1
259	200	家族评选决赛十强		10000	50000_20000_10000	300	33	1
260	201	家族评选初赛冠军		3000	15000_6000_3000	100	30	1
261	202	家族评选初赛获投15000票		2000	10000_4000_2000	60	33	1
262	203	家族评选初赛获投6000票		1000	5000_2000_1000	50	10	1
263	204	家族评选复赛总冠军		4000	20000_8000_4000	80	40	1
264	205	家族评选复赛分主题冠军		3000	15000_6000_3000	100	30	1
265	206	家族评选复赛分主题三甲		2000	10000_4000_2000	60	33	1
266	207	家族评选复赛获投10000票		1000	5000_2000_1000	50	10	1
267	208	家族评选决赛冠军		5000	25000_10000_5000	100	50	1
268	209	家族评选决赛亚军		4000	20000_8000_4000	80	40	1
269	210	家族评选决赛季军		3000	15000_6000_3000	100	30	1
270	211	家族评选决赛十强		2000	10000_4000_2000	60	33	1
271	212	家族评选决赛精锐		1000	5000_2000_1000	50	10	1
272	213	购买一本万利（190级）		400	2000_800_400	30	5	1
273	214	琼花杯冠军领袖		8000	40000_16000_8000	100	80	1
274	215	琼花杯冠军族长		8000	40000_16000_8000	100	80	1
275	216	琼花杯亚军领袖		6000	30000_12000_6000	90	66	1
276	217	琼花杯亚军族长		6000	30000_12000_6000	90	66	1
277	218	琼花杯四强领袖		5000	25000_10000_5000	80	62	1
278	219	琼花杯四强族长		5000	25000_10000_5000	80	62	1
279	220	琼花杯八强领袖		3000	15000_6000_3000	60	50	1
280	221	琼花杯八强族长		3000	15000_6000_3000	60	50	1
