szTimeFrame	nNpcTID	Name	Map	szTips1	szTips2	szTips3	Desc
OpenLevel69	1982	胡神医	伏牛山	药王谷谷主，位于60级地图西方	胡神医,位于伏牛山西方		云岭山脉，药王谷主
OpenLevel69	1983	秋依水	古战场	翠烟门门主，位于60级地图东北	秋依水,位于古战场东北		云岭山脉，心系唐影
OpenLevel69	1984	万金财	古战场	有钱的胖子，位于60级地图西方	万金财,位于古战场西方		运镖之所，行商坐贾
OpenLevel69	1985	虞姬	风陵渡	霸王别姬，位于PK地图北方	虞姬,位于风陵渡北方		运镖之所，和垓下歌
OpenLevel89	1966	纳兰潜凛	锁云渊	无忧教主，位于10级地图北方	纳兰潜凛,位于锁云渊北方		竹林幽幽，一代枭雄
OpenLevel89	1967	纳兰真	武夷山	忘忧岛明珠，位于10级地图西方	纳兰真,位于武夷山西方		竹林幽幽，蕙质兰心
OpenLevel89	1968	独孤剑	雁荡山	武林盟主，位于10级地图东方	独孤剑,位于雁荡山东方		竹林幽幽，抗金豪侠
OpenLevel89	1969	张琳心	洞庭湖畔	独孤剑之妻，位于20级地图西南	张琳心,位于洞庭湖畔西南		羽流禅家，清心之术
OpenLevel89	1970	南宫飞云	苗岭	剑中之剑，位于20级地图南方	南宫飞云,位于苗岭南方		羽流禅家，花飞蝴蝶
OpenLevel89	1971	燕若雪	点苍山	南宫飞云之妻，位于20级地图东方	燕若雪,位于点苍山东方		羽流禅家，金国公主
OpenLevel89	1972	孟知秋	夜郎废墟	蔷薇之父，位于PK地图南方	孟知秋,位于夜郎废墟南方		结草为荡，沧海月明
OpenLevel89	1973	月眉儿	响水洞	飞龙堡少堡主，位于40级地图北方	月眉儿,位于响水洞北方		结草为荡，冰心仙子
OpenLevel89	1974	杨影枫	见性峰	悲魔剑圣，位于40级地图南方	杨影枫,位于见性峰南方		结草为荡，烈火情天
OpenLevel89	1975	蔷薇	剑门关	孟知秋之女，位于40级地图西南	蔷薇,位于剑门关西南		岸芷汀兰，刁蛮姑娘
OpenLevel89	1976	张如梦	荐菊洞	南宫彩虹之父，位于60级地图西南	张如梦,位于荐菊洞西南		岸芷汀兰，孤山印月
OpenLevel89	1977	南宫彩虹	伏牛山	张如梦之妻，位于60级地图东北	南宫彩虹,位于伏牛山东北		岸芷汀兰，敢爱敢恨
OpenLevel89	1978	卓非凡	古战场	藏剑山庄庄主，位于60级地图东北	卓非凡,位于古战场东北		竹林幽幽，心狠手辣
OpenLevel89	1979	紫轩	风陵渡	执伞的姑娘，位于PK地图北方	紫轩,位于风陵渡北方		竹林幽幽，身世凄婉
OpenLevel89	1980	柴嵩	祁连山	长歌门门主，位于80级地图北方	柴嵩,位于祁连山北方		竹林幽幽，云海梦蝶
OpenLevel89	1981	杨瑛	祁连山	天王帮帮主，位于80级地图西方	杨瑛,位于祁连山西方		洱源下关，巾帼须眉
OpenLevel89	1982	胡神医	沙漠遗迹	药王谷谷主，位于80级地图西方	胡神医,位于沙漠遗迹西方		洱源下关，骑驴之人
OpenLevel89	1983	秋依水	沙漠遗迹	翠烟门门主，位于80级地图东方	秋依水,位于沙漠遗迹东方		洱源下关，雪映红尘
OpenLevel89	1984	万金财	敦煌古城	有钱的胖子，位于80级地图北方	万金财,位于敦煌古城北方		纷争之地，金牙胖子
OpenLevel89	1985	虞姬	敦煌古城	霸王别姬，位于80级地图南方	虞姬,位于敦煌古城南方		纷争之地，西楚美人
