nFurnitureTemplateId	Desc	nType	nLevel	nDecorationId	nIsHouse	nTimeLimit
1034	绛红雕金案	3	7	1034	1	
1011	松木方案	3	1	1011	1	
1012	桦木方案	3	2	1012	1	
1013	墨香方案	3	3	1013	1	
1014	幻彩流光方案	3	4	1014	1	
1015	紫檀鎏金方案	3	5	1015	1	
1035	墨绿镶金方案	3	6	1035	1	
1036	绛红雕金方案	3	7	1036	1	
1016	松木翘头案	3	1	1016	2	
1017	桦木翘头案	3	2	1017	2	
1018	墨香翘头案	3	3	1018	2	
1019	幻彩流光翘头案	3	4	1019	2	
1020	紫檀鎏金翘头案	3	5	1020	2	
1037	墨绿镶金翘头案	3	6	1037	2	
1038	绛红雕金翘头案	3	7	1038	2	
1021	松木盆景架	3	1	1021	1	
1022	桦木盆景架	3	2	1022	1	
1023	墨香盆景架	3	3	1023	1	
1024	幻彩流光盆景架	3	4	1024	1	
1025	紫檀鎏金盆景架	3	5	1025	1	
1039	墨绿镶金盆景架	3	6	1039	1	
1026	松木棋盘	3	1	1026	2	
1027	桦木棋盘	3	2	1027	2	
1028	墨香棋盘	3	3	1028	2	
1029	幻彩流光棋盘	3	4	1029	2	
1030	紫檀鎏金棋盘	3	5	1030	2	
1040	墨绿镶金棋盘	3	6	1040	2	
1041	绛红雕金棋盘	3	7	1041	2	
1501	稻禾蒲团	4	1	1501	1	
1502	笋壳蒲团	4	2	1502	1	
1503	紫罗兰	4	3	1503	1	
1504	冷玉琅缳	4	4	1504	1	
1505	紫玉成烟	4	5	1505	1	
1519	交十叠翠	4	6	1519	1	
1520	金风玉露	4	7	1520	1	
1506	粗麻方垫	4	1	1506	1	
1507	棉质方垫	4	2	1507	1	
1508	幽芳	4	3	1508	1	
1509	红尘客梦	4	4	1509	1	
1510	金兰	4	5	1510	1	
1521	红莲揽翠	4	6	1521	1	
1522	胭脂点雪	4	7	1522	1	
1511	松木长凳	4	1	1511	2	
1512	桦木长凳	4	2	1512	2	
1513	墨香圆凳	4	3	1513	2	
1514	幻彩流光圆凳	4	4	1514	2	
1515	紫檀鎏金圆凳	4	5	1515	2	
1523	墨绿镶金圆凳	4	6	1523	2	
1524	绛红雕金圆凳	4	7	1524	2	
1516	松木椅	4	1	1516	2	
1517	核桃木扶手椅	4	3	1517	2	
1518	朱丹描金椅	4	5	1518	2	
1525	墨绿镶金太师椅	4	6	1525	2	
2001	松木浴盆	5	1	2001	1	
2002	桦木浴盆	5	2	2002	1	
2003	墨香浴盆	5	3	2003	1	
2004	镜花水月	5	4	2004	1	
2005	琼瑶碧落	5	5	2005	1	
2006	晴翠扶风	5	6	2006	1	
2007	青龙观月	5	7	2007	1	
2501	虎啸山林	6	4	2501	1	
2502	飞熊入梦	6	5	2502	1	
2503	星悬长空（中）	6	2	2503	1	
2504	海枯石烂（中）	6	3	2504	1	
2505	火凤金鸾地衣（中）	6	4	2505	1	
2506	金榜提名（中）	6	5	2506	1	
2507	星悬长空（大）	6	2	2507	1	
2508	海枯石烂（大）	6	3	2508	1	
2509	火凤金鸾地衣（大）	6	4	2509	1	
2510	金榜提名（大）	6	5	2510	1	
2511	幻彩流光地衣（中）	6	4	2511	1	
2512	幻彩流光地衣（大）	6	4	2512	1	
3001	松木锦盒	7	1	3001	1	
3002	百宝箱	7	3	3002	1	
3003	双龙衔珠	7	5	3003	1	
3004	金枝玉叶（合）	7	2	3004	2	
3005	寒梅傲雪	7	4	3005	2	
3006	青松迎客	7	5	3006	2	
3021	叶落知秋	7	6	3021	2	
3007	粗麻屏风	7	1	3007	2	
3008	金枝玉叶（张）	7	2	3008	2	
3009	太岳入云	7	3	3009	2	
3010	三生连理	7	4	3010	2	
3022	风帘翠幕	7	6	3022	2	
3011	星悬长空（小）	7	2	3011	1	
3012	海枯石烂（小）	7	3	3012	1	
3013	火凤金鸾地衣（小）	7	4	3013	1	
3014	金榜提名（小）	7	5	3014	1	
3015	铜雀香炉	7	1	3015	1	
3016	玉莲香炉	7	2	3016	1	
3017	熟铜香炉	7	3	3017	1	
3018	七绣云香	7	4	3018	1	
3019	翠玉炉衬紫金葫芦	7	5	3019	1	
3020	幻彩流光地衣（小）	7	4	3020	1	
3501	松木灯	8	1	3501	2	
3502	桦木灯	8	2	3502	2	
3503	墨香灯	8	3	3503	2	
3504	幻彩流光灯	8	4	3504	2	
3505	紫檀鎏金灯	8	5	3505	2	
3516	墨绿环首灯	8	6	3516	2	
3517	青翠双翼灯	8	7	3517	2	
3506	绛桃春	8	1	3506	2	
3507	郁金香	8	2	3507	2	
3508	青玉瓷瓶	8	3	3508	2	
3509	一剪梅	8	4	3509	2	
3510	七菱冰玄花	8	5	3510	2	
3518	点绛唇	8	6	3518	2	
3519	暖黄木玉瓶	8	7	3519	2	
3511	檀香木盒	8	1	3511	1	
3512	画筒	8	2	3512	1	
3513	金狮揽玉瓶	8	3	3513	1	
3514	瑞鹤仙	8	4	3514	1	
3515	青花孔雀花卉纹瓶	8	5	3515	1	
3520	青龙盘珠	8	6	3520	1	
3521	攒蹄回首金角鹿	8	7	3521	1	
4001	轻竹帘	9	1	4001	1	
4002	苏幕遮	9	2	4002	1	
4003	一帘幽梦	9	3	4003	1	
4004	珥金拖紫	9	4	4004	1	
4005	金玉满堂	9	5	4005	1	
4018	掩卷红灯	9	6	4018	1	
4006	半透纱帘	9	2	4006	1	
4007	落霞映山图	9	4	4007	1	
4019	落日余晖图	9	6	4019	1	
4020	秋叶黄山图	9	7	4020	1	
4008	翠笛	9	1	4008	1	
4009	满月阮	9	2	4009	1	
4010	浣花琵琶	9	3	4010	1	
4011	独幽	9	4	4011	1	
4012	大圣遗音	9	5	4012	1	
4013	红鸾星动	9	1	4013	1	
4014	祥云纸鸢	9	2	4014	1	
4015	紫珠号角	9	3	4015	1	
4016	山水绘卷	9	4	4016	1	
4017	银翎柘木弓	9	5	4017	1	
4021	丹桂飘香	9	6	4021	1	
4022	紫日东升	9	7	4022	1	
4501	孩童秋千	10	1	4501	0	
4502	铜木兵器架	10	2	4502	0	
4503	百花缭乱	10	3	4503	0	
4504	万紫千红	10	4	4504	0	
4505	月明花影	10	5	4505	0	
4506	青石圆桌	10	1	4506	0	
4507	三人行	10	2	4507	0	
4508	海角奇石	10	3	4508	0	
4509	群峰耸翠	10	4	4509	0	
4510	三生三世	10	5	4510	0	
4511	青石古井	10	1	4511	0	
4512	桦木鼓架	10	2	4512	0	
4513	燕语	10	3	4513	0	
4514	编钟	10	4	4514	0	
4515	遏云	10	5	4515	0	
4516	朝颜花栏	10	3	4516	0	
4517	小绿阴	10	4	4517	0	
4518	十里桃花	10	5	4518	0	
4519	朝颜花棚架	10	3	4519	0	
4520	银石双人椅	10	4	4520	0	
4521	鎏金双人椅	10	5	4521	0	
4522	浮雕照壁	10	4	4522	0	
4523	荷花小池	10	5	4523	0	
5001	青石圆凳	11	1	5001	0	
5002	陈年老酒坛	11	2	5002	0	
5003	赤铜壶	11	3	5003	0	
5004	湛蓝纹金象耳罐	11	4	5004	0	
5005	海纳百川	11	5	5005	0	
5006	青石护栏	11	1	5006	0	
5007	稻草人	11	2	5007	0	
5008	百花盏	11	3	5008	0	
5009	姹紫嫣红	11	4	5009	0	
5010	月上柳梢头	11	5	5010	0	
5011	石狮子	11	1	5011	0	
5012	花岗石灯	11	2	5012	0	
5013	云纹镶金石灯	11	3	5013	0	
5014	金碧貔貅	11	4	5014	0	
5015	翠玉雕龙	11	5	5015	0	
5016	蓝朝颜	11	1	5016	0	
5017	午时花	11	2	5017	0	
5018	紫蝴蝶	11	1	5018	0	
5019	帝女花	11	2	5019	0	
10000	首席弟子	1001	5	10000	2	
10001	独孤求败	1001	5	10001	2	
10002	武极天下	1001	5	10002	2	
10003	神兵利器	1001	5	10003	2	
10004	技压群雄	1001	5	10004	2	
10005	如虎添翼	1001	5	10005	2	
10006	富可敌国	1001	5	10006	2	
10007	登峰造极	1001	5	10007	2	
10008	吉光凤羽	1001	6	10008	1	
10009	火凤金鸾地衣（心形）	1001	5	10009	1	
10010	武林至尊	1001	6	10010	2	
10011	金童	1001	5	10011	2	
10012	玉女	1001	5	10012	2	
10013	婚床·晚樱连理	1001	3	10013	1	
10014	婚床·红鸾揽月	1001	4	10014	1	
10015	婚床·乘龙配凤	1001	5	10015	1	
10016	浴盆·晚樱连理	1001	3	10016	1	
10017	浴盆·红鸾揽月	1001	4	10017	1	
10018	浴盆·乘龙配凤	1001	5	10018	1	
10019	永结同心	1001	5	10019	1	
10020	新颖图屏风	1001	5	10020	2	
10021	结婚-普通椅子	1001	3	10021	2	
10022	结婚-普通空桌	1001	3	10022	2	
10023	结婚-普通满桌	1001	3	10023	2	
10024	结婚-隆重椅子	1001	4	10024	2	
10025	结婚-隆重空桌	1001	4	10025	2	
10026	结婚-隆重满桌	1001	4	10026	2	
10027	结婚-豪华椅子	1001	5	10027	2	
10028	结婚-豪华空桌	1001	5	10028	2	
10029	结婚-豪华满桌	1001	5	10029	2	
10030	跨服攻城战-王座	1001	6	10030	2	
10031	音乐盒	1001	5	10031	2	
10032	鸳鸯笛子	1001	5	10032	2	
10033	鼓	1001	5	10033	2	
10034	古琴	1001	6	10034	2	
10035	普通长凳	1001	1	10035	1	
10036	阴阳无极	1001	4	10036	1	
10037	侠骨柔情	1001	4	10037	1	
10038	华清池	1001	6	10038	0	
10039	鹦鹉	1001	6	10039	2	
10040	义博青云	1001	6	10040	2	
10041	琼花金杯	1001	6	10041	2	7776000
10042	琼花银杯	1001	5	10042	2	7776000
20000	苗圃	1002	5	20000	0	
20001	桃花树	1003	5	20001	0	
20002	灶台	1001	4	20002	0	
30000	主座	1001	1	30000	2	
11001	1级聚宝盆	12	1	11001	0	
11002	2级聚宝盆	12	2	11002	0	
11003	3级聚宝盆	12	3	11003	0	
11004	4级聚宝盆	12	4	11004	0	
11005	5级聚宝盆	12	5	11005	0	
12001	星芒·云魅灵鹿	13	7	12001	0	
12002	粉黛掠影	13	5	12002	0	
12003	凛冬咆哮	13	7	12003	0	
12004	踢金毛犀	13	7	12004	0	
12005	汉月碎银	13	7	12005	0	
12006	寒霜	13	5	12006	0	
12007	寒霜倩影	13	6	12007	0	
12008	炽影	13	5	12008	0	
12009	小黑	13	5	12009	0	
12010	紫幽灵鹿	13	5	12010	0	
12011	云魅灵鹿	13	5	12011	0	
12012	福瑞灵鹿	13	5	12012	0	
12013	踢金·蓝湛灵鹿	13	7	12013	0	
12014	螭魅雪狐	13	6	12014	0	
12015	幽炎·螭魅雪狐	13	7	12015	0	
12016	血瞳·月绝	13	5	12016	0	
12017	血瞳·啸霜	13	5	12017	0	
12018	血瞳·荒尘	13	5	12018	0	
12019	血瞳·清穹	13	5	12019	0	
12020	炽羽灼心	13	7	12020	0	
12021	雷霆怒吼	13	7	12021	0	
12022	冰魂雪魄	13	7	12022	0	
12023	追风	13	5	12023	0	
12024	追风	13	7	12024	0	
12025	昆仑玄影	13	5	12025	0	
12026	昆仑玄影	13	7	12026	0	
12027	幽魂·踏霜	13	7	12027	0	
