nFurnitureItemId	IS_NEW	Desc	nWorldMsg	nKinMsg	nScale	nPX	nPY	nPZ	nRX	nRY	nRZ	szCost1	szCost2	szCost3	szCost4	szCost5
10789		绛红雕金书架		702	0.35	0	45	0.4	-8	-61	15	Contrib|48000	Item|10976|3	Item|10982|3		
4073		松木博古架			0.35	0	45	0.4	-8	-61	15	Contrib|600	Item|4296|3	Item|4311|3		
4074		桦木博古架			0.35	0	45	0.4	-8	-61	15	Contrib|1500	Item|4297|3	Item|4312|3		
4075		墨香博古架			0.35	0	45	0.4	-8	-61	15	Contrib|3000	Item|4298|3	Item|4313|3		
4076		幻彩流光博古架		702	0.35	0	45	0.4	-8	-61	15	Contrib|6000	Item|4299|3	Item|4314|3		
4077		紫檀鎏金博古架		702	0.35	0	45	0.4	-8	-61	15	Contrib|12000	Item|4300|3	Item|4315|3		
10790		墨绿镶金博古架		702	0.35	0	45	0.4	-8	-61	15	Contrib|24000	Item|10975|3	Item|10981|3		
10791		绛红雕金博古架		702	0.35	0	45	0.4	-8	-61	15	Contrib|48000	Item|10976|3	Item|10982|3		
4078		松木杂物架			0.35	0	45	1.8	13	-157	7	Contrib|600	Item|4296|3	Item|4311|3		
4079		桦木杂物架			0.35	0	45	1.8	13	-157	7	Contrib|1500	Item|4297|3	Item|4312|3		
4080		墨香杂物架			0.35	0	45	1.8	13	-157	7	Contrib|3000	Item|4298|3	Item|4313|3		
4081		幻彩流光杂物架		702	0.35	0	45	1.8	13	-157	7	Contrib|6000	Item|4299|3	Item|4314|3		
4082		紫檀鎏金杂物架		702	0.35	0	45	1.8	13	-157	7	Contrib|12000	Item|4300|3	Item|4315|3		
10792		墨绿镶金杂物架		702	0.35	0	45	1.8	13	-157	7	Contrib|24000	Item|10975|3	Item|10981|3		
10793		绛红雕金杂物架		702	0.35	0	45	1.8	13	-157	7	Contrib|48000	Item|10976|3	Item|10982|3		
4083		松木多宝格			0.35	0	45	1.8	13	-157	7	Contrib|600	Item|4296|3	Item|4311|3		
4084		桦木多宝格			0.35	0	45	1.8	13	-157	7	Contrib|1500	Item|4297|3	Item|4312|3		
4085		墨香多宝格			0.35	0	45	1.8	13	-157	7	Contrib|3000	Item|4298|3	Item|4313|3		
4086		幻彩流光多宝格		702	0.35	0	45	1.8	13	-157	7	Contrib|6000	Item|4299|3	Item|4314|3		
4087		紫檀鎏金多宝格		702	0.35	0	45	1.8	13	-157	7	Contrib|12000	Item|4300|3	Item|4315|3		
10794		墨绿镶金多宝格		702	0.35	0	45	1.8	13	-157	7	Contrib|24000	Item|10975|3	Item|10981|3		
10795		绛红雕金多宝格		702	0.35	0	45	1.8	13	-157	7	Contrib|48000	Item|10976|3	Item|10982|3		
4088		松木小方柜			0.35	-7	85	6	-9	-56	11	Contrib|600	Item|4296|3	Item|4311|3		
4089		桦木小方柜			0.35	-7	85	6	-9	-56	11	Contrib|1500	Item|4297|3	Item|4312|3		
4090		墨香小方柜			0.35	-7	85	6	-9	-56	11	Contrib|3000	Item|4298|3	Item|4313|3		
4091		幻彩流光小方柜		702	0.35	-7	85	6	-9	-56	11	Contrib|6000	Item|4299|3	Item|4314|3		
4092		紫檀鎏金小方柜		702	0.35	-7	85	6	-9	-56	11	Contrib|12000	Item|4300|3	Item|4315|3		
10796		墨绿镶金小方柜		702	0.35	-7	85	6	-9	-56	11	Contrib|24000	Item|10975|3	Item|10981|3		
10797		绛红雕金小方柜		702	0.35	-7	85	6	-9	-56	11	Contrib|48000	Item|10976|3	Item|10982|3		
4093		松木方桌			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4306|3		
4094		桦木方桌			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4307|3		
4095		墨香圆桌			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4308|3		
4096		幻彩流光圆桌		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4309|3		
4097		紫檀鎏金圆桌		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4310|3		
10798		墨绿镶金圆桌		702	0.35	0	85	17	-11	-57	14	Contrib|24000	Item|10975|3	Item|10979|3		
10799		绛红雕金圆桌		702	0.35	0	85	17	-11	-57	14	Contrib|48000	Item|10976|3	Item|10980|3		
4098		松木案			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4316|3		
4099		桦木案			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4317|3		
4100		墨香案			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4318|3		
4101		幻彩流光案		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4319|3		
4102		紫檀鎏金案		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4320|3		
10800		墨绿镶金案		702	0.35	0	85	17	-11	-57	14	Contrib|24000	Item|10975|3	Item|10983|3		
10801		绛红雕金案		702	0.35	0	85	17	-11	-57	14	Contrib|48000	Item|10976|3	Item|10984|3		
4103		松木方案			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4316|3		
4104		桦木方案			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4317|3		
4105		墨香方案			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4318|3		
4106		幻彩流光方案		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4319|3		
4107		紫檀鎏金方案		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4320|3		
10802		墨绿镶金方案		702	0.35	0	85	17	-11	-57	14	Contrib|24000	Item|10975|3	Item|10983|3		
10803		绛红雕金方案		702	0.35	0	85	17	-11	-57	14	Contrib|48000	Item|10976|3	Item|10984|3		
4108		松木翘头案			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4316|3		
4109		桦木翘头案			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4317|3		
4110		墨香翘头案			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4318|3		
4111		幻彩流光翘头案		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4319|3		
4112		紫檀鎏金翘头案		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4320|3		
10804		墨绿镶金翘头案		702	0.35	0	85	17	-11	-57	14	Contrib|24000	Item|10975|3	Item|10983|3		
10805		绛红雕金翘头案		702	0.35	0	85	17	-11	-57	14	Contrib|48000	Item|10976|3	Item|10984|3		
4113		松木盆景架			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4306|3		
4114		桦木盆景架			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4307|3		
4115		墨香盆景架			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4308|3		
4116		幻彩流光盆景架		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4309|3		
4117		紫檀鎏金盆景架		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4310|3		
10806		墨绿镶金盆景架		702	0.35	0	85	17	-11	-57	14	Contrib|24000	Item|10975|3	Item|10979|3		
4118		松木棋盘			0.35	0	85	17	-11	-57	14	Contrib|600	Item|4296|3	Item|4306|3		
4119		桦木棋盘			0.35	0	85	17	-11	-57	14	Contrib|1500	Item|4297|3	Item|4307|3		
4120		墨香棋盘			0.35	0	85	17	-11	-57	14	Contrib|3000	Item|4298|3	Item|4308|3		
4121		幻彩流光棋盘		702	0.35	0	85	17	-11	-57	14	Contrib|6000	Item|4299|3	Item|4309|3		
4122		紫檀鎏金棋盘		702	0.35	0	85	17	-11	-57	14	Contrib|12000	Item|4300|3	Item|4310|3		
10807		墨绿镶金棋盘		702	0.35	0	85	17	-11	-57	14	Contrib|24000	Item|10975|3	Item|10979|3		
10808		绛红雕金棋盘		702	0.35	0	85	17	-11	-57	14	Contrib|48000	Item|10976|3	Item|10980|3		
4123		稻禾蒲团			0.5	0	85	3	-19	7	-4	Contrib|200	Item|4301|2			
4124		笋壳蒲团			0.5	0	85	3	-19	7	-4	Contrib|500	Item|4302|2			
4125		紫罗兰			0.5	0	85	3	-19	7	-4	Contrib|1000	Item|4303|2			
4126		冷玉琅缳			0.5	0	85	3	-19	7	-4	Contrib|2000	Item|4304|2			
4127		紫玉成烟			0.5	0	85	3	-19	7	-4	Contrib|4000	Item|4305|2			
10809		交十叠翠			0.5	0	85	3	-19	7	-4	Contrib|8000	Item|10977|2			
10810		金风玉露			0.5	0	85	3	-19	7	-4	Contrib|16000	Item|10978|2			
4128		粗麻方垫			0.5	0	85	3	-19	7	-4	Contrib|200	Item|4301|2			
4129		棉质方垫			0.5	0	85	3	-19	7	-4	Contrib|500	Item|4302|2			
4130		幽芳			0.5	0	85	3	-19	7	-4	Contrib|1000	Item|4303|2			
4131		红尘客梦			0.5	0	85	3	-19	7	-4	Contrib|2000	Item|4304|2			
4132		金兰			0.5	0	85	3	-19	7	-4	Contrib|4000	Item|4305|2			
10811		红莲揽翠			0.5	0	85	3	-19	7	-4	Contrib|8000	Item|10977|2			
10812		胭脂点雪			0.5	0	85	3	-19	7	-4	Contrib|16000	Item|10978|2			
4133		松木长凳			0.5	6	87	19	-8	-59	17	Contrib|200	Item|4296|1	Item|4306|1		
4134		桦木长凳			0.5	6	87	19	-8	-59	17	Contrib|500	Item|4297|1	Item|4307|1		
4135		墨香圆凳			0.5	3	86	16	-10	-47	10	Contrib|1000	Item|4298|1	Item|4308|1		
4136		幻彩流光圆凳			0.5	3	86	16	-10	-47	10	Contrib|2000	Item|4299|1	Item|4309|1		
4137		紫檀鎏金圆凳			0.5	3	86	16	-10	-47	10	Contrib|4000	Item|4300|1	Item|4310|1		
10813		墨绿镶金圆凳			0.5	3	86	16	-10	-47	10	Contrib|8000	Item|10975|1	Item|10979|1		
10814		绛红雕金圆凳			0.5	3	86	16	-10	-47	10	Contrib|16000	Item|10976|1	Item|10980|1		
4138		松木椅			0.5	2	87	20	-10	-59	16	Contrib|200	Item|4296|1	Item|4306|1		
4139		核桃木扶手椅			0.5	2	87	20	-10	-59	16	Contrib|1000	Item|4298|1	Item|4308|1		
4140		朱丹描金椅			0.5	2	87	20	-10	-59	16	Contrib|4000	Item|4300|1	Item|4310|1		
10815		墨绿镶金太师椅			0.5	2	87	20	-10	-59	16	Contrib|8000	Item|10975|1	Item|10979|1		
4141		松木浴盆			1	4	-350	3000	-12	-56	19	Contrib|1200	Item|4296|6	Item|4306|6		
4142		桦木浴盆			1	4	-350	3000	-12	-56	19	Contrib|3000	Item|4297|6	Item|4307|6		
4143		墨香浴盆		702	1	4	-350	3000	-12	-56	19	Contrib|6000	Item|4298|6	Item|4308|6		
4144		镜花水月		702	1	4	-350	3000	-12	-56	19	Contrib|16000	Item|4299|8	Item|4309|8		
4145		琼瑶碧落		702	1	4	-350	3000	-12	-56	19	Contrib|32000	Item|4300|8	Item|4310|8		
10816		晴翠扶风		702	1	4	-350	3000	-12	-56	19	Contrib|64000	Item|10975|8	Item|10979|8		
10817		青龙观月		702	1	4	-350	3000	-12	-56	19	Contrib|128000	Item|10976|8	Item|10980|8		
4146		虎啸山林		702	0.3	40	154	-2	-12	-57	23	Contrib|6000	Item|4319|6			
4147		飞熊入梦		702	0.3	40	180	-2	-12	-57	23	Contrib|12000	Item|4320|6			
4148		星悬长空（中）			0.28	9	144	-2	-24	40	-10	Contrib|1500	Item|4317|6			
4149		海枯石烂（中）			0.28	9	144	-2	-24	40	-10	Contrib|3000	Item|4318|6			
4150		火凤金鸾地衣（中）		702	0.28	9	156	-2	-24	40	-10	Contrib|6000	Item|4319|6			
4151		金榜提名（中）		702	0.25	18	156	-2	-24	40	-10	Contrib|12000	Item|4320|6			
4152		星悬长空（大）			0.2	15	180	5	-11	-67	28	Contrib|1500	Item|4317|6			
4153		海枯石烂（大）			0.2	15	180	5	-11	-67	28	Contrib|3000	Item|4318|6			
4154		火凤金鸾地衣（大）		702	0.2	15	180	5	-11	-67	28	Contrib|6000	Item|4319|6			
4155		金榜提名（大）		702	0.2	15	180	5	-11	-67	28	Contrib|12000	Item|4320|6			
4156	1	幻彩流光地衣（中）		702	0.28	9	156	-2	-24	40	-10	Contrib|6000	Item|4319|6			
4157	1	幻彩流光地衣（大）		702	0.2	15	180	5	-11	-67	28	Contrib|6000	Item|4319|6			
4221		松木锦盒			0.45	0	88	26	-6	-64	16	Contrib|400	Item|4296|2	Item|4316|2		
4222		百宝箱			0.45	0	88	26	-6	-64	16	Contrib|2000	Item|4298|2	Item|4318|2		
4223		双龙衔珠		702	0.45	0	88	26	-6	-64	16	Contrib|8000	Item|4300|2	Item|4320|2		
4224		金枝玉叶（合）			0.35	-7	0	16	-7	-61	12	Contrib|1000	Item|4297|2	Item|4302|2		
4225		寒梅傲雪			0.4	5	48	29	-5	-72	16	Contrib|4000	Item|4299|2	Item|4324|2		
4226		青松迎客		702	0.4	5	48	29	-5	-72	16	Contrib|8000	Item|4300|2	Item|4325|2		
10818		叶落知秋		702	0.4	5	48	29	-5	-72	16	Contrib|16000	Item|10975|2	Item|10985|2		
4227		粗麻屏风			0.35	-7	28	16	-7	-61	12	Contrib|400	Item|4296|2	Item|4301|2		
4228		金枝玉叶（张）			0.35	-7	9	16	-7	-61	12	Contrib|1000	Item|4297|2	Item|4302|2		
4229		太岳入云			0.32	-7	15	16	-7	-61	12	Contrib|2000	Item|4298|2	Item|4303|2		
4230		三生连理			0.35	-7	17	16	-7	-61	12	Contrib|4000	Item|4299|2	Item|4304|2		
10819		风帘翠幕			0.35	-7	17	16	-7	-61	12	Contrib|16000	Item|10975|2	Item|10977|2		
4231		星悬长空（小）			0.35	1	109	26	-9	-61	27	Contrib|1000	Item|4317|4			
4232		海枯石烂（小）			0.35	1	109	26	-9	-61	27	Contrib|2000	Item|4318|4			
4233		火凤金鸾地衣（小）			0.35	1	109	26	-9	-61	27	Contrib|4000	Item|4319|4			
4234		金榜提名（小）		702	0.35	1	109	26	-9	-61	27	Contrib|8000	Item|4320|4			
4235		铜雀香炉			0.45	0	40	28	-16	-12	3	Contrib|400	Item|4306|2	Item|4311|2		
4236		玉莲香炉			0.45	-8	41	31	-11	44	-11	Contrib|1000	Item|4307|2	Item|4312|2		
4237		熟铜香炉			0.45	-2	40	28	-8	-61	14	Contrib|2000	Item|4308|2	Item|4313|2		
4238		七绣云香			0.45	-3	40	27	-5	-72	15	Contrib|4000	Item|4309|2	Item|4314|2		
4239		翠玉炉衬紫金葫芦		702	0.45	6	41	32	-4	-77	15	Contrib|8000	Item|4310|2	Item|4315|2		
5225	1	幻彩流光地衣（小）			0.35	1	109	26	-9	-61	27	Contrib|4000	Item|4319|4			
4162		松木灯			0.4	0	12	44	-17	15	-5	Contrib|200	Item|4296|1	Item|4306|1		
4163		桦木灯			0.4	0	12	44	-17	15	-5	Contrib|500	Item|4297|1	Item|4307|1		
4164		墨香灯			0.4	0	12	44	-17	15	-5	Contrib|1000	Item|4298|1	Item|4308|1		
4165		幻彩流光灯			0.4	0	12	44	-17	15	-5	Contrib|2000	Item|4299|1	Item|4309|1		
4166		紫檀鎏金灯			0.4	0	12	44	-17	15	-5	Contrib|4000	Item|4300|1	Item|4310|1		
10821		墨绿环首灯			0.4	0	12	44	-17	15	-5	Contrib|8000	Item|10975|1	Item|10979|1		
10820		青翠双翼灯			0.4	0	12	44	-17	15	-5	Contrib|16000	Item|10976|1	Item|10980|1		
4167		绛桃春			0.4	0	24	30	-8	-63	21	Contrib|200	Item|4311|2			
4168		郁金香			0.4	0	15	54	-7	-67	16	Contrib|500	Item|4312|2			
4169		青玉瓷瓶			0.4	0	-2	46	-6	-69	17	Contrib|1000	Item|4313|2			
4170		一剪梅			0.37	0	-14	56	5	-106	20	Contrib|2000	Item|4314|2			
4171		七菱冰玄花			0.4	0	30	61	16	-161	5	Contrib|4000	Item|4315|2			
10822		点绛唇			0.4	0	30	61	16	-161	5	Contrib|8000	Item|10981|2			
10823		暖黄木玉瓶			0.4	0	30	61	16	-161	5	Contrib|16000	Item|10982|2			
4172		檀香木盒			0.4	0	71	50	7	112	-16	Contrib|200	Item|4296|2			
4173		画筒			0.4	0	59	48	12	-137	12	Contrib|500	Item|4297|1	Item|4302|1		
4240		金狮揽玉瓶			0.4	0	50	44	9	118	-15	Contrib|1000	Item|4313|2			
4241		瑞鹤仙			0.4	0	40	59	17	178	0	Contrib|2000	Item|4314|2			
4242		青花孔雀花卉纹瓶			0.4	0	57	34	-2	-73	9	Contrib|4000	Item|4315|2			
10824		青龙盘珠			0.4	0	57	34	-2	-73	9	Contrib|8000	Item|10981|2			
10825		攒蹄回首金角鹿			0.4	0	57	34	-2	-73	9	Contrib|16000	Item|10982|2			
4174		轻竹帘			0.4	0	-106	-5	0	-87	1	Contrib|400	Item|4296|2	Item|4301|2		
4175		苏幕遮			0.35	0	-18	-5	0	-87	1	Contrib|1000	Item|4307|2	Item|4302|2		
4176		一帘幽梦			0.35	0	0	-5	0	-87	1	Contrib|2000	Item|4308|2	Item|4303|2		
4177		珥金拖紫			0.35	0	0	-5	0	-87	1	Contrib|4000	Item|4309|2	Item|4304|2		
4178		金玉满堂		702	0.4	0	-106	-5	0	-87	1	Contrib|8000	Item|4310|2	Item|4305|2		
10826		掩卷红灯		702	0.4	0	-106	-5	0	-87	1	Contrib|16000	Item|10979|2	Item|10977|2		
4179		半透纱帘			0.4	0	-106	-5	0	-87	1	Contrib|1000	Item|4297|2	Item|4302|2		
4180		落霞映山图			0.4	0	-95	71	-5	-64	10	Contrib|4000	Item|4299|2	Item|4304|2		
10827		落日余晖图		702	0.4	0	-95	71	-5	-64	10	Contrib|16000	Item|10975|2	Item|10977|2		
10828		秋叶黄山图		702	0.4	0	-95	71	-5	-64	10	Contrib|32000	Item|10976|2	Item|10978|2		
4181		翠笛			0.4	0	-106	-5	0	-87	1	Contrib|400	Item|4296|2	Item|4306|2		
4182		满月阮			0.4	0	-106	-5	0	-87	1	Contrib|1000	Item|4297|2	Item|4307|2		
4183		浣花琵琶			0.4	0	-106	-5	0	-87	1	Contrib|2000	Item|4313|2	Item|4308|2		
4184		独幽			0.4	0	-106	-47	0	-87	-7	Contrib|4000	Item|4314|2	Item|4309|2		
4185		大圣遗音		702	0.4	0	-106	-5	0	-87	1	Contrib|8000	Item|4315|2	Item|4310|2		
4186		红鸾星动			0.4	0	-106	-5	0	-87	1	Contrib|400	Item|4301|4			
4187		祥云纸鸢			0.4	0	-106	-5	0	-87	1	Contrib|1000	Item|4297|2	Item|4302|2		
4188		紫珠号角			0.4	0	-106	-5	0	-87	1	Contrib|2000	Item|4298|2	Item|4313|2		
4189		山水绘卷			0.4	0	-106	-5	0	-87	1	Contrib|4000	Item|4299|2	Item|4304|2		
4190		银翎柘木弓		702	0.4	0	-106	-5	0	-87	1	Contrib|8000	Item|4300|2	Item|4310|2		
10829		丹桂飘香		702	0.4	0	-106	-5	0	-87	1	Contrib|16000	Item|10975|2	Item|10979|2		
10830		紫日东升		702	0.4	0	-106	-5	0	-87	1	Contrib|32000	Item|10976|2	Item|10980|2		
4191		孩童秋千			0.33	0	46	32	-5	-53	7	Contrib|600	Item|4296|3	Item|4306|3		
4192		铜木兵器架			0.33	0	46	32	-5	-53	7	Contrib|1500	Item|4297|3	Item|4307|3		
4193		百花缭乱			0.33	0	61	43	-9	-58	16	Contrib|3000	Item|4323|6			
4194		万紫千红		702	0.33	0	68	65	0	88	-16	Contrib|6000	Item|4324|6			
4195		月明花影		702	0.3	0	46	32	-5	-53	7	Contrib|12000	Item|4300|3	Item|4310|3		
4196		青石圆桌			0.33	0	48	41	-13	-55	14	Contrib|600	Item|4321|6			
4197		三人行			0.33	40	73	41	-13	-55	14	Contrib|1500	Item|4322|6			
4198		海角奇石			0.3	0	34	32	-5	-53	7	Contrib|3000	Item|4323|6			
4199		群峰耸翠		702	0.3	0	34	32	-5	-53	7	Contrib|6000	Item|4324|6			
4200		三生三世		702	0.33	0	61	74	-8	-68	24	Contrib|12000	Item|4325|6			
4201		青石古井			0.33	0	54	49	-13	-55	15	Contrib|600	Item|4321|3	Item|4296|3		
4202		桦木鼓架			0.33	0	45	31	-3	-68	7	Contrib|1500	Item|4297|3	Item|4307|3		
4203		燕语			0.33	0	45	31	-3	-68	7	Contrib|3000	Item|4298|3	Item|4308|3		
4204		编钟		702	0.33	0	45	31	-3	-68	7	Contrib|6000	Item|4299|3	Item|4309|3		
4205		遏云		702	0.33	0	45	31	-3	-68	7	Contrib|12000	Item|4300|3	Item|4310|3		
5226	1	朝颜花栏			0.33	-5	85	45	-6	-71	19	Contrib|3000	Item|4298|3	Item|4308|3		
5227	1	小绿阴		702	0.25	37	10	47	-19	-26	12	Contrib|6000	Item|4299|6			
5228	1	十里桃花		702	0.25	37	10	47	-19	-26	12	Contrib|12000	Item|4300|6			
5229	1	朝颜花棚架			0.25	-5	85	45	-6	-71	19	Contrib|3000	Item|4298|3	Item|4308|3		
5230	1	银石双人椅		702	0.33	15	82	26	-6	-70	19	Contrib|6000	Item|4324|3	Item|4309|3		
5231	1	鎏金双人椅		702	0.33	15	82	26	-6	-70	19	Contrib|12000	Item|4325|3	Item|4310|3		
5232	1	浮雕照壁		702	0.23	2	71	48	-4	-66	12	Contrib|6000	Item|4324|3	Item|4309|3		
5233	1	荷花小池		702	0.27	8	96	44	-12	-46	10	Contrib|12000	Item|4325|3	Item|4300|3		
4206		青石圆凳			0.4	0	44	25	-16	0	0	Contrib|200	Item|4321|2			
4207		陈年老酒坛			0.4	0	44	25	-16	0	0	Contrib|500	Item|4322|2			
4208		赤铜壶			0.4	0	43	23	-11	41	-8	Contrib|1000	Item|4308|2			
4209		湛蓝纹金象耳罐			0.4	0	44	25	-7	-64	14	Contrib|2000	Item|4314|2			
4220		海纳百川			0.4	0	44	25	-8	-60	13	Contrib|4000	Item|4315|2			
4210		青石护栏			0.4	0	44	28	-7	-61	14	Contrib|200	Item|4321|2			
4211		稻草人			0.4	0	48	39	-6	-64	14	Contrib|500	Item|4297|1	Item|4302|1		
4212		百花盏			0.4	0	44	25	-16	0	0	Contrib|1000	Item|4323|2			
4213		姹紫嫣红			0.4	0	44	25	8	121	-13	Contrib|2000	Item|4324|2			
4214		月上柳梢头			0.3	0	22	18	-13	35	-9	Contrib|4000	Item|4300|1	Item|4310|1		
4215		石狮子			0.4	0	45	29	-5	-71	15	Contrib|200	Item|4321|2			
4216		花岗石灯			0.4	0	44	25	-14	-27	7	Contrib|500	Item|4322|2			
4217		云纹镶金石灯			0.4	0	44	25	-14	-27	7	Contrib|1000	Item|4323|2			
4218		金碧貔貅			0.4	0	44	26	-9	-56	13	Contrib|2000	Item|4324|1	Item|4309|1		
4219		翠玉雕龙			0.4	0	44	26	-9	-56	13	Contrib|4000	Item|4325|1	Item|4310|1		
5234	1	蓝朝颜			0.36	-3	52	45	-11	-73	27	Contrib|200	Item|4296|2			
5235	1	午时花			0.4	3	60	30	-5	-86	19	Contrib|500	Item|4297|2			
5236	1	紫蝴蝶			0.36	2	62	64	-19	-46	23	Contrib|200	Item|4296|2			
5237	1	帝女花			0.4	9	48	35	-8	-53	25	Contrib|500	Item|4297|2			
7694	1	聚宝盆			0.4	9	48	35	-8	-53	25	Contrib|3000	Item|4297|6	Item|4307|6		
