TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
4963	T13衣服	T13_Armor_Q1	6313	2	1	13	145	36			1		4050000	7	4050000	1	equip		0	lifemax_v	9075			metal_resist_v	302																																										7	7
4964	T14衣服	T14_Armor_Q1	6314	2	1	14	155	39			1		4440000	7	4440000	1	equip		0	lifemax_v	9983			metal_resist_v	333																																										7	7
4965	T15衣服	T15_Armor_Q1	6315	2	1	15	165	42			1		4908000	7	4908000	1	equip		0	lifemax_v	10981			metal_resist_v	366																																										7	7
4966	T16衣服	T16_Armor_Q1	6316	2	1	16	175	45			1		5400000	7	5400000	1	equip		0	lifemax_v	12079			metal_resist_v	403																																										7	7
4967	T17衣服	T17_Armor_Q1	6317	2	1	17	185	48			1		5940000	7	5940000	1	equip		0	lifemax_v	13287			metal_resist_v	443																																										7	7
4968	T18衣服	T18_Armor_Q1	6318	2	1	18	195	51			1		6540000	7	6540000	1	equip		0	lifemax_v	14615			metal_resist_v	487																																										7	7
4969	T19衣服	T19_Armor_Q1	6319	2	1	19	205	54			1		2400000	7	2400000	1	equip		0	lifemax_v	16077			metal_resist_v	536																																										7	7
4970	T20衣服	T20_Armor_Q1	6320	2	1	20	215	57			1		2400000	7	2400000	1	equip		0	lifemax_v	17685			metal_resist_v	589																																										7	7
1570	【传承】1阶衣服	T1_Armor_Q3	6501	2	3	1	1	2			1		60000	1	60000	1	equip		0	lifemax_v	1050			metal_resist_v	52																																											
1571	【传承】2阶衣服	T2_Armor_Q3	6502	2	3	2	30	5			1		120000	2	120000	1	equip		0	lifemax_v	1350			metal_resist_v	67																																										2	2
1572	【传承】3阶衣服	T3_Armor_Q3	6503	2	3	3	45	8			1		240000	3	240000	1	equip		0	lifemax_v	1875			metal_resist_v	82																																										3	3
1573	【传承】4阶衣服	T4_Armor_Q3	6504	2	3	4	55	11			1		600000	4	600000	1	equip		0	lifemax_v	2625			metal_resist_v	101																																										3	4
1574	【传承】5阶衣服	T5_Armor_Q3	6505	2	3	5	65	14			1		1350000	5	1350000	1	equip		0	lifemax_v	3375			metal_resist_v	124																																										4	4
1575	【传承】6阶衣服	T6_Armor_Q3	6506	2	3	6	75	17			1		1800000	6	1800000	1	equip		0	lifemax_v	4125			metal_resist_v	146																																										4	5
1576	【传承】7阶衣服	T7_Armor_Q3	6507	2	3	7	85	20			1		2400000	7	2400000	1	equip		0	lifemax_v	4875			metal_resist_v	169																																										5	5
1577	【传承】8阶衣服	T8_Armor_Q3	6508	2	3	8	95	23			1		3600000	7	3600000	1	equip		0	lifemax_v	6000			metal_resist_v	207																																										5	6
3611	【传承】9阶衣服	T9_Armor_Q3	6509	2	3	9	105	26			1		4860000	7	5400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										6	6
3612	【传承】10阶衣服	T10_Armor_Q3	6510	2	3	10	115	29			1		6480000	7	7200000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
5161	【传承】11阶衣服	T11_Armor_Q3	6511	2	3	11	125	32			1		8640000	7	9600000	1	equip		0	lifemax_v	8250			metal_resist_v	270																																										7	7
5162	【传承】12阶衣服	T12_Armor_Q3	6512	2	3	12	135	35			1		10350000	7	11520000	1	equip		0	lifemax_v	9000			metal_resist_v	300																																										7	7
5163	【传承】13阶衣服	T13_Armor_Q3	6513	2	3	13	145	38			1		11880000	7	12672000	1	equip		0	lifemax_v	9900			metal_resist_v	330																																										7	7
5164	【传承】14阶衣服	T14_Armor_Q3	6514	2	3	14	155	41			1		13070000	7	13050000	1	equip		0	lifemax_v	10890			metal_resist_v	363																																										7	7
5165	【传承】15阶衣服	T15_Armor_Q3	6515	2	3	15	165	44			1		14400000	7	14427000	1	equip		0	lifemax_v	11979			metal_resist_v	399																																										7	7
5166	【传承】16阶衣服	T16_Armor_Q3	6516	2	3	16	175	47			1		15900000	7	15900000	1	equip		0	lifemax_v	13177			metal_resist_v	439																																										7	7
5167	【传承】17阶衣服	T17_Armor_Q3	6517	2	3	17	185	50			1		17400000	7	17400000	1	equip		0	lifemax_v	14495			metal_resist_v	483																																										7	7
5168	【传承】18阶衣服	T18_Armor_Q3	6518	2	3	18	195	53			1		19140000	7	19140000	1	equip		0	lifemax_v	15944			metal_resist_v	531																																										7	7
5169	【传承】19阶衣服	T19_Armor_Q3	6519	2	3	19	205	56			1		7200000	7	7200000	1	equip		0	lifemax_v	17538			metal_resist_v	585																																										7	7
5170	【传承】20阶衣服	T20_Armor_Q3	6520	2	3	20	215	59			1		7200000	7	7200000	1	equip		0	lifemax_v	19292			metal_resist_v	643																																										7	7
161	【稀有】1阶衣服	T1_Armor_Q2	6201	2	2	1	1	4			1		150000	1	150000	1	equip		0	lifemax_v	1290			metal_resist_v	64																																											
162	【稀有】2阶衣服	T2_Armor_Q2	6202	2	2	2	30	7			1		300000	2	300000	1	equip		0	lifemax_v	1725			metal_resist_v	79																																										3	3
163	【稀有】3阶衣服	T3_Armor_Q2	6203	2	2	3	45	10			1		750000	3	750000	1	equip		0	lifemax_v	2475			metal_resist_v	96																																										3	4
164	【稀有】4阶衣服	T4_Armor_Q2	6204	2	2	4	55	13			1		1800000	4	1800000	1	equip		0	lifemax_v	3225			metal_resist_v	119																																										4	4
165	【稀有】5阶衣服	T5_Armor_Q2	6205	2	2	5	65	16			1		3750000	5	3750000	1	equip		0	lifemax_v	3975			metal_resist_v	141																																										4	5
166	【稀有】6阶衣服	T6_Armor_Q2	6206	2	2	6	75	19			1		4500000	6	4500000	1	equip		0	lifemax_v	4725			metal_resist_v	164																																										5	5
167	【稀有】7阶衣服	T7_Armor_Q2	6207	2	2	7	85	22			1		6000000	7	6000000	1	equip		0	lifemax_v	5775			metal_resist_v	198																																										5	6
168	【稀有】8阶衣服	T8_Armor_Q2	6208	2	2	8	95	25			1		8100000	7	8100000	1	equip		0	lifemax_v	6300			metal_resist_v	217																																										6	6
169	【稀有】9阶衣服	T9_Armor_Q2	6209	2	2	9	105	28			1		10800000	7	12000000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
170	【稀有】10阶衣服	T10_Armor_Q2	6210	2	2	10	115	31			1		13500000	7	15000000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
5061	【稀有】11阶衣服	T11_Armor_Q2	6211	2	2	11	125	34			1		17100000	7	18750000	1	equip		0	lifemax_v	9000			metal_resist_v	290																																										7	7
5062	【稀有】12阶衣服	T12_Armor_Q2	6212	2	2	12	135	37			1		20520000	7	22500000	1	equip		0	lifemax_v	9900			metal_resist_v	330																																										7	7
5063	【稀有】13阶衣服	T13_Armor_Q2	6213	2	2	13	145	40			1		21360000	7	24750000	1	equip		0	lifemax_v	10890			metal_resist_v	363																																										7	7
5064	【稀有】14阶衣服	T14_Armor_Q2	6214	2	2	14	155	43			1		23500000	7	23490000	1	equip		0	lifemax_v	11979			metal_resist_v	399																																										7	7
5065	【稀有】15阶衣服	T15_Armor_Q2	6215	2	2	15	165	46			1		25890000	7	25884000	1	equip		0	lifemax_v	13177			metal_resist_v	439																																										7	7
5066	【稀有】16阶衣服	T16_Armor_Q2	6216	2	2	16	175	49			1		28500000	7	28500000	1	equip		0	lifemax_v	14495			metal_resist_v	483																																										7	7
5067	【稀有】17阶衣服	T17_Armor_Q2	6217	2	2	17	185	52			1		31350000	7	31350000	1	equip		0	lifemax_v	15944			metal_resist_v	531																																										7	7
5068	【稀有】18阶衣服	T18_Armor_Q2	6218	2	2	18	195	55			1		34500000	7	34500000	1	equip		0	lifemax_v	17538			metal_resist_v	585																																										7	7
5069	【稀有】19阶衣服	T19_Armor_Q2	6219	2	2	19	205	58			1		15000000	7	15000000	1	equip		0	lifemax_v	19292			metal_resist_v	643																																										7	7
5070	【稀有】20阶衣服	T20_Armor_Q2	6220	2	2	20	215	61			1		15000000	7	15000000	1	equip		0	lifemax_v	21222			metal_resist_v	707																																										7	7
2782	【黄金】6阶衣服	T6_Armor_Q4	6306	2	4	6	75	101			1		58500000	7	58500000	1	equip		54000	lifemax_v	6150			metal_resist_v	215																																										5	6
2783	【黄金】7阶衣服	T7_Armor_Q4	6307	2	4	7	85	102			1		92400000	7	92400000	1	equip		86400	lifemax_v	7500			metal_resist_v	257																																										6	6
2784	【黄金】8阶衣服	T8_Armor_Q4	6308	2	4	8	95	103			1		137700000	7	137700000	1	equip		129600	lifemax_v	8250			metal_resist_v	282																																										7	6
3631	【黄金】9阶衣服	T9_Armor_Q4	6309	2	4	9	105	104			1		184800000	7	184800000	1	equip		172800	lifemax_v	9000			metal_resist_v	300																																										7	7
3632	【黄金】10阶衣服	T10_Armor_Q4	6310	2	4	10	115	105			1		231000000	7	231000000	1	equip		216000	lifemax_v	10500			metal_resist_v	350																																										7	7
5390	【黄金】11阶衣服	T11_Armor_Q4	6611	2	4	11	125	106			1		277950000	7	277950000	1	equip		259200	lifemax_v	11250			metal_resist_v	400																																										7	7
5391	【黄金】12阶衣服	T12_Armor_Q4	6612	2	4	12	135	107			1		324900000	7	324900000	1	equip		324900	lifemax_v	13500			metal_resist_v	450																																										7	7
5392	【黄金】13阶衣服	T13_Armor_Q4	6613	2	4	13	145	108			1		368100000	7	368100000	1	equip		368100	lifemax_v	14850			metal_resist_v	495																																										7	7
5393	【黄金】14阶衣服	T14_Armor_Q4	6614	2	4	14	155	109			1		411300000	7	411300000	1	equip		411300	lifemax_v	16335			metal_resist_v	545																																										7	7
5394	【黄金】15阶衣服	T15_Armor_Q4	6615	2	4	15	165	110			1		454500000	7	454500000	1	equip		454500	lifemax_v	17969			metal_resist_v	599																																										7	7
9759	【黄金】16阶衣服	T16_Armor_Q4	6616	2	4	16	175	111			1		497700000	7	497700000	1	equip		497700	lifemax_v	19765			metal_resist_v	659																																										7	7
9760	【黄金】17阶衣服	T17_Armor_Q4	6617	2	4	17	185	112			1		540900000	7	540900000	1	equip		540900	lifemax_v	21742			metal_resist_v	725																																										7	7
9761	【黄金】18阶衣服	T18_Armor_Q4	6618	2	4	18	195	113			1		584100000	7	584100000	1	equip		584100	lifemax_v	23916			metal_resist_v	797																																										7	7
9762	【黄金】19阶衣服	T19_Armor_Q4	6619	2	4	19	205	114			1		454500000	7	454500000	1	equip		454500	lifemax_v	26308			metal_resist_v	877																																										7	7
9763	【黄金】20阶衣服	T20_Armor_Q4	6620	2	4	20	215	115			1		454500000	7	454500000	1	equip		454500	lifemax_v	28938			metal_resist_v	965																																										7	7
10104	【白金】10阶衣服	T10_Armor_Q5	6910	2	5	10	115	105			1		238200000	7	238200000	1	equip		237600	lifemax_v	12000			metal_resist_v	400																																										7	7
10105	【白金】11阶衣服	T11_Armor_Q5	6911	2	5	11	125	106			1		288750000	7	288750000	1	equip		291600	lifemax_v	13500			metal_resist_v	450																																										7	7
10106	【白金】12阶衣服	T12_Armor_Q5	6912	2	5	12	135	107			1		339300000	7	339300000	1	equip		368100	lifemax_v	15000			metal_resist_v	500																																										7	7
10107	【白金】13阶衣服	T13_Armor_Q5	6913	2	5	13	145	108			1		386100000	7	386100000	1	equip		422100	lifemax_v	16500			metal_resist_v	550																																										7	7
10108	【白金】14阶衣服	T14_Armor_Q5	6914	2	5	14	155	109			1		432900000	7	432900000	1	equip		476100	lifemax_v	18000			metal_resist_v	600																																										7	7
10109	【白金】15阶衣服	T15_Armor_Q5	6915	2	5	15	165	110			1		479700000	7	479700000	1	equip		530100	lifemax_v	20250			metal_resist_v	675																																										7	7
10110	【白金】16阶衣服	T16_Armor_Q5	6916	2	5	16	175	111			1		526500000	7	526500000	1	equip		584100	lifemax_v	21962			metal_resist_v	732																																										7	7
10111	【白金】17阶衣服	T17_Armor_Q5	6917	2	5	17	185	112			1		573300000	7	573300000	1	equip		638100	lifemax_v	24158			metal_resist_v	805																																										7	7
10112	【白金】18阶衣服	T18_Armor_Q5	6918	2	5	18	195	113			1		620100000	7	620100000	1	equip		692100	lifemax_v	26573			metal_resist_v	886																																										7	7
10113	【白金】19阶衣服	T19_Armor_Q5	6919	2	5	19	205	114			1		479700000	7	479700000	1	equip		507600	lifemax_v	29231			metal_resist_v	974																																										7	7
10114	【白金】20阶衣服	T20_Armor_Q5	6920	2	5	20	215	115			1		479700000	7	479700000	1	equip		507600	lifemax_v	32154			metal_resist_v	1072																																										7	7
364	T1衣服（低）	T1_Armor_Test_Q1	6101	2	1	1	1	1			1		20000	1	3000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
365	T2衣服（低）	T2_Armor_Test_Q1	6102	2	1	2	1	3			1		40000	2	3000	1	equip		0	lifemax_v	1200			metal_resist_v	60																																										3	1
366	T3衣服（低）	T3_Armor_Test_Q1	6103	2	1	3	1	6			1		80000	3	3000	1	equip		0	lifemax_v	1500			metal_resist_v	75																																										3	2
367	T4衣服（低）	T4_Armor_Test_Q1	6104	2	1	4	1	9			1		200000	4	3000	1	equip		0	lifemax_v	1800			metal_resist_v	90																																										3	3
368	T5衣服（低）	T5_Armor_Test_Q1	6105	2	1	5	1	12			1		500000	5	3000	1	equip		0	lifemax_v	2250			metal_resist_v	113																																										3	3
369	T6衣服（低）	T6_Armor_Test_Q1	6106	2	1	6	1	15			1		1200000	6	3000	1	equip		0	lifemax_v	3750			metal_resist_v	135																																										4	5
370	T7衣服（低）	T7_Armor_Test_Q1	6107	2	1	7	85	18			1		3200000	7	3000	1	equip		0	lifemax_v	4500			metal_resist_v	158																																										4	5
371	T8衣服（低）	T8_Armor_Test_Q1	6108	2	1	8	95	21			1		7000000	7	3000	1	equip		0	lifemax_v	5250			metal_resist_v	180																																										5	5
3830	T9衣服（低）	T9_Armor_Test_Q1	6109	2	1	9	105	24			1		7000000	7	3000	1	equip		0	lifemax_v	6000			metal_resist_v	200																																										6	6
3831	T10衣服（低）	T10_Armor_Test_Q1	6110	2	1	10	115	27			1		7000000	7	3000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
372	T1衣服（中）	T1_Armor_Test_Q2	6101	2	2	1	1	1			1		20000	1	3000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
373	T2衣服（中）	T2_Armor_Test_Q2	6102	2	2	2	20	3			1		40000	2	3000	1	equip		0	lifemax_v	1200			metal_resist_v	60																																										3	1
374	T3衣服（中）	T3_Armor_Test_Q2	6103	2	2	3	44	6			1		80000	3	3000	1	equip		0	lifemax_v	1500			metal_resist_v	75																																										3	2
375	T4衣服（中）	T4_Armor_Test_Q2	6104	2	2	4	54	9			1		200000	4	3000	1	equip		0	lifemax_v	1800			metal_resist_v	90																																										3	3
376	T5衣服（中）	T5_Armor_Test_Q2	6105	2	2	5	64	12			1		500000	5	3000	1	equip		0	lifemax_v	2250			metal_resist_v	113																																										3	3
377	【传承】6阶衣服	T6_Armor_Test_Q2	6506	2	2	6	75	15			1		1800000	6	1800000	1	equip		0	lifemax_v	4125			metal_resist_v	146																																										4	5
378	T7衣服（中）	T7_Armor_Test_Q2	6107	2	2	7	85	18			1		3200000	7	3000	1	equip		0	lifemax_v	4875			metal_resist_v	169																																										5	5
379	T8衣服（中）	T8_Armor_Test_Q2	6108	2	2	8	95	21			1		7000000	7	3000	1	equip		0	lifemax_v	6000			metal_resist_v	207																																										5	6
3832	T9衣服（中）	T9_Armor_Test_Q2	6109	2	2	9	105	24			1		7000000	7	3000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										6	6
3833	T10衣服（中）	T10_Armor_Test_Q2	6110	2	2	10	115	27			1		7000000	7	3000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
380	T1衣服（高）	T1_Armor_Test_Q3	6201	2	3	1	1	1			1		20000	1	3000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
381	T2衣服（高）	T2_Armor_Test_Q3	6202	2	3	2	30	3			1		40000	2	3000	1	equip		0	lifemax_v	1200			metal_resist_v	60																																										3	3
382	T3衣服（高）	T3_Armor_Test_Q3	6203	2	3	3	45	6			1		80000	3	3000	1	equip		0	lifemax_v	1500			metal_resist_v	75																																										3	4
383	T4衣服（高）	T4_Armor_Test_Q3	6204	2	3	4	55	9			1		200000	4	3000	1	equip		0	lifemax_v	1800			metal_resist_v	90																																										4	4
384	T5衣服（高）	T5_Armor_Test_Q3	6205	2	3	5	65	12			1		500000	5	3000	1	equip		0	lifemax_v	2250			metal_resist_v	113																																										4	5
385	T6衣服（高）	T6_Armor_Test_Q3	6206	2	3	6	75	15			1		1200000	6	3000	1	equip		0	lifemax_v	4725			metal_resist_v	164																																										5	5
386	T7衣服（高）	T7_Armor_Test_Q3	6207	2	3	7	85	18			1		3200000	7	3000	1	equip		0	lifemax_v	3150			metal_resist_v	158																																										5	6
387	T8衣服（高）	T8_Armor_Test_Q3	6208	2	3	8	95	21			1		7000000	7	3000	1	equip		0	lifemax_v	3600			metal_resist_v	180																																										6	6
3834	T9衣服（高）	T9_Armor_Test_Q3	6209	2	3	9	105	24			1		7000000	7	3000	1	equip		0	lifemax_v	7500			metal_resist_v	257																																										7	6
3835	T10衣服（高）	T10_Armor_Test_Q3	6210	2	3	10	115	27			1		7000000	7	3000	1	equip		0	lifemax_v	8250			metal_resist_v	282																																										7	7
1252	T1衣服（定制）	Cus_T1_Armor_Q1	6101	2	1	1	1	1			1		15000	1	15000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
1529	T1衣服（定制）	Task_T1_Armor_Q1	6101	2	1	1	1	1			1		15000	1	15000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
