IconId	Atlas	Sprite	ExtAtlas	ExtSprite	Desc1	Desc2
33	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T3_Pendant_Q1			玉佩3	
34	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T4_Pendant_Q1			玉佩4	
35	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T5_Pendant_Q1			玉佩5	
36	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T6_Pendant_Q1			玉佩6	
37	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T7_Pendant_Q1			玉佩7	
38	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T8_Pendant_Q1			玉佩8	
39	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment02.prefab	T9_Pendant_Q1			玉佩9	
40	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment02.prefab	T10_Pendant_Q1			玉佩10	
41	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T1_Amulet_Q1			护身符1	
42	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T2_Amulet_Q1			护身符2	
43	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T3_Amulet_Q1			护身符3	
44	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T4_Amulet_Q1			护身符4	
45	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T5_Amulet_Q1			护身符5	
46	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T6_Amulet_Q1			护身符6	
47	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T7_Amulet_Q1			护身符7	
48	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T8_Amulet_Q1			护身符8	
49	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment02.prefab	T9_Amulet_Q1			护身符9	
50	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment02.prefab	T10_Amulet_Q1			护身符10	
96	UI/Atlas/Item/Item/Item.prefab	Fragment_C				
97	UI/Atlas/Item/Item/Item.prefab	Fragment_B				
98	UI/Atlas/Item/Item/Item.prefab	Fragment_A				
99	UI/Atlas/Item/Item/Item.prefab	Fragment_S				
100	UI/Atlas/Item/Item/Item.prefab	GoldChest			黄金宝箱	
101	UI/Atlas/Item/Item/Item.prefab	GoldKey			黄金钥匙	
102	UI/Atlas/Item/Item/Item.prefab	GoldChest				
103	UI/Atlas/Item/Item/Item.prefab	GoldChest				
104	UI/Atlas/Item/Item/Item.prefab	GoldChest				
105	UI/Atlas/Item/Item/Item.prefab	GoldChest				
106	UI/Atlas/Item/Item/Item.prefab	GoldChest				
107	UI/Atlas/Item/Item/Item.prefab	GoldChest				
108	UI/Atlas/Item/Item/Item.prefab	GoldChest				
109	UI/Atlas/Item/Item/Item.prefab	GoldChest				
110	UI/Atlas/Item/Item/Item.prefab	GoldChest				
111	UI/Atlas/Item/Item/Item.prefab	GoldChest				
112	UI/Atlas/Item/Item/Item.prefab	GoldChest				
113	UI/Atlas/Item/Item/Item.prefab	GoldChest				
114	UI/Atlas/Item/Item/Item.prefab	GoldChest				
115	UI/Atlas/Item/Item/Item.prefab	GoldChest				
116	UI/Atlas/Item/Item/Item.prefab	GoldChest				
117	UI/Atlas/Item/Item/Item.prefab	GoldChest				
118	UI/Atlas/Item/Item/Item.prefab	GoldChest				
119	UI/Atlas/Item/Item/Item.prefab	GoldChest				
120	UI/Atlas/Item/Item/Item.prefab	GoldChest				
121	UI/Atlas/Item/Item/Item.prefab	GoldChest				
129	UI/Atlas/Common/icon.prefab	Redbottle_01				
130	UI/Atlas/Common/icon.prefab	Redbottle_02				
131	UI/Atlas/Common/icon.prefab	Bluebottle_01				
132	UI/Atlas/Common/icon.prefab	Bluebottle_02				
133	UI/Atlas/Common/icon.prefab	Amulet_01				
134	UI/Atlas/Common/icon.prefab	Amulet_02				
135	UI/Atlas/Common/icon.prefab	Jade_01				
136	UI/Atlas/Common/icon.prefab	Jade_02				
137	UI/Atlas/Common/icon.prefab	Necklace_01				
138	UI/Atlas/Common/icon.prefab	Necklace_02				
139	UI/Atlas/Common/icon.prefab	Ring_01				
140	UI/Atlas/Common/icon.prefab	Ring_02				
141	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Bow				
142	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Spear				
143	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Belt_M				
144	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Belt_W				
145	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Bracers_M				
146	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Bracers_W				
147	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Clothes_M				
148	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Clothes_W				
149	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Hat_M				
150	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Hat_W				
151	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Shoes_M				
152	UI/Atlas/NewAtlas/Icon/NewIcon.prefab	Shoes_W				
153	UI/Atlas/Item/Item/Item3.prefab	card01			挑战卡	
154	UI/Atlas/Item/Item/Item3.prefab	card02			轶事卡	
155	UI/Atlas/Item/Item/Item3.prefab	card03			秘藏卡	
156	UI/Atlas/Item/Item/Item3.prefab	collection_ljf			凌绝峰收集册	
213	UI/Atlas/Item/Item/Item.prefab	shenmikuangshi_05				
214	UI/Atlas/Item/Item/Item.prefab	shenmikuangshi_04				
215	UI/Atlas/Item/Item/Item.prefab	shenmikuangshi_03				
216	UI/Atlas/Item/Item/Item.prefab	shenmikuangshi_02				
217	UI/Atlas/Item/Item/Item.prefab	shenmikuangshi_01				
218	UI/Atlas/Item/Item/Item.prefab	shenmikuangshi_05				
219	UI/Atlas/Item/Item/Item.prefab	shenmikuangshi_05				
221	UI/Atlas/Item/Item/Item.prefab	shenmikuangshi_05				
220	UI/Atlas/Item/Item/Item.prefab	shenmikuangshi_05				
212	UI/Atlas/Item/Item/Item.prefab	crystal_1				
222	UI/Atlas/Item/Item/Item.prefab	crystal_2				
223	UI/Atlas/Item/Item/Item.prefab	crystal_3				
224	UI/Atlas/Item/Item/Item.prefab	crystal_4				
225	UI/Atlas/Item/Item/Item.prefab	crystal_5				
226	UI/Atlas/Item/Item/Item.prefab	crystal_6				
227	UI/Atlas/Item/Item/Item.prefab	crystal_7				
400	UI/Atlas/Item/Item/Item9.prefab	jm_zhenqidan			真气丹	
401	UI/Atlas/Item/Item/Item9.prefab	JM_Item_chongxue1			任脉曲骨通穴秘卷	
402	UI/Atlas/Item/Item/Item9.prefab	JM_Item_chongxue2			督脉长强通穴秘卷	
403	UI/Atlas/Item/Item/Item9.prefab	JM_Item_chongxue3			冲脉幽门通穴秘卷	
404	UI/Atlas/Item/Item/Item13.prefab	JM_Item_chongxue4			阳跷脉·睛明通穴秘卷	
405	UI/Atlas/Item/Item/Item18.prefab	JM_Item_chongxue5			阴跷脉·公孙通穴秘卷	
406	UI/Atlas/Item/Item/Item18.prefab	JM_Item_chongxue5			阳维脉·金门通穴秘卷	
598	UI/Atlas/Item/Item/Item.prefab	Partner_SkillExp_1			初级技能书（同伴）	
599	UI/Atlas/Item/Item/Item.prefab	Partner_SkillExp_2			中级技能书（同伴）	
600	UI/Atlas/Item/Item/Item.prefab	Partner_SkillExp_3			高级技能书（同伴）	
601	UI/Atlas/Item/Item/Item.prefab	Partner_Exp_1			同伴经验药水	
736	UI/Atlas/Item/Item/Item.prefab	antique_1				
737	UI/Atlas/Item/Item/Item.prefab	antique_2				
738	UI/Atlas/Item/Item/Item.prefab	antique_3				
739	UI/Atlas/Item/Item/Item.prefab	antique_4				
740	UI/Atlas/Item/Item/Item.prefab	antique_5				
741	UI/Atlas/Item/Item/Item.prefab	antique_6				
742	UI/Atlas/Item/Item/Item.prefab	antique_7				
743	UI/Atlas/Item/Item/Item.prefab	antique_8				
744	UI/Atlas/Item/Item/Item.prefab	antique_9				
745	UI/Atlas/Item/Item/Item.prefab	antique_10				
746	UI/Atlas/Item/Item/Item.prefab	antique_11				
747	UI/Atlas/Item/Item/Item.prefab	antique_12				
764	UI/Atlas/Item/Item/Item.prefab	Xiuliandan				
769	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	SaodangjuanBig			扫荡卷	
770	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	ExpBig			角色经验	
771	UI/Atlas/Item/Item/Item.prefab	Fragment			装备碎片	
772	UI/Atlas/Item/Item/Item.prefab	lingjuefeng_001			凌绝峰1级令牌	
773	UI/Atlas/Item/Item/Item.prefab	lingjuefeng_002			凌绝峰2级令牌	
774	UI/Atlas/Item/Item/Item.prefab	lingjuefeng_003			凌绝峰3级令牌	
775	UI/Atlas/Item/Item/Item.prefab	lingjuefeng_004			凌绝峰4级令牌	
776	UI/Atlas/Item/Item/Item.prefab	lingjuefeng_005			凌绝峰5级令牌	
777	UI/Atlas/Item/Item/Item.prefab	Month_Card			月卡	
778	UI/Atlas/Item/Item/Item.prefab	Mianzhan01			2小时免战令	
779	UI/Atlas/Item/Item/Item.prefab	Mianzhan02			8小时免战令	
780	UI/Atlas/Item/Item/Item.prefab	Grow_Invest_Card			一本万利卡	
781	UI/Atlas/Item/Item/Item.prefab	Recharge_Card30			30元充值卡	
782	UI/Atlas/Item/Item/Item.prefab	Recharge_Card98			98元充值卡	
783	UI/Atlas/Item/Item/Item.prefab	Recharge_Card198			198元充值卡	
784	UI/Atlas/Item/Item/Item.prefab	Recharge_Card328			328元充值卡	
785	UI/Atlas/Item/Item/Item.prefab	Recharge_Card648			648元充值卡	
786	UI/Atlas/Item/Item/Item.prefab	vip_box			vip特权礼包	
787	UI/Atlas/Item/Item/Item.prefab	cangbaotu			藏宝图	
790	UI/Atlas/Item/Item/Item.prefab	chenghaoling			称号令	
791	UI/Atlas/Item/CurrencyIcon/CurrencyIcon.prefab	HerobrandBig			英雄令	
792	UI/Atlas/Item/Item/Item.prefab	old_box			古旧的宝箱	
793	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			蚩尤	
794	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			后羿	
795	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			苏妲己	
796	UI/Atlas/Head/Partner/Partner_Male_04.prefab	Head_npc_213			鬼谷子	
797	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			项羽	
798	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			秦始皇	
799	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			武则天	
800	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			吕洞宾	
801	UI/Atlas/Head/Partner/Partner_Male_05.prefab	MaleHead40			张三丰	
802	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			西施	
803	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss022			独孤剑	
804	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss017			南宫飞云	
805	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_101			杨影枫	
806	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss006			玄天道人	
807	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_112			虞姬	
808	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			赵飞燕	
809	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_108			荆轲	
810	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_npc_135			李广	
811	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_113			赵云	
812	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			月眉儿	
813	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_041			杨瑛	
814	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_003			祝子虚	
815	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_085			清晓师太	
816	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_001			黄暮云	
817	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_116			道一真人	
818	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_122			端木睿	
819	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			玄因	
820	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			尹含烟	
1435	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			何人我	
1436	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			璇玑子	
1437	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			黑面郎君	
1438	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			唐仇	
821	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_049			同伴·高长恭	
822	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss005			同伴·哲别	
823	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss009			同伴·袁承志	
824	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss015			同伴·鳌拜	
825	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss026			金翅鹏皇	
826	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss029			赤睛虎皇	
827	UI/Atlas/Head/Partner/Partner_Others_02.prefab	Head_boss027			撼天熊皇	
828	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss030			定海金刚	
829	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_019			唐影	
830	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_130			岳飞	
831	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_110			杨熙烈	
832	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss011			上官飞龙	
833	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_019			叶无心	
834	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_056			孟知秋	
835	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_087			纳兰潜凛	
836	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_119			张风	
837	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_118			无虚大师	
1434	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			秋依水	
1439	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_129			燕若雪	
1440	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			杨再兴	
1441	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_030			韩世忠	
1447	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_107			李元霸	
838	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			纳兰真	
1385	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_098			少年杨影枫	
839	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_005			杨铁心	
840	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_pet_004			柳潇庭	
841	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			无想	
842	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_002			李恬儿	
843	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_111			天目	
844	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			完颜襄	
845	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			玄慈	
846	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			尹筱雨	
1443	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			石轩辕	
1444	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			秋石	
1445	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			古嫣然	
1446	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			唐晓	
847	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss018			寒玉鹿王	
848	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss019			大地狼王	
849	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss020			奔焰豹王	
850	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_boss016			九尾狐王	
851	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_026			南宫彩虹	
852	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_100			张琳心	
853	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			蔷薇	
854	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_022			耶律辟离	
855	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			苏墨芸	
856	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_094			卓非凡	
857	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			紫轩	
858	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_093			张如梦	
859	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_120			林海	
860	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_044			陆文龙	
861	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_118			无相	
862	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_109			赵升权	
863	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_053			赵节	
864	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_099			邵骑风	
865	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			碎片·A28	
866	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			碎片·A29	
867	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_025			剑童	
868	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss004			萧动尘	
869	UI/Atlas/Head/Partner/Partner_Male_03.prefab	Head_boss001			心魔	
870	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_boss012			胡神医	
871	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			秦沐白	
872	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_060			张仲天	
873	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_038			路达	
874	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_059			李三	
875	UI/Atlas/Head/Partner/Partner_Male_02.prefab	Head_npc_121			卢青	
876	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_096			莺儿	
877	UI/Atlas/Head/Partner/Partner_Male_01.prefab	Head_npc_043			顾武	
878	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			B12	
879	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			B13	
880	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			通用剪影男	
881	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			B15	
882	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			B16	
883	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			B17	
884	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			B18	
885	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_003			金钱豹	
886	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_003			黑翼猎鹰	
887	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			武林恶徒	
888	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_003			猛虎	
889	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			枫林卫	
890	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_003			猿猴	
891	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			铁面捕头	
892	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			红衣女童	
893	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			铸剑师	
894	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			猎人	
895	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_002			红缨侍	
896	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			强盗	
897	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			药王谷弟子	
898	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_003			灰狼	
899	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			东瀛忍者	
900	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			生使	
901	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			死侍	
902	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_003			火狐	
903	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			九幽弟子	
904	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_003			黑熊	
905	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			无忧教弟子	
906	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			天工匠者	
907	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			傀儡士兵	
908	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			机关人	
909	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			碎片·C25	
910	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			碎片·C26	
911	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			碎片·C27	
912	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			碎片·C28	
913	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			碎片·C29	
914	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_normal_001			碎片·C30	
927	UI/Atlas/Item/Item/Item.prefab	CommonStoneDebris			宝石碎片	
928	UI/Atlas/Item/Item/Item.prefab	Week_Card			周卡	
929	UI/Atlas/Item/Item/Item3.prefab	zhuanzhiling			天剑令	
1005	UI/Atlas/Item/Item/Item.prefab	kin_robber_box			盗贼宝箱	
1006	UI/Atlas/Item/Item/Item.prefab	trumpet			喇叭	
1007	UI/Atlas/Item/Item/Item.prefab	conch			千里传音	
1008	UI/Atlas/Item/Item/Item.prefab	xiulianzhu			修炼珠	
1009	UI/Atlas/Item/Item/Item.prefab	Senior_TreasureMap			高级藏宝图	
1010	UI/Atlas/Item/Item/Item.prefab	TortoiseShell			龟甲	
1011	UI/Atlas/Item/Item/Item.prefab	Cinnabar			朱砂	
1012	UI/Atlas/Item/Item/Item.prefab	Compass			罗盘	
1013	UI/Atlas/Item/Item/Item.prefab	SilkSilks			绢帛	
1014	UI/Atlas/Item/Item/Item.prefab	LangHao			狼毫	
1016	UI/Atlas/Item/Item/Item.prefab	Partner_Exp_2			强效同伴经验药水	
1017	UI/Atlas/Item/Item/Item.prefab	EnchantStones_01			附魔石1	
1018	UI/Atlas/Item/Item/Item.prefab	EnchantStones_02			附魔石2	
1019	UI/Atlas/Item/Item/Item.prefab	EnchantStones_03			附魔石3	
1020	UI/Atlas/Item/Item/Item.prefab	nverhong			陈年女儿红	
1021	UI/Atlas/Item/Item/Item.prefab	baijuwan_1			白驹丸	
1022	UI/Atlas/Item/Item/Item.prefab	baijuwan_2			特效白驹丸	
1023	UI/Atlas/Item/Item/Item.prefab	meigui			玫瑰花	
1024	UI/Atlas/Item/Item/Item.prefab	siyecao			幸运草	
1025	UI/Atlas/Item/Item/Item.prefab	xisuidan			洗髓丹	
1026	UI/Atlas/Item/Item/Item.prefab	zizhidan_02			资质丹	
1027	UI/Atlas/Item/Item/Item2.prefab	meigui_02			99朵玫瑰花	
1028	UI/Atlas/Item/Item/Item2.prefab	siyecao_02			99颗幸运草	
1029	UI/Atlas/Item/Item/Item2.prefab	horse_01			马牌1	
1030	UI/Atlas/Item/Item/Item2.prefab	horse_02			马牌2	
1031	UI/Atlas/Item/Item/Item2.prefab	horse_03			马牌3	
1032	UI/Atlas/Item/Item/Item2.prefab	songjinzhaoshu			宋金诏书	
1033	UI/Atlas/Item/Item/Item3.prefab	horse_lv1			枣红马	
1034	UI/Atlas/Item/Item/Item3.prefab	horse_lv2			乌云踏雪	
1035	UI/Atlas/Item/Item/Item3.prefab	horse_lv3			逐日	
1036	UI/Atlas/Item/Item/Item3.prefab	horse_lv4			照夜玉狮子	
1037	UI/Atlas/Item/Item/Item4.prefab	horse_lv7			绝影	
1038	UI/Atlas/Item/Item/Item4.prefab	horse_lv8			追星逐日	
1039	UI/Atlas/Item/Item/Item4.prefab	horse_lv6			里飞沙	
