ShowType	Name	GroupName	Faction	Sex	ResId	EffectResId	IconId	BigIconId	Desc	Desc2
308	樱落长空·赤阳红	f1	1|3|11|12|16|19	2	8006		11026	11026		
308	君子如风·幽暗紫	m1	4|5|6|9|13|15|17|18|19|20|21	1	6006		11036	11036		
309	铁血龙胆·翡翠绿	m2	1|7|10|11|16	1	7007		11007	11007		
309	牡丹望月·春意绿	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9007		11017	11017		
309	樱落长空·绽放橙	f1	1|3|11|12|16|19	2	8007		11027	11027		
309	君子如风·海洋蓝	m1	4|5|6|9|13|15|17|18|19|20|21	1	6007		11037	11037		
310	铁血龙胆·香墨黑	m2	1|7|10|11|16	1	7008		11008	11008		
310	牡丹望月·幽雅紫	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9008		11018	11018		
310	樱落长空·水晶紫	f1	1|3|11|12|16|19	2	8008		11028	11028		
310	君子如风·香墨黑	m1	4|5|6|9|13|15|17|18|19|20|21	1	6008		11038	11038		
311	铁血龙胆·紫丹褐	m2	1|7|10|11|16	1	7009		11009	11009		
311	牡丹望月·绽放橙	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9009		11019	11019		
311	樱落长空·香墨黑	f1	1|3|11|12|16|19	2	8009		11029	11029		
311	君子如风·橄榄绿	m1	4|5|6|9|13|15|17|18|19|20|21	1	6009		11039	11039		
312	铁血龙胆·傲阳橙	m2	1|7|10|11|16	1	7010		11010	11010		
312	牡丹望月·赤阳红	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9010		11020	11020		
312	樱落长空·落雪白	f1	1|3|11|12|16|19	2	8010		11030	11030		
312	君子如风·苍琅青	m1	4|5|6|9|13|15|17|18|19|20|21	1	6010		11040	11040		
313	铁血龙胆·浮影金	m2	1|7|10|11|16	1	7011		12157	12157		
313	牡丹望月·蝴蝶蓝	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9011		12159	12159		
313	樱落长空·辉煌金	f1	1|3|11|12|16|19	2	8011		12161	12161		
313	君子如风·丁香紫	m1	4|5|6|9|13|15|17|18|19|20|21	1	6011		12163	12163		
314	铁血龙胆·名紫金	m2	1|7|10|11|16	1	7012		12158	12158		
314	牡丹望月·忘忧黄	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9012		12160	12160		
314	樱落长空·玫瑰粉	f1	1|3|11|12|16|19	2	8012		12162	12162		
314	君子如风·浮影金	m1	4|5|6|9|13|15|17|18|19|20|21	1	6012		12164	12164		
315	铁血龙胆·颜色9	m2	1|7|10|11|16	1	3003		11009	11009		
315	青莲濯雨·颜色9	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	3103		11019	11019		
315	樱落长空·颜色9	f1	1|3|11|12|16|19	2	3203		11029	11029		
315	晚香如玉·颜色9	m1	4|5|6|9|13|15|17|18|19|20|21	1	3303		11039	11039		
316	铁血龙胆·颜色10	m2	1|7|10|11|16	1	3004		11010	11010		
316	青莲濯雨·颜色10	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	3104		11020	11020		
316	樱落长空·颜色10	f1	1|3|11|12|16|19	2	3204		11030	11030		
316	晚香如玉·颜色10	m1	4|5|6|9|13|15|17|18|19|20|21	1	3304		11040	11040		
317	铁血龙胆·颜色11	m2	1|7|10|11|16	1	3005		12157	12157		
317	青莲濯雨·颜色11	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	3105		12159	12159		
317	樱落长空·颜色11	f1	1|3|11|12|16|19	2	3205		12161	12161		
317	晚香如玉·颜色11	m1	4|5|6|9|13|15|17|18|19|20|21	1	3305		12163	12163		
318	铁血龙胆·颜色12	m2	1|7|10|11|16	1	3006		12158	12158		
318	青莲濯雨·颜色12	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	3106		12160	12160		
318	樱落长空·颜色12	f1	1|3|11|12|16|19	2	3206		12162	12162		
318	晚香如玉·颜色12	m1	4|5|6|9|13|15|17|18|19|20|21	1	3306		12164	12164		
319	铁血龙胆·颜色13	m2	1|7|10|11|16	1	3007		11009	11009		
319	青莲濯雨·颜色13	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	3107		11019	11019		
319	樱落长空·颜色13	f1	1|3|11|12|16|19	2	3207		11029	11029		
319	晚香如玉·颜色13	m1	4|5|6|9|13|15|17|18|19|20|21	1	3307		11039	11039		
320	铁血龙胆·颜色14	m2	1|7|10|11|16	1	3008		11010	11010		
320	青莲濯雨·颜色14	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	3108		11020	11020		
320	樱落长空·颜色14	f1	1|3|11|12|16|19	2	3208		11030	11030		
320	晚香如玉·颜色14	m1	4|5|6|9|13|15|17|18|19|20|21	1	3308		11040	11040		
321	铁血龙胆·颜色15	m2	1|7|10|11|16	1	3009		12157	12157		
321	青莲濯雨·颜色15	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	3109		12159	12159		
321	樱落长空·颜色15	f1	1|3|11|12|16|19	2	3209		12161	12161		
321	晚香如玉·颜色15	m1	4|5|6|9|13|15|17|18|19|20|21	1	3309		12163	12163		
322	铁血龙胆·颜色16	m2	1|7|10|11|16	1	3010		12158	12158		
322	青莲濯雨·颜色16	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	3110		12160	12160		
322	樱落长空·颜色16	f1	1|3|11|12|16|19	2	3210		12162	12162		
322	晚香如玉·颜色16	m1	4|5|6|9|13|15|17|18|19|20|21	1	3310		12164	12164		
323	八方云动·朱砂红	m2	1|7|10|11|16	1	7013		12281	12281		
323	傲寒诉雪·赤阳红	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9013		12289	12289		
323	墨芷幽兰·赤阳红	f1	1|3|11|12|16|19	2	8013		12297	12297		
323	白玉琅环·赤阳红	m1	4|5|6|9|13|15|17|18|19|20|21	1	6013		12305	12305		
324	八方云动·蝴蝶蓝	m2	1|7|10|11|16	1	7014		12282	12282		
324	傲寒诉雪·香墨黑	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9014		12290	12290		
324	墨芷幽兰·香墨黑	f1	1|3|11|12|16|19	2	8014		12298	12298		
324	白玉琅环·翡翠绿	m1	4|5|6|9|13|15|17|18|19|20|21	1	6014		12306	12306		
325	八方云动·枯木褐	m2	1|7|10|11|16	1	7015		12283	12283		
325	傲寒诉雪·水晶紫	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9015		12291	12291		
325	墨芷幽兰·海洋蓝	f1	1|3|11|12|16|19	2	8015		12299	12299		
325	白玉琅环·紫丹褐	m1	4|5|6|9|13|15|17|18|19|20|21	1	6015		12307	12307		
326	八方云动·幽暗红	m2	1|7|10|11|16	1	7016		12284	12284		
326	傲寒诉雪·蝴蝶蓝	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9016		12292	12292		
326	墨芷幽兰·玫瑰粉	f1	1|3|11|12|16|19	2	8016		12300	12300		
326	白玉琅环·海洋蓝	m1	4|5|6|9|13|15|17|18|19|20|21	1	6016		12308	12308		
327	玄甲铁骑·浮影金	m2	1|7|10|11|16	1	7017		12285	12285		
327	雨落尘殇·浮影金	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9017		12293	12293		
327	伽蓝听雨·蝴蝶蓝	f1	1|3|11|12|16|19	2	8017		12301	12301		
327	墨语无尘·浮影金	m1	4|5|6|9|13|15|17|18|19|20|21	1	6017		12309	12309		
328	玄甲铁骑·幽暗红	m2	1|7|10|11|16	1	7018		12286	12286		
328	雨落尘殇·水晶紫	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9018		12294	12294		
328	伽蓝听雨·熏香紫	f1	1|3|11|12|16|19	2	8018		12302	12302		
328	墨语无尘·夜墨蓝	m1	4|5|6|9|13|15|17|18|19|20|21	1	6018		12310	12310		
329	玄甲铁骑·熏香紫	m2	1|7|10|11|16	1	7019		12287	12287		
329	雨落尘殇·翡翠绿	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9019		12295	12295		
329	伽蓝听雨·橄榄绿	f1	1|3|11|12|16|19	2	8019		12303	12303		
329	墨语无尘·妖姬蓝	m1	4|5|6|9|13|15|17|18|19|20|21	1	6019		12311	12311		
330	玄甲铁骑·杏笺黄	m2	1|7|10|11|16	1	7020		12288	12288		
330	雨落尘殇·赤阳红	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9020		12296	12296		
330	伽蓝听雨·辉煌金	f1	1|3|11|12|16|19	2	8020		12304	12304		
330	墨语无尘·辉煌金	m1	4|5|6|9|13|15|17|18|19|20|21	1	6020		12312	12312		
331	八家将衣服碎片	m2	1|7|10|11|16	1	7017		12285	12285		
331	八家将衣服碎片	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9017		12293	12293		
331	八家将衣服碎片	f1	1|3|11|12|16|19	2	8017		12301	12301		
331	八家将衣服碎片	m1	4|5|6|9|13|15|17|18|19|20|21	1	6017		12309	12309		
332	艺趣·盛典华服	m2	1|7|10|11|16	1	7017		12285	12285		
332	艺趣·盛典华服	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9017		12293	12293		
332	艺趣·盛典华服	f1	1|3|11|12|16|19	2	8017		12301	12301		
332	艺趣·盛典华服	m1	4|5|6|9|13|15|17|18|19|20|21	1	6017		12309	12309		
333	狂客·香墨黑	m2	1|7|10|11|16	1	7022		14621	14621		
333	狷者·香墨黑	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9022		14625	14625		
333	魅灵·香墨黑	f1	1|3|11|12|16|19	2	8022		14629	14629		
333	邪侠·香墨黑	m1	4|5|6|9|13|15|17|18|19|20|21	1	6022		14633	14633		
334	漆黑之影·幽暗紫	m2	1|7|10|11|16	1	7023		14622	14622		
334	夜幕之花·赤阳红	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9023		14626	14626		
334	夜幕之花·玫瑰粉	f1	1|3|11|12|16|19	2	8023		14630	14630		
334	漆黑之影·罗兰紫	m1	4|5|6|9|13|15|17|18|19|20|21	1	6023		14634	14634		
335	漆黑之影·赤阳红	m2	1|7|10|11|16	1	7024		14623	14623		
335	夜幕之花·蝴蝶蓝	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9024		14627	14627		
335	夜幕之花·赤阳红	f1	1|3|11|12|16|19	2	8024		14631	14631		
335	漆黑之影·月光银	m1	4|5|6|9|13|15|17|18|19|20|21	1	6024		14635	14635		
336	漆黑之影·蝴蝶蓝	m2	1|7|10|11|16	1	7025		14624	14624		
336	夜幕之花·熏香紫	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9025		14628	14628		
336	夜幕之花·蝴蝶蓝	f1	1|3|11|12|16|19	2	8025		14632	14632		
336	漆黑之影·蝴蝶蓝	m1	4|5|6|9|13|15|17|18|19|20|21	1	6025		14636	14636		
342	周年庆典华服	m2	1|7|10|11|16	1	7021		15529	15529		
342	周年庆典华服	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9021		15530	15530		
342	周年庆典华服	f1	1|3|11|12|16|19	2	8021		15531	15531		
342	周年庆典华服	m1	4|5|6|9|13|15|17|18|19|20|21	1	6021		15532	15532		
343	青竹觅影·薄荷绿	m2	1|7|10|11|16	1	7027		15469	15469	天王	
344	青竹觅影·浮影金	m2	1|7|10|11|16	1	7028		15470	15470	天王	
345	青竹觅影·幽暗红	m2	1|7|10|11|16	1	7029		15471	15471	天王	
346	青竹觅影·蝴蝶蓝	m2	1|7|10|11|16	1	7030		15472	15472	天王	
343	落花映雪·玫瑰粉	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9027		15473	15473	峨眉	
