ParamId	DefaultRandomId	Desc0	TimeFrame1	RandomId1	Desc1	TimeFrame2	RandomId2	Desc2	TimeFrame3	RandomId3	Desc3	TimeFrame4	RandomId4	Desc4	TimeFrame5	RandomId5	Desc5	TimeFrame6	RandomId6	Desc6	TimeFrame7	RandomId7	Desc7	TimeFrame8	RandomId8	Desc8	TimeFrame9	RandomId9	Desc9	TimeFrame10	RandomId10	Desc10	Desc
35	62610	首次成功挑战师徒试炼后获得的宝箱，使用后获得：[FFFE0D]贡献*2000[-]。	OpenLevel69	62611	首次成功挑战师徒试炼后获得的宝箱，使用后随机获得其中一个：[FFFE0D]贡献*2000、元气*2000[-]。	OpenLevel79	62612	首次成功挑战师徒试炼后获得的宝箱，使用后随机获得其中一个：[FFFE0D]贡献*2000、元气*2000、真气*2000[-]。																									师徒试炼首次宝箱
36	62620	成功挑战师徒试炼后获得的宝箱，使用后获得：[FFFE0D]贡献*1000[-]。	OpenLevel69	62621	成功挑战师徒试炼后获得的宝箱，使用后随机获得其中一个：[FFFE0D]贡献*1000、元气*1000[-]。	OpenLevel79	62622	成功挑战师徒试炼后获得的宝箱，使用后随机获得其中一个：[FFFE0D]贡献*1000、元气*1000、真气*1000[-]。																									师徒试炼宝箱
37	65320		OpenLevel69	65321		OpenLevel79	65322																										分卷合成宝箱
38	67750	在江湖盛典活动期间，活跃达到20所获得的奖励宝箱，使用后获得：[FFFE0D]100贡献[-]	OpenLevel89	67751	在江湖盛典活动期间，活跃达到20所获得的奖励宝箱，使用后获得：[FFFE0D]100真气[-]																												江湖盛典20活跃宝箱
39	67760	在江湖盛典活动期间，活跃达到40所获得的奖励宝箱，使用后获得：[FFFE0D]200贡献[-]	OpenLevel89	67761	在江湖盛典活动期间，活跃达到40所获得的奖励宝箱，使用后获得：[FFFE0D]200真气[-]																												江湖盛典40活跃宝箱
40	67770	在江湖盛典活动期间，活跃达到60所获得的奖励宝箱，使用后获得：[FFFE0D]300贡献[-]	OpenLevel89	67771	在江湖盛典活动期间，活跃达到60所获得的奖励宝箱，使用后获得：[FFFE0D]300真气[-]																												江湖盛典60活跃宝箱
41	67780	在江湖盛典活动期间，活跃达到80所获得的奖励宝箱，使用后获得：[FFFE0D]400贡献[-]	OpenLevel89	67781	在江湖盛典活动期间，活跃达到80所获得的奖励宝箱，使用后获得：[FFFE0D]400真气[-]																												江湖盛典80活跃宝箱
42	67790	在江湖盛典活动期间，活跃达到100所获得的奖励宝箱，使用后获得：[FFFE0D]500贡献[-]	OpenLevel89	67791	在江湖盛典活动期间，活跃达到100所获得的奖励宝箱，使用后获得：[FFFE0D]500真气[-]																												江湖盛典100活跃宝箱
43	66940	使用获得：\n[FFFE0D]称号·盛典豪侠\n20000贡献\n意中人宝箱[-]	OpenLevel89	66941	使用获得：\n[FFFE0D]称号·盛典豪侠\n20000真气\n意中人宝箱[-]																												江湖盛典欢庆礼盒
44	72810	[FFFE0D]阵法试炼[-]中获得的沾满尘土的阵法书残卷，使用[FFFE0D]修裱材料[-]修复后可获得更高品质的阵法书，阵法书的品质越高，研读后可能获得的诀要品质越高\n\n使用后随机获得[FFFE0D]诀要、阵法修炼残卷、修裱材料、贡献或银两[-]\n最高只能获得[11adf6]普通品质的诀要[-]	OpenLevel89	72810	[FFFE0D]阵法试炼[-]中获得的沾满尘土的阵法书残卷，使用[FFFE0D]修裱材料[-]修复后可获得更高品质的阵法书，阵法书的品质越高，研读后可能获得的诀要品质越高\n\n使用后随机获得[FFFE0D]诀要、阵法修炼残卷、修裱材料、贡献或银两[-]\n最高只能获得[11adf6]普通品质的诀要[-]																												古旧阵法修炼残卷
45	72820	干净整洁，装裱精致的阵法书，使用后随机获得[FFFE0D]诀要、阵法修炼精要、修裱材料[-]\n最高可能获得[aa62fc]传承品质的诀要[-]	OpenLevel89	72820	干净整洁，装裱精致的阵法书，使用后随机获得[FFFE0D]诀要、阵法修炼精要、修裱材料[-]\n最高可能获得[aa62fc]传承品质的诀要[-]	OpenLevel109	73820	干净整洁，装裱精致的阵法书，使用后随机获得[FFFE0D]诀要、阵法修炼精要、修裱材料[-]\n最高可能获得[aa62fc]传承品质的诀要[-]																									精致阵法古籍
46	72830	凤毛麟角，传世千古的阵法书，使用后随机获得[FFFE0D]诀要或阵法修炼精要[-]\n最高可能获得[ff8f06]稀有品质的诀要[-]	OpenLevel89	72830	凤毛麟角，传世千古的阵法书，使用后随机获得[FFFE0D]诀要或阵法修炼精要[-]\n最高可能获得[ff8f06]稀有品质的诀要[-]	OpenLevel109	73830	凤毛麟角，传世千古的阵法书，使用后随机获得[FFFE0D]诀要或阵法修炼精要[-]\n最高可能获得[ff8f06]稀有品质的诀要[-]																									传世阵法古籍
47	3527	偶遇圣诞老人时获得的袜子，精美好看，好像装着丰厚的礼物。	OpenLevel69	3527	偶遇圣诞老人时获得的袜子，精美好看，好像装着丰厚的礼物。	OpenLevel79	3528	偶遇圣诞老人时获得的袜子，精美好看，好像装着丰厚的礼物。	OpenLevel99	3529	偶遇圣诞老人时获得的袜子，精美好看，好像装着丰厚的礼物。	OpenLevel109	35291	偶遇圣诞老人时获得的袜子，精美好看，好像装着丰厚的礼物。																			圣诞袜子
48	3533	家族雪人升级后，家族管理员给堆雪人的家族成员发送的礼盒。包装得很精美，看上去价值不菲。	OpenLevel59	3533	家族雪人升级后，家族管理员给堆雪人的家族成员发送的礼盒。包装得很精美，看上去价值不菲。	OpenLevel69	3535	家族雪人升级后，家族管理员给堆雪人的家族成员发送的礼盒。包装得很精美，看上去价值不菲。																									雪人礼盒
49	74021	前线将士收到大侠赠送的腊八粥，以此回礼。打开可获得大量奖励	OpenLevel69	74021	前线将士收到大侠赠送的腊八粥，以此回礼。打开可获得大量奖励	OpenLevel79	74022	前线将士收到大侠赠送的腊八粥，以此回礼。打开可获得大量奖励	OpenLevel99	74023	前线将士收到大侠赠送的腊八粥，以此回礼。打开可获得大量奖励																						联军的回赠
50	74031	腊八节活动中贡献突出，为前线将士送去5份腊八粥时获得此奖励	OpenLevel69	74031	腊八节活动中贡献突出，为前线将士送去5份腊八粥时获得此奖励	OpenLevel79	74032	腊八节活动中贡献突出，为前线将士送去5份腊八粥时获得此奖励																									朝廷的褒奖
51	74041	腊八节活动中贡献巨大，为前线将士送去10份腊八粥时获得此奖励	OpenLevel69	74041	腊八节活动中贡献巨大，为前线将士送去10份腊八粥时获得此奖励	OpenLevel79	74042	腊八节活动中贡献巨大，为前线将士送去10份腊八粥时获得此奖励																									朝廷的褒奖
52	7438	[FFFE0D]1、80元宝\n2、白水晶*12[-]	OpenLevel59	7438	[FFFE0D]1、80元宝\n2、白水晶*16[-]	OpenLevel69	7438	[FFFE0D]1、80元宝\n2、绿水晶*8[-]	OpenLevel79	7438	[FFFE0D]1、80元宝\n2、绿水晶*10[-]	OpenLevel89	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel99	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel109	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel119	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel129	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel139	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel149	7438	[FFFE0D]1、100元宝\n2、蓝水晶*3[-]	1元超值礼包展示（新马）
53	7438	[FFFE0D]1、160元宝\n2、白水晶*18[-]	OpenLevel59	7438	[FFFE0D]1、160元宝\n2、白水晶*20[-]	OpenLevel69	7438	[FFFE0D]1、160元宝\n2、绿水晶*12[-]	OpenLevel79	7438	[FFFE0D]1、160元宝\n2、绿水晶*16[-]	OpenLevel89	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel99	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel109	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel119	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel129	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel139	7438	[FFFE0D]1、160元宝\n2、绿水晶*18[-]	OpenLevel149	7438	[FFFE0D]1、160元宝\n2、蓝水晶*5[-]	3元超值礼包展示（新马）
54	7438	[FFFE0D]1、220元宝\n2、800贡献[-]	OpenLevel59	7438	[FFFE0D]1、220元宝\n2、1000贡献[-]	OpenLevel69	7438	[FFFE0D]1、220元宝\n2、1500贡献[-]	OpenLevel79	7438	[FFFE0D]1、320元宝\n2、2000贡献[-]	OpenLevel89	7438	[FFFE0D]1、320元宝\n2、2000贡献\n2、蓝水晶*8[-]	OpenLevel99	7438	[FFFE0D]1、320元宝\n2、2000贡献\n2、紫水晶*2[-]	OpenLevel109	7438	[FFFE0D]1、320元宝\n2、2000贡献\n2、紫水晶*2[-]	OpenLevel119	7438	[FFFE0D]1、320元宝\n2、2500贡献\n3、紫水晶*2[-]	OpenLevel129	7438	[FFFE0D]1、320元宝\n2、2500贡献\n3、紫水晶*2[-]	OpenLevel139	7438	[FFFE0D]1、320元宝\n2、2500贡献\n3、紫水晶*2[-]	OpenLevel149	7438	[FFFE0D]1、320元宝\n2、2500贡献\n3、紫水晶*2[-]	6元超值礼包展示（新马）
55	70671		OpenDay89	70671		OpenLevel99	70677		OpenLevel109	70672		OpenDay279	70673		OpenDay353	70674		OpenLevel129	70675		OpenLevel139	70676		OpenLevel169	70678								5级魂石箱
56	77001	劳动节活动最终奖励，看起来十分珍贵	OpenLevel79	77002	劳动节活动最终奖励，看起来十分珍贵																												劳动者宝箱·一阶
57	77011	劳动节活动最终奖励，看起来有些珍贵	OpenLevel79	77012	劳动节活动最终奖励，看起来有些珍贵																												劳动者宝箱·二阶
58	77021	劳动节活动最终奖励，看起来十分精美	OpenLevel79	77022	劳动节活动最终奖励，看起来十分精美																												劳动者宝箱·三阶
59	77031	劳动节活动最终奖励，看起来有些精美	OpenLevel79	77032	劳动节活动最终奖励，看起来有些精美																												劳动者宝箱·四阶
60	77041	劳动节活动最终奖励，看起来里面有点东西	OpenLevel79	77042	劳动节活动最终奖励，看起来里面有点东西																												劳动者宝箱·五阶
61	83611	完美完成商会任务后万金财的特殊赠与。\n残损的表面隐约能辨认出“礼”字样，此时资料片将近，看来收集多个到时必有厚礼可以兑换	OpenLevel109	83612	完美完成商会任务后万金财的特殊赠与。\n残损的表面隐约能辨认出“礼”字样，此时资料片将近，看来收集多个到时必有厚礼可以兑换																												残损的票券
62	85011	从[FFFE0D]万金财[-]处消耗[FFFE0D]5个[-]残损的票券换得，看起来平平无奇，没什么了不起	OpenLevel69	85012	从[FFFE0D]万金财[-]处消耗[FFFE0D]5个[-]残损的票券换得，看起来平平无奇，没什么了不起	OpenLevel89	85013	从[FFFE0D]万金财[-]处消耗[FFFE0D]5个[-]残损的票券换得，看起来平平无奇，没什么了不起	OpenLevel109	85014	从[FFFE0D]万金财[-]处消耗[FFFE0D]5个[-]残损的票券换得，看起来平平无奇，没什么了不起																						平平无奇宝盒
63	85031	从[FFFE0D]万金财[-]处消耗[FFFE0D]10个[-]残损的票券换得，做工细致轻巧，看起来有点东西	OpenLevel69	85032	从[FFFE0D]万金财[-]处消耗[FFFE0D]10个[-]残损的票券换得，做工细致轻巧，看起来有点东西	OpenLevel89	85033	从[FFFE0D]万金财[-]处消耗[FFFE0D]10个[-]残损的票券换得，做工细致轻巧，看起来有点东西	OpenLevel109	85034	从[FFFE0D]万金财[-]处消耗[FFFE0D]10个[-]残损的票券换得，做工细致轻巧，看起来有点东西																						细致精巧宝盒
64	85021	从[FFFE0D]万金财[-]处消耗[FFFE0D]15个[-]残损的票券换得，外饰装点华丽，里面的东西怕是非同小可	OpenLevel69	85022	从[FFFE0D]万金财[-]处消耗[FFFE0D]15个[-]残损的票券换得，外饰装点华丽，里面的东西怕是非同小可	OpenLevel89	85023	从[FFFE0D]万金财[-]处消耗[FFFE0D]15个[-]残损的票券换得，外饰装点华丽，里面的东西怕是非同小可	OpenLevel109	85024	从[FFFE0D]万金财[-]处消耗[FFFE0D]15个[-]残损的票券换得，外饰装点华丽，里面的东西怕是非同小可																						外饰华丽宝盒
65	85041	从[FFFE0D]万金财[-]处消耗[FFFE0D]20个[-]残损的票券换得，搭眼望去光彩璀璨，或许里面有什么神秘宝物	OpenLevel69	85042	从[FFFE0D]万金财[-]处消耗[FFFE0D]20个[-]残损的票券换得，搭眼望去光彩璀璨，或许里面有什么神秘宝物	OpenLevel89	85043	从[FFFE0D]万金财[-]处消耗[FFFE0D]20个[-]残损的票券换得，搭眼望去光彩璀璨，或许里面有什么神秘宝物	OpenLevel109	85044	从[FFFE0D]万金财[-]处消耗[FFFE0D]20个[-]残损的票券换得，搭眼望去光彩璀璨，或许里面有什么神秘宝物																						光彩璀璨宝盒
66	8379	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel109	9325	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel119	9326	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel129	9327	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel139	9328	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel149	9329	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel159	9330	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel169	9894	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel179	10431	遗迹寻宝活动中自动扣除[FFFE0D]500[-]白银积分兑换所得。	OpenLevel189	10987					遗迹寻宝奖励
