ChangeId	Desc	Part	Genre	CharmExtern	ColorItem1	ConsumeItem1	ConsumeCount1	ColorItem2	ConsumeItem2	ConsumeCount2	ColorItem3	ConsumeItem3	ConsumeCount3	ColorItem4	ConsumeItem4	ConsumeCount4	ColorItem5	ConsumeItem5	ConsumeCount5	ColorItem6	ConsumeItem6	ConsumeCount6	ColorItem7	ConsumeItem7	ConsumeCount7	ColorItem8	ConsumeItem8	ConsumeCount8	NameFacionMale1	NameFacionFemale1	NameFacionFemale2	NameFacionFemale3	NameFacionMale4	NameFacionFemale4	NameFacionMale5	NameFacionFemale5	NameFacionMale6	NameFacionFemale6	NameFacionMale7	NameFacionFemale8	NameFacionMale9	NameFacionMale10	NameFacionFemale10	NameFacionMale11	NameFacionFemale11	NameFacionFemale12	NameFacionMale13	NameFacionFemale14	NameFacionMale15	NameFacionFemale15	NameFacionMale16	NameFacionFemale16	NameFacionMale17	NameFacionFemale17	NameFacionMale18	NameFacionFemale18	NameFacionMale19	NameFacionFemale19	NameFacionMale20	NameFacionFemale20	NameFacionMale21	NameFacionFemale21
104	外装T3（新年大衣）·限时	0	3	2	4484	2569	1																						外装：<八方云动>	外装：<墨芷幽兰>	外装：<傲寒诉雪>	外装：<墨芷幽兰>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<八方云动>	外装：<傲寒诉雪>	外装：<白玉琅环>	外装：<八方云动>	外装：<傲寒诉雪>	外装：<八方云动>	外装：<墨芷幽兰>	外装：<墨芷幽兰>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<八方云动>	外装：<墨芷幽兰>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<白玉琅环>	外装：<墨芷幽兰>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<白玉琅环>	外装：<傲寒诉雪>
105	外装T4（八家将）·限时	0	3	7	4487	2569	1																						外装：<玄甲铁骑>	外装：<伽蓝听雨>	外装：<雨落尘殇>	外装：<伽蓝听雨>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<玄甲铁骑>	外装：<雨落尘殇>	外装：<墨语无尘>	外装：<玄甲铁骑>	外装：<雨落尘殇>	外装：<玄甲铁骑>	外装：<伽蓝听雨>	外装：<伽蓝听雨>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<玄甲铁骑>	外装：<伽蓝听雨>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<墨语无尘>	外装：<伽蓝听雨>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<墨语无尘>	外装：<雨落尘殇>
106	外装T5（黑帮）·限时	0	3	7	4490	2569	1																						外装：<狂客>	外装：<魅灵>	外装：<狷者>	外装：<魅灵>	外装：<邪侠>	外装：<狷者>	外装：<邪侠>	外装：<狷者>	外装：<邪侠>	外装：<狷者>	外装：<狂客>	外装：<狷者>	外装：<邪侠>	外装：<狂客>	外装：<狷者>	外装：<狂客>	外装：<魅灵>	外装：<魅灵>	外装：<邪侠>	外装：<狷者>	外装：<邪侠>	外装：<狷者>	外装：<狂客>	外装：<魅灵>	外装：<邪侠>	外装：<狷者>	外装：<邪侠>	外装：<狷者>	外装：<邪侠>	外装：<魅灵>	外装：<邪侠>	外装：<狷者>	外装：<邪侠>	外装：<狷者>
1001	T6外装（自然）·佳期	0	3	57	4243	2569	1																						外装：<佳期·鸿影>	外装：<佳期·琼华>	外装：<佳期·花恋>	外装：<佳期·琼华>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·鸿影>	外装：<佳期·花恋>	外装：<佳期·墨语>	外装：<佳期·鸿影>	外装：<佳期·花恋>	外装：<佳期·鸿影>	外装：<佳期·琼华>	外装：<佳期·琼华>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·鸿影>	外装：<佳期·琼华>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·墨语>	外装：<佳期·琼华>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·墨语>	外装：<佳期·花恋>
1051	T6外装（自然）	0	3	47	3874	2569	1	3875	2569	10	3876	2569	10	3877	2569	10													外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<落花映雪>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列
1071	T6外装（自然）·限时	0	3	37	4772	2569	1																						外装：<青竹觅影>	外装：<落花映雪>	外装：<落花映雪>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>
1091	T7外装（浮光）	0	3	57	3878	2569	1	3879	2569	10	3880	2569	10	3881	2569	10	6831	2569	10										外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列
1092	T7外装（浮光）·特殊	0	3	57	11021	2569	1																						外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦蝶>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>	外装：<浮光·梦羽>	外装：<浮光·梦蝶>
1301	T7外装（浮光）·限时	0	3	27	6741	2569	1																						外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列
1302	T9外装（丝路流纱）·限时	0	3	27	7123	2569	1																						外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>
1303	T11外装（新年装）·限时	0	3	27	8284	2569	1																						外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>
1304	T12外装（夏莲）·限时	0	3	27	8285	2569	1																						外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<萤舞·花间>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>
1305	T12A外装（夏莲）·限时	0	3	27	8286	2569	1																						外装：<苍澜>	外装：<花间>	外装：<花间>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>
1307	T14外装（2018秋装）·限时	0	3	27	9984	2569	1																						外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>	外装：<秋叶流歌>
1308	T15外装（2018冬装）·限时	0	3	27	9985	2569	1																						外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>	外装：<缀芳沐雪>
1309	T16外装（2019春装燕子）·限时	0	3	27	10508	2569	1																						外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>	外装：<翩燕流云>
