TemplateId	Desc	AttribType1	AttribLevel1	AttribType2	AttribLevel2	AttribType3	AttribLevel3	AttribType4	AttribLevel4	AttribType5	AttribLevel5	AttribType6	AttribLevel6
380	T1衣服（高）	vitality_v	6	dexterity_v	6	all_series_resist_v	6	weaken_deadlystrike_damage_p	6	resist_allseriesstate_rate_v	6	weaken_deadlystrike_v	6
381	T2衣服（高）	vitality_v	8	dexterity_v	8	all_series_resist_v	8	weaken_deadlystrike_damage_p	8	resist_allseriesstate_rate_v	8	weaken_deadlystrike_v	8
382	T3衣服（高）	vitality_v	10	dexterity_v	10	all_series_resist_v	10	weaken_deadlystrike_damage_p	10	resist_allseriesstate_rate_v	10	weaken_deadlystrike_v	10
383	T4衣服（高）	vitality_v	12	dexterity_v	12	all_series_resist_v	12	weaken_deadlystrike_damage_p	12	resist_allseriesstate_rate_v	12	weaken_deadlystrike_v	12
384	T5衣服（高）	vitality_v	14	dexterity_v	14	all_series_resist_v	14	weaken_deadlystrike_damage_p	14	resist_allseriesstate_rate_v	14	weaken_deadlystrike_v	14
385	T6衣服（高）	vitality_v	16	dexterity_v	16	all_series_resist_v	16	weaken_deadlystrike_damage_p	16	resist_allseriesstate_rate_v	16	weaken_deadlystrike_v	16
386	T7衣服（高）	vitality_v	18	dexterity_v	18	all_series_resist_v	18	weaken_deadlystrike_damage_p	18	resist_allseriesstate_rate_v	18	weaken_deadlystrike_v	18
387	T8衣服（高）	vitality_v	20	dexterity_v	20	all_series_resist_v	20	weaken_deadlystrike_damage_p	20	resist_allseriesstate_rate_v	20	weaken_deadlystrike_v	20
3834	T9衣服（高）	vitality_v	22	dexterity_v	22	all_series_resist_v	22	weaken_deadlystrike_damage_p	22	resist_allseriesstate_rate_v	22	weaken_deadlystrike_v	22
3835	T10衣服（高）	vitality_v	24	dexterity_v	24	all_series_resist_v	24	weaken_deadlystrike_damage_p	24	resist_allseriesstate_rate_v	24	weaken_deadlystrike_v	24
388	T1腰带（低）	vitality_v	2	dexterity_v	2	energy_v	2	lifemax_p	2	weaken_deadlystrike_damage_p	2	defense_v	2
389	T2腰带（低）	vitality_v	4	dexterity_v	4	energy_v	4	lifemax_p	4	weaken_deadlystrike_damage_p	4	defense_v	4
390	T3腰带（低）	vitality_v	6	dexterity_v	6	energy_v	6	lifemax_p	6	weaken_deadlystrike_damage_p	6	defense_v	6
391	T4腰带（低）	vitality_v	8	dexterity_v	8	energy_v	8	lifemax_p	8	weaken_deadlystrike_damage_p	8	defense_v	8
392	T5腰带（低）	vitality_v	10	dexterity_v	10	energy_v	10	lifemax_p	10	weaken_deadlystrike_damage_p	10	defense_v	10
393	T6腰带（低）	vitality_v	12	dexterity_v	12	energy_v	12	lifemax_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
394	T7腰带（低）	vitality_v	14	dexterity_v	14	energy_v	14	lifemax_p	14	weaken_deadlystrike_damage_p	14	defense_v	14
395	T8腰带（低）	vitality_v	16	dexterity_v	16	energy_v	16	lifemax_p	16	weaken_deadlystrike_damage_p	16	defense_v	16
3842	T9腰带（低）	vitality_v	18	dexterity_v	18	energy_v	18	lifemax_p	18	weaken_deadlystrike_damage_p	18	defense_v	18
3843	T10腰带（低）	vitality_v	20	dexterity_v	20	energy_v	20	lifemax_p	20	weaken_deadlystrike_damage_p	20	defense_v	20
602	T1腰带（中）	vitality_v	3	dexterity_v	3	energy_v	3	lifemax_p	3	weaken_deadlystrike_damage_p	3	defense_v	3
396	T2腰带（中）	vitality_v	5	dexterity_v	5	energy_v	5	lifemax_p	5	weaken_deadlystrike_damage_p	5	defense_v	5
397	T3腰带（中）	vitality_v	7	dexterity_v	7	energy_v	7	lifemax_p	7	weaken_deadlystrike_damage_p	7	defense_v	7
398	T4腰带（中）	vitality_v	9	dexterity_v	9	energy_v	9	lifemax_p	9	weaken_deadlystrike_damage_p	9	defense_v	9
399	T5腰带（中）	vitality_v	11	dexterity_v	11	energy_v	11	lifemax_p	11	weaken_deadlystrike_damage_p	11	defense_v	11
400	T6腰带（中）	vitality_v	14	dexterity_v	12	energy_v	12	lifemax_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
401	T7腰带（中）	vitality_v	15	dexterity_v	15	energy_v	15	lifemax_p	15	weaken_deadlystrike_damage_p	15	defense_v	15
402	T8腰带（中）	vitality_v	17	dexterity_v	17	energy_v	17	lifemax_p	17	weaken_deadlystrike_damage_p	17	defense_v	17
3844	T9腰带（中）	vitality_v	19	dexterity_v	19	energy_v	19	lifemax_p	19	weaken_deadlystrike_damage_p	19	defense_v	19
3845	T10腰带（中）	vitality_v	21	dexterity_v	21	energy_v	21	lifemax_p	21	weaken_deadlystrike_damage_p	21	defense_v	21
403	T1腰带（高）	vitality_v	6	dexterity_v	6	energy_v	6	lifemax_p	6	weaken_deadlystrike_damage_p	6	defense_v	6
404	T2腰带（高）	vitality_v	8	dexterity_v	8	energy_v	8	lifemax_p	8	weaken_deadlystrike_damage_p	8	defense_v	8
405	T3腰带（高）	vitality_v	10	dexterity_v	10	energy_v	10	lifemax_p	10	weaken_deadlystrike_damage_p	10	defense_v	10
406	T4腰带（高）	vitality_v	12	dexterity_v	12	energy_v	12	lifemax_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
407	T5腰带（高）	vitality_v	14	dexterity_v	14	energy_v	14	lifemax_p	14	weaken_deadlystrike_damage_p	14	defense_v	14
408	T6腰带（高）	vitality_v	16	dexterity_v	16	energy_v	16	lifemax_p	16	weaken_deadlystrike_damage_p	16	defense_v	16
409	T7腰带（高）	vitality_v	18	dexterity_v	18	energy_v	18	lifemax_p	18	weaken_deadlystrike_damage_p	18	defense_v	18
410	T8腰带（高）	vitality_v	20	dexterity_v	20	energy_v	20	lifemax_p	20	weaken_deadlystrike_damage_p	20	defense_v	20
3846	T9腰带（高）	vitality_v	22	dexterity_v	22	energy_v	22	lifemax_p	22	weaken_deadlystrike_damage_p	22	defense_v	22
3847	T10腰带（高）	vitality_v	24	dexterity_v	24	energy_v	24	lifemax_p	24	weaken_deadlystrike_damage_p	24	defense_v	24
435	T1护腕(低）	strength_v	2	vitality_v	2	dexterity_v	2	weaken_deadlystrike_damage_p	2	defense_v	2	weaken_deadlystrike_v	2
436	T2护腕(低）	strength_v	4	vitality_v	4	dexterity_v	4	weaken_deadlystrike_damage_p	4	defense_v	4	weaken_deadlystrike_v	4
437	T3护腕(低）	strength_v	6	vitality_v	6	dexterity_v	6	weaken_deadlystrike_damage_p	6	defense_v	6	weaken_deadlystrike_v	6
438	T4护腕(低）	strength_v	8	vitality_v	8	dexterity_v	8	weaken_deadlystrike_damage_p	8	defense_v	8	weaken_deadlystrike_v	8
439	T5护腕(低）	strength_v	10	vitality_v	10	dexterity_v	10	weaken_deadlystrike_damage_p	10	defense_v	10	weaken_deadlystrike_v	10
440	T6护腕(低）	strength_v	12	vitality_v	12	dexterity_v	12	weaken_deadlystrike_damage_p	12	defense_v	12	weaken_deadlystrike_v	12
441	T7护腕(低）	strength_v	14	vitality_v	14	dexterity_v	14	weaken_deadlystrike_damage_p	14	defense_v	14	weaken_deadlystrike_v	14
442	T8护腕(低）	strength_v	16	vitality_v	16	dexterity_v	16	weaken_deadlystrike_damage_p	16	defense_v	16	weaken_deadlystrike_v	16
3836	T9护腕(低）	strength_v	18	vitality_v	18	dexterity_v	18	weaken_deadlystrike_damage_p	18	defense_v	18	weaken_deadlystrike_v	18
3837	T10护腕(低）	strength_v	20	vitality_v	20	dexterity_v	20	weaken_deadlystrike_damage_p	20	defense_v	20	weaken_deadlystrike_v	20
443	T1护腕(中）	strength_v	3	vitality_v	3	dexterity_v	3	weaken_deadlystrike_damage_p	3	defense_v	3	weaken_deadlystrike_v	3
444	T2护腕(中）	strength_v	5	vitality_v	5	dexterity_v	5	weaken_deadlystrike_damage_p	5	defense_v	5	weaken_deadlystrike_v	5
445	T3护腕(中）	strength_v	7	vitality_v	7	dexterity_v	7	weaken_deadlystrike_damage_p	7	defense_v	7	weaken_deadlystrike_v	7
446	T4护腕(中）	strength_v	9	vitality_v	9	dexterity_v	9	weaken_deadlystrike_damage_p	9	defense_v	9	weaken_deadlystrike_v	9
447	T5护腕(中）	strength_v	11	vitality_v	11	dexterity_v	11	weaken_deadlystrike_damage_p	11	defense_v	11	weaken_deadlystrike_v	11
448	T6护腕(中）	strength_v	14	vitality_v	12	dexterity_v	12	weaken_deadlystrike_damage_p	12	defense_v	12	weaken_deadlystrike_v	12
449	T7护腕(中）	strength_v	15	vitality_v	15	dexterity_v	15	weaken_deadlystrike_damage_p	15	defense_v	15	weaken_deadlystrike_v	15
450	T8护腕(中）	strength_v	17	vitality_v	17	dexterity_v	17	weaken_deadlystrike_damage_p	17	defense_v	17	weaken_deadlystrike_v	17
3838	T9护腕(中）	strength_v	19	vitality_v	19	dexterity_v	19	weaken_deadlystrike_damage_p	19	defense_v	19	weaken_deadlystrike_v	19
3839	T10护腕(中）	strength_v	21	vitality_v	21	dexterity_v	21	weaken_deadlystrike_damage_p	21	defense_v	21	weaken_deadlystrike_v	21
451	T1护腕(高）	strength_v	6	vitality_v	6	dexterity_v	6	weaken_deadlystrike_damage_p	6	defense_v	6	weaken_deadlystrike_v	6
452	T2护腕(高）	strength_v	8	vitality_v	8	dexterity_v	8	weaken_deadlystrike_damage_p	8	defense_v	8	weaken_deadlystrike_v	8
453	T3护腕(高）	strength_v	10	vitality_v	10	dexterity_v	10	weaken_deadlystrike_damage_p	10	defense_v	10	weaken_deadlystrike_v	10
454	T4护腕(高）	strength_v	12	vitality_v	12	dexterity_v	12	weaken_deadlystrike_damage_p	12	defense_v	12	weaken_deadlystrike_v	12
455	T5护腕(高）	strength_v	14	vitality_v	14	dexterity_v	14	weaken_deadlystrike_damage_p	14	defense_v	14	weaken_deadlystrike_v	14
456	T6护腕(高）	strength_v	16	vitality_v	16	dexterity_v	16	weaken_deadlystrike_damage_p	16	defense_v	16	weaken_deadlystrike_v	16
457	T7护腕(高）	strength_v	18	vitality_v	18	dexterity_v	18	weaken_deadlystrike_damage_p	18	defense_v	18	weaken_deadlystrike_v	18
458	T8护腕(高）	strength_v	20	vitality_v	20	dexterity_v	20	weaken_deadlystrike_damage_p	20	defense_v	20	weaken_deadlystrike_v	20
3840	T9护腕(高）	strength_v	22	vitality_v	22	dexterity_v	22	weaken_deadlystrike_damage_p	22	defense_v	22	weaken_deadlystrike_v	22
3841	T10护腕(高）	strength_v	24	vitality_v	24	dexterity_v	24	weaken_deadlystrike_damage_p	24	defense_v	24	weaken_deadlystrike_v	24
411	T1鞋子（低）	strength_v	2	vitality_v	2	dexterity_v	2	lifereplenish_p	2	weaken_deadlystrike_damage_p	2	defense_v	2
412	T2鞋子（低）	strength_v	4	vitality_v	4	dexterity_v	4	lifereplenish_p	4	weaken_deadlystrike_damage_p	4	defense_v	4
413	T3鞋子（低）	strength_v	6	vitality_v	6	dexterity_v	6	lifereplenish_p	6	weaken_deadlystrike_damage_p	6	defense_v	6
414	T4鞋子（低）	strength_v	8	vitality_v	8	dexterity_v	8	lifereplenish_p	8	weaken_deadlystrike_damage_p	8	defense_v	8
415	T5鞋子（低）	strength_v	10	vitality_v	10	dexterity_v	10	lifereplenish_p	10	weaken_deadlystrike_damage_p	10	defense_v	10
416	T6鞋子（低）	strength_v	12	vitality_v	12	dexterity_v	12	lifereplenish_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
417	T7鞋子（低）	strength_v	14	vitality_v	14	dexterity_v	14	lifereplenish_p	14	weaken_deadlystrike_damage_p	14	defense_v	14
418	T8鞋子（低）	strength_v	16	vitality_v	16	dexterity_v	16	lifereplenish_p	16	weaken_deadlystrike_damage_p	16	defense_v	16
3848	T9鞋子（低）	strength_v	18	vitality_v	18	dexterity_v	18	lifereplenish_p	18	weaken_deadlystrike_damage_p	18	defense_v	18
3849	T10鞋子（低）	strength_v	20	vitality_v	20	dexterity_v	20	lifereplenish_p	20	weaken_deadlystrike_damage_p	20	defense_v	20
419	T1鞋子（中）	strength_v	3	vitality_v	3	dexterity_v	3	lifereplenish_p	3	weaken_deadlystrike_damage_p	3	defense_v	3
420	T2鞋子（中）	strength_v	5	vitality_v	5	dexterity_v	5	lifereplenish_p	5	weaken_deadlystrike_damage_p	5	defense_v	5
421	T3鞋子（中）	strength_v	7	vitality_v	7	dexterity_v	7	lifereplenish_p	7	weaken_deadlystrike_damage_p	7	defense_v	7
422	T4鞋子（中）	strength_v	9	vitality_v	9	dexterity_v	9	lifereplenish_p	9	weaken_deadlystrike_damage_p	9	defense_v	9
423	T5鞋子（中）	strength_v	11	vitality_v	11	dexterity_v	11	lifereplenish_p	11	weaken_deadlystrike_damage_p	11	defense_v	11
424	T6鞋子（中）	strength_v	14	vitality_v	12	dexterity_v	12	lifereplenish_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
425	T7鞋子（中）	strength_v	15	vitality_v	15	dexterity_v	15	lifereplenish_p	15	weaken_deadlystrike_damage_p	15	defense_v	15
426	T8鞋子（中）	strength_v	17	vitality_v	17	dexterity_v	17	lifereplenish_p	17	weaken_deadlystrike_damage_p	17	defense_v	17
3850	T9鞋子（中）	strength_v	19	vitality_v	19	dexterity_v	19	lifereplenish_p	19	weaken_deadlystrike_damage_p	19	defense_v	19
3851	T10鞋子（中）	strength_v	21	vitality_v	21	dexterity_v	21	lifereplenish_p	21	weaken_deadlystrike_damage_p	21	defense_v	21
427	T1鞋子（高）	strength_v	6	vitality_v	6	dexterity_v	6	lifereplenish_p	6	weaken_deadlystrike_damage_p	6	defense_v	6
428	T2鞋子（高）	strength_v	8	vitality_v	8	dexterity_v	8	lifereplenish_p	8	weaken_deadlystrike_damage_p	8	defense_v	8
429	T3鞋子（高）	strength_v	10	vitality_v	10	dexterity_v	10	lifereplenish_p	10	weaken_deadlystrike_damage_p	10	defense_v	10
430	T4鞋子（高）	strength_v	12	vitality_v	12	dexterity_v	12	lifereplenish_p	12	weaken_deadlystrike_damage_p	12	defense_v	12
431	T5鞋子（高）	strength_v	14	vitality_v	14	dexterity_v	14	lifereplenish_p	14	weaken_deadlystrike_damage_p	14	defense_v	14
432	T6鞋子（高）	strength_v	16	vitality_v	16	dexterity_v	16	lifereplenish_p	16	weaken_deadlystrike_damage_p	16	defense_v	16
433	T7鞋子（高）	strength_v	18	vitality_v	18	dexterity_v	18	lifereplenish_p	18	weaken_deadlystrike_damage_p	18	defense_v	18
434	T8鞋子（高）	strength_v	20	vitality_v	20	dexterity_v	20	lifereplenish_p	20	weaken_deadlystrike_damage_p	20	defense_v	20
3852	T9鞋子（高）	strength_v	22	vitality_v	22	dexterity_v	22	lifereplenish_p	22	weaken_deadlystrike_damage_p	22	defense_v	22
3853	T10鞋子（高）	strength_v	24	vitality_v	24	dexterity_v	24	lifereplenish_p	24	weaken_deadlystrike_damage_p	24	defense_v	24
555	T1武器（低）	strength_v	2	energy_v	2	basic_damage_v	2	physical_damage_v	2	deadlystrike_v	2	steallife_p	2
556	T2武器（低）	strength_v	4	energy_v	4	basic_damage_v	4	physical_damage_v	4	deadlystrike_v	4	steallife_p	4
557	T3武器（低）	strength_v	6	energy_v	6	basic_damage_v	6	physical_damage_v	6	deadlystrike_v	6	steallife_p	6
558	T4武器（低）	strength_v	8	energy_v	8	basic_damage_v	8	physical_damage_v	8	deadlystrike_v	8	steallife_p	8
559	T5武器（低）	strength_v	10	energy_v	10	basic_damage_v	10	physical_damage_v	10	deadlystrike_v	10	steallife_p	10
560	T6武器（低）	strength_v	12	energy_v	12	basic_damage_v	12	physical_damage_v	12	deadlystrike_v	12	steallife_p	12
561	T7武器（低）	strength_v	14	energy_v	14	basic_damage_v	14	physical_damage_v	14	deadlystrike_v	14	steallife_p	14
562	T8武器（低）	strength_v	16	energy_v	16	basic_damage_v	16	physical_damage_v	16	deadlystrike_v	16	steallife_p	16
3794	T9武器（低）	strength_v	18	energy_v	18	basic_damage_v	18	physical_damage_v	18	deadlystrike_v	18	steallife_p	18
3795	T10武器（低）	strength_v	20	energy_v	20	basic_damage_v	20	physical_damage_v	20	deadlystrike_v	20	steallife_p	20
563	T1武器（中）	strength_v	3	energy_v	3	basic_damage_v	3	physical_damage_v	3	deadlystrike_v	3	steallife_p	3
564	T2武器（中）	strength_v	5	energy_v	5	basic_damage_v	5	physical_damage_v	5	deadlystrike_v	5	steallife_p	5
565	T3武器（中）	strength_v	7	energy_v	7	basic_damage_v	7	physical_damage_v	7	deadlystrike_v	7	steallife_p	7
566	T4武器（中）	strength_v	9	energy_v	9	basic_damage_v	9	physical_damage_v	9	deadlystrike_v	9	steallife_p	9
567	T5武器（中）	strength_v	11	energy_v	11	basic_damage_v	11	physical_damage_v	11	deadlystrike_v	11	steallife_p	11
568	T6武器（中）	strength_v	14	energy_v	12	basic_damage_v	12	physical_damage_v	12	deadlystrike_v	12	steallife_p	12
569	T7武器（中）	strength_v	15	energy_v	15	basic_damage_v	15	physical_damage_v	15	deadlystrike_v	15	steallife_p	15
570	T8武器（中）	strength_v	17	energy_v	17	basic_damage_v	17	physical_damage_v	17	deadlystrike_v	17	steallife_p	17
3796	T9武器（中）	strength_v	19	energy_v	19	basic_damage_v	19	physical_damage_v	19	deadlystrike_v	19	steallife_p	19
3797	T10武器（中）	strength_v	21	energy_v	21	basic_damage_v	21	physical_damage_v	21	deadlystrike_v	21	steallife_p	21
571	T1武器（高）	strength_v	6	energy_v	6	basic_damage_v	6	physical_damage_v	6	deadlystrike_v	6	steallife_p	6
572	T2武器（高）	strength_v	8	energy_v	8	basic_damage_v	8	physical_damage_v	8	deadlystrike_v	8	steallife_p	8
573	T3武器（高）	strength_v	10	energy_v	10	basic_damage_v	10	physical_damage_v	10	deadlystrike_v	10	steallife_p	10
574	T4武器（高）	strength_v	12	energy_v	12	basic_damage_v	12	physical_damage_v	12	deadlystrike_v	12	steallife_p	12
575	T5武器（高）	strength_v	14	energy_v	14	basic_damage_v	14	physical_damage_v	14	deadlystrike_v	14	steallife_p	14
576	T6武器（高）	strength_v	16	energy_v	16	basic_damage_v	16	physical_damage_v	16	deadlystrike_v	16	steallife_p	16
577	T7武器（高）	strength_v	18	energy_v	18	basic_damage_v	18	physical_damage_v	18	deadlystrike_v	18	steallife_p	18
578	T8武器（高）	strength_v	20	energy_v	20	basic_damage_v	20	physical_damage_v	20	deadlystrike_v	20	steallife_p	20
3798	T9武器（高）	strength_v	22	energy_v	22	basic_damage_v	22	physical_damage_v	22	deadlystrike_v	22	steallife_p	22
3799	T10武器（高）	strength_v	24	energy_v	24	basic_damage_v	24	physical_damage_v	24	deadlystrike_v	24	steallife_p	24
483	T1项链（低）	strength_v	2	dexterity_v	2	ignore_defense_v	2	deadlystrike_damage_p	2	meleedamagereturn_p	2	deadlystrike_v	2
484	T2项链（低）	strength_v	4	dexterity_v	4	ignore_defense_v	4	deadlystrike_damage_p	4	meleedamagereturn_p	4	deadlystrike_v	4
485	T3项链（低）	strength_v	6	dexterity_v	6	ignore_defense_v	6	deadlystrike_damage_p	6	meleedamagereturn_p	6	deadlystrike_v	6
486	T4项链（低）	strength_v	8	dexterity_v	8	ignore_defense_v	8	deadlystrike_damage_p	8	meleedamagereturn_p	8	deadlystrike_v	8
487	T5项链（低）	strength_v	10	dexterity_v	10	ignore_defense_v	10	deadlystrike_damage_p	10	meleedamagereturn_p	10	deadlystrike_v	10
488	T6项链（低）	strength_v	12	dexterity_v	12	ignore_defense_v	12	deadlystrike_damage_p	12	meleedamagereturn_p	12	deadlystrike_v	12
489	T7项链（低）	strength_v	14	dexterity_v	14	ignore_defense_v	14	deadlystrike_damage_p	14	meleedamagereturn_p	14	deadlystrike_v	14
490	T8项链（低）	strength_v	16	dexterity_v	16	ignore_defense_v	16	deadlystrike_damage_p	16	meleedamagereturn_p	16	deadlystrike_v	16
3800	T9项链（低）	strength_v	18	dexterity_v	18	ignore_defense_v	18	deadlystrike_damage_p	18	meleedamagereturn_p	18	deadlystrike_v	18
3801	T10项链（低）	strength_v	20	dexterity_v	20	ignore_defense_v	20	deadlystrike_damage_p	20	meleedamagereturn_p	20	deadlystrike_v	20
491	T1项链（中）	strength_v	3	dexterity_v	3	ignore_defense_v	3	deadlystrike_damage_p	3	meleedamagereturn_p	3	deadlystrike_v	3
