EquipItem	WaiYiItem	Cost	TimeOut	Desc
4516	4243			T6外装唐门·华贵
4517	4243			T6外装昆仑·华贵
4518	4243			T6外装丐帮·华贵
4519	4243			T6外装五毒·华贵
6874	3874			T6外装全门派
4448	3874			T6外装天王
4449	3874			T6外装峨眉
4450	3874			T6外装桃花
4451	3874			T6外装逍遥
4452	3874			T6外装武当
4453	3874			T6外装天忍
4454	3874			T6外装少林
4455	3874			T6外装翠烟
4456	3874			T6外装唐门
4457	3874			T6外装昆仑
4458	3874			T6外装丐帮
4459	3874			T6外装五毒
6204	3874			T6外装藏剑
6205	3874			T6外装长歌
6872	3878			【全门派】浮光若梦系列
5969	3878			【天王】浮光·梦羽
5970	3878			【峨眉】浮光·梦缘
5971	3878			【桃花】浮光·梦蝶
5972	3878			【逍遥】浮光·梦羽
5973	3878			【武当】浮光·梦缘
5974	3878			【天忍】浮光·梦羽
5975	3878			【少林】浮光·梦缘
5976	3878			【翠烟】浮光·梦蝶
5977	3878			【唐门】浮光·梦羽
5978	3878			【昆仑】浮光·梦缘
5979	3878			【丐帮】浮光·梦缘
5980	3878			【五毒】浮光·梦蝶
5981	3878			【藏剑】浮光·梦缘
5982	3878			【长歌】浮光·梦缘
5983	3882			T8外装天王（韩服）
5984	5915			T8外装峨眉（韩服）
5985	5919			T8外装桃花（韩服）
5986	5923			T8外装逍遥（韩服）
5987	5927			T8外装武当（韩服）
5988	5931			T8外装天忍（韩服）
5989	5935			T8外装少林（韩服）
5990	5939			T8外装翠烟（韩服）
6145	6146		259200	韩服·3天
3569	3568		15552000	艺趣·盛典华服·180天
3645	3568		604800	艺趣·盛典华服（7天）
12025	3568			艺趣·盛典华服
4745	4743		259200	周年庆典华服·3天
4891	4892			周年庆典华服
7371	4743		1296000	周年庆典华服·15天
3895	3896		604800	江湖侠少装(7天)
4493	2516		259200	T1时装·3天
4494	2516		604800	T1时装·7天
4495	2516		2592000	T1时装·30天
4496	4481		259200	T2时装·3天
4497	4481		604800	T2时装·7天
4498	4481		2592000	T2时装·30天
4499	4484		259200	T3时装·3天
4500	4484		604800	T3时装·7天
4501	4484		2592000	T3时装·30天
4502	4487		259200	T4时装·3天
4503	4487		604800	T4时装·7天
4504	4487		2592000	T4时装·30天
4505	4490		259200	T5时装·3天
4506	4490		604800	T5时装·7天
4507	4490		2592000	T5时装·30天
8287	4772		259200	T6时装·3天
8288	4772		604800	T6时装·7天
8289	4772		2592000	T6时装·30天
8290	6741		259200	T7浮光若梦·3天
8291	6741		604800	T7浮光若梦·7天
6877	6741		2592000	T7浮光若梦·30天
8292	7123		259200	T9丝路流纱·3天
7125	7123		604800	T9丝路流纱·7天
7124	7123		2592000	T9丝路流纱·30天
8293	8284		259200	T11·2018新年·3天
8294	8284		604800	T11·2018新年·7天
8295	8284		2592000	T11·2018新年·30天
8296	8285		259200	T12<夏莲高级>时装·3天
8297	8285		604800	T12<夏莲高级>时装·7天
8298	8285		2592000	T12<夏莲高级>时装·30天
8299	8286		259200	T12A<夏莲普通>时装·3天
8300	8286		604800	T12A<夏莲普通>时装·7天
8301	8286		2592000	T12A<夏莲普通>时装·30天
4760	4772		5184000	【天王】T6时装·60天
4761	4772		5184000	【峨眉】T6时装·60天
4762	4772		5184000	【桃花】T6时装·60天
4763	4772		5184000	【逍遥】T6时装·60天
4764	4772		5184000	【武当】T6时装·60天
4765	4772		5184000	【天忍】T6时装·60天
4766	4772		5184000	【少林】T6时装·60天
4767	4772		5184000	【翠烟】T6时装·60天
4768	4772		5184000	【唐门】T6时装·60天
4769	4772		5184000	【昆仑】T6时装·60天
4770	4772		5184000	【丐帮】T6时装·60天
4771	4772		5184000	【五毒】T6时装·60天
7367	4772		5184000	【藏剑】T6时装·60天
7368	4772		5184000	【长歌】T6时装·60天
6203	3225			新手武器
1	3249	300000		T1武器
2	3250	300000		T2武器
3	3251	300000		T3武器
4	3252	300000		T4武器
5	3253	300000		T5武器
6	3254	300000		T6武器
7	3255	300000		T7武器
8	3256	300000		T8武器
9	3257	300000		T9武器
10	3258	300000		T10武器
4901	5311	300000		T11武器
4902	5315	300000		T12武器
4903	5319	300000		T13武器
4904	5323	300000		T14武器
4905	5327	300000		T15武器
4906	5331	300000		T16武器
4907	5335	300000		T17武器
4908	5339	300000		T18武器
101	3249	300000		T1【稀有】武器
102	3250	300000		T2【稀有】武器
103	3251	300000		T3【稀有】武器
104	3252	300000		T4【稀有】武器
105	3253	300000		T5【稀有】武器
106	3254	300000		T6【稀有】武器
107	3255	300000		T7【稀有】武器
108	3256	300000		T8【稀有】武器
109	3257	300000		T9【稀有】武器
110	3258	300000		T10【稀有】武器
5001	5311	300000		T11【稀有】武器
5002	5315	300000		T12【稀有】武器
5003	5319	300000		T13【稀有】武器
5004	5323	300000		T14【稀有】武器
5005	5327	300000		T15【稀有】武器
5006	5331	300000		T16【稀有】武器
5007	5335	300000		T17【稀有】武器
5008	5339	300000		T18【稀有】武器
1530	3249	300000		T1【传承】武器
1531	3250	300000		T2【传承】武器
1532	3251	300000		T3【传承】武器
1533	3252	300000		T4【传承】武器
1534	3253	300000		T5【传承】武器
1535	3254	300000		T6【传承】武器
1536	3255	300000		T7【传承】武器
1537	3256	300000		T8【传承】武器
3599	3257	300000		T9【传承】武器
3600	3258	300000		T10【传承】武器
5101	5311	300000		T11【传承】武器
5102	5315	300000		T12【传承】武器
5103	5319	300000		T13【传承】武器
5104	5323	300000		T14【传承】武器
5105	5327	300000		T15【传承】武器
5106	5331	300000		T16【传承】武器
5107	5335	300000		T17【传承】武器
5108	5339	300000		T18【传承】武器
1246	3249	300000		T1武器（定制）
7421	4047			寒霜
4738	4735		2592000	寒霜（外装30天）
4739	4736		2592000	寒霜倩影（外装30天）
9704	4736		31536000	寒霜倩影（外装1年）
10778	4736			寒霜倩影
11927	4736		259200	寒霜倩影（3天）
4740	4737		2592000	小黑（外装30天）
4863	4865		31536000	紫幽灵鹿（外装1年）
4864	4866		31536000	云魅灵鹿（外装1年）
4869	4868		31536000	星芒·云魅灵鹿（外装1年）
10153	10152		15768000	踢金·蓝湛灵鹿（外装半年）
7291	7280			炽影
7422	7423		5184000	炽影（外装60天）
8279	7423		31536000	炽影（外装1年）
7297	7296		7776000	福瑞灵鹿
4746	3933			【天王】流星水果锤
4747	4381			【峨眉】蔷薇风霜剑
4748	4385			【桃花】晴天落花弓
4749	4389			【逍遥】飞天流彗枪
4750	4393			【武当】太岳金桔剑
4751	4397			【天忍】破月春花刺
4752	4401			【少林】扶风破梦杖
4753	4405			【翠烟】梦幻芙蕖枝
4754	4409			【唐门】神弩木生花
4755	4413			【昆仑】桃花笑春风
4756	4417			【丐帮】翠玉青竹杖
4757	4421			【五毒】苗疆朝颜笛
6206	5351			【藏剑】冷杉翠芽枝
6207	5355			【长歌】摇曳百合束
6987	6701			【天山】玉音海棠枝
7679	7515			【霸刀】思秋黄柳束
8527	8440			【华山】离愁光明草
10137	9719			【明教】梅盛繁星环
10600	10495			【段氏】羞玉芙蓉莲
11365	11051			【万花】风骨黄槿玉
12009	11838			【杨门】傲阳葡萄藤
6710	6741		2592000	【天王】浮光·梦羽（30天）
6711	6741		2592000	【峨眉】浮光·梦缘（30天）
6712	6741		2592000	【桃花】浮光·梦蝶（30天）
6713	6741		2592000	【逍遥】浮光·梦羽（30天）
6714	6741		2592000	【武当】浮光·梦缘（30天）
6715	6741		2592000	【天忍】浮光·梦羽（30天）
6716	6741		2592000	【少林】浮光·梦缘（30天）
6717	6741		2592000	【翠烟】浮光·梦蝶（30天）
6718	6741		2592000	【唐门】浮光·梦羽（30天）
6719	6741		2592000	【昆仑】浮光·梦缘（30天）
6720	6741		2592000	【丐帮】浮光·梦缘（30天）
6721	6741		2592000	【五毒】浮光·梦蝶（30天）
6722	6741		2592000	【藏剑】浮光·梦缘（30天）
6723	6741		2592000	【长歌】浮光·梦缘（30天）
6757	6742		2592000	【天王】流星水果锤·30天
6758	6743		2592000	【峨眉】蔷薇风霜剑·30天
6759	6744		2592000	【桃花】晴天落花弓·30天
6760	6745		2592000	【逍遥】飞天流彗枪·30天
6761	6746		2592000	【武当】太岳金桔剑·30天
6762	6747		2592000	【天忍】破月春花刺·30天
6763	6748		2592000	【少林】扶风破梦杖·30天
6764	6749		2592000	【翠烟】梦幻芙蕖枝·30天
6765	6750		2592000	【唐门】神弩木生花·30天
6766	6751		2592000	【昆仑】桃花笑春风·30天
6767	6752		2592000	【丐帮】翠玉青竹杖·30天
6768	6753		2592000	【五毒】苗疆朝颜笛·30天
6769	6754		2592000	【藏剑】冷杉翠芽枝·30天
6770	6755		2592000	【长歌】摇曳百合束·30天
6988	6756		2592000	【天山】玉音海棠枝·30天
7680	7681		2592000	【霸刀】思秋黄柳束·30天
8528	8529		2592000	【华山】离愁光明草·30天
10138	9724		2592000	【明教】梅盛繁星环·30天
10601	10500		2592000	【段氏】羞玉芙蓉莲·30天
11366	11060		2592000	【万花】风骨黄槿玉·30天
12010	11843		2592000	【杨门】傲阳葡萄藤·30天
6292	6288			T5时装全门派（黑帮）配色1
6293	6289			T5时装全门派（黑帮）配色2
6294	6290			T5时装全门派（黑帮）配色3
6295	6291			T5时装全门派（黑帮）配色4
6296	6288			T5时装全门派（黑帮）配色1
6297	6289			T5时装全门派（黑帮）配色2
6298	6290			T5时装全门派（黑帮）配色3
6299	6291			T5时装全门派（黑帮）配色4
6300	6288			T5时装全门派（黑帮）配色1
6301	6289			T5时装全门派（黑帮）配色2
6302	6290			T5时装全门派（黑帮）配色3
6303	6291			T5时装全门派（黑帮）配色4
6304	6288			T5时装全门派（黑帮）配色1
6305	6289			T5时装全门派（黑帮）配色2
6306	6290			T5时装全门派（黑帮）配色3
6307	6291			T5时装全门派（黑帮）配色4
6308	6288			T5时装全门派（黑帮）配色1
6309	6289			T5时装全门派（黑帮）配色2
6310	6290			T5时装全门派（黑帮）配色3
6311	6291			T5时装全门派（黑帮）配色4
6312	6288			T5时装全门派（黑帮）配色1
6313	6289			T5时装全门派（黑帮）配色2
6314	6290			T5时装全门派（黑帮）配色3
6315	6291			T5时装全门派（黑帮）配色4
6316	6288			T5时装全门派（黑帮）配色1
6317	6289			T5时装全门派（黑帮）配色2
6318	6290			T5时装全门派（黑帮）配色3
6319	6291			T5时装全门派（黑帮）配色4
6320	6288			T5时装全门派（黑帮）配色1
6321	6289			T5时装全门派（黑帮）配色2
6322	6290			T5时装全门派（黑帮）配色3
6323	6291			T5时装全门派（黑帮）配色4
6324	6288			T5时装全门派（黑帮）配色1
6325	6289			T5时装全门派（黑帮）配色2
6326	6290			T5时装全门派（黑帮）配色3
6327	6291			T5时装全门派（黑帮）配色4
6328	6288			T5时装全门派（黑帮）配色1
6329	6289			T5时装全门派（黑帮）配色2
6330	6290			T5时装全门派（黑帮）配色3
6331	6291			T5时装全门派（黑帮）配色4
6332	6288			T5时装全门派（黑帮）配色1
6333	6289			T5时装全门派（黑帮）配色2
6334	6290			T5时装全门派（黑帮）配色3
6335	6291			T5时装全门派（黑帮）配色4
6336	6288			T5时装全门派（黑帮）配色1
6337	6289			T5时装全门派（黑帮）配色2
6338	6290			T5时装全门派（黑帮）配色3
6339	6291			T5时装全门派（黑帮）配色4
6340	6288			T5时装全门派（黑帮）配色1
6341	6289			T5时装全门派（黑帮）配色2
6342	6290			T5时装全门派（黑帮）配色3
6343	6291			T5时装全门派（黑帮）配色4
6651	6288			T5时装全门派（黑帮）配色1
6652	6289			T5时装全门派（黑帮）配色2
6653	6290			T5时装全门派（黑帮）配色3
6654	6291			T5时装全门派（黑帮）配色4
6540	6539			T5时装全门派（黑帮）月牙白
6541	6539			T5时装全门派（黑帮）月牙白
6542	6539			T5时装全门派（黑帮）月牙白
6543	6539			T5时装全门派（黑帮）月牙白
6544	6539			T5时装全门派（黑帮）月牙白
6545	6539			T5时装全门派（黑帮）月牙白
6546	6539			T5时装全门派（黑帮）月牙白
6547	6539			T5时装全门派（黑帮）月牙白
6548	6539			T5时装全门派（黑帮）月牙白
6549	6539			T5时装全门派（黑帮）月牙白
6550	6539			T5时装全门派（黑帮）月牙白
6551	6539			T5时装全门派（黑帮）月牙白
6552	6539			T5时装全门派（黑帮）月牙白
6655	6539			T5时装全门派（黑帮）月牙白
4326	3874			T6时装全门派（自然）
4327	3875			T6时装全门派（自然）·偏色1
4328	3876			T6时装全门派（自然）·偏色2
4329	3877			T6时装全门派（自然）·偏色3
4330	3874			T6时装全门派（自然）
4331	3875			T6时装全门派（自然）·偏色1
4332	3876			T6时装全门派（自然）·偏色2
4333	3877			T6时装全门派（自然）·偏色3
4334	3874			T6时装全门派（自然）
4335	3875			T6时装全门派（自然）·偏色1
4336	3876			T6时装全门派（自然）·偏色2
4337	3877			T6时装全门派（自然）·偏色3
4338	3874			T6时装全门派（自然）
4339	3875			T6时装全门派（自然）·偏色1
4340	3876			T6时装全门派（自然）·偏色2
4341	3877			T6时装全门派（自然）·偏色3
4342	3874			T6时装全门派（自然）
4343	3875			T6时装全门派（自然）·偏色1
4344	3876			T6时装全门派（自然）·偏色2
4345	3877			T6时装全门派（自然）·偏色3
4346	3874			T6时装全门派（自然）
4347	3875			T6时装全门派（自然）·偏色1
4348	3876			T6时装全门派（自然）·偏色2
4349	3877			T6时装全门派（自然）·偏色3
4350	3874			T6时装全门派（自然）
4351	3875			T6时装全门派（自然）·偏色1
4352	3876			T6时装全门派（自然）·偏色2
4353	3877			T6时装全门派（自然）·偏色3
4354	3874			T6时装全门派（自然）
4355	3875			T6时装全门派（自然）·偏色1
4356	3876			T6时装全门派（自然）·偏色2
4357	3877			T6时装全门派（自然）·偏色3
4358	3874			T6时装全门派（自然）
4359	3875			T6时装全门派（自然）·偏色1
4360	3876			T6时装全门派（自然）·偏色2
4361	3877			T6时装全门派（自然）·偏色3
4362	3874			T6时装全门派（自然）
4363	3875			T6时装全门派（自然）·偏色1
4364	3876			T6时装全门派（自然）·偏色2
4365	3877			T6时装全门派（自然）·偏色3
4366	3874			T6时装全门派（自然）
4367	3875			T6时装全门派（自然）·偏色1
4368	3876			T6时装全门派（自然）·偏色2
4369	3877			T6时装全门派（自然）·偏色3
5259	3874			T6时装全门派（自然）
5260	3875			T6时装全门派（自然）·偏色1
5261	3876			T6时装全门派（自然）·偏色2
5262	3877			T6时装全门派（自然）·偏色3
5263	3874			T6时装全门派（自然）
5264	3875			T6时装全门派（自然）·偏色1
5265	3876			T6时装全门派（自然）·偏色2
5266	3877			T6时装全门派（自然）·偏色3
6656	3874			T6时装全门派（自然）
6657	3875			T6时装全门派（自然）·偏色1
6658	3876			T6时装全门派（自然）·偏色2
6659	3877			T6时装全门派（自然）·偏色3
4370	4243			T6时装全门派（自然）·特殊
4371	4243			T6时装全门派（自然）·特殊
4372	4243			T6时装全门派（自然）·特殊
4373	4243			T6时装全门派（自然）·特殊
4374	4243			T6时装全门派（自然）·特殊
4375	4243			T6时装全门派（自然）·特殊
4376	4243			T6时装全门派（自然）·特殊
4377	4243			T6时装全门派（自然）·特殊
4378	4243			T6时装全门派（自然）·特殊
4379	4243			T6时装全门派（自然）·特殊
4380	4243			T6时装全门派（自然）·特殊
5267	4243			T6时装全门派（自然）·特殊
5268	4243			T6时装全门派（自然）·特殊
6660	4243			T6时装全门派（自然）·特殊
4773	4772		5184000	T6时装全门派（自然）·60天
4774	4772		5184000	T6时装全门派（自然）·60天
4775	4772		5184000	T6时装全门派（自然）·60天
4776	4772		5184000	T6时装全门派（自然）·60天
4777	4772		5184000	T6时装全门派（自然）·60天
4778	4772		5184000	T6时装全门派（自然）·60天
4779	4772		5184000	T6时装全门派（自然）·60天
4780	4772		5184000	T6时装全门派（自然）·60天
4781	4772		5184000	T6时装全门派（自然）·60天
4782	4772		5184000	T6时装全门派（自然）·60天
4783	4772		5184000	T6时装全门派（自然）·60天
7369	4772		5184000	T6时装全门派（自然）·60天
7370	4772		5184000	T6时装全门派（自然）·60天
5863	3878			T7时装全门派（浮光）
5864	3879			T7时装全门派（浮光）·偏色1
5865	3880			T7时装全门派（浮光）·偏色2
5866	3881			T7时装全门派（浮光）·偏色3
5867	3878			T7时装全门派（浮光）
5868	3879			T7时装全门派（浮光）·偏色1
5869	3880			T7时装全门派（浮光）·偏色2
5870	3881			T7时装全门派（浮光）·偏色3
5871	3878			T7时装全门派（浮光）
5872	3879			T7时装全门派（浮光）·偏色1
5873	3880			T7时装全门派（浮光）·偏色2
5874	3881			T7时装全门派（浮光）·偏色3
5875	3878			T7时装全门派（浮光）
5876	3879			T7时装全门派（浮光）·偏色1
5877	3880			T7时装全门派（浮光）·偏色2
5878	3881			T7时装全门派（浮光）·偏色3
5879	3878			T7时装全门派（浮光）
5880	3879			T7时装全门派（浮光）·偏色1
5881	3880			T7时装全门派（浮光）·偏色2
5882	3881			T7时装全门派（浮光）·偏色3
5883	3878			T7时装全门派（浮光）
5884	3879			T7时装全门派（浮光）·偏色1
5885	3880			T7时装全门派（浮光）·偏色2
5886	3881			T7时装全门派（浮光）·偏色3
5887	3878			T7时装全门派（浮光）
5888	3879			T7时装全门派（浮光）·偏色1
5889	3880			T7时装全门派（浮光）·偏色2
5890	3881			T7时装全门派（浮光）·偏色3
5891	3878			T7时装全门派（浮光）
5892	3879			T7时装全门派（浮光）·偏色1
5893	3880			T7时装全门派（浮光）·偏色2
5894	3881			T7时装全门派（浮光）·偏色3
5895	3878			T7时装全门派（浮光）
5896	3879			T7时装全门派（浮光）·偏色1
5897	3880			T7时装全门派（浮光）·偏色2
5898	3881			T7时装全门派（浮光）·偏色3
5899	3878			T7时装全门派（浮光）
5900	3879			T7时装全门派（浮光）·偏色1
5901	3880			T7时装全门派（浮光）·偏色2
5902	3881			T7时装全门派（浮光）·偏色3
5903	3878			T7时装全门派（浮光）
5904	3879			T7时装全门派（浮光）·偏色1
5905	3880			T7时装全门派（浮光）·偏色2
5906	3881			T7时装全门派（浮光）·偏色3
5907	3878			T7时装全门派（浮光）
5908	3879			T7时装全门派（浮光）·偏色1
5909	3880			T7时装全门派（浮光）·偏色2
5910	3881			T7时装全门派（浮光）·偏色3
5911	3878			T7时装全门派（浮光）
5912	3879			T7时装全门派（浮光）·偏色1
5913	3880			T7时装全门派（浮光）·偏色2
5914	3881			T7时装全门派（浮光）·偏色3
6661	3878			T7时装全门派（浮光）
6662	3879			T7时装全门派（浮光）·偏色1
6663	3880			T7时装全门派（浮光）·偏色2
6664	3881			T7时装全门派（浮光）·偏色3
6724	6741		2592000	T7时装全门派（浮光）·30天
6725	6741		2592000	T7时装全门派（浮光）·30天
6726	6741		2592000	T7时装全门派（浮光）·30天
6727	6741		2592000	T7时装全门派（浮光）·30天
6728	6741		2592000	T7时装全门派（浮光）·30天
6729	6741		2592000	T7时装全门派（浮光）·30天
6730	6741		2592000	T7时装全门派（浮光）·30天
6731	6741		2592000	T7时装全门派（浮光）·30天
6732	6741		2592000	T7时装全门派（浮光）·30天
6733	6741		2592000	T7时装全门派（浮光）·30天
6734	6741		2592000	T7时装全门派（浮光）·30天
6735	6741		2592000	T7时装全门派（浮光）·30天
6736	6741		2592000	T7时装全门派（浮光）·30天
6737	6741		2592000	T7时装全门派（浮光）·30天
5915	3882			T8时装全门派（韩服）
5916	3883			T8时装全门派（韩服）·偏色1
5917	3884			T8时装全门派（韩服）·偏色2
5918	3885			T8时装全门派（韩服）·偏色3
5919	3882			T8时装全门派（韩服）
5920	3883			T8时装全门派（韩服）·偏色1
5921	3884			T8时装全门派（韩服）·偏色2
5922	3885			T8时装全门派（韩服）·偏色3
5923	3882			T8时装全门派（韩服）
5924	3883			T8时装全门派（韩服）·偏色1
5925	3884			T8时装全门派（韩服）·偏色2
5926	3885			T8时装全门派（韩服）·偏色3
5927	3882			T8时装全门派（韩服）
5928	3883			T8时装全门派（韩服）·偏色1
5929	3884			T8时装全门派（韩服）·偏色2
5930	3885			T8时装全门派（韩服）·偏色3
5931	3882			T8时装全门派（韩服）
5932	3883			T8时装全门派（韩服）·偏色1
5933	3884			T8时装全门派（韩服）·偏色2
5934	3885			T8时装全门派（韩服）·偏色3
5935	3882			T8时装全门派（韩服）
5936	3883			T8时装全门派（韩服）·偏色1
5937	3884			T8时装全门派（韩服）·偏色2
5938	3885			T8时装全门派（韩服）·偏色3
5939	3882			T8时装全门派（韩服）
5940	3883			T8时装全门派（韩服）·偏色1
5941	3884			T8时装全门派（韩服）·偏色2
5942	3885			T8时装全门派（韩服）·偏色3
5943	3882			T8时装全门派（韩服）
5944	3883			T8时装全门派（韩服）·偏色1
5945	3884			T8时装全门派（韩服）·偏色2
5946	3885			T8时装全门派（韩服）·偏色3
5947	3882			T8时装全门派（韩服）
5948	3883			T8时装全门派（韩服）·偏色1
5949	3884			T8时装全门派（韩服）·偏色2
5950	3885			T8时装全门派（韩服）·偏色3
5951	3882			T8时装全门派（韩服）
5952	3883			T8时装全门派（韩服）·偏色1
5953	3884			T8时装全门派（韩服）·偏色2
5954	3885			T8时装全门派（韩服）·偏色3
5955	3882			T8时装全门派（韩服）
5956	3883			T8时装全门派（韩服）·偏色1
5957	3884			T8时装全门派（韩服）·偏色2
5958	3885			T8时装全门派（韩服）·偏色3
5959	3882			T8时装全门派（韩服）
5960	3883			T8时装全门派（韩服）·偏色1
5961	3884			T8时装全门派（韩服）·偏色2
5962	3885			T8时装全门派（韩服）·偏色3
5963	3882			T8时装全门派（韩服）
5964	3883			T8时装全门派（韩服）·偏色1
5965	3884			T8时装全门派（韩服）·偏色2
5966	3885			T8时装全门派（韩服）·偏色3
6554	3886			T9时装全门派（轻纱）
6555	3887			T9时装全门派（轻纱）·偏色1
6556	3888			T9时装全门派（轻纱）·偏色2
6557	3889			T9时装全门派（轻纱）·偏色3
6558	3886			T9时装全门派（轻纱）
6559	3887			T9时装全门派（轻纱）·偏色1
6560	3888			T9时装全门派（轻纱）·偏色2
6561	3889			T9时装全门派（轻纱）·偏色3
6562	3886			T9时装全门派（轻纱）
6563	3887			T9时装全门派（轻纱）·偏色1
6564	3888			T9时装全门派（轻纱）·偏色2
6565	3889			T9时装全门派（轻纱）·偏色3
6566	3886			T9时装全门派（轻纱）
6567	3887			T9时装全门派（轻纱）·偏色1
6568	3888			T9时装全门派（轻纱）·偏色2
6569	3889			T9时装全门派（轻纱）·偏色3
6570	3886			T9时装全门派（轻纱）
6571	3887			T9时装全门派（轻纱）·偏色1
6572	3888			T9时装全门派（轻纱）·偏色2
6573	3889			T9时装全门派（轻纱）·偏色3
6574	3886			T9时装全门派（轻纱）
6575	3887			T9时装全门派（轻纱）·偏色1
6576	3888			T9时装全门派（轻纱）·偏色2
6577	3889			T9时装全门派（轻纱）·偏色3
6578	3886			T9时装全门派（轻纱）
6579	3887			T9时装全门派（轻纱）·偏色1
6580	3888			T9时装全门派（轻纱）·偏色2
6581	3889			T9时装全门派（轻纱）·偏色3
6582	3886			T9时装全门派（轻纱）
6583	3887			T9时装全门派（轻纱）·偏色1
6584	3888			T9时装全门派（轻纱）·偏色2
6585	3889			T9时装全门派（轻纱）·偏色3
6586	3886			T9时装全门派（轻纱）
6587	3887			T9时装全门派（轻纱）·偏色1
6588	3888			T9时装全门派（轻纱）·偏色2
6589	3889			T9时装全门派（轻纱）·偏色3
6590	3886			T9时装全门派（轻纱）
6591	3887			T9时装全门派（轻纱）·偏色1
6592	3888			T9时装全门派（轻纱）·偏色2
6593	3889			T9时装全门派（轻纱）·偏色3
6594	3886			T9时装全门派（轻纱）
6595	3887			T9时装全门派（轻纱）·偏色1
6596	3888			T9时装全门派（轻纱）·偏色2
6597	3889			T9时装全门派（轻纱）·偏色3
6598	3886			T9时装全门派（轻纱）
6599	3887			T9时装全门派（轻纱）·偏色1
6600	3888			T9时装全门派（轻纱）·偏色2
6601	3889			T9时装全门派（轻纱）·偏色3
6602	3886			T9时装全门派（轻纱）
6603	3887			T9时装全门派（轻纱）·偏色1
6604	3888			T9时装全门派（轻纱）·偏色2
6605	3889			T9时装全门派（轻纱）·偏色3
6606	3886			T9时装全门派（轻纱）
6607	3887			T9时装全门派（轻纱）·偏色1
6608	3888			T9时装全门派（轻纱）·偏色2
6609	3889			T9时装全门派（轻纱）·偏色3
6610	3886			T9时装全门派（轻纱）
6611	3887			T9时装全门派（轻纱）·偏色1
6612	3888			T9时装全门派（轻纱）·偏色2
6613	3889			T9时装全门派（轻纱）·偏色3
6879	4772		5184000	【落花青竹】系列外装·60天
6880	3879			【浮光若梦】系列外装配色1
6881	3880			【浮光若梦】系列外装配色2
