szKind	nCount	nPoint	szAward		nKinMsg	nWorldMsg	szName	szDesc
Meridian_Jingming1	10	20	Gold|30				阳翘脉精通·三	睛明穴位升至10重
Meridian_Qugu1	20	50	Gold|50				任脉精通·四	曲骨穴位升至20重
Meridian_Changqiang1	20	50	Gold|50				督脉精通·四	长强穴位升至20重
Meridian_Youmen1	20	50	Gold|50				冲脉精通·四	幽门穴位升至20重
Meridian_Jingming1	20	50	Gold|50				阳翘脉精通·四	睛明穴位升至20重
Meridian_Failure_1	3	5	Gold|20				难如登天·一	单个穴位冲穴连续失败3次
Meridian_Failure_1	4	10	Gold|30				难如登天·二	单个穴位冲穴连续失败4次
Meridian_Failure_1	5	20	Gold|50				难如登天·三	单个穴位冲穴连续失败5次
Meridian_Failure	2	10	Gold|30				这是错觉	十拿九稳情况下冲穴连续失败2次
Knack_1	1	3	Gold|10				亲友助我	装备任意1个诀要
Knack_2	1	5	Gold|10				勤加修炼	第一次提升任意诀要的修炼等级
Knack_3	1	5	Gold|20				六位一体·一	装备满6个任意修炼等级的诀要
Knack_4	2	10	Gold|20				六位一体·二	装备满6个修炼等级为2的诀要
Knack_4	4	20	Gold|30				六位一体·三	装备满6个修炼等级为4的诀要
ZhenYuan_1	1	3	Gold|10				真元凝聚	凝聚1次真元
ZhenYuan_Rare	1	10	Gold|20				稀有真元	鉴定出1个稀有真元
ZhenYuan_Skill	1	20	Gold|100				真元技能	鉴定出1个带技能的真元
ZhenYuanRefinement_1	1	3	Gold|10				真元洗练	完成1次真元洗练
ZhenYuanRefinement_2	1	10	Gold|50				四维加持	真元上同时有力量、体质、敏捷、灵巧属性
ZhenYuanRefinement_Skill	1	20	Gold|50				移形换影	完成1次真元技能洗练
HuaShan_1	1	3	Gold|10				华山首秀	首次参加华山论剑
HuaShan_Alone	1	5	Gold|10				一个人的华山	在华山论剑预选赛中自己单人出赛
HuaShanLunJian_16	1	10	Gold|20				华山十六强	入围华山论剑十六强
HuaShanLunJian_8	1	20	Gold|30				华山八强	入围华山论剑八强
HuaShanLunJian_4	1	30	Gold|50				华山四强	入围华山论剑四强
HuaShanLunJian_1	1	50	Gold|500;item|4245|1		1		华山之巅	成功夺得华山论剑冠军
HuaShanLunJian_1	10	100	Gold|500;item|9617|1		1	1	冠绝江湖	夺得华山论剑冠军10次
FactionBattle_1	1	3	Gold|10				门派的盛会	成功参加门派竞技
FactionBattle_2	1	5	Gold|20				门派高手	成功进入门派竞技淘汰赛
FactionBattle_3	1	10	Gold|30				门派八强	成功进入门派竞技八强
FactionBattle_4	1	20	Gold|50				门派四强	成功进入门派竞技四强
FactionBattle_5	1	30	Gold|100				最后的对决	成功进入门派竞技决赛
FactionBattleNew_1	1	40	Gold|200		1		新人王	成功夺得门派竞技新人王
FactionBattleNew_1	5	50	Gold|200		1		五夺新人王	成功夺得5次门派竞技新人王
FactionBattleNew_1	10	80	Gold|500		1	1	十夺新人王	成功夺得10次门派竞技新人王
FactionBattleNew_1	30	150	Gold|500		1	1	老人王	成功夺得30次门派竞技新人王
FactionBattleBrother_1	1	60	Gold|500;item|4244|1		1		首席弟子	成功当选门派竞技大师兄
FactionBattleBrother_2	1	80	Gold|500;item|9618|1		1	1	连任大师兄	连续当选两届门派竞技大师兄
QunYingHui_1	1	3	Gold|10				初战群英	在群英会中取得一场胜利
QunYingHui_5	1	10	Gold|20				锋芒初露	在群英会中连胜5场
QunYingHui_12	1	20	Gold|50				傲视群英·一	一次群英会中获胜12场及以上
QunYingHui_12P	1	20	Gold|100				傲视群英·二	一次群英会中单人匹配获胜12场及以上
QunYingHui_12	5	50	Gold|100		1		傲视群英·三	群英会获得12胜达到5次
QunYingHui_12	20	100	Gold|200		1	1	傲视群英·四	群英会获得12胜达到20次
QunYingHui_16	1	100	Gold|200				我武惟扬	一次群英会中获得16场全胜
Battle_1	1	3	Gold|10				从军入伍	报名参加1次战场
Battle_1	10	5	Gold|20				扬刀立马	参加10次战场
Battle_3	10	10	Gold|30;item|9619|1				常胜之师	参加战场获胜10场
Battle_1	100	20	Gold|50;item|9620|1		1		醉卧沙场	参加100次战场
Battle_3	100	30	Gold|100;item|9621|1		1		一将功成万骨枯	参加战场获胜100场
Battle_Combo1	1	5	Gold|10				威震沙场·一	宋金战场中完成10连斩
Battle_Combo2	1	10	Gold|30				威震沙场·二	宋金战场中完成20连斩
Battle_Combo3	1	20	Gold|100		1		威震沙场·三	宋金战场中完成50连斩
Battle_Combo4	1	50	Gold|200		1	1	威震沙场·四	宋金战场中完成100连斩
Rank_1	1	5	Gold|10				血战黄沙	战场个人排名前50%
Rank_2	1	10	Gold|20				急先锋	战场个人排名前3
Rank_3	1	20	Gold|30				战功第一	战场个人排名第一
Rank_3	10	30	Gold|50;item|9622|1		1		军功盖世	战场个人排名第一累计达到10次
Rank_3	100	50	Gold|100;item|9623|1		1		军神	战场个人排名第一累计达到100次
Battle_SoldierKiller	1	50	Gold|200		1		偷鸡高手	战场个人排名第一但无击杀
TeamBattle_1	1	3	Gold|10				首入通天塔	成功踏入通天塔
TeamBattle_2	1	5	Gold|10				更上一层楼	成功踏入通天塔下一层
TeamBattle_3	1	10	Gold|30				登顶成功	成功踏入通天塔第七层
TeamBattleFurniture_1	1	20	Gold|100				天外有天	成功踏入通天塔第八层
TeamBattle_3	10	30	Gold|50;item|9624|1				遥遥通天路	成功踏入通天塔第七层10次
TeamBattle_3	50	50	Gold|100;item|9625|1				一步踏天	成功踏入通天塔第七层50次
TeamBattleFurniture_1	20	60	Gold|500;item|4251|1		1		登峰造极	成功踏入通天塔第八层20次
TeamBattle_LuckyDog	1	10	Gold|20				狗屎运	在通天塔中轮空1次
WLDH	1	10	Gold|20				武林盛会	首次报名武林大会
WLDH_16	1	15	Gold|50				武林十六强	成功进入武林大会十六强
WLDH_8	1	20	Gold|100				武林八强	成功进入武林大会八强
WLDH_4	1	40	Gold|200				武林四强	成功进入武林大会四强
WLDH_2	1	60	Gold|300				问鼎冠军	成功进入武林大会决赛
WLDH_1	1	100	Gold|500		1	1	天下第一	成功夺得武林大会冠军
WLDH_Alone	1	10	Gold|20				一个人的武林	在武林大会预选赛中自己单人出赛
RankBattle_1	1	3	Gold|5				挑战武神殿	在武神殿挑战1次其他玩家
RankBattle_2	1	5	Gold|20				前一千达成	武神殿排名进入前1000名
RankBattle_3	1	10	Gold|30				前一百达成	武神殿排名进入前100名
RankBattle_4	1	20	Gold|50;item|9626|1		1		前十达成！	武神殿排名进入前10名
RankBattle_5	1	40	Gold|100;item|9627|1		1	1	第一达成！	武神殿排名达到第1名
RankBattle_cross1	1	3	Gold|5				攀登者	跨服武神殿排名进入前500名
RankBattle_cross2	1	20	Gold|50				跨服百强	跨服武神殿排名进入前100名
RankBattle_cross3	1	40	Gold|100				十大高手	跨服武神殿排名进入前10名
RankBattle_cross4	1	60	Gold|150				武动巅峰	跨服武神殿排名达到第1名
InDifferBattle_1	1	3	Gold|10				初探心魔	成功参与心魔幻境/绝地活动
InDifferBattle_2	1	5	Gold|20				击败神秘人	在心魔幻境/绝地中击败过一个神秘人
InDifferBattle_3	1	10	Gold|30				活着	在心魔幻境/绝地中进入到最后阶段
InDifferBattle_4	1	20	Gold|50;item|9628|1		1		生存高手·一	在心魔幻境/绝地中获得一次优胜
InDifferBattle_4p	1	20	Gold|200				生存高手·二	在心魔幻境/绝地中单人匹配获得一次优胜
InDifferBattle_4	10	30	Gold|100;item|9629|1;item|9833|1		1		生存大师·一	在心魔幻境/绝地中获得优胜累计达到10次
InDifferBattle_4	50	50	Gold|300;item|9630|1				生存大师·二	在心魔幻境/绝地中获得优胜累计达到50次
InDifferBattle_Tank	1	20	Gold|100				幻影坦克	在心魔幻境/绝地中未杀一人进入到最后阶段
InDifferBattle_Boxes	1	10	Gold|20				霸占幻象	在心魔幻境中小队打开幻象并打开所有宝箱
InDifferBattle_BearKiller	1	15	Gold|20				熊王杀手	在心魔幻境中猎杀一头撼天熊皇
InDifferBattle_Wusheng	1	15	Gold|50				我神装了	在心魔幻境中头衔升至武圣
Challenge_1	1	3	Gold|10				不服单挑	第一次登上擂台
Challenge_Win	5	5	Gold|10				单挑能手	在比武场累计胜利5场
Challenge_Win	10	10	Gold|20				单挑高手	在比武场累计胜利10场
Challenge_Win	50	20	Gold|50;item|9631|1		1		单挑王者	在比武场累计胜利50场
Challenge_Win	100	50	Gold|100;item|9632|1		1		战无不胜	在比武场累计胜利100场
KeyQuest_1	1	3	Gold|10				初入桃林	第一次进入遗迹寻宝
KeyQuest_KeyRobber	1	5	Gold|10				杀人夺符	在遗迹寻宝中杀掉神秘人并夺取他的传送符
KeyQuest_Duanpian	1	7	Gold|10				喜从天降·一	遗迹寻宝二层中打开宝箱获得断篇
KeyQuest_Miben	1	10	Gold|20				喜从天降·二	遗迹寻宝二层中打开宝箱获得秘本
KeyQuest_Floor3	1	10	Gold|30				三层探秘	在遗迹寻宝中首次进入第三层
KeyQuest_Unfortunate	1	10	Gold|20				惨绝人寰	遗迹寻宝中距离进入下层1分钟时丢掉传送符
KeyQuest_BigBox	1	20	Gold|200;item|9633|1		1		大宝箱！	遗迹寻宝中第三层成功打开巨大宝箱
KeyQuest_SwordRobber	1	5	Gold|20		1		杀人越货	在遗迹寻宝中杀掉神秘人并夺取他的创世之剑
HeroChallenge_1	1	3	Gold|10				挑战开始	成功通过1轮英雄挑战
HeroChallenge_2	1	5	Gold|20				勇往直前	成功通过6轮英雄挑战
HeroChallenge_3	1	10	Gold|30				全胜通关	成功通过10轮英雄挑战
HeroChallenge_3	10	20	Gold|50;item|9634|1				攻无不克	成功通过10轮英雄挑战10次
HeroChallenge_3	100	50	Gold|100;item|9635|1		1		百战成魔	成功通过10轮英雄挑战100次
Cangbaotu_1	1	3	Gold|15				挖宝开始了	成功挖宝1次
Cangbaotu_2	1	5	Gold|15				里面是什么？	挖到古旧的箱子
Cangbaotu_3	1	5	Gold|40				哇！宝贝	挖到蓝色品质以上的物品
Cangbaotu_1	200	10	Gold|50;item|9636|1				寻宝者	成功挖宝200次
Cangbaotu_1	1000	20	Gold|70;item|9637|1		1		夺宝奇兵	成功挖宝1000次
Dungeon_1	1	5	Gold|15				哇！地宫	挖宝掉入地宫
Dungeon_2	1	5	Gold|15				帮手来了	在地宫中成功邀请其他玩家进入
Dungeon_3	1	5	Gold|15				多谢邀请	被其他玩家邀请进入地宫
Dungeon_4	1	5	Gold|15				二层密室！	在地宫中发现第二层密室
Dungeon_1	50	20	Gold|70;item|9638|1		1		上苍眷顾	挖宝掉入地宫50次
HighCangbaotu_1	1	10	Gold|40				高级藏宝图	成功挖1次高级藏宝图
HighCangbaotu_2	1	10	Gold|40				被围攻了	挖高级藏宝图时出现夺宝贼
HighCangbaotu_3thieves	1	15	Gold|50				贼贼贼	挖高级藏宝图时连续出现3次夺宝贼
HighCangbaotu_5thieves	1	20	Gold|100				贼贼贼贼贼	挖高级藏宝图时连续出现5次夺宝贼
HighCangbaotu_3	1	20	Gold|40				秘籍到手	挖高级藏宝图挖到武林秘籍
HighCangbaotu_4	1	20	Gold|40				本命神兵	挖高级藏宝图挖到同伴本命神兵
HighCangbaotu_5	1	20	Gold|40				哇！首领	挖高级藏宝图时出现野外首领
PunishTask_1	1	3	Gold|5				江湖惩恶	完成1次惩恶任务
PunishTask_1	20	5	Gold|10				严惩恶徒	完成20次惩恶任务
