Kind	KeyID	Hide	SubTitle	BigTitle	NotVersion_hk	NotVersion_xm	NotVersion_en	NotVersion_kor	NotVersion_th	NotVersion_vn
Battle_Combo4	123		宋金战场	竞技						
Rank_1	124		宋金战场	竞技						
Rank_2	125		宋金战场	竞技						
Rank_3	126		宋金战场	竞技						
Battle_SoldierKiller	127		宋金战场	竞技						
TeamBattle_1	128		通天塔	竞技						
TeamBattle_2	129		通天塔	竞技						
TeamBattle_3	130		通天塔	竞技						
TeamBattleFurniture_1	131		通天塔	竞技						
TeamBattle_LuckyDog	132		通天塔	竞技						
WLDH	133		武林大会	竞技						
WLDH_16	134		武林大会	竞技						
WLDH_8	135		武林大会	竞技						
WLDH_4	136		武林大会	竞技						
WLDH_2	137		武林大会	竞技						
WLDH_1	138		武林大会	竞技						
WLDH_Alone	139		武林大会	竞技						
RankBattle_1	140		武神殿	竞技						
RankBattle_2	141		武神殿	竞技						
RankBattle_3	142		武神殿	竞技						
RankBattle_4	143		武神殿	竞技						
RankBattle_5	144		武神殿	竞技						
InDifferBattle_1	145		心魔幻境	竞技						
InDifferBattle_2	146		心魔幻境	竞技						
InDifferBattle_3	147		心魔幻境	竞技						
InDifferBattle_4	148		心魔幻境	竞技						
InDifferBattle_4p	149		心魔幻境	竞技						
InDifferBattle_Tank	150		心魔幻境	竞技						
InDifferBattle_Boxes	151		心魔幻境	竞技						
InDifferBattle_BearKiller	152		心魔幻境	竞技						
InDifferBattle_Wusheng	153		心魔幻境	竞技						
Challenge_1	154		比武场	竞技						
Challenge_Win	155		比武场	竞技						
KeyQuest_1	156		遗迹寻宝	竞技						
KeyQuest_KeyRobber	157		遗迹寻宝	竞技						
KeyQuest_Floor3	158		遗迹寻宝	竞技						
KeyQuest_Unfortunate	159		遗迹寻宝	竞技						
KeyQuest_BigBox	160		遗迹寻宝	竞技						
KeyQuest_SwordRobber	161		遗迹寻宝	竞技						
HeroChallenge_1	162		英雄挑战	竞技						
HeroChallenge_2	163		英雄挑战	竞技						
HeroChallenge_3	164		英雄挑战	竞技						
Cangbaotu_1	165		藏宝图	探险						
Cangbaotu_2	166		藏宝图	探险						
Cangbaotu_3	167		藏宝图	探险						
Dungeon_1	168		藏宝图	探险						
Dungeon_2	169		藏宝图	探险						
Dungeon_3	170		藏宝图	探险						
Dungeon_4	171		藏宝图	探险						
HighCangbaotu_1	172		藏宝图	探险						
HighCangbaotu_2	173		藏宝图	探险						
HighCangbaotu_3thieves	174		藏宝图	探险						
HighCangbaotu_5thieves	175		藏宝图	探险						
HighCangbaotu_3	176		藏宝图	探险						
HighCangbaotu_4	177		藏宝图	探险						
HighCangbaotu_5	178		藏宝图	探险						
PunishTask_1	179		惩恶任务	探险						
PunishTask_Orange	180		惩恶任务	探险						
KinSecret_Win1	181		家族秘境	探险						
KinSecret_Win2	182		家族秘境	探险						
KinSecret_Win3	183		家族秘境	探险						
KinSecret_BigBox	184		家族秘境	探险						
KinSecret_Order	185		家族秘境	探险						
KinSecret_Bad	186		家族秘境	探险						
KinFuben_1	187		家族试炼	探险						
RandomFuben_1	188		凌绝峰	探险						
RandomFuben_2	189		凌绝峰	探险						
RandomFuben_3	190		凌绝峰	探险						
RandomFuben_4	191		凌绝峰	探险						
RandomFuben_5	192		凌绝峰	探险						
RandomFuben_NoDeath	193		凌绝峰	探险						
RandomFuben_Fast	194		凌绝峰	探险						
RandomFubenCard_1	195		凌绝峰	探险						
RandomFubenCard_2	196		凌绝峰	探险						
RandomFubenCard_3	197		凌绝峰	探险						
RandomFubenCard_4	198		凌绝峰	探险						
RandomFubenCard_5	199		凌绝峰	探险						
AdventureFuben_Anger1	200		山贼秘窟	探险						
AdventureFuben_Anger0	201		山贼秘窟	探险						
XiuLian_1	202		野外修炼	探险						
XiuLian_2	203		野外修炼	探险						
TeamFuben_1	204		组队秘境	探险						
TeamFuben_2	205		组队秘境	探险						
TeamFuben_3	206		组队秘境	探险						
TeamFuben_4	207		组队秘境	探险						
TeamFuben_5	208		组队秘境	探险						
TeamFuben_6	209		组队秘境	探险						
TeamFuben_7	210		组队秘境	探险						
ImperialTomb_Heshibi	211		秦始皇陵	探险						
ImperialTomb_Hole_1	212		秦始皇陵	探险						
ImperialTomb_Hole_2	213		秦始皇陵	探险						
ImperialTomb_Hole_3	214		秦始皇陵	探险						
ImperialTomb_Hole_4	215		秦始皇陵	探险						
ImperialTomb_Hole_5	216		秦始皇陵	探险						
Chat_Private	217		交际	社交						
Chat_Emotion	218		交际	社交						
Chat_Voice	219		交际	社交						
Chat_World	220		交际	社交						
Chat_Kin	221		交际	社交						
Chat_School	222		交际	社交						
Chat_Color	223		交际	社交						
QuickTeamUp_Normal	224		交际	社交						
PkExcercise_1	225		交际	社交						
2-person_Horse	226		交际	社交						
2-person_Close	227		交际	社交						
2-person_Hug	228		交际	社交						
2-person_HandInHand	229		交际	社交						
Give_Clothes	230		交际	社交						
Give_Flower	231		交际	社交						
Give_99Flower	232		交际	社交						
Family_1	233		家族	社交						
Family_3	234		家族	社交						
FamilyContribute_1	235		家族	社交						
PayOff_1	236		家族	社交						
Family_Share	237		家族	社交						
RedBag_1	238		家族	社交						
DoubleRedBag_1	239		家族	社交						
LuckDog	240		家族	社交						
UnforunateMan	241		家族	社交						
GetMeFight_1	242		家族	社交						
Family_5	243		家族	社交						
Drink	244		家族	社交						
Family_4	245		家族	社交						
CommerceTask_Help	246		家族	社交						
Sworn_1	247		结拜	社交						
Sworn_2	248		结拜	社交						
Friends_1	249		好友	社交						
Friends_2	250		好友	社交						
Friends_3	251		好友	社交						
Friend_1	252		好友	社交						
Friend_2	253		好友	社交						
Friend_3	254		好友	社交						
Friend_4	255		好友	社交						
Friend_5	256		好友	社交						
FriendFamiliar_1	257		好友	社交						
FriendFamiliar_2	258		好友	社交						
FriendFamiliar_3	259		好友	社交						
FriendFamiliar_4	260		好友	社交						
FriendFamiliar_5	261		好友	社交						
TeacherStudentElite_1	262		师徒	社交						
TeacherStudentMaster_1	263		师徒	社交						
TeacherStudent_Horse	264		师徒	社交						
TeacherStudent_Equip	265		师徒	社交						
TeacherStudent_Clothes	266		师徒	社交						
TeacherStudent_Token	267		师徒	社交						
TeacherStudent_Excellent	268		师徒	社交						
TeacherStudent_Task	269		师徒	社交						
Engage_1	270		情缘	社交						
Marry_1	271		情缘	社交						
Marry_Qinggong	272		情缘	社交						
WeddingAnniversary_1	273		情缘	社交						
WeddingAnniversary_2	274		情缘	社交						
WeddingAnniversary_3	275		情缘	社交						
Revenge_1	276		仇人	社交						
Revenge_2	277		仇人	社交						
Prison_1	278		仇人	社交						
Wanted_Complete	279		仇人	社交						
HouseLevel_1	280		家园	社交						
HouseLevel_2	281		家园	社交						
HouseComfort_1	282		家园	社交						
House_Hide	283		家园	社交						
House_Sleep	284		家园	社交						
House_Wash	285		家园	社交						
House_SleepTogether	286		家园	社交						
House_Swing	287		家园	社交						
House_Plant	288		家园	社交						
House_TreeMature	289		家园	社交						
House_TreeHelp	290		家园	社交						
House_TreeHelp_Day	291		家园	社交						
Meditate_Empty	292		家园	社交						
Bless_1	293		家园	社交						
Bless_2	294		家园	社交						
IDIPZan_1	295		江湖广场	社交	1	1	1	1	1	1
IDIPPopularity_1	296		江湖广场	社交	1	1	1	1	1	1
WhiteTiger_1	297		白虎堂	势力						
WhiteTiger_2	298		白虎堂	势力						
WhiteTiger_3	299		白虎堂	势力						
WhiteTiger_4	300		白虎堂	势力						
DomainBattle_1	301		攻城战	势力						
DomainBattleCombo_1	302		攻城战	势力						
DomainBattleCombo_2	303		攻城战	势力						
DomainBattleCombo_3	304		攻城战	势力						
DomainBattleCombo_4	305		攻城战	势力						
DomainBattle_Car	306		攻城战	势力						
DomainBattle_CrossbowCar	307		攻城战	势力						
DomainBattle_GunCar	308		攻城战	势力						
DomainBattle_Xiangyang	309		攻城战	势力						
DomainBattle_Linan	310		攻城战	势力						
DomainBattle_XiangyangP	311		攻城战	势力						
KinEscort_1	312		家族运镖	势力						
KinEscort_2	313		家族运镖	势力						
KinEscort_3	314		家族运镖	势力						
KinEscort_4	315		家族运镖	势力						
ImperialTombEmperor_1	316		始皇/女帝	势力						
ImperialTombEmperor_2	317		始皇/女帝	势力						
ImperialTombEmperor_3	318		始皇/女帝	势力						
BossChallenge_1	319		武林盟主	势力						
Boss_1	320		武林盟主	势力						
Boss_2	321		武林盟主	势力						
Boss_3	322		武林盟主	势力						
Boss_4	323		武林盟主	势力						
BossRob_1	324		武林盟主	势力						
BossRob_Cai	325		武林盟主	势力						
BossRob_Lucky	326		武林盟主	势力						
BossRob_UnLucky	327		武林盟主	势力						
BossNumberOne_1	328		武林盟主	势力						
FieldBoss_1	329		历代名将	势力						
FieldBoss_2	330		历代名将	势力						
FieldBoss_First	331		历代名将	势力						
FieldLeader_1	332		野外首领	势力						
FieldLeader_2	333		野外首领	势力						
Clothes_1	334		魅力	杂闻						
Arms_1	335		魅力	杂闻						
Hat_1	336		魅力	杂闻						
Charm_1	337		魅力	杂闻						
CommerceTask_1	338		商会	杂闻						
CommerceTask_2	339		商会	杂闻						
CommerceTask_3	340		商会	杂闻						
JuanZhou_1	341		商会	杂闻						
JuanZhou_3	342		商会	杂闻						
JuanZhou_2	343		商会	杂闻						
JuanZhou_4	344		商会	杂闻						
JuanZhou_5	345		商会	杂闻						
MoneyTree_1	346		摇钱树	杂闻						
MoneyTree_2	347		摇钱树	杂闻						
MoneyTree_10	348		摇钱树	杂闻						
TheBox_1	349		黄金宝箱	杂闻						
Angry_Normal	350		趣闻	杂闻						
BlackList	351		趣闻	杂闻						
FirstAuctionDeal_2	352		趣闻	杂闻						
FirstAuctionDeal_4	353		趣闻	杂闻						
Market_Buy	354		趣闻	杂闻						
Market_Sell	355		趣闻	杂闻						
SearchFuben_1	356		趣闻	杂闻						
Mystic_SixSixSIx	357	1	神秘	神秘						
Mystic_Make14	358	1	神秘	神秘						
Mystic_8Fire	359	1	神秘	神秘						
Mystic_MostIntimate	360	1	神秘	神秘						
Mystic_100Friend	361	1	神秘	神秘						
Mystic_10Teachers	362	1	神秘	神秘						
Mystic_10CareerWin	363	1	神秘	神秘						
Mystic_50InHouse	364	1	神秘	神秘						
Mystic_AllBoss	365	1	神秘	神秘						
Mystic_10InHouse	366	1	神秘	神秘						
Mystic_General	367	1	神秘	神秘						
Mystic_SeriesKiller1	368	1	神秘	神秘						
Mystic_SeriesKiller2	369	1	神秘	神秘						
Mystic_SeriesKiller3	370	1	神秘	神秘						
Mystic_SeriesKiller4	371	1	神秘	神秘						
Mystic_SeriesKiller5	372	1	神秘	神秘						
Mystic_ZhenYuan5Skill	373	1	神秘	神秘						
Mystic_10CareerNew	374	1	神秘	神秘						
Mystic_BigShare	375	1	神秘	神秘						
Mystic_SexChange	376	1	神秘	神秘					1	
Mystic_FourTimesRedBag	377	1	神秘	神秘						
Mystic_EightTimesRedBag	378	1	神秘	神秘						
Mystic_BeatTeacher	379	1	神秘	神秘						
Mystic_FiveOK	380	1	神秘	神秘						
Mystic_PeopleNetwork	381	1	神秘	神秘						
GoldArmor	382		装备	能力						
GoldHead	383		装备	能力						
PlatinumArmor	384		装备	能力						
PlatinumHead	385		装备	能力						
RankBattle_cross1	386		武神殿	竞技						
RankBattle_cross2	387		武神殿	竞技						
RankBattle_cross3	388		武神殿	竞技						
RankBattle_cross4	389		武神殿	竞技						
KeyQuest_Duanpian	390		遗迹寻宝	竞技						
KeyQuest_Miben	391		遗迹寻宝	竞技						
KinDefendFuben_1	392		家族保卫战	探险						
KinDefendFuben_Easy	393		家族保卫战	探险						
KinDefendFuben_Common	394		家族保卫战	探险						
KinDefendFuben_Difficult	395		家族保卫战	探险						
KinDefendFuben_Warrior	396		家族保卫战	探险						
LingtuzhanCombo_1	397		领土战	势力						
LingtuzhanCombo_2	398		领土战	势力						
LingtuzhanCombo_3	399		领土战	势力						
LingtuzhanCombo_4	400		领土战	势力						
Lingtuzhan_Point_1	401		领土战	势力						
Lingtuzhan_Village1	402		领土战	势力						
Lingtuzhan_Village3	403		领土战	势力						
Lingtuzhan_Town	404		领土战	势力						
Lingtuzhan_City	405		领土战	势力						
Lingtuzhan_SeasonTop1	406		领土战	势力						
Lingtuzhan_SeasonTop5	407		领土战	势力						
BossCross_Top10	408		武林盟主	势力						
BossCross_Top1	409		武林盟主	势力						
FieldBoss_Jingke	410		历代名将	势力						
FieldBoss_Xiangyu	411		历代名将	势力						
FieldBoss_ Yuji	412		历代名将	势力						
FieldLeader_Stone1	413		野外首领	势力						
Horse_1	414		魅力	杂闻						
ActDealerItems_1	415		趣闻	杂闻						
ActDealerItems_1000	416		趣闻	杂闻						
ActDealerItems_2000	417		趣闻	杂闻						
ActDealerItems_5000	418		趣闻	杂闻						
ActDealerItems_10000	419		趣闻	杂闻						
ActDealerItems_20000	420		趣闻	杂闻						
Mystic_ActDealerItems_10Times_1	421	1	神秘	神秘						
Mystic_ActDealerItems_10Times_0	422	1	神秘	神秘						
Mystic_ActDealerItems_Solucky	423	1	神秘	神秘						
CookDishesInBook	424		烹饪	杂闻						
CookDishesOutBook	425		烹饪	杂闻						
Cook_Boil1	426		烹饪	杂闻						
Cook_Stew1	427		烹饪	杂闻						
Cook_Bake1	428		烹饪	杂闻						
Cook_Fryl1	429		烹饪	杂闻						
Cook_Steam1	430		烹饪	杂闻						
Cook_Boil	431		烹饪	杂闻						
CookBook_Stew	432		烹饪	杂闻						
CookBook_Bake	433		烹饪	杂闻						
CookBook_Fryl	434		烹饪	杂闻						
CookBook_Steam	435		烹饪	杂闻						
HighLevel_Material	436		烹饪	杂闻						
Cook_Delicacy	437		烹饪	杂闻						
GodChef	438		烹饪	杂闻						
