Level	FightPower	StLevel_Weapon	StLevel_Armor	StLevel_Necklace	StLevel_Ring	StLevel_Pendant	StLevel_Amulet	StLevel_Helm	StLevel_Cuff	StLevel_Belt	StLevel_Boots	FP_Weapon	FP_Armor	FP_Necklace	FP_Ring	FP_Pendant	FP_Amulet	FP_Helm	FP_Cuff	FP_Belt	FP_Boots
19	2900	20	20	20	20	20	20	20	20	20	20	725	435	290	290	290	290	145	145	145	145
20	5800	40	20	20	20	20	20	20	20	20	20	3629	435	290	290	290	290	145	145	145	145
21	5800	40	20	20	20	20	20	20	20	20	20	3629	435	290	290	290	290	145	145	145	145
22	6380	40	20	20	20	20	20	40	20	20	20	3629	435	290	290	290	290	725	145	145	145
23	6380	40	20	20	20	20	20	40	20	20	20	3629	435	290	290	290	290	725	145	145	145
24	7540	40	20	40	20	20	20	40	20	20	20	3629	435	1451	290	290	290	725	145	145	145
25	7540	40	20	40	20	20	20	40	20	20	20	3629	435	1451	290	290	290	725	145	145	145
26	8120	40	20	40	20	20	20	40	40	20	20	3629	435	1451	290	290	290	725	725	145	145
27	8120	40	20	40	20	20	20	40	40	20	20	3629	435	1451	290	290	290	725	725	145	145
28	9280	40	20	40	40	20	20	40	40	20	20	3629	435	1451	1451	290	290	725	725	145	145
29	9280	40	20	40	40	20	20	40	40	20	20	3629	435	1451	1451	290	290	725	725	145	145
30	11020	40	40	40	40	20	20	40	40	20	20	3629	2177	1451	1451	290	290	725	725	145	145
31	11020	40	40	40	40	20	20	40	40	20	20	3629	2177	1451	1451	290	290	725	725	145	145
32	12180	40	40	40	40	40	20	40	40	20	20	3629	2177	1451	1451	1451	290	725	725	145	145
33	12180	40	40	40	40	40	20	40	40	20	20	3629	2177	1451	1451	1451	290	725	725	145	145
34	12760	40	40	40	40	40	20	40	40	40	20	3629	2177	1451	1451	1451	290	725	725	725	145
35	12760	40	40	40	40	40	20	40	40	40	20	3629	2177	1451	1451	1451	290	725	725	725	145
36	13920	40	40	40	40	40	40	40	40	40	20	3629	2177	1451	1451	1451	1451	725	725	725	145
37	13920	40	40	40	40	40	40	40	40	40	20	3629	2177	1451	1451	1451	1451	725	725	725	145
38	14500	40	40	40	40	40	40	40	40	40	40	3629	2177	1451	1451	1451	1451	725	725	725	725
39	14500	40	40	40	40	40	40	40	40	40	40	3629	2177	1451	1451	1451	1451	725	725	725	725
40	19540	50	40	40	40	40	40	40	40	40	40	8669	2177	1451	1451	1451	1451	725	725	725	725
41	20548	50	40	40	40	40	40	50	40	40	40	8669	2177	1451	1451	1451	1451	1733	725	725	725
42	22564	50	40	50	40	40	40	50	40	40	40	8669	2177	3467	1451	1451	1451	1733	725	725	725
43	23572	50	40	50	40	40	40	50	50	40	40	8669	2177	3467	1451	1451	1451	1733	1733	725	725
44	25588	50	40	50	50	40	40	50	50	40	40	8669	2177	3467	3467	1451	1451	1733	1733	725	725
45	28612	50	50	50	50	40	40	50	50	40	40	8669	5201	3467	3467	1451	1451	1733	1733	725	725
46	30628	50	50	50	50	50	40	50	50	40	40	8669	5201	3467	3467	3467	1451	1733	1733	725	725
47	31636	50	50	50	50	50	40	50	50	50	40	8669	5201	3467	3467	3467	1451	1733	1733	1733	725
48	33652	50	50	50	50	50	50	50	50	50	40	8669	5201	3467	3467	3467	3467	1733	1733	1733	725
49	34660	50	50	50	50	50	50	50	50	50	50	8669	5201	3467	3467	3467	3467	1733	1733	1733	1733
50	45460	60	50	50	50	50	50	50	50	50	50	19469	5201	3467	3467	3467	3467	1733	1733	1733	1733
51	47620	60	50	50	50	50	50	60	50	50	50	19469	5201	3467	3467	3467	3467	3893	1733	1733	1733
52	51940	60	50	60	50	50	50	60	50	50	50	19469	5201	7787	3467	3467	3467	3893	1733	1733	1733
53	54100	60	50	60	50	50	50	60	60	50	50	19469	5201	7787	3467	3467	3467	3893	3893	1733	1733
54	58420	60	50	60	60	50	50	60	60	50	50	19469	5201	7787	7787	3467	3467	3893	3893	1733	1733
55	64900	60	60	60	60	50	50	60	60	50	50	19469	11681	7787	7787	3467	3467	3893	3893	1733	1733
56	69220	60	60	60	60	60	50	60	60	50	50	19469	11681	7787	7787	7787	3467	3893	3893	1733	1733
57	71380	60	60	60	60	60	50	60	60	60	50	19469	11681	7787	7787	7787	3467	3893	3893	3893	1733
58	75700	60	60	60	60	60	60	60	60	60	50	19469	11681	7787	7787	7787	7787	3893	3893	3893	1733
59	77860	60	60	60	60	60	60	60	60	60	60	19469	11681	7787	7787	7787	7787	3893	3893	3893	3893
60	98020	70	60	60	60	60	60	60	60	60	60	39627	11681	7787	7787	7787	7787	3893	3893	3893	3893
61	102052	70	60	60	60	60	60	70	60	60	60	39627	11681	7787	7787	7787	7787	7925	3893	3893	3893
62	110116	70	60	70	60	60	60	70	60	60	60	39627	11681	15851	7787	7787	7787	7925	3893	3893	3893
63	114148	70	60	70	60	60	60	70	70	60	60	39627	11681	15851	7787	7787	7787	7925	7925	3893	3893
64	122212	70	60	70	70	60	60	70	70	60	60	39627	11681	15851	15851	7787	7787	7925	7925	3893	3893
65	134308	70	70	70	70	60	60	70	70	60	60	39627	23776	15851	15851	7787	7787	7925	7925	3893	3893
66	142372	70	70	70	70	70	60	70	70	60	60	39627	23776	15851	15851	15851	7787	7925	7925	3893	3893
67	146404	70	70	70	70	70	60	70	70	70	60	39627	23776	15851	15851	15851	7787	7925	7925	7925	3893
68	154468	70	70	70	70	70	70	70	70	70	60	39627	23776	15851	15851	15851	15851	7925	7925	7925	3893
69	158500	70	70	70	70	70	70	70	70	70	70	39627	23776	15851	15851	15851	15851	7925	7925	7925	7925
70	201700	80	70	70	70	70	70	70	70	70	70	82827	23776	15851	15851	15851	15851	7925	7925	7925	7925
71	210340	80	70	70	70	70	70	80	70	70	70	82827	23776	15851	15851	15851	15851	16565	7925	7925	7925
72	227620	80	70	80	70	70	70	80	70	70	70	82827	23776	33131	15851	15851	15851	16565	7925	7925	7925
73	236260	80	70	80	70	70	70	80	80	70	70	82827	23776	33131	15851	15851	15851	16565	16565	7925	7925
74	253540	80	70	80	80	70	70	80	80	70	70	82827	23776	33131	33131	15851	15851	16565	16565	7925	7925
75	279460	80	80	80	80	70	70	80	80	70	70	82827	49696	33131	33131	15851	15851	16565	16565	7925	7925
76	296740	80	80	80	80	80	70	80	80	70	70	82827	49696	33131	33131	33131	15851	16565	16565	7925	7925
77	305380	80	80	80	80	80	70	80	80	80	70	82827	49696	33131	33131	33131	15851	16565	16565	16565	7925
78	322660	80	80	80	80	80	80	80	80	80	70	82827	49696	33131	33131	33131	33131	16565	16565	16565	7925
79	331300	80	80	80	80	80	80	80	80	80	80	82827	49696	33131	33131	33131	33131	16565	16565	16565	16565
80	419045	90	80	80	90	80	80	80	80	80	80	170572	49696	33131	33131	33131	33131	16565	16565	16565	16565
81	436594	90	80	80	80	80	80	90	80	80	80	170572	49696	33131	33131	33131	33131	34114	16565	16565	16565
82	471692	90	80	90	80	80	80	90	80	80	80	170572	49696	68228	33131	33131	33131	34114	16565	16565	16565
83	489241	90	80	90	80	80	80	90	90	80	80	170572	49696	68228	33131	33131	33131	34114	34114	16565	16565
84	524339	90	80	90	90	80	80	90	90	80	80	170572	49696	68228	68228	33131	33131	34114	34114	16565	16565
85	576986	90	90	90	90	80	80	90	90	80	80	170572	102343	68228	68228	33131	33131	34114	34114	16565	16565
86	612084	90	90	90	90	90	80	90	90	80	80	170572	102343	68228	68228	68228	33131	34114	34114	16565	16565
87	629633	90	90	90	90	90	80	90	90	90	80	170572	102343	68228	68228	68228	33131	34114	34114	34114	16565
88	664731	90	90	90	90	90	90	90	90	90	80	170572	102343	68228	68228	68228	68228	34114	34114	34114	16565
89	682280	90	90	90	90	90	90	90	90	90	90	170572	102343	68228	68228	68228	68228	34114	34114	34114	34114
90	870320	100	90	90	90	90	90	90	90	90	90	358610	102343	68228	68228	68228	68228	34114	34114	34114	34114
91	907928	100	90	90	90	90	90	100	90	90	90	358610	102343	68228	68228	68228	68228	71722	34114	34114	34114
92	983144	100	90	100	90	90	90	100	90	90	90	358610	102343	143444	68228	68228	68228	71722	34114	34114	34114
93	1020752	100	90	100	90	90	90	100	100	90	90	358610	102343	143444	68228	68228	68228	71722	71722	34114	34114
94	1095968	100	90	100	100	90	90	100	100	90	90	358610	102343	143444	143444	68228	68228	71722	71722	34114	34114
95	1208792	100	100	100	100	90	90	100	100	90	90	358610	215166	143444	143444	68228	68228	71722	71722	34114	34114
96	1284008	100	100	100	100	100	90	100	100	90	90	358610	215166	143444	143444	143444	68228	71722	71722	34114	34114
97	1321616	100	100	100	100	100	90	100	100	100	90	358610	215166	143444	143444	143444	68228	71722	71722	71722	34114
98	1396832	100	100	100	100	100	100	100	100	100	90	358610	215166	143444	143444	143444	143444	71722	71722	71722	34114
99	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
100	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
101	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
102	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
103	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
104	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
105	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
106	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
107	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
108	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
109	1434440	100	100	100	100	100	100	100	100	100	100	358610	215166	143444	143444	143444	143444	71722	71722	71722	71722
110	1722440	110	100	100	100	100	100	100	100	100	100	646610	215166	143444	143444	143444	143444	71722	71722	71722	71722
111	1780040	110	100	100	100	100	100	110	100	100	100	646610	215166	143444	143444	143444	143444	129322	71722	71722	71722
112	1895240	110	100	110	100	100	100	110	100	100	100	646610	215166	258644	143444	143444	143444	129322	71722	71722	71722
113	1952840	110	100	110	100	100	100	110	110	100	100	646610	215166	258644	143444	143444	143444	129322	129322	71722	71722
114	2068040	110	100	110	110	100	100	110	110	100	100	646610	215166	258644	258644	143444	143444	129322	129322	71722	71722
115	2240840	110	110	110	110	100	100	110	110	100	100	646610	387966	258644	258644	143444	143444	129322	129322	71722	71722
116	2356040	110	110	110	110	110	100	110	110	100	100	646610	387966	258644	258644	258644	143444	129322	129322	71722	71722
117	2413640	110	110	110	110	110	100	110	110	110	100	646610	387966	258644	258644	258644	143444	129322	129322	129322	71722
118	2528840	110	110	110	110	110	110	110	110	110	100	646610	387966	258644	258644	258644	258644	129322	129322	129322	71722
119	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
120	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
121	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
122	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
123	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
124	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
125	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
126	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
127	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
128	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
129	2586440	110	110	110	110	110	110	110	110	110	110	646610	387966	258644	258644	258644	258644	129322	129322	129322	129322
130	2586440	120	110	110	110	110	110	110	110	110	110	1019943	387966	258644	258644	258644	258644	129322	129322	129322	129322
