BaseId	SubId	DetailId	Name	Desc	Icon	IconAtlas	Stars	Level	TimeFrame	Action
2		6	家族烤火	参加家族聚集烤火时，可获得大量经验	jiazujuji	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('CalendarPanel',1,18)
2		7	每日目标	完成每日目标，达成越多，获得经验越多	meiridati	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	20		Ui:OpenWindow('CalendarPanel',3)"
3			我要装备							
3	1		武器							
3	1	1	历代名将	挑战历代名将有机会获得	lidaimingjiang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	30	OpenDay4	Ui:OpenWindow('BossLeaderPanel','Boss')
3	1	2	家族兵甲坊	在家族兵甲坊中可以购买	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	2		帽子							
3	2	1	组队秘境	参与组队秘境有机会获得	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	15		Ui:OpenWindow('TeamFubenPanel')
3	2	2	家族防具坊	在家族防具坊中可以购买	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	3		项链							
3	3	1	武神殿	挑战武神殿有机会获得	wushendian	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	17		Ui:OpenWindow('RankPanel')
3	3	2	家族首饰坊	在家族首饰坊中可以购买	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	4		护腕							
3	4	1	惩恶任务	完成惩恶任务有机会获得	chengjierenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	22		Ui:OpenWindow('CalendarPanel',1,6)
3	4	2	家族防具坊	在家族防具坊中可以购买	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	5		戒指							
3	5	1	宋金战场	参加宋金战场有机会获得	songjinzhanchang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	24		Ui:OpenWindow('CalendarPanel',1,3)
3	5	2	家族首饰坊	在家族首饰坊中可以购买	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	6		衣服							
3	6	1	武林盟主	挑战武林盟主有机会获得	wulinmengzhu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	20		Ui:OpenWindow('CalendarPanel',1,1)
3	6	2	家族兵甲坊	在家族兵甲坊中可以购买	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	7		玉佩							
3	7	1	商会任务	完成商会任务有机会获得	shanghuirenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	30	OpenDay3	Ui:OpenWindow('CalendarPanel',1,2)
3	7	2	家族首饰坊	在家族首饰坊中可以购买	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	8		腰带							
3	8	1	英雄挑战	完成英雄挑战有机会获得	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	5	OpenDay3	Ui:OpenWindow('HeroChallenge')
3	8	2	家族防具坊	在家族防具坊中可以购买	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	9		护身符							
3	9	1	野外首领	挑战野外首领有机会获得	yewaishouling	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	20	OpenDay3	Ui:OpenWindow('BossLeaderPanel','Leader')
3	9	2	家族首饰坊	在家族首饰坊中可以购买	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
3	10		鞋子							
3	10	1	通天塔	挑战通天塔有机会获得	zhaixinglou	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	30	OpenDay4	Ui:OpenWindow('CalendarPanel',1,26)
3	10	2	家族防具坊	在家族防具坊中可以购买	jiazurenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('KinDetailPanel','FamilyBuilding')
4			我要水晶							
4		1	珍宝阁	珍宝阁可以购买各种水晶，每周限量折扣	zhaixinglou	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	10		Ui:OpenWindow('CommonShop','Treasure')
4		2	山贼密窟	挑战山贼密窟有机会获得	shanzeimiku	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	13		Ui:OpenWindow('CalendarPanel',1,21)
4		3	白虎堂	挑战白虎堂有机会获得	baihutang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay3	Ui:OpenWindow('CalendarPanel',1,25)
4		4	每日目标	完成每日目标有机会获得	meiridati	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	20		Ui:OpenWindow('CalendarPanel',3)
5			我要魂石							
5		1	凌绝峰	挑战凌绝峰有机会获得	lingjuefeng	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	30	OpenDay2	Ui:OpenWindow('CalendarPanel',1,10)
5		2	组队秘境	参与组队秘境有机会获得	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	11		Ui:OpenWindow('TeamFubenPanel')
5		3	摆摊	可以从摆摊中购买到魂石	meiridati	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	20		Ui:OpenWindow('MarketStallPanel', 1, 5)
5		4	一元超值礼包	购买一元超值礼包，可获得	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	10		Ui:OpenWindow('WelfareActivity', 'DailyRechargeGift')
6			我要元宝							
6		1	7日/30日礼包	购买7日/30日礼包后，每天可以领取大量元宝	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	10		Ui:OpenWindow('WelfareActivity', 'RechargeGift')
6		2	一本万利	购买一本万利，达到指定等级，可获得大量元宝	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	21		Ui:OpenWindow('WelfareActivity','GrowInvest')
6		3	一元超值礼包	购买一元超值礼包，可获得	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	10		Ui:OpenWindow('WelfareActivity', 'DailyRechargeGift')
6		4	充值	通过充值可直接获得元宝	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	10		Ui:OpenWindow('CommonShop','Recharge')
6		5	成就	每达成一项成就，均有机会获得元宝奖励	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	1		Ui:OpenWindow('AchievementPanel')
6		6	历代名将	参与历代名将挑战，有机会获得家族分红的元宝	lidaimingjiang	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	30	OpenDay4	Ui:OpenWindow('BossLeaderPanel','Boss')
6		7	武林盟主	参与武林盟主挑战，有机会获得家族分红的元宝	wulinmengzhu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	20		Ui:OpenWindow('CalendarPanel',1,1)
7			我要银两							
7		1	摇钱树	每天摇一摇，就会获得大量银两	shiliangu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	8		Ui:OpenWindow('WelfareActivity','MoneyTreePanel')
7		2	商会任务	完成商会任务有机会获得大量银两	shanghuirenwu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay3	Ui:OpenWindow('CalendarPanel',1,2)
7		3	挑战敌人	对敌人挑战可以获得其身上的银两	qunyinghui	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	10		Ui:OpenWindow('SocialPanel','EnemyPanel')
8			我要贡献							
8		1	家族捐献	每天给家族捐献，可以获得大量家族贡献	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	11		Ui:OpenWindow('KinVaultPanel')
8		2	武林盟主	每天参与挑战武林盟主，可以获得家族贡献	wulinmengzhu	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	20		Ui:OpenWindow('CalendarPanel',1,1)
8		3	家族烤火	每天参与家族烤火，可以获得家族贡献	jiazujuji	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	11		Ui:OpenWindow('CalendarPanel',1,18)
8		4	武神殿	每天挑战武神殿，可以获得家族贡献	wushendian	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	17		Ui:OpenWindow('RankPanel')
8		5	通天塔	挑战通天塔，可以获得家族贡献	zhaixinglou	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	30	OpenDay4	Ui:OpenWindow('CalendarPanel',1,26)
9			我要同伴							
9		1	同伴招募	使用银两或者元宝可以招募同伴	xinmohuanjing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	9		Ui:OpenWindow('Partner','CardPickingPanel')
9		2	凌绝峰	凌绝峰中，会有机会获得同伴	lingjuefeng	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay2	Ui:OpenWindow('CalendarPanel',1,10)
9		3	组队秘境	组队秘境中，会有机会获得同伴	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	3	15		Ui:OpenWindow('TeamFubenPanel')
