Level	FightPower	StLevel_1	StLevel_2	StLevel_3	StLevel_4	FP_1	FP_2	FP_3	FP_4
40	85000	2	2	2	3	25000	25000	25000	10000
41	85000	2	2	2	3	25000	25000	25000	10000
42	85000	2	2	2	3	25000	25000	25000	10000
43	85000	2	2	2	3	25000	25000	25000	10000
44	85000	2	2	2	3	25000	25000	25000	10000
45	85000	2	2	2	3	25000	25000	25000	10000
46	85000	2	2	2	3	25000	25000	25000	10000
47	85000	2	2	2	3	25000	25000	25000	10000
48	85000	2	2	2	3	25000	25000	25000	10000
49	85000	2	2	2	3	25000	25000	25000	10000
50	85000	2	2	2	3	25000	25000	25000	10000
51	85000	2	2	2	3	25000	25000	25000	10000
52	85000	2	2	2	3	25000	25000	25000	10000
53	85000	2	2	2	3	25000	25000	25000	10000
54	85000	2	2	2	3	25000	25000	25000	10000
55	85000	2	2	2	3	25000	25000	25000	10000
56	85000	2	2	2	3	25000	25000	25000	10000
57	85000	2	2	2	3	25000	25000	25000	10000
58	85000	2	2	2	3	25000	25000	25000	10000
59	85000	2	2	2	3	25000	25000	25000	10000
60	100000	2	2	2	2	25000	25000	25000	25000
61	100000	2	2	2	2	25000	25000	25000	25000
62	100000	2	2	2	2	25000	25000	25000	25000
63	100000	2	2	2	2	25000	25000	25000	25000
64	100000	2	2	2	2	25000	25000	25000	25000
65	100000	2	2	2	2	25000	25000	25000	25000
66	100000	2	2	2	2	25000	25000	25000	25000
67	100000	2	2	2	2	25000	25000	25000	25000
68	100000	2	2	2	2	25000	25000	25000	25000
69	100000	2	2	2	2	25000	25000	25000	25000
70	100000	2	2	2	2	25000	25000	25000	25000
71	100000	2	2	2	2	25000	25000	25000	25000
72	100000	2	2	2	2	25000	25000	25000	25000
73	100000	2	2	2	2	25000	25000	25000	25000
74	100000	2	2	2	2	25000	25000	25000	25000
75	100000	2	2	2	2	25000	25000	25000	25000
76	100000	2	2	2	2	25000	25000	25000	25000
77	100000	2	2	2	2	25000	25000	25000	25000
78	100000	2	2	2	2	25000	25000	25000	25000
79	100000	2	2	2	2	25000	25000	25000	25000
80	200000	2	2	2	2	50000	50000	50000	50000
81	200000	2	2	2	2	50000	50000	50000	50000
82	200000	2	2	2	2	50000	50000	50000	50000
83	200000	2	2	2	2	50000	50000	50000	50000
84	200000	2	2	2	2	50000	50000	50000	50000
85	200000	2	2	2	2	50000	50000	50000	50000
86	200000	2	2	2	2	50000	50000	50000	50000
87	200000	2	2	2	2	50000	50000	50000	50000
88	200000	2	2	2	2	50000	50000	50000	50000
89	200000	2	2	2	2	50000	50000	50000	50000
90	325000	1	2	2	2	175000	50000	50000	50000
91	325000	1	2	2	2	175000	50000	50000	50000
92	325000	1	2	2	2	175000	50000	50000	50000
93	325000	1	2	2	2	175000	50000	50000	50000
94	325000	1	2	2	2	175000	50000	50000	50000
95	325000	1	2	2	2	175000	50000	50000	50000
96	325000	1	2	2	2	175000	50000	50000	50000
97	325000	1	2	2	2	175000	50000	50000	50000
98	325000	1	2	2	2	175000	50000	50000	50000
99	325000	1	2	2	2	175000	50000	50000	50000
100	450000	1	1	2	2	175000	175000	50000	50000
101	450000	1	1	2	2	175000	175000	50000	50000
102	450000	1	1	2	2	175000	175000	50000	50000
103	450000	1	1	2	2	175000	175000	50000	50000
104	450000	1	1	2	2	175000	175000	50000	50000
105	450000	1	1	2	2	175000	175000	50000	50000
106	450000	1	1	2	2	175000	175000	50000	50000
107	450000	1	1	2	2	175000	175000	50000	50000
108	450000	1	1	2	2	175000	175000	50000	50000
109	450000	1	1	2	2	175000	175000	50000	50000
110	575000	1	1	1	2	175000	175000	175000	50000
111	575000	1	1	1	2	175000	175000	175000	50000
112	575000	1	1	1	2	175000	175000	175000	50000
113	575000	1	1	1	2	175000	175000	175000	50000
114	575000	1	1	1	2	175000	175000	175000	50000
115	575000	1	1	1	2	175000	175000	175000	50000
116	575000	1	1	1	2	175000	175000	175000	50000
117	575000	1	1	1	2	175000	175000	175000	50000
118	575000	1	1	1	2	175000	175000	175000	50000
119	575000	1	1	1	2	175000	175000	175000	50000
120	800000	1	1	1	1	200000	200000	200000	200000
121	800000	1	1	1	1	200000	200000	200000	200000
122	800000	1	1	1	1	200000	200000	200000	200000
123	800000	1	1	1	1	200000	200000	200000	200000
124	800000	1	1	1	1	200000	200000	200000	200000
125	800000	1	1	1	1	200000	200000	200000	200000
126	800000	1	1	1	1	200000	200000	200000	200000
127	800000	1	1	1	1	200000	200000	200000	200000
128	800000	1	1	1	1	200000	200000	200000	200000
129	800000	1	1	1	1	200000	200000	200000	200000
130	800000	1	1	1	1	200000	200000	200000	200000
