Level	FightPower	StLevel_Weapon	StLevel_Armor	StLevel_Necklace	StLevel_Ring	StLevel_Pendant	StLevel_Amulet	StLevel_Helm	StLevel_Cuff	StLevel_Belt	StLevel_Boots	FP_Weapon	FP_Armor	FP_Necklace	FP_Ring	FP_Pendant	FP_Amulet	FP_Helm	FP_Cuff	FP_Belt	FP_Boots
80	492000	30	25	25	25	25	25	25	25	25	25	60000	20000	20000	20000	20000	20000	20000	20000	20000	20000
81	504000	30	25	25	25	25	25	30	25	25	25	60000	20000	20000	20000	20000	20000	60000	20000	20000	20000
82	516000	30	25	30	25	25	25	30	25	25	25	60000	20000	60000	20000	20000	20000	60000	20000	20000	20000
83	528000	30	25	30	25	25	25	30	30	25	25	60000	20000	60000	20000	20000	20000	60000	60000	20000	20000
84	540000	30	25	30	30	25	25	30	30	25	25	60000	20000	60000	60000	20000	20000	60000	60000	20000	20000
85	552000	30	30	30	30	25	25	30	30	25	25	60000	60000	60000	60000	20000	20000	60000	60000	20000	20000
86	564000	30	30	30	30	30	25	30	30	25	25	60000	60000	60000	60000	60000	20000	60000	60000	20000	20000
87	576000	30	30	30	30	30	25	30	30	30	25	60000	60000	60000	60000	60000	20000	60000	60000	60000	20000
88	588000	30	30	30	30	30	30	30	30	30	25	60000	60000	60000	60000	60000	60000	60000	60000	60000	20000
89	600000	30	30	30	30	30	30	30	30	30	30	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000
90	612000	36	30	30	30	30	30	30	30	30	30	72000	60000	60000	60000	60000	60000	60000	60000	60000	60000
91	624000	36	30	30	30	30	30	36	30	30	30	72000	60000	60000	60000	60000	60000	72000	60000	60000	60000
92	636000	36	30	36	30	30	30	36	30	30	30	72000	60000	72000	60000	60000	60000	72000	60000	60000	60000
93	648000	36	30	36	30	30	30	36	36	30	30	72000	60000	72000	60000	60000	60000	72000	72000	60000	60000
94	660000	36	30	36	36	30	30	36	36	30	30	72000	60000	72000	72000	60000	60000	72000	72000	60000	60000
95	672000	36	36	36	36	30	30	36	36	30	30	72000	72000	72000	72000	60000	60000	72000	72000	60000	60000
96	684000	36	36	36	36	36	30	36	36	30	30	72000	72000	72000	72000	72000	60000	72000	72000	60000	60000
97	696000	36	36	36	36	36	30	36	36	36	30	72000	72000	72000	72000	72000	60000	72000	72000	72000	60000
98	708000	36	36	36	36	36	36	36	36	36	30	72000	72000	72000	72000	72000	72000	72000	72000	72000	60000
99	720000	36	36	36	36	36	36	36	36	36	36	72000	72000	72000	72000	72000	72000	72000	72000	72000	72000
100	720000	42	36	36	36	36	36	36	36	36	36	84000	72000	72000	72000	72000	72000	72000	72000	72000	72000
101	756000	42	36	36	36	36	36	42	36	36	36	84000	72000	72000	72000	72000	72000	84000	72000	72000	72000
102	792000	42	36	42	36	36	36	42	36	36	36	84000	72000	84000	72000	72000	72000	84000	72000	72000	72000
103	828000	42	36	42	36	36	36	42	42	36	36	84000	72000	84000	72000	72000	72000	84000	84000	72000	72000
104	864000	42	36	42	42	36	36	42	42	36	36	84000	72000	84000	84000	72000	72000	84000	84000	72000	72000
105	900000	42	42	42	42	36	36	42	42	36	36	84000	84000	84000	84000	72000	72000	84000	84000	72000	72000
106	936000	42	42	42	42	42	36	42	42	36	36	84000	84000	84000	84000	84000	72000	84000	84000	72000	72000
107	972000	42	42	42	42	42	36	42	42	42	36	84000	84000	84000	84000	84000	72000	84000	84000	84000	72000
108	1008000	42	42	42	42	42	42	42	42	42	36	84000	84000	84000	84000	84000	84000	84000	84000	84000	72000
109	1044000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
110	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
111	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
112	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
113	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
114	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
115	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
116	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
117	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
118	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
119	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
120	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
121	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
122	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
123	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
124	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
125	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
126	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
127	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
128	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
129	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
130	1080000	42	42	42	42	42	42	42	42	42	42	84000	84000	84000	84000	84000	84000	84000	84000	84000	84000
