Key	HelpKey	Type	Time	Desc
XiuLian		单人/组队	全天	组上一队侠士，前往 [FFFE0D]野外地图[-] 击杀野怪可以获得经验奖励。开启修炼后更可获得 [FFFE0D]10倍[-] 的打怪经验哦！
KinFuben		单人	[FFFE0D]周二、周五21:00[-]开启	家族集体挑战活动。成员一起前往试炼地图内进行挑战！
SeriesFuben		单人	全天	和江湖中的知名人物进行试炼挑战。获胜后可获得经验以及对应的镶嵌魂石！
FactionMonkey		单人	00:00~24:00	月度门派大师兄/大师姐评选，给你心中门派候选人投票吧！不同头衔对应的票数权重不同
DomainBattle	DomainHelp	单人/组队	[FFFE0D]周二、周六21:00~21:45[-]	家族集体群体对抗活动，成员一起为争夺家族领地、成为襄阳城主而战。
CardCollection_1	CardCollection_1Help	组队	全天	参加凌绝峰活动，通过各种挑战后会获得各种卡片作为凭证。收集起来进行为期一个月的排行，最终根据名次获得高额奖励。
ChangBaiZhiDian	ChangbaiHelp	单人/组队	每天[FFFE0D]13:30、16:00、20:00[-]	双人公平竞技，按队伍积分排名发奖，谁能问鼎长白之巅？
HuaShanLunJian	HuaShanLunJianHelp	单人/组队	每月7~27日周一、周三、周五、周日\n[FFFE0D]21:00[-]开启	成立战队，参加华山论剑预选赛，根据积分排行，前八进入决赛。通过决赛的残酷战斗，最终登顶华山之巅，成为武林至尊！
HuaShanLunJian1	HuaShanLunJianHelp	单人/组队	每月28日\n[FFFE0D]21:00[-]开启	华山论剑决赛即将开始，谁将最终登顶华山之巅，成为武林至尊？请拭目以待！
ImperialTomb	ImperialTombHelp	组队	10:00~24:00	组队前往秦始皇陵清除复活的秦朝士兵，有机会找到其中的密室争夺宝藏！秦始皇陵内毒雾弥漫，不能常驻其中！
ImperialTombEmperor	ImperialTombEmperorHelp	组队	[FFFE0D]周四、周日22:00[-]开启	秦始皇再次现身于世，与家族一同前往，将之击败，夺取大秦王朝千百年累积下来的珍宝！
WeekendQuestion		组队		和异性角色组队，根据线索寻找指定的武林侠客，进行愉快轻松的答题吧！
IdiomsAct		组队	周六、周日	和异性角色组队，通过击败小怪，进行名字的成语接龙！
DefendAct		组队		和异性角色组队，守护张如梦，击退不断出现的死士！
InDifferBattle	InDifferBattleHelp	单人/组队	周二、周四、周六	3人组队跨服无差别竞技，所有侠士[FFFE0D]固定80级、不携带同伴、初始拥有相同的战力水平[-]。摆脱装备和等级的桎梏，感受纯操作的竞技快感！
InDifferBattleJuedi	InDifferBattleJueDiHelp	单人/组队	周二、周四、周六	心魔幻境另一模式，3人组队跨服无差别竞技，摆脱装备和等级的桎梏，感受纯操作的竞技快感！
DaXueZhang	DaXueZhang	单人	每天[FFFE0D]13:30、16:00、20:00[-]	单人报名，进入飞雪飘飞的山崖，利用雪球和其他玩家一起战斗吧！
Muse	MuseHelp	单人	全天	冥想可以获得大量元气，元气可用于凝聚真元。
ImperialTombFemaleEmperor	ImperialTombFemaleHelp	组队	[FFFE0D]周四、周日22:00[-]开启	女帝武则天复苏，欲重现大周王朝的光辉，与家族成员一同前往，将之击败，让他们能够再度安息！
ZhenFaTask		组队	全天	和 [FFFE0D]侠侣、情缘、师徒、结拜、好友 [-]等关系的侠士组队，挑战阵法试炼，夺取高额奖励！协助他人试炼也会获得 [FFFE0D]援助奖励 [-]（每日限20个）哦！
CrossDomainBattle	CrossDomainHelp	单人/组队	[FFFE0D]每隔两周周日21:00~21:40[-]	家族跨服集体对抗活动，成员一起为争夺临安城王座，成为临安城主而战。
DaMoCave	DaMoCave	单人/组队	每天[FFFE0D]周三22:00[-]开启	达摩再次现身于世，与家族成员一同前往，将之击败，夺取洞内千百年累积下来的珍宝！
DanceAct		单人	每天[FFFE0D]12:45、15:00、20:00[-]	单人报名，与其他玩家一起以舞会友，同台竞技！
KinSecretFuben	KinSecretFubenHelp	单人/组队	[FFFE0D]周五21:00[-]开启	家族集体挑战活动。成员一起前往家族秘境中挑战历任武林盟主！
LingJueFengWeek	LingJueFengWeekHelp	组队	全天	无差别挑战，职业搭配，登顶山巅！每周不限次数挑战，单日最多可以失败两次，全服竞速论英豪，还有丰厚奖励等你来拿！
LingTuZhan	LTZHelp	单人/组队	[FFFE0D]周二21:05[-]开启	家族跨服集体对抗活动，成员一起为争夺更多的领土而战。
KeyQuestFuben	KeyQuestFubenHelp	组队	[FFFE0D]周一、周三19:50[-]开启	小队形式的寻宝活动，寻找进入遗迹深处的传送符文，获取隐藏在遗迹中的宝藏吧！
KinEncounterAct	KinEncounterHelp	单人/组队	活动期间[FFFE0D]周一、周三、周五、周日20:59[-]开启	跨服与实力相近的家族斗智斗力，为了家族荣耀而战！
PartnerCardTask		单人	全天	每天可以选定一个门客，完成其发布的5个门客任务，获取该门客的友好度！
LoverTask	LoverTaskHelp	组队	全天	和异性一同前往[FFFE0D]燕若雪[-]处领取情缘任务，每周可完成[FFFE0D]2次[-]，但只能领取[FFFE0D]1次奖励[-]！
KinDefendFuben	KinDefendHelp	单人/组队	[FFFE0D]周五21:00[-]开启	家族集体挑战活动。成员一起抵御完颜宗翰的进攻！
BossHome		单人/组队	全天	[FFFE0D]神之墓地[-]每天9:00,13:30,18:30,22:30可进入,每次最大时间半小时.
BossHomeLeft		单人/组队	全天	[FFFE0D]神之墓地[-]每天9:00,13:30,18:30,22:30可进入,每次最大时间半小时.
