nId	szKey	nLevelMin	nLevelMax	nSort	nStarLevel	szTimeFrameOpen	szActiveTimeFrame	szName	szIconAtlas	szIcon	szTag	szJoinCount	szJoinCountFunc	nTimeGroup	bWeek	szFuncName	szParams	szOpenActivityTip	szWeekIcon	bNotPreview
38	ImperialTombEmperor	60		1	5	OpenDay89		始皇降世	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	qinshihuangling	Mark_Famliy			20	1	ImperialTombEmperor		ImperialTombPanel		
39	WeekendQuestion	30		18	5			乱点鸳鸯谱	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	meiridati	Mark_Team	NULL				OpenUi	WeekendQuizPanel			1
40	IdiomsAct	30		18	5			有缘一线牵	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	meiridati	Mark_Team	IdiomFuben	IdiomFuben:GetDegreeInfo			AutoPath	99|10			1
41	DefendAct	30		18	5			缘定长相守	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	meiridati	Mark_Team	DefendFuben				DefendsAct				1
42	InDifferBattle	60		1	5		OpenIndiffer	心魔幻境	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	xinmohuanjing	Mark_Team	InDifferBattle		21		OpenUi	DreamlandJoinPanel	DreamlandJoinPanel	UI/Textures/ActivityPicture/xinmohuanjing.jpg	
43	DaXueZhang	20		12	5			打雪仗	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	daxuezhang	Mark_Single		Calendar:GetDXZCount			OpenUi	SnowballPanel	SnowballPanel		1
44	Muse	60		14	5	OpenDay33		打坐冥想	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	mingxiang	Mark_Single	Muse				GotoMuse				
45	ImperialTombFemaleEmperor	80		1	5	OpenLevel129Add10		女帝复苏	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	nvdiyizhong	Mark_Famliy			23	1	ImperialTombFemaleEmperor		ImperialTombPanel|true		
47	FieldCrossBoss	30		5	5	OpenDay353		跨服名将	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lidaimingjiang	Mark_PK			4		OpenUi	BossLeaderPanel|Boss	BossLeaderPanel|Boss	UI/Textures/ActivityPicture/lidaimingjiang.jpg	
48	ZhenFaTask	80		15	3	OpenLevel89		阵法试炼	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon2.prefab	shilian	Mark_Team	ZhenFaTask				DoZhenFaTask				
49	CrossDomainBattle	20		1	5	OpenCrossDomainBattle	CrossDomainLocalStart	跨服攻城战	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lingtuzhan	Mark_Famliy			24	1	OpenUi	KinDetailPanel|DomainBattleMain			
50	KinSecretFuben	15		3	5	OpenLevel79		家族秘境	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon2.prefab	jiazumijing	Mark_Famliy			25	1	JoinKinSecretFuben				
51	InDifferBattleJuedi	50		1	5		OpenIndiffer	心魔绝地	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	xinmohuanjing	Mark_Team	InDifferBattle		26		OpenUi	DreamlandJoinPanel|JueDi	DreamlandJoinPanel|JueDi	UI/Textures/ActivityPicture/xinmohuanjing.jpg	
52	KeyQuestFuben	80		1	5		OpenKeyQuestFuben	遗迹寻宝	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon2.prefab	xunbao	Mark_Team	KeyQuestFuben		27		OpenUi	RuinsTreasureEntrance	RuinsTreasureEntrance	UI/Textures/ActivityPicture/yijixunbao.jpg	
53	KinEncounterAct	60		1	5	OpenLevel89		家族遭遇战	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lingtuzhan	Mark_Famliy				1	JoinKinEncounter				
54	PartnerCardTask	999		1	5	OpenLevel109		门客任务	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon2.prefab	menke	Mark_Single		PartnerCard:GetTaskDegreeInfo			PartnerCardTask				
55	LoverTask	35	79	18	5			情缘任务	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon2.prefab	LoveTask	Mark_Team		LoverTask:GetTaskDegreeInfo			LoverTask				1
56	KinDefendFuben	20		3	5	OpenLevel89		家族保卫战	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon2.prefab	jiazubaoweizhan	Mark_Famliy			30	1	JoinKinDefendFuben		KinDefendPanel		
57	LingJueFengWeek	999		18	3	OpenLevel109		决战凌绝峰	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon2.prefab	TiaoZhanLJF	Mark_Team		Fuben.LingJueFengWeek:GetLevelInfo			OpenUi	LJFChallengePanel			
58	LingTuZhan	999		1	5	OpenLevel139		跨服领土战	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon2.prefab	kuafulingtuzhan	Mark_Famliy			31	1	OpenUi	TerritorialWarMapPanel			
59	DanceAct	999		12	5			舞动江湖	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon2.prefab	DanceAct	Mark_Single		Activity.DanceMatch:GetJoinCount			JoinDanceAct				
60	WarOfIceAndFire	999		12	5			灭火大作战	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon2.prefab	FireFighting	Mark_Single		Calendar:GetWarOfIceAndFireCount			OpenUi	ExtinguishingPanel	ExtinguishingPanel		1
61	BossHome	20		4	4	OpenLevel39		神之墓地作战	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lidaimingjiang	Mark_PK			32		BeichenActivityBB			UI/Textures/ActivityPicture/wulinmengzhu.jpg	
62	BossHomeLeft	20		4	4	OpenLevel39		神之墓地	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lidaimingjiang	Mark_PK					BeichenActivityBB			UI/Textures/ActivityPicture/wulinmengzhu.jpg
