FromMapID	Name	JumpKind	JumpGroup	FromPosX	FromPosY	ToMapID	ToPosX	ToPosY	ToFightState	BeProtected	FromMapDesc	ToMapDesc
480	JhdToWyp					488	2000	10860	0		九猴洞	武夷剑派
488	WypToWyjd					489	2350	5530	0		武夷派	武夷禁地
489	TrapTask1					405	8005	8253	0		武夷禁地	点苍山
406	XsdToHsmd					493	2600	6250	0		响水洞	华山密道
493	HsmdTpHsp					491	5200	3750	0		华山密道	华山派
491	HsToXsd					406	6706	7349	0		华山派	响水洞
405	DcsToLayd					490	5473	4882	0		点苍山	临安驿道
490	LaydToXsd					406	6706	7349	0		临安驿道	响水洞
408	JmgToGzc					479	1800	5400	0		剑门关	古战场
411	FnsToFnsxy					484	2750	2420	0		伏牛山	伏牛山小屋
415	DhgcToKfg					476	4500	5000	0		敦煌古城	狂风谷
475	FxszToFuben					474	2670	1600	0		风雪前庭	风雪山庄
476	KfgToSmyj					414	7381	7111	0		狂风谷	沙漠遗迹
414	DhgcToZmg					477	2050	5450	0		沙漠遗迹	葬马岗
5	Jump1	2				5	9437	10975	0		丐帮	丐帮小木屋
999	Jump1	2				999	3908	8051	0		新手村	
999	Jump2	3				999	4938	8749	0		新手村	
999	Jump3	3				999	5005	6689	0		新手村	
999	Jump4	2	1			999	4878	2625	0		新手村	
999	Jump5	5	1			999	4971	1468	0		新手村	
999	Jump6	3	1			999	6043	1861	0		新手村	
999	Jump7	3	2			999	5111	1463	0		新手村	
999	Jump8	5	2			999	5027	2641	0		新手村	
999	Jump9	2	2			999	3788	2143	0		新手村	
1000	qinggong1_1	3	1			1000	6052	1770	0		新手村轻功	
1000	qinggong1_2	3	1			1000	6741	2636	0		新手村轻功	
1000	qinggong1_3	3	1			1000	7200	3167	0		新手村轻功	
1000	qinggong2_1	3	2			1000	6651	2648	0		新手村轻功	
1000	qinggong2_2	3	2			1000	5989	1808	0		新手村轻功	
1000	qinggong2_3	3	2			1000	5474	2275	0		新手村轻功	
1000	taskqg1_1	3	3			1000	2520	6863	0		新手村轻功	
1000	taskqg1_2	2	3			1000	2244	7477	0		新手村轻功	
1000	taskqg1_3	2	3			1000	2662	8095	0		新手村轻功	
1000	taskqg2_1	3	4			1000	2965	6837	0		新手村轻功	
1000	taskqg2_2	2	4			1000	3406	6158	0		新手村轻功	
1012	Jump1	2				1012	5784	5539	0		丐帮	丐帮小木屋
1012	Jump2	2				1012	6194	5495	0		丐帮	丐帮小木屋
1012	Jump3	2				1012	6622	5537	0		丐帮	丐帮小木屋
1012	Jump4	2				1012	7227	5529	0		丐帮	丐帮小木屋
1012	Jump5	2				1012	5841	1079	0		丐帮	丐帮小木屋
1012	Jump6	2				1012	6247	1646	0		丐帮	丐帮小木屋
1012	Jump7	2				1012	6746	2161	0		丐帮	丐帮小木屋
1012	Jump8	2				1012	7320	2400	0		丐帮	丐帮小木屋
1100	QSHLToNextFloor1			6040	9110	1101	6000	5650	0		秦始皇一层	秦始皇二层
1100	QSHLToNextFloor2			12010	12300	1101	6000	5650	0		秦始皇一层	秦始皇二层
1101	QSHLToUpperStory1			9150	9320	1100	8000	5750	0		秦始皇二层	秦始皇一层
1101	QSHLToUpperStory2			4150	6560	1100	8000	5750	0		秦始皇二层	秦始皇一层
1101	QSHLToNextFloor1			6090	9440	1102	5100	6150	0		秦始皇二层	秦始皇三层
1101	QSHLToNextFloor2			4040	9120	1102	5100	6150	0		秦始皇二层	秦始皇三层
1102	QSHLToUpperStory1			3400	5250	1101	6000	5650	0		秦始皇三层	秦始皇二层
1102	QSHLToUpperStory2			6200	8700	1101	6000	5650	0		秦始皇三层	秦始皇二层
15	qinggong1_1	3	1			15	14074	15795	0		临安城轻功	
15	qinggong1_2	3	1			15	14533	15488	0		临安城轻功	
15	qinggong1_3	3	1			15	14943	15044	0		临安城轻功	
15	qinggong1_4	3	1			15	15538	15685	0		临安城轻功	
15	qinggong2_1	3	2			15	15021	14969	0		临安城轻功	
15	qinggong2_2	3	2			15	14579	15415	0		临安城轻功	
15	qinggong2_3	3	2			15	14156	15841	0		临安城轻功	
15	qinggong2_4	3	2			15	13711	15862	0		临安城轻功	
8011	jinshinei					8011	3421	6522	0		忘忧酒馆室外	忘忧酒馆室内
8011	qushiwai					8011	5459	17664	0		忘忧酒馆室内	忘忧酒馆室外
8017	jinshinei					8017	3421	6522	0		忘忧酒馆室外	忘忧酒馆室内
8017	qushiwai					8017	5459	17664	0		忘忧酒馆室内	忘忧酒馆室外
