OldBodyResID	NewBodyResID	NewHeadResID
638	3008	3008
2053	2053	2053
438	9008	9008
3417	6029	6029
858	858	858
1237	3231	3231
1877	1110	1110
3704	9014	9014
3922	9033	9033
1704	4201	4201
3516	9028	9028
4221	6032	6032
1831	1225	1225
2051	2051	2051
1871	1104	1104
1636	2230	2230
1256	1256	1256
2256	2256	2256
3612	7023	7023
2048	2048	2048
2047	2047	2047
2046	2046	2046
3624	7035	7035
1757	1757	1757
1624	2221	2221
2044	2044	2044
2043	2043	2043
2042	2239	2239
1516	4213	4213
1163	1163	1163
348	6008	6008
1727	4224	4224
2040	2237	2237
448	9008	9008
2039	2236	2236
648	1008	1008
3604	7014	7014
2038	2235	2235
928	928	928
1977	4110	4110
2037	2234	2234
3816	6028	6028
1604	2201	2201
1136	4230	4230
1571	4104	4104
1031	2225	2225
1759	1759	1759
1931	4225	4225
1950	1950	1950
1208	3205	3205
1965	1965	1965
1748	1748	1748
1964	1964	1964
1719	4216	4216
2217	1214	1214
3524	9035	9035
1902	20503	20503
1524	4221	4221
3902	9012	9012
1457	1457	1457
398	9008	9008
2063	2063	2063
1962	1962	1962
1816	1213	1213
4217	6028	6028
3217	8029	8029
1452	1452	1452
2452	2452	2452
1677	2110	2110
3504	9014	9014
838	838	838
938	938	938
3716	9028	9028
1960	1960	1960
1959	1959	1959
1504	4201	4201
1057	1057	1057
1836	1230	1230
1957	1957	1957
1956	1956	1956
1955	1955	1955
1564	1564	1564
1037	2231	2231
1953	1953	1953
1317	1214	1214
2317	4214	4214
3819	6031	6031
1952	1952	1952
1951	1951	1951
3602	7012	7012
1557	1557	1557
1602	17003	17003
328	8008	8008
2351	2351	2351
1716	4213	4213
1424	1221	1221
2424	4221	4221
3424	6035	6035
3317	6029	6029
4317	9028	9028
1521	4218	4218
1777	4110	4110
1948	1948	1948
1947	1947	1947
888	888	888
1336	1230	1230
1946	1946	1946
1537	4231	4231
1945	4239	4239
4216	6027	6027
3216	8028	8028
2216	1213	1213
4404	9014	9014
1872	1105	1105
3521	9032	9032
3404	6014	6014
2201	23002	23002
1201	13502	13502
1944	4238	4238
1943	4237	4237
3817	6029	6029
1942	4236	4236
1817	1214	1214
1941	4235	4235
2451	2451	2451
1530	4224	4224
378	9008	9008
214	24501	24501
3324	6035	6035
414	8004	8004
4201	6011	6011
614	4004	4004
2421	4218	4218
1421	1218	1218
1939	4233	4233
1938	4232	4232
1937	4231	4231
898	898	898
1236	3230	3230
3618	7030	7030
4116	8028	8028
1471	1104	1104
2116	3213	3213
3116	9028	9028
406	7006	7006
4304	9014	9014
3304	6014	6014
3421	6032	6032
806	806	806
906	906	906
1117	4214	4214
2117	3214	3214
1865	1865	1865
1116	4213	4213
822	3012	3012
3802	6012	6012
1630	2224	2224
388	6008	6008
1551	1551	1551
324	8004	8004
424	6004	6004
4117	8029	8029
624	2004	2004
3224	8035	8035
1337	1231	1231
2208	1205	1205
1010	2207	2207
904	904	904
3010	7020	7020
1622	2219	2219
868	868	868
4010	7020	7020
3416	6028	6028
2416	4213	4213
1861	1861	1861
1204	3201	3201
2204	1201	1201
3204	8014	8014
4204	6014	6014
1156	1156	1156
1857	1857	1857
1860	1860	1860
2401	25502	25502
1401	15002	15002
1617	2214	2214
1154	1154	1154
3617	7029	7029
1856	1856	1856
1124	4221	4221
1855	1855	1855
2330	4227	4227
1330	1224	1224
4401	9011	9011
3401	6011	6011
3124	9035	9035
2124	3221	3221
914	914	914
814	814	814
2437	4234	4234
1110	4207	4207
1436	1230	1230
3110	9020	9020
3722	9033	9033
878	878	878
2316	4213	4213
3316	6028	6028
4316	9027	9027
1671	2104	2104
3104	9014	9014
2104	3201	3201
1056	1056	1056
4104	8014	8014
1301	14002	14002
2301	24502	24502
1609	2206	2206
1542	4236	4236
1641	2235	2235
3717	9029	9029
2274	1104	1104
1316	1213	1213
668	4008	4008
304	7004	7004
1430	1224	1224
4024	7035	7035
604	1004	1004
1552	1552	1552
3301	6011	6011
4301	9011	9011
4022	7033	7033
2242	1239	1239
2022	2219	2219
3022	7033	7033
1847	1847	1847
352	9002	9002
2371	4101	4101
1371	1104	1104
2350	2350	2350
1350	1350	1350
1666	1666	1666
1844	1238	1238
1843	1237	1237
1022	2219	2219
1242	3236	3236
1842	1236	1236
2180	3110	3110
1140	4234	4234
3119	9031	9031
4119	8031	8031
1119	4216	4216
2119	3216	3216
2140	3237	3237
2419	4216	4216
330	8010	8010
430	6010	6010
852	4012	4012
630	2010	2010
1838	1232	1232
1162	1162	1162
302	7002	7002
1164	1164	1164
1765	1765	1765
4122	8033	8033
3122	9033	9033
2122	3219	3219
1071	2104	2104
2071	2101	2101
2248	2248	2248
1248	1248	1248
622	2002	2002
2450	2450	2450
422	6002	6002
322	8002	8002
1122	4219	4219
1332	1226	1226
2304	4201	4201
1963	1963	1963
2151	2151	2151
2080	2110	2110
4219	6030	6030
3219	8031	8031
2219	1216	1216
1219	3216	3216
3402	6012	6012
4402	9012	9012
1035	2229	2229
2035	2232	2232
1251	1251	1251
390	6010	6010
1262	1262	1262
1755	1755	1755
1442	1236	1236
3318	6030	6030
1752	1752	1752
1131	4225	4225
2131	3228	3228
1546	1546	1546
1222	3219	3219
2222	1219	1219
3222	8033	8033
4222	6033	6033
316	9006	9006
632	3002	3002
332	6002	6002
432	9002	9002
1432	1226	1226
616	4006	4006
1863	1863	1863
416	8006	8006
3102	9012	9012
2102	22503	22503
2380	4110	4110
4102	8012	8012
932	4012	4012
1750	1750	1750
2375	4105	4105
832	1012	1012
1048	1048	1048
610	1010	1010
310	7010	7010
410	7010	7010
1747	1747	1747
210	20501	20501
1102	12503	12503
1746	1746	1746
1231	3225	3225
3023	7034	7034
1446	1446	1446
2231	1228	1228
2322	4219	4219
1322	1219	1219
4322	9033	9033
3322	6033	6033
402	7002	7002
326	8006	8006
602	1002	1002
1745	4239	4239
626	2006	2006
1744	4238	4238
426	6006	6006
1532	4226	4226
1240	3234	3234
2062	2062	2062
826	826	826
2280	1110	1110
802	2012	2012
1742	4236	4236
1741	4235	4235
902	2012	2012
420	8010	8010
320	9010	9010
1019	2216	2216
3714	9025	9025
3019	7031	7031
2019	2216	2216
1062	1062	1062
4019	7031	7031
1738	4232	4232
1864	1864	1864
1845	1239	1239
1665	1665	1665
376	9006	9006
900	900	900
1664	1664	1664
1663	1663	1663
312	9002	9002
412	8002	8002
1610	2207	2207
612	4002	4002
1662	1662	1662
1548	1548	1548
1632	2226	2226
212	22501	22501
1661	1661	1661
4017	7029	7029
3017	7029	7029
2017	2214	2214
3015	7027	7027
370	7010	7010
912	3012	3012
1660	1660	1660
1347	1347	1347
1656	1656	1656
1320	1217	1217
876	876	876
1017	2214	2214
1654	1654	1654
1653	1653	1653
1976	4109	4109
1652	1652	1652
1651	1651	1651
1650	1650	1650
1502	16503	16503
910	910	910
386	6006	6006
1646	1646	1646
810	810	810
2027	2224	2224
3710	9020	9020
1015	2212	2212
1710	4207	4207
1648	1648	1648
627	2007	2007
620	4010	4010
1850	1850	1850
3619	7031	7031
3002	7012	7012
4002	7012	7012
4115	8027	8027
1563	1563	1563
1640	2234	2234
1638	2232	2232
1637	2231	2231
1566	1566	1566
1565	1565	1565
400	9010	9010
1954	1954	1954
1562	1562	1562
3916	9028	9028
1876	1109	1109
1916	4213	4213
1561	1561	1561
2015	2212	2212
4303	9013	9013
1556	1556	1556
1348	1348	1348
2348	2348	2348
1554	1554	1554
1553	1553	1553
1810	1207	1207
660	4010	4010
3810	6020	6020
1832	1226	1226
1550	1550	1550
1425	1101	1101
2114	3211	3211
1545	4239	4239
3319	6031	6031
4319	9030	9030
1924	4221	4221
1544	4238	4238
450	9010	9010
1463	1463	1463
1319	1216	1216
350	6010	6010
1543	4237	4237
1852	1852	1852
1854	1854	1854
358	9008	9008
1540	4234	4234
4409	9019	9019
658	4008	4008
1263	1263	1263
1904	4201	4201
1465	1465	1465
3904	9014	9014
1464	1464	1464
2448	2448	2448
1448	1448	1448
1461	1461	1461
1460	1460	1460
670	4010	4010
1910	4207	4207
870	870	870
3910	9020	9020
1459	1459	1459
1458	1458	1458
1456	1456	1456
1455	1455	1455
3824	6035	6035
3419	6031	6031
4003	7013	7013
3003	7013	7013
360	9010	9010
1003	11004	11004
1824	1221	1221
1419	1216	1216
1453	1453	1453
1451	1451	1451
1450	1450	1450
1751	1751	1751
1447	1447	1447
1444	1238	1238
1754	1754	1754
1441	1235	1235
937	937	937
1440	1234	1234
1218	3215	3215
1437	1231	1231
1365	1365	1365
637	3007	3007
1364	1364	1364
837	837	837
1363	1363	1363
1362	1362	1362
1835	1229	1229
437	9007	9007
2349	2349	2349
2475	4105	4105
3603	7013	7013
1359	1359	1359
820	820	820
851	4011	4011
2074	2104	2104
651	4001	4001
3523	9034	9034
3901	9011	9011
1523	4220	4220
2444	2444	2444
1354	1354	1354
1353	1353	1353
1352	1352	1352
1351	1351	1351
1349	1349	1349
1658	1658	1658
351	9001	9001
1346	1346	1346
1821	1218	1218
947	947	947
1344	1238	1238
1342	1236	1236
647	1007	1007
1513	4210	4210
3821	6032	6032
1340	1234	1234
3307	6017	6017
1775	4108	4108
447	9007	9007
1735	4229	4229
1449	1449	1449
2449	2449	2449
1265	1265	1265
1264	1264	1264
1466	1466	1466
1261	1261	1261
1260	1260	1260
1259	1259	1259
1258	1258	1258
3623	7034	7034
1273	3106	3106
1623	2220	2220
1255	1255	1255
1254	1254	1254
1253	1253	1253
1922	4219	4219
1758	1758	1758
1250	1250	1250
2376	4106	4106
1376	1109	1109
897	897	897
1921	4218	4218
1145	4239	4239
2319	4216	4216
2275	1105	1105
1275	3108	3108
893	4013	4013
3921	9032	9032
1635	2229	2229
1246	1246	1246
2174	3104	3104
393	9003	9003
1244	3238	3238
1243	3237	3237
2149	2149	2149
397	9007	9007
1619	2216	2216
1701	18502	18502
1165	1165	1165
1766	1766	1766
1723	4220	4220
1161	1161	1161
3723	9034	9034
3701	9011	9011
1160	1160	1160
1433	1227	1227
2433	4230	4230
1159	1159	1159
3306	6016	6016
1157	1157	1157
1155	1155	1155
1858	1858	1858
1153	1153	1153
1152	1152	1152
1621	2218	2218
1151	1151	1151
3621	7032	7032
1125	4101	4101
2125	3222	3222
1150	1150	1150
1149	1149	1149
1535	4229	4229
1148	1148	1148
1575	4108	4108
2215	1212	1212
1408	1205	1205
1249	1249	1249
2249	2249	2249
1141	4235	4235
1139	4233	4233
1801	19002	19002
1722	4219	4219
3801	6011	6011
1823	1220	1220
1137	4231	4231
3823	6034	6034
381	6001	6001
1065	1065	1065
1064	1064	1064
1063	1063	1063
1060	1060	1060
1058	1058	1058
1958	1958	1958
2110	3207	3207
2018	2215	2215
3018	7030	7030
1054	1054	1054
1721	4218	4218
3422	6033	6033
3721	9032	9032
1422	1219	1219
2225	1222	1222
3313	6024	6024
2313	4210	4210
1313	1210	1210
1053	1053	1053
1052	1052	1052
1051	1051	1051
373	9003	9003
4313	9023	9023
3615	7027	7027
1041	2235	2235
1047	1047	1047
1046	1046	1046
4302	9012	9012
3302	6012	6012
2302	24503	24503
1105	4202	4202
1815	1212	1212
391	9001	9001
3815	6027	6027
1233	3227	3227
1076	2109	2109
2076	2106	2106
1045	2239	2239
1044	2238	2238
1042	2236	2236
1049	1049	1049
1040	2234	2234
1038	2232	2232
2325	4222	4222
3522	9033	9033
2049	2049	2049
1522	4219	4219
2413	4210	4210
3413	6024	6024
383	6003	6003
1413	1210	1210
946	946	946
945	945	945
944	944	944
4109	8019	8019
1601	17002	17002
942	4012	4012
317	9007	9007
939	939	939
3205	8015	8015
2205	1202	1202
1205	3202	3202
936	936	936
1333	1227	1227
1715	4212	4212
379	9009	9009
3715	9027	9027
1914	4211	4211
931	4011	4011
930	930	930
2307	4204	4204
3924	9035	9035
653	4003	4003
926	926	926
853	4013	4013
3703	9013	9013
2425	4222	4222
1703	18504	18504
657	4007	4007
1113	4210	4210
925	925	925
3113	9024	9024
2113	3210	3210
353	9003	9003
4113	8024	8024
924	924	924
1431	1225	1225
922	1012	1012
921	1011	1011
920	920	920
207	17001	17001
1631	2225	2225
1305	1202	1202
2305	4202	4202
3502	9012	9012
4305	9015	9015
916	916	916
1615	2212	2212
2254	2254	2254
1616	2213	2213
911	3011	3011
1033	2227	2227
2033	2230	2230
863	2013	2013
2177	3107	3107
663	4003	4003
907	907	907
867	867	867
3803	6013	6013
667	4007	4007
1803	19004	19004
1274	3107	3107
1213	3210	3210
2213	1210	1210
3213	8024	8024
4213	6023	6023
905	905	905
903	2013	2013
363	7003	7003
901	2011	2011
899	899	899
896	896	896
1276	3109	3109
1405	1202	1202
4202	6012	6012
3405	6015	6015
2405	4202	4202
891	4011	4011
4405	9015	9015
1133	4227	4227
1515	4212	4212
2176	3106	3106
1176	4109	4109
628	2008	2008
887	887	887
4210	6020	6020
3210	8020	8020
2210	1207	1207
1210	3207	3207
886	886	886
204	14001	14001
884	884	884
883	1013	1013
3004	7014	7014
4004	7014	7014
1004	2201	2201
2004	2201	2201
3111	9022	9022
2111	3208	3208
1111	4208	4208
1903	20504	20504
882	1012	1012
881	1011	1011
4011	7022	7022
879	879	879
1331	1225	1225
655	4005	4005
1226	3102	3102
855	855	855
874	874	874
873	4013	4013
355	9005	9005
3907	9017	9017
869	869	869
866	866	866
367	7007	7007
3719	9031	9031
3310	6020	6020
4310	9020	9020
1310	1207	1207
2310	4207	4207
860	860	860
859	859	859
857	857	857
856	856	856
849	849	849
847	847	847
2077	2107	2107
844	844	844
2011	2208	2208
3011	7022	7022
4306	9016	9016
1011	2208	2208
842	1012	1012
841	1011	1011
839	839	839
835	835	835
665	4005	4005
1517	4214	4214
865	865	865
3517	9029	9029
831	1011	1011
830	830	830
829	829	829
365	7005	7005
828	828	828
1434	1228	1228
825	825	825
824	824	824
2410	4207	4207
1410	1207	1207
4410	9020	9020
3410	6020	6020
1417	1214	1214
1737	4231	4231
821	3011	3011
1358	1358	1358
1177	4110	4110
428	6008	6008
2311	4208	4208
1311	1208	1208
2016	2213	2213
1016	2213	2213
4016	7028	7028
3016	7028	7028
816	816	816
4015	7027	7027
935	935	935
812	4012	4012
3211	8022	8022
4211	6021	6021
404	7004	7004
635	3005	3005
335	6005	6005
435	9005	9005
1975	4108	4108
807	807	807
1024	2221	2221
804	804	804
2036	2233	2233
1036	2230	2230
1510	4207	4207
801	2011	2011
3510	9020	9020
2480	4110	4110
1837	1231	1231
2374	4104	4104
2378	4108	4108
2377	4107	4107
2279	1109	1109
1475	1108	1108
1211	3208	3208
2211	1208	1208
1802	19003	19003
2276	1106	1106
2179	3109	3109
2178	3108	3108
909	909	909
2079	2109	2109
666	4006	4006
4111	8022	8022
845	845	845
609	1009	1009
645	1005	1005
809	809	809
445	9005	9005
345	6005	6005
309	7009	7009
409	7009	7009
429	6009	6009
4110	8020	8020
3915	9027	9027
1304	1201	1201
54	4004	4004
1732	4226	4226
1774	4107	4107
1773	4106	4106
1675	2108	2108
1558	1558	1558
1673	2106	2106
1527	4103	4103
1574	4107	4107
1573	4106	4106
1749	1749	1749
2278	1108	1108
4105	8015	8015
1473	1106	1106
1375	1108	1108
1374	1107	1107
1373	1106	1106
919	919	919
895	895	895
3923	9034	9034
619	4009	4009
1257	1257	1257
819	819	819
1175	4108	4108
1174	4107	4107
2258	2258	2258
419	8009	8009
319	9009	9009
1077	2110	2110
395	9005	9005
1075	2108	2108
1074	2107	2107
1073	2106	2106
2474	4104	4104
2473	4103	4103
2472	4102	4102
2471	4101	4101
1477	1110	1110
2477	4107	4107
2373	4103	4103
1917	4214	4214
44	1004	1004
3917	9029	9029
1849	1849	1849
2273	1103	1103
314	9004	9004
2271	1101	1101
2175	3105	3105
2173	3103	3103
1023	2220	2220
2171	3101	3101
2075	2105	2105
1357	1357	1357
2073	2103	2103
1217	3214	3214
2357	2357	2357
2358	2358	2358
1929	4102	4102
1928	4101	4101
1830	1103	1103
3201	8011	8011
1772	4105	4105
1771	4104	4104
1730	4103	4103
1729	4102	4102
1672	2105	2105
4224	6035	6035
1572	4105	4105
1577	4110	4110
4203	6013	6013
1427	1103	1103
2105	3202	3202
1549	1549	1549
2478	4108	4108
2308	4205	4205
1018	2215	2215
1325	1101	1101
3909	9019	9019
1271	3104	3104
1227	3103	3103
875	875	875
1225	3101	3101
1029	2223	2223
1171	4104	4104
411	8001	8001
357	9007	9007
3406	6016	6016
66	2006	2006
1025	2101	2101
2403	25504	25504
2402	25503	25503
2458	2458	2458
2303	24504	24504
2202	23003	23003
213	23001	23001
375	9005	9005
2003	21004	21004
2002	21003	21003
1214	3211	3211
1901	20502	20502
2277	1107	1107
209	19001	19001
1603	17004	17004
1277	3110	3110
1503	16504	16504
1649	1649	1649
1935	4229	4229
1501	16502	16502
206	16501	16501
1402	15003	15003
205	15001	15001
1303	14004	14004
1302	14003	14003
885	885	885
1202	13503	13503
1114	4211	4211
202	12501	12501
1002	11003	11003
1414	1211	1211
2432	4229	4229
2431	4228	4228
2430	4227	4227
2429	4226	4226
2428	4225	4225
2427	4224	4224
2426	4223	4223
385	6005	6005
2422	4219	4219
53	4003	4003
43	1003	1003
73	4003	4003
63	2003	2003
1840	1234	1234
1822	1219	1219
2415	4212	4212
2414	4211	4211
2147	2147	2147
1147	1147	1147
2408	4205	4205
2214	1211	1211
3812	6023	6023
1634	2228	2228
1812	1209	1209
1406	1203	1203
1826	1223	1223
3708	9018	9018
359	9009	9009
2406	4203	4203
3214	8025	8025
3609	7019	7019
2404	4201	4201
4214	6024	6024
2333	4230	4230
1607	2204	2204
2332	4229	4229
3607	7017	7017
13	4003	4003
2331	4228	4228
33	1003	1003
23	3003	3003
42	1002	1002
52	4002	4002
62	2002	2002
72	4002	4002
2329	4226	4226
2327	4224	4224
2025	2222	2222
1940	4234	4234
1247	1247	1247
2247	2247	2247
2315	4212	4212
2314	4211	4211
1534	4228	4228
3912	9023	9023
1306	1203	1203
1912	4209	4209
1529	4223	4223
329	8009	8009
3408	6018	6018
4408	9018	9018
629	2009	2009
3918	9030	9030
4114	8025	8025
2355	2355	2355
3507	9017	9017
1327	1103	1103
1507	4204	4204
929	929	929
2306	4203	4203
12	4002	4002
22	3002	3002
32	1002	1002
4206	6016	6016
1762	1762	1762
2206	1203	1203
3206	8016	8016
2233	1230	1230
2232	1229	1229
1518	4215	4215
2230	1227	1227
2229	1226	1226
2227	1224	1224
2226	1223	1223
2224	1221	1221
1404	1201	1201
1206	3203	3203
336	6006	6006
1834	1228	1228
339	6009	6009
2461	2461	2461
1626	2102	2102
3508	9018	9018
2409	4206	4206
639	3009	3009
3414	6025	6025
3409	6019	6019
4407	9017	9017
3407	6017	6017
2407	4204	4204
1407	1204	1204
337	6007	6007
1913	4210	4210
4020	7021	7021
2209	1206	1206
1862	1862	1862
4106	8016	8016
3106	9016	9016
2106	3203	3203
3024	7035	7035
661	4001	4001
346	6006	6006
1618	2215	2215
2005	2202	2202
2133	3230	3230
1936	4230	4230
347	6007	6007
1106	4203	4203
2130	3227	3227
1734	4228	4228
2129	3226	3226
389	6009	6009
1314	1211	1211
2128	3225	3225
1526	4102	4102
4314	9024	9024
2155	2155	2155
1709	4206	4206
3314	6025	6025
74	4004	4004
1829	1102	1102
2127	3224	3224
1127	4103	4103
2120	3217	3217
889	889	889
2118	3215	3215
1509	4206	4206
1234	3228	3228
77	4007	4007
1806	1203	1203
1341	1235	1235
47	1007	1007
37	1007	1007
67	2007	2007
57	4007	4007
1756	1756	1756
1511	4208	4208
4215	6025	6025
5	2005	2005
3806	6016	6016
1674	2107	2107
1547	1547	1547
1926	4223	4223
1360	1360	1360
399	9009	9009
3209	8019	8019
315	9005	9005
415	8005	8005
1055	1055	1055
3411	6022	6022
1642	2236	2236
815	815	815
3614	7025	7025
27	3007	3007
17	4007	4007
1209	3206	3206
1426	1102	1102
1519	4216	4216
1614	2211	2211
76	4006	4006
1134	4228	4228
307	7007	7007
1706	4203	4203
36	1006	1006
46	1006	1006
56	4006	4006
607	1007	1007
1411	1208	1208
2411	4208	4208
2031	2228	2228
2030	2227	2227
2029	2226	2226
3706	9016	9016
2023	2220	2220
1647	1647	1647
2361	2361	2361
669	4009	4009
369	7009	7009
2326	4223	4223
4311	9021	9021
425	6005	6005
3509	9019	9019
625	2005	2005
3514	9025	9025
1808	1205	1205
16	4006	4006
26	3006	3006
1326	1102	1102
3503	9013	9013
1514	4211	4211
3808	6018	6018
71	4001	4001
61	2001	2001
51	4001	4001
41	1001	1001
3807	6017	6017
2434	4231	4231
1807	1204	1204
2362	2362	2362
2020	2217	2217
3105	9015	9015
2032	2229	2229
1020	2217	2217
1612	2209	2209
3020	7021	7021
3606	7016	7016
1474	1107	1107
3009	7019	7019
2009	2206	2206
1560	1560	1560
4009	7019	7019
2442	4239	4239
1032	2226	2226
1146	1146	1146
2146	2146	2146
