NpcResId	Desc	bq01_frame	bq02_frame	bq03_frame	bq04_frame	bq05_frame	bq06_frame	bq07_frame	bq08_frame	tx_frame	tst_frame	dance_frame	dance01_frame	dance02_frame	dance03_frame	dance04_frame	dance05_frame	dance06_frame	dance07_frame	m1baost_frame	m1baowlk_frame	m1bbaost_frame	m1bbaowlk_frame	m1bqst_frame	m1bqwlk_frame	m1hrun_frame	m1hrun01_frame	m1hst_frame	m1hst01_frame	m1qst_frame	m1qwlk_frame	m1yb_frame	m1yb01_frame	m1ybst_frame	m1ybst01_frame	m1dance01_frame	m1dance02_frame	m2baost_frame	m2baowlk_frame	m2bbaost_frame	m2bbaowlk_frame	m2bqst_frame	m2bqwlk_frame	m2hrun_frame	m2hrun01_frame	m2hst_frame	m2hst01_frame	m2qst_frame	m2qwlk_frame	m2yb_frame	m2yb01_frame	m2ybst_frame	m2ybst01_frame	m2dance01_frame	m2dance02_frame	f1baost_frame	f1baowlk_frame	f1bbaost_frame	f1bbaowlk_frame	f1bqst_frame	f1bqwlk_frame	f1hrun_frame	f1hrun01_frame	f1hst_frame	f1hst01_frame	f1qst_frame	f1qwlk_frame	f1yb_frame	f1yb01_frame	f1ybst_frame	f1ybst01_frame	f1dance01_frame	f1dance02_frame	f2baost_frame	f2baowlk_frame	f2bbaost_frame	f2bbaowlk_frame	f2bqst_frame	f2bqwlk_frame	f2hrun_frame	f2hrun01_frame	f2hst_frame	f2hst01_frame	f2qst_frame	f2qwlk_frame	f2yb_frame	f2yb01_frame	f2ybst_frame	f2ybst01_frame	f2dance01_frame	f2dance02_frame	est_frame	erun_frame	bst_frame	brun_frame	cst_frame	crun_frame	ast_frame	arun_frame	crst_frame	crrun_frame	shuaigan_frame	shanggou_frame	diaoyu_frame	bq01_cross	bq02_cross	bq03_cross	bq04_cross	bq05_cross	bq06_cross	bq07_cross	bq08_cross	dance_cross	dance01_cross	dance02_cross	dance03_cross	dance04_cross	dance05_cross	dance06_cross	dance07_cross	bq01_hideweapon	bq02_hideweapon	bq03_hideweapon	bq04_hideweapon	bq05_hideweapon	bq06_hideweapon	bq07_hideweapon	bq08_hideweapon	tx_hideweapon	tst_hideweapon	dance_hideweapon	dance01_hideweapon	dance02_hideweapon	dance03_hideweapon	dance04_hideweapon	dance05_hideweapon	dance06_hideweapon	dance07_hideweapon
1003	丐帮主角-壮男	35	42	62	14	35	70	81	20	30	20	92	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1	1	1	1	1	1	1	1	1
1004	五毒主角-萝莉	30	62	46	15	43	77	100	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1	1	1	1	1	1	1	1	1
1005	藏剑主角-标男	32	47	21	15	45	40	90	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1	1	1	1	1	1	1	1	1
1006	长歌主角-标女	39	54	42	15	54	49	94	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1007	天山主角-标男	32	44	41	15	38	43	52	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				1			1	1	1	1	1	1	1	1	1	1	1	1
1008	天山主角-标女	40	54	42	16	50	49	104	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				1			1	1	1	1	1	1	1	1	1	1	1	1
1009	霸刀主角-壮男	31	42	56	15	30	40	80	20	30	20	92	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1010	霸刀主角-萝莉	39	50	35	15	40	47	47	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1			1			1			1	1	1	1	1	1	1	1	1	1
1011	武当主角-标女	38	55	34	15	40	48	131	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1				1			1	1	1	1	1	1	1	1	1	1
1012	华山主角-标男	33	42	45	15	46	52	97	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				1			1	1	1	1	1	1	1	1	1	1	1	1
1013	华山主角-标女	39	55	58	15	40	56	141	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				1			1	1	1	1	1	1	1	1	1	1	1	1
1014	昆仑主角-壮男	35	42	59	15	45	48	119	20	30	20	92	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1015	明教主角-标男	37	43	50	15	45	55	149	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1016	明教主角-标女	40	49	40	16	50	50	175	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1017	天王主角-萝莉	39	48	51	18	45	46	142	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1		1	1	1		1	1	1	1	1	1	1	1	1	1
1018	段氏主角-标男	40	49	32	15	36	63	96	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1	1	1	1	1	1	1	1	1
1019	段氏主角-萝莉	47	45	37	15	46	56	129	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1	1	1	1	1	1	1	1	1
1020	逍遥主角-标女	39	55	58	15	40	56	141	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				1			1	1	1	1	1	1	1	1	1	1	1	1
1021	万花主角-标男	40	49	32	15	36	63	96	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1							1		1	1	1	1	1	1	1	1	1	1
1022	万花主角-标女	40	49	40	16	50	50	175	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1	1	1	1	1	1	1	1	1
1023	丐帮主角-萝莉	39	48	51	18	45	46	142	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1024	杨门主角-标男	40	49	32	15	36	63	92	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1							1		1	1	1	1	1	1	1	1	1	1
1025	杨门主角-标女	40	49	40	16	50	50	110	20	30	20	102	150	143	128	198	148	231	148	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1	1	1	1	1	1	1	1	1
1026	天忍主角-标男	40	49	32	15	36	63	96	20	30	20	123	150	146	123	120	102	223	120	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25	29	40	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1							1		1	1	1	1	1	1	1	1	1	1
590	新郎183	39	42	15	20	34	91	45												30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25				0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1											1	1	1	1	1	1	1	1
591	新郎183	39	42	15	20	34	91	45												30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25				0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1											1	1	1	1	1	1	1	1
601	新郎183	39	42	15	20	34	91	45												30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25				0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1											1	1	1	1	1	1	1	1
602	新娘184	48	55	17	20	52	96	41												30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	11	150	30	25	30	25	30	25	30	25	30	25				0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1											1	1	1	1	1	1	1	1
