ResId	ResFile	ResAttribID	ResSlot	Desc	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3	SlotName3	SlotGray3	SlotMinCast3	Slot3Color1	Slot3Light1	Slot3Color2	Slot3Light2	Slot3Color3	Slot3Light3	DynamicBoneIndex
24	Player/Characters/F1/Prefab/F1_WD001_Head.prefab		head	五毒新手-女																															101
25	Player/Characters/M1/Prefab/M1_XY001_Head.prefab		head	藏剑新手-男																															103
26	Player/Characters/F2/Prefab/F2_CY001_Head.prefab		head	藏剑新手-女（暂无）																															102
27	Player/Characters/M1/Prefab/M1_XY001_Head.prefab		head	长歌新手-男（暂无）																															103
28	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	长歌新手-女																															102
29	Player/Characters/M1/Prefab/M1_TS001_Head.prefab		head	天山新手-男																															103
30	Player/Characters/F2/Prefab/F2_TS001_Head.prefab		head	天山新手-女																															102
31	Player/Characters/M2/Prefab/M2_BD001_Head.prefab		head	霸刀新手-男																															104
32	Player/Characters/F1/Prefab/F1_BD001_Head.prefab		head	霸刀新手-女																															101
1001	Player/Characters/M1/Prefab/M1_D001_Head.prefab	151001	head	M1标男等级装T1																															103
1002	Player/Characters/M1/Prefab/M1_D004_Head.prefab	151002	head	M1标男等级装T2																															103
1003	Player/Characters/M1/Prefab/M1_D003_Head.prefab	151003	head	M1标男等级装T3																															103
1004	Player/Characters/M1/Prefab/M1_D006_Head.prefab	151004	head	M1标男等级装T4																															103
1005	Player/Characters/M1/Prefab/M1_D011_Head.prefab	151005	head	M1标男等级装T5																															103
1006	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151006	head	M1标男等级装T6																															103
1007	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151007	head	M1标男等级装T7																															103
1008	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151008	head	M1标男等级装T8																															103
1009	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151009	head	M1标男等级装T9																															103
1010	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151010	head	M1标男等级装T10																															103
1011	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151011	head	M1标男等级装T11																															103
1012	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151012	head	M1标男等级装T12																															103
1013	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151013	head	M1标男等级装T13																															103
1014	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14		1		M1_D014_Head	0		251|215|151|67	1	54|46|43|11	1	255|255|255|29	1																			103
1015	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15				M1_D015_Head	1		255|230|157|0	1	63|50|46|45	1	255|255|255|117	1																			103
1016	Player/Characters/M1/Prefab/M1_D016_Head.prefab		head	M1标男等级装T16		1		M1_D016_Head	0		255|255|255|53	1	56|47|41|23	1	255|255|255|88	1																			103
1017	Player/Characters/M1/Prefab/M1_D017_Head.prefab		head	M1标男等级装T17				M1_D017_Head	1		255|255|255|88	1	43|39|39|32	1	243|243|243|53	1.23																			103
1018	Player/Characters/M1/Prefab/M1_D018_Head.prefab		head	M1标男等级装T18		1		M1_D018_Head	0		255|255|255|53	1	255|255|255|27	1	43|38|38|39	1																			103
1019	Player/Characters/M1/Prefab/M1_D019_Head.prefab		head	M1标男等级装T19		1		M1_D019_Head	0		255|255|255|64	1	255|255|255|222	1	39|34|30|74	1																			103
1020	Player/Characters/M1/Prefab/M1_D020_Head.prefab		head	M1标男等级装T20																															103
1101	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151101	head	M1标男等级装T6·黄金装																															103
1102	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151102	head	M1标男等级装T7·黄金装																															103
1103	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151103	head	M1标男等级装T8·黄金装																															103
1104	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151104	head	M1标男等级装T9·黄金装																															103
1105	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151105	head	M1标男等级装T10·黄金装																															103
1106	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151106	head	M1标男等级装T11·黄金装																															103
1107	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151107	head	M1标男等级装T12·黄金装																															103
1108	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151108	head	M1标男等级装T13·黄金装																															103
1109	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14·黄金装				M1_D014_Head	1		224|225|206|40	1.07	28|22|22|90	1	157|114|0|26	1.14																			103
1110	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15·黄金装				M1_D015_Head	1		233|207|247|34	1.28	255|231|213|21	1.1	63|60|63|117	3.05																			103
1111	Player/Characters/M1/Prefab/M1_D016_Head.prefab		head	M1标男等级装T16·黄金装				M1_D016_Head	1		253|186|87|69	1	56|47|41|23	1	113|114|114|128	1.61																			103
1112	Player/Characters/M1/Prefab/M1_D017_Head.prefab		head	M1标男等级装T17·黄金装		1		M1_D017_Head	0		255|255|255|88	1	43|39|39|32	1	255|226|108|53	1																			103
1113	Player/Characters/M1/Prefab/M1_D018_Head.prefab		head	M1标男等级装T18·黄金装				M1_D018_Head	1		255|223|142|48	1	255|255|255|255	1	35|29|29|97	1																			103
1114	Player/Characters/M1/Prefab/M1_D019_Head.prefab		head	M1标男等级装T19·黄金装				M1_D019_Head	1		234|180|65|97	1	255|255|255|222	1	39|34|30|74	1																			103
1115	Player/Characters/M1/Prefab/M1_D020_Head.prefab		head	M1标男等级装T20·黄金装																															103
1151	Player/Characters/M1/Prefab/M1_D008_Head.prefab		head	M1标男等级装T10·白金装		1		M1_D008_Head	0		255|255|255|55	1	185|182|177|0	1.38	202|202|202|0	1.19																			103
1152	Player/Characters/M1/Prefab/M1_D002_Head.prefab		head	M1标男等级装T11·白金装				M1_D002_Head	1		255|222|164|91	1	243|241|232|0	1.07	245|192|135|69	1																			103
1153	Player/Characters/M1/Prefab/M1_D007_Head.prefab		head	M1标男等级装T12·白金装		1		M1_D007_Head	0		255|255|255|78	1	135|131|125|16	2	179|179|178|0	1.5																			103
1154	Player/Characters/M1/Prefab/M1_D013_Head.prefab		head	M1标男等级装T13·白金装				M1_D013_Head	1		255|230|185|31	1	208|200|186|0	1.32	243|243|243|32	1																			103
1155	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14·白金装				M1_D014_Head	1		253|208|167|31	0.93	236|231|222|0	1.12	255|255|255|29	1																			103
1156	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15·白金装				M1_D015_Head	1		245|228|209|34	1.14	210|202|191|0	1.32	101|88|14|117	3.05																			103
1157	Player/Characters/M1/Prefab/M1_D016_Head.prefab		head	M1标男等级装T16·白金装				M1_D016_Head	1		247|214|165|69	1.2	204|201|193|0	1.17	113|114|114|128	1.61																			103
1158	Player/Characters/M1/Prefab/M1_D017_Head.prefab		head	M1标男等级装T17·白金装		1		M1_D017_Head	0		255|255|255|102	1	255|255|255|0	1	255|236|178|53	1																			103
1159	Player/Characters/M1/Prefab/M1_D018_Head.prefab		head	M1标男等级装T18·白金装				M1_D018_Head	1		255|223|142|36	1	255|227|114|255	1	243|239|232|32	1																			103
1160	Player/Characters/M1/Prefab/M1_D019_Head.prefab		head	M1标男等级装T19·白金装				M1_D019_Head	1		193|171|124|97	1	255|255|255|91	1	247|246|245|8	1																			103
1161	Player/Characters/M1/Prefab/M1_D020_Head.prefab		head	M1标男等级装T20·白金装																															103
1201	Player/Characters/M1/Prefab/M1_D001_Head.prefab	151201	head	M1标男等级装T1·偏色1																															103
1202	Player/Characters/M1/Prefab/M1_D001_Head.prefab	151202	head	M1标男等级装T1·偏色2																															103
1203	Player/Characters/M1/Prefab/M1_D001_Head.prefab	151203	head	M1标男等级装T1·偏色3																															103
1204	Player/Characters/M1/Prefab/M1_D004_Head.prefab	151204	head	M1标男等级装T2·偏色1																															103
1205	Player/Characters/M1/Prefab/M1_D004_Head.prefab	151205	head	M1标男等级装T2·偏色2																															103
1206	Player/Characters/M1/Prefab/M1_D004_Head.prefab	151206	head	M1标男等级装T2·偏色3																															103
1207	Player/Characters/M1/Prefab/M1_D003_Head.prefab	151207	head	M1标男等级装T3·偏色1																															103
1208	Player/Characters/M1/Prefab/M1_D003_Head.prefab	151208	head	M1标男等级装T3·偏色2																															103
1209	Player/Characters/M1/Prefab/M1_D003_Head.prefab	151209	head	M1标男等级装T3·偏色3																															103
1210	Player/Characters/M1/Prefab/M1_D006_Head.prefab	151210	head	M1标男等级装T4·偏色1																															103
1211	Player/Characters/M1/Prefab/M1_D006_Head.prefab	151211	head	M1标男等级装T4·偏色2																															103
1212	Player/Characters/M1/Prefab/M1_D006_Head.prefab	151212	head	M1标男等级装T4·偏色3																															103
1213	Player/Characters/M1/Prefab/M1_D011_Head.prefab	151213	head	M1标男等级装T5·偏色1																															103
1214	Player/Characters/M1/Prefab/M1_D011_Head.prefab	151214	head	M1标男等级装T5·偏色2																															103
1215	Player/Characters/M1/Prefab/M1_D011_Head.prefab	151215	head	M1标男等级装T5·偏色3																															103
1216	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151216	head	M1标男等级装T6·偏色1																															103
1217	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151217	head	M1标男等级装T6·偏色2																															103
1218	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151218	head	M1标男等级装T6·偏色3																															103
1219	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151219	head	M1标男等级装T7·偏色1																															103
1220	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151220	head	M1标男等级装T7·偏色2																															103
1221	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151221	head	M1标男等级装T7·偏色3																															103
1222	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151222	head	M1标男等级装T8·偏色1																															103
1223	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151223	head	M1标男等级装T8·偏色2																															103
1224	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151224	head	M1标男等级装T8·偏色3																															103
1225	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151225	head	M1标男等级装T9·偏色1																															103
1226	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151226	head	M1标男等级装T9·偏色2																															103
1227	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151227	head	M1标男等级装T9·偏色3																															103
1228	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151228	head	M1标男等级装T10·偏色1																															103
1229	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151229	head	M1标男等级装T10·偏色2																															103
1230	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151230	head	M1标男等级装T10·偏色3																															103
1231	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151231	head	M1标男等级装T11·偏色1																															103
1232	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151232	head	M1标男等级装T11·偏色2																															103
1233	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151233	head	M1标男等级装T11·偏色3																															103
1234	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151234	head	M1标男等级装T12·偏色1																															103
1235	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151235	head	M1标男等级装T12·偏色2																															103
1236	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151236	head	M1标男等级装T12·偏色3																															103
1237	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151237	head	M1标男等级装T13·偏色1																															103
1238	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151238	head	M1标男等级装T13·偏色2																															103
1239	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151239	head	M1标男等级装T13·偏色3																															103
1241	Player/Characters/M1/Prefab/M1_D001_Head.prefab	151241	head	M1标男等级装T1·偏色4																															103
1242	Player/Characters/M1/Prefab/M1_D004_Head.prefab	151242	head	M1标男等级装T2·偏色4																															103
1243	Player/Characters/M1/Prefab/M1_D003_Head.prefab	151243	head	M1标男等级装T3·偏色4																															103
1244	Player/Characters/M1/Prefab/M1_D006_Head.prefab	151244	head	M1标男等级装T4·偏色4																															103
1245	Player/Characters/M1/Prefab/M1_D011_Head.prefab	151245	head	M1标男等级装T5·偏色4																															103
1246	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151246	head	M1标男等级装T6·偏色4																															103
1247	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151247	head	M1标男等级装T7·偏色4																															103
1248	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151248	head	M1标男等级装T8·偏色4																															103
1249	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151249	head	M1标男等级装T9·偏色4																															103
1250	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151250	head	M1标男等级装T10·偏色4																															103
1251	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151251	head	M1标男等级装T11·偏色4																															103
1252	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151252	head	M1标男等级装T12·偏色4																															103
1253	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151253	head	M1标男等级装T13·偏色4																															103
1257	Player/Characters/M1/Prefab/M1_D017_Head.prefab		head	M1标男等级装T17·偏色4		1		M1_D017_Head	0		255|255|255|88	1	43|39|39|32	1	238|253|255|53	1																			103
1258	Player/Characters/M1/Prefab/M1_D018_Head.prefab		head	M1标男等级装T18·偏色4				M1_D018_Head	1		255|223|142|48	1	255|255|255|255	1	35|29|29|97	1																			103
1259	Player/Characters/M1/Prefab/M1_D019_Head.prefab		head	M1标男等级装T19·偏色4				M1_D019_Head	1		208|195|125|97	1	255|255|255|222	1	39|34|30|74	1																			103
1261	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14·偏色1				M1_D014_Head	1		234|192|117|67	1	28|22|22|90	1	48|48|48|52	1																			103
1262	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14·偏色2				M1_D014_Head	1		245|169|101|67	1	27|28|22|90	1	213|213|213|26	1																			103
1263	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14·偏色3				M1_D014_Head	1		224|225|206|40	1.07	22|23|28|90	1	119|124|219|26	1.14																			103
1264	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15·偏色1				M1_D015_Head	1		253|202|98|34	1	80|62|43|21	1	84|78|70|117	4.43																			103
1265	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15·偏色2				M1_D015_Head	1		253|208|98|34	1	63|47|43|21	1	14|101|61|117	3.05																			103
1266	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15·偏色3				M1_D015_Head	1		224|238|238|34	1.14	76|51|39|21	1.1	101|88|14|117	3.05																			103
1267	Player/Characters/M1/Prefab/M1_D016_Head.prefab		head	M1标男等级装T16·偏色1				M1_D016_Head	1		249|172|75|75	1	56|47|41|23	1	151|136|136|128	1																			103
1268	Player/Characters/M1/Prefab/M1_D016_Head.prefab		head	M1标男等级装T16·偏色2				M1_D016_Head	1		253|255|254|55	1	56|47|41|23	1	200|48|48|128	1.61																			103
1269	Player/Characters/M1/Prefab/M1_D016_Head.prefab		head	M1标男等级装T16·偏色3				M1_D016_Head	1		249|221|130|69	1	56|47|41|23	1	48|200|162|128	1.61																			103
1270	Player/Characters/M1/Prefab/M1_D017_Head.prefab		head	M1标男等级装T17·偏色1		1		M1_D017_Head	0		255|255|255|88	1	43|39|39|32	1	251|72|72|53	1																			103
1271	Player/Characters/M1/Prefab/M1_D017_Head.prefab		head	M1标男等级装T17·偏色2		1		M1_D017_Head	0		255|255|255|88	1	43|39|39|32	1	82|183|255|53	1																			103
1272	Player/Characters/M1/Prefab/M1_D017_Head.prefab		head	M1标男等级装T17·偏色3		1		M1_D017_Head	0		255|255|255|88	1	43|39|39|32	1	238|253|255|53	1																			103
1273	Player/Characters/M1/Prefab/M1_D018_Head.prefab		head	M1标男等级装T18·偏色1				M1_D018_Head	1		255|247|189|48	1	251|38|38|141	1	35|29|29|97	1																			103
1274	Player/Characters/M1/Prefab/M1_D018_Head.prefab		head	M1标男等级装T18·偏色2		1		M1_D018_Head	0		211|255|255|48	1	255|255|255|141	1	35|29|29|97	1																			103
1275	Player/Characters/M1/Prefab/M1_D018_Head.prefab		head	M1标男等级装T18·偏色3				M1_D018_Head	1		255|208|106|48	1	254|255|238|188	1	35|29|29|97	1																			103
1276	Player/Characters/M1/Prefab/M1_D019_Head.prefab		head	M1标男等级装T19·偏色1				M1_D019_Head	1		229|235|240|97	1	255|255|255|222	1	39|34|30|74	1																			103
1277	Player/Characters/M1/Prefab/M1_D019_Head.prefab		head	M1标男等级装T19·偏色2				M1_D019_Head	1		206|190|100|97	1	255|255|255|222	1	39|34|30|74	1																			103
1278	Player/Characters/M1/Prefab/M1_D019_Head.prefab		head	M1标男等级装T19·偏色3				M1_D019_Head	1		181|179|164|97	1	255|255|255|222	1	39|34|30|74	1																			103
2001	Player/Characters/M2/Prefab/M2_D011_Head.prefab	152001	head	M2壮男等级装T1																															104
2002	Player/Characters/M2/Prefab/M2_D004_Head.prefab	152002	head	M2壮男等级装T2																															104
2003	Player/Characters/M2/Prefab/M2_D010_Head.prefab	152003	head	M2壮男等级装T3																															104
2004	Player/Characters/M2/Prefab/M2_D002_Head.prefab	152004	head	M2壮男等级装T4																															104
2005	Player/Characters/M2/Prefab/M2_D007_Head.prefab	152005	head	M2壮男等级装T5																															104
2006	Player/Characters/M2/Prefab/M2_D001_Head.prefab	152006	head	M2壮男等级装T6																															104
2007	Player/Characters/M2/Prefab/M2_D005_Head.prefab	152007	head	M2壮男等级装T7																															104
2008	Player/Characters/M2/Prefab/M2_D003_Head.prefab	152008	head	M2壮男等级装T8																															104
2009	Player/Characters/M2/Prefab/M2_D012_Head.prefab	152009	head	M2壮男等级装T9																															104
2010	Player/Characters/M2/Prefab/M2_D006_Head.prefab	152010	head	M2壮男等级装T10																															104
2011	Player/Characters/M2/Prefab/M2_D009_Head.prefab	152011	head	M2壮男等级装T11																															104
2012	Player/Characters/M2/Prefab/M2_D013_Head.prefab	152012	head	M2壮男等级装T12																															104
2013	Player/Characters/M2/Prefab/M2_D008_Head.prefab	152013	head	M2壮男等级装T13																															104
2014	Player/Characters/M2/Prefab/M2_D014_Head.prefab		head	M2壮男等级装T14		1		M2_D014_Head	0		255|255|255|50	1	30|25|22|65	1	64|46|32|0	1																			104
2015	Player/Characters/M2/Prefab/M2_D015_Head.prefab		head	M2壮男等级装T15				M2_D015_Head	1		255|255|255|41	1	60|47|47|23	1	255|255|255|66	1																			104
2016	Player/Characters/M2/Prefab/M2_D016_Head.prefab		head	M2壮男等级装T16				M2_D016_Head	1		255|255|255|192	1	178|171|77|255	1	31|28|25|49	1																			104
2017	Player/Characters/M2/Prefab/M2_D017_Head.prefab		head	M2壮男等级装T17		1		M2_D017_Head	0		255|255|255|37	1	32|29|25|75	1	255|255|255|113	1																			104
2018	Player/Characters/M2/Prefab/M2_D018_Head.prefab		head	M2壮男等级装T18				M2_D018_Head	1		255|255|255|66	1	255|255|255|83	1	48|48|48|10	1																			104
2019	Player/Characters/M2/Prefab/M2_D019_Head.prefab		head	M2壮男等级装T19		1		M2_D019_Head	0		255|255|255|121	1	56|52|47|16	1	255|255|255|99	1																			104
2020	Player/Characters/M2/Prefab/M2_D020_Head.prefab		head	M2壮男等级装T20																															104
2101	Player/Characters/M2/Prefab/M2_D001_Head.prefab	152101	head	M2壮男等级装T6·黄金装																															104
2102	Player/Characters/M2/Prefab/M2_D005_Head.prefab	152102	head	M2壮男等级装T7·黄金装																															104
2103	Player/Characters/M2/Prefab/M2_D003_Head.prefab	152103	head	M2壮男等级装T8·黄金装																															104
2104	Player/Characters/M2/Prefab/M2_D012_Head.prefab	152104	head	M2壮男等级装T9·黄金装																															104
2105	Player/Characters/M2/Prefab/M2_D006_Head.prefab	152105	head	M2壮男等级装T10·黄金装																															104
2106	Player/Characters/M2/Prefab/M2_D009_Head.prefab	152106	head	M2壮男等级装T11·黄金装																															104
2107	Player/Characters/M2/Prefab/M2_D013_Head.prefab	152107	head	M2壮男等级装T12·黄金装																															104
2108	Player/Characters/M2/Prefab/M2_D008_Head.prefab	152108	head	M2壮男等级装T13·黄金装																															104
2109	Player/Characters/M2/Prefab/M2_D014_Head.prefab		head	M2壮男等级装T14·黄金装		1		M2_D014_Head	0		255|249|54|50	1.14	33|33|33|0	1.27	89|72|72|0	1																			104
2110	Player/Characters/M2/Prefab/M2_D015_Head.prefab		head	M2壮男等级装T15·黄金装				M2_D015_Head	1		255|255|255|41	1	219|219|219|0	1	166|144|87|77	1																			104
2111	Player/Characters/M2/Prefab/M2_D016_Head.prefab		head	M2壮男等级装T16·黄金装				M2_D016_Head	1		255|167|35|236	1	255|250|217|182	1.33	31|28|25|49	1																			104
2112	Player/Characters/M2/Prefab/M2_D017_Head.prefab		head	M2壮男等级装T17·黄金装				M2_D017_Head	1		255|218|121|37	1.22	32|29|25|75	1	221|221|221|113	1.37																			104
2113	Player/Characters/M2/Prefab/M2_D018_Head.prefab		head	M2壮男等级装T18·黄金装				M2_D018_Head	1		255|240|178|66	1	255|255|255|83	1	48|48|48|10	1																			104
2114	Player/Characters/M2/Prefab/M2_D019_Head.prefab		head	M2壮男等级装T19·黄金装				M2_D019_Head	1		240|235|195|121	1	56|52|47|16	1	253|206|11|99	2.96																			104
2115	Player/Characters/M2/Prefab/M2_D020_Head.prefab		head	M2壮男等级装T20·黄金装																															104
2151	Player/Characters/M2/Prefab/M2_D006_Head.prefab		head	M2壮男等级装T10·白金装				M2_D006_Head	1		255|255|255|69	1	255|255|255|47	1.4	240|230|220|0	1.12																			104
2152	Player/Characters/M2/Prefab/M2_D009_Head.prefab		head	M2壮男等级装T11·白金装				M2_D009_Head	1		249|210|152|255	1.1	217|207|198|53	1.3	251|246|230|169	1.22																			104
2153	Player/Characters/M2/Prefab/M2_D013_Head.prefab		head	M2壮男等级装T12·白金装				M2_D013_Head	1		236|195|123|160	1.29	243|230|209|29	1.25	243|236|229|16	1.03																			104
2154	Player/Characters/M2/Prefab/M2_D008_Head.prefab		head	M2壮男等级装T13·白金装				M2_D008_Head	1		255|249|236|35	0.85	245|232|218|8	1.1	249|204|124|255	1.67																			104
2155	Player/Characters/M2/Prefab/M2_D014_Head.prefab		head	M2壮男等级装T14·白金装				M2_D014_Head	1		251|224|190|50	1.22	245|232|214|15	1.2	236|236|236|0	1																			104
2156	Player/Characters/M2/Prefab/M2_D015_Head.prefab		head	M2壮男等级装T15·白金装				M2_D015_Head	1		255|255|255|29	1	228|222|211|2	1	255|255|255|66	1																			104
2157	Player/Characters/M2/Prefab/M2_D016_Head.prefab		head	M2壮男等级装T16·白金装				M2_D016_Head	1		245|210|148|51	1.07	255|247|234|32	2.25	243|234|222|0	1																			104
2158	Player/Characters/M2/Prefab/M2_D017_Head.prefab		head	M2壮男等级装T17·白金装				M2_D017_Head	1		255|218|121|37	1.22	253|253|253|0	1	249|196|100|113	1.57																			104
2159	Player/Characters/M2/Prefab/M2_D018_Head.prefab		head	M2壮男等级装T18·白金装				M2_D018_Head	1		255|245|208|66	1	255|255|255|15	0.98	210|207|202|10	1																			104
2160	Player/Characters/M2/Prefab/M2_D019_Head.prefab		head	M2壮男等级装T19·白金装				M2_D019_Head	1		255|204|140|43	1.07	255|255|255|0	1	247|218|156|99	2.96																			104
2161	Player/Characters/M2/Prefab/M2_D020_Head.prefab		head	M2壮男等级装T20·白金装																															104
2201	Player/Characters/M2/Prefab/M2_D011_Head.prefab	152201	head	M2壮男等级装T1·偏色1																															104
2202	Player/Characters/M2/Prefab/M2_D011_Head.prefab	152202	head	M2壮男等级装T1·偏色2																															104
2203	Player/Characters/M2/Prefab/M2_D011_Head.prefab	152203	head	M2壮男等级装T1·偏色3																															104
2204	Player/Characters/M2/Prefab/M2_D004_Head.prefab	152204	head	M2壮男等级装T2·偏色1																															104
2205	Player/Characters/M2/Prefab/M2_D004_Head.prefab	152205	head	M2壮男等级装T2·偏色2																															104
2206	Player/Characters/M2/Prefab/M2_D004_Head.prefab	152206	head	M2壮男等级装T2·偏色3																															104
2207	Player/Characters/M2/Prefab/M2_D010_Head.prefab	152207	head	M2壮男等级装T3·偏色1																															104
2208	Player/Characters/M2/Prefab/M2_D010_Head.prefab	152208	head	M2壮男等级装T3·偏色2																															104
2209	Player/Characters/M2/Prefab/M2_D010_Head.prefab	152209	head	M2壮男等级装T3·偏色3																															104
2210	Player/Characters/M2/Prefab/M2_D002_Head.prefab	152210	head	M2壮男等级装T4·偏色1																															104
2211	Player/Characters/M2/Prefab/M2_D002_Head.prefab	152211	head	M2壮男等级装T4·偏色2																															104
