ResId	ResFile	ResFile2	ResAttribID	ResAttribID2	ResSlot	ResSlot2	Desc	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3	SlotName3	SlotGray3	SlotMinCast3	Slot3Color1	Slot3Light1	Slot3Color2	Slot3Light2	Slot3Color3	Slot3Light3	DynamicBoneIndex
60	Player/Doodads/weapons/Prefabs/f3_d011_l.prefab	Player/Doodads/weapons/Prefabs/f3_d011_r.prefab			B_LH	B_RH	天忍武器10		1	0.1	f3_d011_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f3_d011_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
61		Player/Doodads/weapons/Prefabs/m4_w002.prefab			B_LH	B_RH	少林武器1																															
62		Player/Doodads/weapons/Prefabs/m4_w003.prefab			B_LH	B_RH	少林武器2																															
63		Player/Doodads/weapons/Prefabs/m4_w004.prefab			B_LH	B_RH	少林武器3																															
64		Player/Doodads/weapons/Prefabs/m4_w005.prefab			B_LH	B_RH	少林武器4																															
65		Player/Doodads/weapons/Prefabs/m4_w006.prefab			B_LH	B_RH	少林武器5																															
66		Player/Doodads/weapons/Prefabs/m4_w007.prefab			B_LH	B_RH	少林武器6																															
67		Player/Doodads/weapons/Prefabs/m4_w009.prefab			B_LH	B_RH	少林武器7																															
68		Player/Doodads/weapons/Prefabs/m4_w008.prefab			B_LH	B_RH	少林武器8																															
69		Player/Doodads/weapons/Prefabs/m4_w010.prefab			B_LH	B_RH	少林武器9		1	0.1	m4_w010	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
70		Player/Doodads/weapons/Prefabs/m4_w011.prefab			B_LH	B_RH	少林武器10			0.1	m4_w011	4		195|184|156|198		247|195|118|211		255|255|255|255																				
71		Player/Doodads/weapons/Prefabs/f4_k005.prefab			B_LH	B_RH	翠烟武器1																															
72		Player/Doodads/weapons/Prefabs/f4_k006.prefab			B_LH	B_RH	翠烟武器2																															
73		Player/Doodads/weapons/Prefabs/f4_k002.prefab			B_LH	B_RH	翠烟武器3																															
74		Player/Doodads/weapons/Prefabs/f4_k003.prefab			B_LH	B_RH	翠烟武器4																															
75		Player/Doodads/weapons/Prefabs/f4_k004.prefab			B_LH	B_RH	翠烟武器5																															
76		Player/Doodads/weapons/Prefabs/f4_k007.prefab			B_LH	B_RH	翠烟武器6																															
77		Player/Doodads/weapons/Prefabs/f4_k008.prefab			B_LH	B_RH	翠烟武器7																															
78		Player/Doodads/weapons/Prefabs/f4_k009.prefab			B_LH	B_RH	翠烟武器8																															
79		Player/Doodads/weapons/Prefabs/f4_k010.prefab			B_LH	B_RH	翠烟武器9		1	0.1	f4_k010	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
80		Player/Doodads/weapons/Prefabs/f4_k011.prefab			B_LH	B_RH	翠烟武器10		1	0.1	f4_k011	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
101	Player/Doodads/weapons/Prefabs/m2_h007.prefab	Player/Doodads/weapons/Prefabs/m2_h007.prefab			B_LH	B_RH	天王男出生武器																															
102		Player/Doodads/weapons/Prefabs/f2_s001.prefab			B_LH	B_RH	峨眉出生武器																															
103	Player/Doodads/weapons/Prefabs/f1_a001.prefab				B_LH	B_RH	桃花出生武器																															
104		Player/Doodads/weapons/Prefabs/m1_l001.prefab			B_LH	B_RH	逍遥出生武器																															
105	Player/Doodads/weapons/Prefabs/m3_s001_L.prefab	Player/Doodads/weapons/Prefabs/m3_s001_R.prefab			B_LH	B_RH	武当出生武器																															
106	Player/Doodads/weapons/Prefabs/f3_d001_l.prefab	Player/Doodads/weapons/Prefabs/f3_d001_r.prefab			B_LH	B_RH	天忍出生武器																															
107		Player/Doodads/weapons/Prefabs/m4_w001.prefab			B_LH	B_RH	少林出生武器																															
108		Player/Doodads/weapons/Prefabs/f4_k001.prefab			B_LH	B_RH	翠烟出生武器																															
109		Player/Doodads/weapons/Prefabs/m5_a001_r.prefab			B_LH	B_RH	唐门出生武器		1	0.1	m5_a001_l	0	0.1	255|241|241|255		255|255|255|255		196|226|255|255		m5_a001_r	0	0.1	255|241|241|255		255|255|255|255		196|226|255|255											
110	Player/Doodads/weapons/Prefabs/f5_s001_l.prefab	Player/Doodads/weapons/Prefabs/f5_s001_r.prefab			B_LH	B_RH	昆仑出生武器		1	0.1	f5_s001_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s001_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
111		Player/Doodads/weapons/Prefabs/m6_h001.prefab			B_LH	B_RH	丐帮出生武器		1	0.1	m6_h001	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
112		Player/Doodads/weapons/Prefabs/f6_h001.prefab			B_LH	B_RH	五毒出生武器		1	0.1	f6_h001	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
113	Player/Doodads/weapons/Prefabs/m7_s001_l.prefab	Player/Doodads/weapons/Prefabs/m7_s001_r.prefab			B_LH	B_RH	藏剑出生武器		1	0.1	m7_s001_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		m7_s001_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
114		Player/Doodads/weapons/Prefabs/f7_s001.prefab			B_LH	B_RH	长歌出生武器		1	0.1	f7_s001	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
115	Player/Doodads/weapons/Prefabs/f8_q001.prefab				B_LH	B_RH	天山出生武器		1		f8_q001	0		255|255|255|255		255|255|255|255		255|255|255|255																				
116		Player/Doodads/weapons/Prefabs/f9_w001.prefab			B_LH	B_RH	霸刀男出生武器		1		f9_w001	0		255|255|255|255		255|255|255|255		255|255|255|255																				
117		Player/Doodads/weapons/Prefabs/f9_w001.prefab			B_LH	B_RH	霸刀女出生武器	0.85	1		f9_w001	0		255|255|255|255		255|255|255|255		255|255|255|255																				
118		Player/Doodads/weapons/Prefabs/f10_h001.prefab			B_LH	B_RH	华山出生武器		1		f10_h001	0		255|255|255|255		255|255|255|255		255|255|255|255																				
119	Player/Doodads/weapons/Prefabs/f11_m001_l.prefab	Player/Doodads/weapons/Prefabs/f11_m001_r.prefab			B_LH	B_RH	明教出生武器		1		f11_m001_l	0		255|255|255|255		255|255|255|255		255|255|255|255		f11_m001_r	0		255|255|255|255		255|255|255|255		255|255|255|255											
120	Player/Doodads/weapons/Prefabs/m2_h007.prefab	Player/Doodads/weapons/Prefabs/m2_h007.prefab			B_LH	B_RH	天王女出生武器	0.8																														
121		Player/Doodads/weapons/Prefabs/f12_d001.prefab			B_LH	B_RH	段氏男出生武器		1		f12_d001	0		255|255|255|255		255|255|255|255		255|255|255|255																				
122		Player/Doodads/weapons/Prefabs/f12_d001.prefab			B_LH	B_RH	段氏女出生武器	0.8	1		f12_d001	0		255|255|255|255		255|255|255|255		255|255|255|255																				
123		Player/Doodads/weapons/Prefabs/f13_w001.prefab			B_LH	B_RH	万花出生武器		1		f13_w001	0		255|255|255|255		255|255|255|255		255|255|255|255																				201
124		Player/Doodads/weapons/Prefabs/m6_h001.prefab			B_LH	B_RH	丐帮女出生武器	0.8	1	0.1	m6_h001	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
125	Player/Doodads/weapons/Prefabs/f14_y001_l.prefab	Player/Doodads/weapons/Prefabs/f14_y001_r.prefab			B_LH	B_RH	杨门出生武器																															
301	Player/Doodads/weapons/Prefabs/KondWeapons.prefab				B_LH	B_RH	空武器																															
302	Player/Doodads/weapons/Prefabs/yugan01.prefab				B_LH	B_RH	标男鱼竿																															
303	Player/Doodads/weapons/Prefabs/yugan01.prefab				B_LH	B_RH	萝莉鱼竿	0.7																														
601		Player/Doodads/weapons/Prefabs/m5_a002_r.prefab			B_LH	B_RH	唐门武器1		1	0.1	m5_a002_l	0	0.1	255|189|119|255		255|255|255|255		209|249|199|255		m5_a002_r	0	0.1	255|189|119|255		255|255|255|255		209|249|199|255											
602		Player/Doodads/weapons/Prefabs/m5_a003_r.prefab			B_LH	B_RH	唐门武器2		1	0.1	m5_a003_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		m5_a003_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
603		Player/Doodads/weapons/Prefabs/m5_a004_r.prefab			B_LH	B_RH	唐门武器3		1	0.1	m5_a004_l	0	0.1	255|255|255|255		255|255|255|255		165|217|123|255		m5_a004_r	0	0.1	255|255|255|255		255|255|255|255		165|217|123|255											
604		Player/Doodads/weapons/Prefabs/m5_a005_r.prefab			B_LH	B_RH	唐门武器4			0.1	m5_a005_l	4	0.1	255|196|43|99		255|255|255|255		255|255|255|255		m5_a005_r	4	0.1	255|196|43|99		255|255|255|255		255|255|255|255											
605		Player/Doodads/weapons/Prefabs/m5_a009_r.prefab			B_LH	B_RH	唐门武器8			0.1	m5_a009_l	4	0.1	85|202|232|255		255|253|253|255		255|209|179|255		m5_a009_r	4	0.1	85|202|232|255		255|253|253|255		255|209|179|255											
606		Player/Doodads/weapons/Prefabs/m5_a007_r.prefab			B_LH	B_RH	唐门武器6			0.1	m5_a007_l	4	0.1	255|255|255|168		152|133|157|141		253|184|214|255		m5_a007_r	4	0.1	255|255|255|168		152|133|157|141		253|184|214|255											
607		Player/Doodads/weapons/Prefabs/m5_a006_r.prefab			B_LH	B_RH	唐门武器5		1	0.1	m5_a006_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		m5_a006_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
608		Player/Doodads/weapons/Prefabs/m5_a008_r.prefab			B_LH	B_RH	唐门武器7			0.1	m5_a008_l	4	0.1	166|166|166|208		255|207|121|255		110|110|110|78		m5_a008_r	4	0.1	166|166|166|208		255|207|121|255		110|110|110|78											
609		Player/Doodads/weapons/Prefabs/m5_a010_r.prefab			B_LH	B_RH	唐门武器9		1	0.1	m5_a010_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		m5_a010_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
610		Player/Doodads/weapons/Prefabs/m5_a011_r.prefab			B_LH	B_RH	唐门武器10		1	0.1	m5_a011_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		m5_a011_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
611	Player/Doodads/weapons/Prefabs/f5_s002_l.prefab	Player/Doodads/weapons/Prefabs/f5_s002_r.prefab			B_LH	B_RH	昆仑武器1		1	0.1	f5_s002_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s002_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
612	Player/Doodads/weapons/Prefabs/f5_s003_l.prefab	Player/Doodads/weapons/Prefabs/f5_s003_r.prefab			B_LH	B_RH	昆仑武器2		1	0.1	f5_s003_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s003_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
613	Player/Doodads/weapons/Prefabs/f5_s004_l.prefab	Player/Doodads/weapons/Prefabs/f5_s004_r.prefab			B_LH	B_RH	昆仑武器3		1	0.1	f5_s004_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s004_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
614	Player/Doodads/weapons/Prefabs/f5_s005_l.prefab	Player/Doodads/weapons/Prefabs/f5_s005_r.prefab			B_LH	B_RH	昆仑武器4		1	0.1	f5_s005_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s005_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
615	Player/Doodads/weapons/Prefabs/f5_s006_l.prefab	Player/Doodads/weapons/Prefabs/f5_s006_r.prefab			B_LH	B_RH	昆仑武器5		1	0.1	f5_s006_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s006_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
616	Player/Doodads/weapons/Prefabs/f5_s007_l.prefab	Player/Doodads/weapons/Prefabs/f5_s007_r.prefab			B_LH	B_RH	昆仑武器6		1	0.1	f5_s007_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s007_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
617	Player/Doodads/weapons/Prefabs/f5_s008_l.prefab	Player/Doodads/weapons/Prefabs/f5_s008_r.prefab			B_LH	B_RH	昆仑武器7		1	0.1	f5_s008_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s008_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
618	Player/Doodads/weapons/Prefabs/f5_s009_l.prefab	Player/Doodads/weapons/Prefabs/f5_s009_r.prefab			B_LH	B_RH	昆仑武器8		1	0.1	f5_s009_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s009_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
619	Player/Doodads/weapons/Prefabs/f5_s010_l.prefab	Player/Doodads/weapons/Prefabs/f5_s010_r.prefab			B_LH	B_RH	昆仑武器9		1	0.1	f5_s010_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s010_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
620	Player/Doodads/weapons/Prefabs/f5_s011_l.prefab	Player/Doodads/weapons/Prefabs/f5_s011_r.prefab			B_LH	B_RH	昆仑武器10		1	0.1	f5_s011_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		f5_s011_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
621		Player/Doodads/weapons/Prefabs/m6_h002.prefab			B_LH	B_RH	丐帮武器1		1	0.1	m6_h002	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
622		Player/Doodads/weapons/Prefabs/m6_h003.prefab			B_LH	B_RH	丐帮武器2		1	0.1	m6_h003	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
623		Player/Doodads/weapons/Prefabs/m6_h004.prefab			B_LH	B_RH	丐帮武器3		1	0.1	m6_h004	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
624		Player/Doodads/weapons/Prefabs/m6_h005.prefab			B_LH	B_RH	丐帮武器4		1	0.1	m6_h005	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
625		Player/Doodads/weapons/Prefabs/m6_h006.prefab			B_LH	B_RH	丐帮武器5			0.5	m6_h006	4	0.5	148|193|255|69		180|108|255|10		126|87|247|0																				
626		Player/Doodads/weapons/Prefabs/m6_h007.prefab			B_LH	B_RH	丐帮武器6		1	0.1	m6_h007	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
627		Player/Doodads/weapons/Prefabs/m6_h008.prefab			B_LH	B_RH	丐帮武器7		1	0.1	m6_h008	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
628		Player/Doodads/weapons/Prefabs/m6_h009.prefab			B_LH	B_RH	丐帮武器8		1	0.1	m6_h009	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
629		Player/Doodads/weapons/Prefabs/m6_h010.prefab			B_LH	B_RH	丐帮武器9		1	0.1	m6_h010	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
630		Player/Doodads/weapons/Prefabs/m6_h011.prefab			B_LH	B_RH	丐帮武器10		1	0.1	m6_h011	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
631		Player/Doodads/weapons/Prefabs/f6_h002.prefab			B_LH	B_RH	五毒武器1		1	0.1	f6_h002	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
632		Player/Doodads/weapons/Prefabs/f6_h003.prefab			B_LH	B_RH	五毒武器2		1	0.1	f6_h003	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
633		Player/Doodads/weapons/Prefabs/f6_h004.prefab			B_LH	B_RH	五毒武器3		1	0.1	f6_h004	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
634		Player/Doodads/weapons/Prefabs/f6_h005.prefab			B_LH	B_RH	五毒武器4		1	0.1	f6_h005	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
635		Player/Doodads/weapons/Prefabs/f6_h006.prefab			B_LH	B_RH	五毒武器5		1	0.1	f6_h006	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
636		Player/Doodads/weapons/Prefabs/f6_h007.prefab			B_LH	B_RH	五毒武器6		1	0.1	f6_h007	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
637		Player/Doodads/weapons/Prefabs/f6_h008.prefab			B_LH	B_RH	五毒武器7		1	0.1	f6_h008	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
638		Player/Doodads/weapons/Prefabs/f6_h009.prefab			B_LH	B_RH	五毒武器8		1	0.1	f6_h009	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
639		Player/Doodads/weapons/Prefabs/f6_h010.prefab			B_LH	B_RH	五毒武器9		1	0.1	f6_h010	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255																				
640		Player/Doodads/weapons/Prefabs/f6_h011.prefab			B_LH	B_RH	五毒武器10		1	0.5	f6_h011	0	0.5	255|255|255|255		255|255|255|255		255|255|255|255																				
641	Player/Doodads/weapons/Prefabs/m7_s002_l.prefab	Player/Doodads/weapons/Prefabs/m7_s002_r.prefab			B_LH	B_RH	藏剑武器1		1	0.1	m7_s002_l	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255		m7_s002_r	0	0.1	255|255|255|255		255|255|255|255		255|255|255|255											
