PartId	NormalResId	Desc
1	14515	霸刀女外装武器3B·颜色2
1	14516	霸刀女外装武器3B·颜色3
1	14517	霸刀女外装武器3B·颜色4
1	13014	天王女外装武器3B·颜色1
1	13015	天王女外装武器3B·颜色2
1	13016	天王女外装武器3B·颜色3
1	13017	天王女外装武器3B·颜色4
1	14814	段氏女外装武器3B·颜色1
1	14815	段氏女外装武器3B·颜色2
1	14816	段氏女外装武器3B·颜色3
1	14817	段氏女外装武器3B·颜色4
1	14914	万花女外装武器3B·颜色1
1	14915	万花女外装武器3B·颜色2
1	14916	万花女外装武器3B·颜色3
1	14917	万花女外装武器3B·颜色4
1	14014	丐帮女外装武器3B·颜色1
1	14015	丐帮女外装武器3B·颜色2
1	14016	丐帮女外装武器3B·颜色3
1	14017	丐帮女外装武器3B·颜色4
1	3026	天王外装武器4B·颜色1
1	3027	天王外装武器4B·颜色2
1	3028	天王外装武器4B·颜色3
1	3029	天王外装武器4B·颜色4
1	3030	天王外装武器4B·颜色5
1	3031	天王外装武器4B·颜色6
1	3032	天王外装武器4B·颜色7
1	3033	天王外装武器4B·颜色8
1	3126	峨眉外装武器4B·颜色1
1	3127	峨眉外装武器4B·颜色2
1	3128	峨眉外装武器4B·颜色3
1	3129	峨眉外装武器4B·颜色4
1	3130	峨眉外装武器4B·颜色5
1	3131	峨眉外装武器4B·颜色6
1	3132	峨眉外装武器4B·颜色7
1	3133	峨眉外装武器4B·颜色8
1	3226	桃花外装武器4B·颜色1
1	3227	桃花外装武器4B·颜色2
1	3228	桃花外装武器4B·颜色3
1	3229	桃花外装武器4B·颜色4
1	3230	桃花外装武器4B·颜色5
1	3231	桃花外装武器4B·颜色6
1	3232	桃花外装武器4B·颜色7
1	3233	桃花外装武器4B·颜色8
1	3326	逍遥外装武器4B·颜色1
1	3327	逍遥外装武器4B·颜色2
1	3328	逍遥外装武器4B·颜色3
1	3329	逍遥外装武器4B·颜色4
1	3330	逍遥外装武器4B·颜色5
1	3331	逍遥外装武器4B·颜色6
1	3332	逍遥外装武器4B·颜色7
1	3333	逍遥外装武器4B·颜色8
1	3426	武当外装武器4B·颜色1
1	3427	武当外装武器4B·颜色2
1	3428	武当外装武器4B·颜色3
1	3429	武当外装武器4B·颜色4
1	3430	武当外装武器4B·颜色5
1	3431	武当外装武器4B·颜色6
1	3432	武当外装武器4B·颜色7
1	3433	武当外装武器4B·颜色8
1	3526	天忍外装武器4B·颜色1
1	3527	天忍外装武器4B·颜色2
1	3528	天忍外装武器4B·颜色3
1	3529	天忍外装武器4B·颜色4
1	3530	天忍外装武器4B·颜色5
1	3531	天忍外装武器4B·颜色6
1	3532	天忍外装武器4B·颜色7
1	3533	天忍外装武器4B·颜色8
1	3626	少林外装武器4B·颜色1
1	3627	少林外装武器4B·颜色2
1	3628	少林外装武器4B·颜色3
1	3629	少林外装武器4B·颜色4
1	3630	少林外装武器4B·颜色5
1	3631	少林外装武器4B·颜色6
1	3632	少林外装武器4B·颜色7
1	3633	少林外装武器4B·颜色8
1	3726	翠烟外装武器4B·颜色1
1	3727	翠烟外装武器4B·颜色2
1	3728	翠烟外装武器4B·颜色3
1	3729	翠烟外装武器4B·颜色4
1	3730	翠烟外装武器4B·颜色5
1	3731	翠烟外装武器4B·颜色6
1	3732	翠烟外装武器4B·颜色7
1	3733	翠烟外装武器4B·颜色8
1	3826	唐门外装武器4B·颜色1
1	3827	唐门外装武器4B·颜色2
1	3828	唐门外装武器4B·颜色3
1	3829	唐门外装武器4B·颜色4
1	3830	唐门外装武器4B·颜色5
1	3831	唐门外装武器4B·颜色6
1	3832	唐门外装武器4B·颜色7
1	3833	唐门外装武器4B·颜色8
1	3926	昆仑外装武器4B·颜色1
1	3927	昆仑外装武器4B·颜色2
1	3928	昆仑外装武器4B·颜色3
1	3929	昆仑外装武器4B·颜色4
1	3930	昆仑外装武器4B·颜色5
1	3931	昆仑外装武器4B·颜色6
1	3932	昆仑外装武器4B·颜色7
1	3933	昆仑外装武器4B·颜色8
1	4026	丐帮外装武器4B·颜色1
1	4027	丐帮外装武器4B·颜色2
1	4028	丐帮外装武器4B·颜色3
1	4029	丐帮外装武器4B·颜色4
1	4030	丐帮外装武器4B·颜色5
1	4031	丐帮外装武器4B·颜色6
1	4032	丐帮外装武器4B·颜色7
1	4033	丐帮外装武器4B·颜色8
1	4126	五毒外装武器4B·颜色1
1	4127	五毒外装武器4B·颜色2
1	4128	五毒外装武器4B·颜色3
1	4129	五毒外装武器4B·颜色4
1	4130	五毒外装武器4B·颜色5
1	4131	五毒外装武器4B·颜色6
1	4132	五毒外装武器4B·颜色7
1	4133	五毒外装武器4B·颜色8
1	4226	藏剑外装武器4B·颜色1
1	4227	藏剑外装武器4B·颜色2
1	4228	藏剑外装武器4B·颜色3
1	4229	藏剑外装武器4B·颜色4
1	4230	藏剑外装武器4B·颜色5
1	4231	藏剑外装武器4B·颜色6
1	4232	藏剑外装武器4B·颜色7
1	4233	藏剑外装武器4B·颜色8
1	4326	长歌外装武器4B·颜色1
1	4327	长歌外装武器4B·颜色1
1	4328	长歌外装武器4B·颜色1
1	4329	长歌外装武器4B·颜色1
1	4330	长歌外装武器4B·颜色1
1	4331	长歌外装武器4B·颜色1
1	4332	长歌外装武器4B·颜色1
1	4333	长歌外装武器4B·颜色1
1	4426	天山外装武器4B·颜色1
1	4427	天山外装武器4B·颜色2
1	4428	天山外装武器4B·颜色3
1	4429	天山外装武器4B·颜色4
1	4430	天山外装武器4B·颜色5
1	4431	天山外装武器4B·颜色6
1	4432	天山外装武器4B·颜色7
1	4433	天山外装武器4B·颜色8
1	4526	霸刀男外装武器4B·颜色1
1	4527	霸刀男外装武器4B·颜色2
1	4528	霸刀男外装武器4B·颜色3
1	4529	霸刀男外装武器4B·颜色4
1	4530	霸刀男外装武器4B·颜色5
1	4531	霸刀男外装武器4B·颜色6
1	4532	霸刀男外装武器4B·颜色7
1	4533	霸刀男外装武器4B·颜色8
1	4626	华山外装武器4B·颜色1
1	4627	华山外装武器4B·颜色2
1	4628	华山外装武器4B·颜色3
1	4629	华山外装武器4B·颜色4
1	4630	华山外装武器4B·颜色5
1	4631	华山外装武器4B·颜色6
1	4632	华山外装武器4B·颜色7
1	4633	华山外装武器4B·颜色8
1	4726	明教外装武器4B·颜色1
1	4727	明教外装武器4B·颜色2
1	4728	明教外装武器4B·颜色3
1	4729	明教外装武器4B·颜色4
1	4730	明教外装武器4B·颜色5
1	4731	明教外装武器4B·颜色6
1	4732	明教外装武器4B·颜色7
1	4733	明教外装武器4B·颜色8
1	4826	段氏外装武器4B·颜色1
1	4827	段氏外装武器4B·颜色2
1	4828	段氏外装武器4B·颜色3
1	4829	段氏外装武器4B·颜色4
1	4830	段氏外装武器4B·颜色5
1	4831	段氏外装武器4B·颜色6
1	4832	段氏外装武器4B·颜色7
1	4833	段氏外装武器4B·颜色8
1	4926	万花外装武器4B·颜色1
1	4927	万花外装武器4B·颜色2
1	4928	万花外装武器4B·颜色3
1	4929	万花外装武器4B·颜色4
1	4930	万花外装武器4B·颜色5
1	4931	万花外装武器4B·颜色6
1	4932	万花外装武器4B·颜色7
1	4933	万花外装武器4B·颜色8
1	14526	霸刀女外装武器4B·颜色1
1	14527	霸刀女外装武器4B·颜色2
1	14528	霸刀女外装武器4B·颜色3
1	14529	霸刀女外装武器4B·颜色4
1	14530	霸刀女外装武器4B·颜色5
1	14531	霸刀女外装武器4B·颜色6
1	14532	霸刀女外装武器4B·颜色7
1	14533	霸刀女外装武器4B·颜色8
1	13026	天王女外装武器4B·颜色1
1	13027	天王女外装武器4B·颜色2
1	13028	天王女外装武器4B·颜色3
1	13029	天王女外装武器4B·颜色4
1	13030	天王女外装武器4B·颜色5
1	13031	天王女外装武器4B·颜色6
1	13032	天王女外装武器4B·颜色7
1	13033	天王女外装武器4B·颜色8
1	14826	段氏女外装武器4B·颜色1
1	14827	段氏女外装武器4B·颜色2
1	14828	段氏女外装武器4B·颜色3
1	14829	段氏女外装武器4B·颜色4
1	14830	段氏女外装武器4B·颜色5
1	14831	段氏女外装武器4B·颜色6
1	14832	段氏女外装武器4B·颜色7
1	14833	段氏女外装武器4B·颜色8
1	14926	万花女外装武器4B·颜色1
1	14927	万花女外装武器4B·颜色2
1	14928	万花女外装武器4B·颜色3
1	14929	万花女外装武器4B·颜色4
1	14930	万花女外装武器4B·颜色5
1	14931	万花女外装武器4B·颜色6
1	14932	万花女外装武器4B·颜色7
1	14933	万花女外装武器4B·颜色8
1	14026	丐帮女外装武器4B·颜色1
1	14027	丐帮女外装武器4B·颜色2
1	14028	丐帮女外装武器4B·颜色3
1	14029	丐帮女外装武器4B·颜色4
1	14030	丐帮女外装武器4B·颜色5
1	14031	丐帮女外装武器4B·颜色6
1	14032	丐帮女外装武器4B·颜色7
1	14033	丐帮女外装武器4B·颜色8
1	15514	杨门外装武器3B·颜色1
1	15515	杨门外装武器3B·颜色1
1	15516	杨门外装武器3B·颜色1
1	15517	杨门外装武器3B·颜色1
1	15526	杨门外装武器4B·颜色1
1	15527	杨门外装武器4B·颜色2
1	15528	杨门外装武器4B·颜色3
1	15529	杨门外装武器4B·颜色4
1	15530	杨门外装武器4B·颜色5
1	15531	杨门外装武器4B·颜色6
1	15532	杨门外装武器4B·颜色7
1	15533	杨门外装武器4B·颜色8
