Id	Name	TypeId	JingMaiId	LevelupType	NoJoinJingMaiLevel	ExtSkillId	ExtPartnerSkillId	ExtAttribId	ExtAttribMaxLevel	ExtPartnerAttribId	ExtPartnerAttribMaxLevel	Require_XueWei1	Require_XueWei2	Require_XueWei3	Require_Level	Cost1	Cost2	Cost3
31	肓俞	1	3	10				1053	20	1064	20	30|5			0|95;1|95;20|95	ZhenQi|4000	Coin|40000	
32	商曲	1	3	10				1054	20	1065	20	31|5			0|95;1|95;20|95	ZhenQi|4000	Coin|40000	
33	石关	1	3	11				1055	20	1066	20	32|5			0|96;1|96;20|96	ZhenQi|6000	Coin|40000	
34	阴都	1	3	11				1056	20	1067	20	33|5			0|97;1|97;20|97	ZhenQi|6000	Coin|40000	
35	通谷	1	3	11				1057	20	1068	20	34|5			0|98;1|98;20|98	ZhenQi|6000	Coin|40000	
36	幽门	2	3	12	1	4807				1069	20	35|5			0|99;1|99;20|99	item|6276|1	ZhenQi|6000	Coin|40000
37	申脉	1	4	13				1070	20	1081	20				0|100;1|100;20|100	ZhenQi|4000	Coin|40000	
38	仆参	1	4	13				1071	20	1082	20	37|5			0|101;1|101;20|101	ZhenQi|4000	Coin|40000	
39	跗阳	1	4	13				1072	20	1083	20	38|5			0|102;1|102;20|102	ZhenQi|4000	Coin|40000	
40	居髎	1	4	13				1073	20	1084	20	39|5			0|103;1|103;20|103	ZhenQi|4000	Coin|40000	
41	臑俞	1	4	14				1074	20	1085	20	40|5			0|104;1|104;20|104	ZhenQi|5000	Coin|40000	
42	肩髃	1	4	14				1075	20	1086	20	41|5			0|105;1|105;20|105	ZhenQi|5000	Coin|40000	
43	巨骨	1	4	14				1076	20	1087	20	42|5			0|105;1|105;20|105	ZhenQi|5000	Coin|40000	
44	天髎	1	4	14				1077	20	1088	20	43|5			0|105;1|105;20|105	ZhenQi|5000	Coin|40000	
45	地仓	1	4	15				1078	20	1089	20	44|5			0|106;1|106;20|106	ZhenQi|5500	Coin|40000	
46	巨髎	1	4	15				1079	20	1090	20	45|5			0|107;1|107;20|107	ZhenQi|5500	Coin|40000	
47	承泣	1	4	15				1080	20	1091	20	46|5			0|108;1|108;20|108	ZhenQi|5500	Coin|40000	
48	睛明	2	4	16	1	4809				1092	20	47|5			0|109;1|109;20|109	item|6277|1	ZhenQi|6000	Coin|40000
49	睛明	1	5	17				1093	20	1104	20				0|110;1|110;20|110	ZhenQi|5000	Coin|40000	
50	人迎	1	5	17				1094	20	1105	20	49|5			0|111;1|111;20|111	ZhenQi|5000	Coin|40000	
51	盆缺	1	5	17				1095	20	1106	20	50|5			0|112;1|112;20|112	ZhenQi|5000	Coin|40000	
52	乳根	1	5	17				1096	20	1107	20	51|5			0|113;1|113;20|113	ZhenQi|5000	Coin|40000	
53	气冲	1	5	17				1097	20	1108	20	52|5			0|114;1|114;20|114	ZhenQi|5000	Coin|40000	
54	横骨	1	5	18				1098	20	1109	20	53|5			0|115;1|115;20|115	ZhenQi|6000	Coin|40000	
55	阴谷	1	5	18				1099	20	1110	20	54|5			0|115;1|115;20|115	ZhenQi|6000	Coin|40000	
56	交信	1	5	18				1100	20	1111	20	55|5			0|115;1|115;20|115	ZhenQi|6000	Coin|40000	
57	水泉	1	5	19				1101	20	1112	20	56|5			0|116;1|116;20|116	ZhenQi|6500	Coin|40000	
58	照海	1	5	19				1102	20	1113	20	57|5			0|117;1|117;20|117	ZhenQi|6500	Coin|40000	
59	然谷	1	5	19				1103	20	1114	20	58|5			0|118;1|118;20|118	ZhenQi|6500	Coin|40000	
60	公孙	2	5	20	1	4811				1115	20	59|5			0|119;1|119;20|119	item|6278|1	ZhenQi|7000	Coin|40000
61	哑门	1	6	21				1116	20	1127	20				0|120;1|120;20|120	ZhenQi|6000	Coin|40000	
62	风池	1	6	21				1117	20	1128	20	61|5			0|121;1|121;20|121	ZhenQi|6000	Coin|40000	
63	风府	1	6	21				1118	20	1129	20	62|5			0|122;1|122;20|122	ZhenQi|6000	Coin|40000	
64	承灵	1	6	21				1119	20	1130	20	63|5			0|123;1|123;20|123	ZhenQi|6000	Coin|40000	
65	正营	1	6	21				1120	20	1131	20	64|5			0|124;1|124;20|124	ZhenQi|6000	Coin|40000	
66	目窗	1	6	22				1121	20	1132	20	65|5			0|125;1|125;20|125	ZhenQi|7000	Coin|40000	
67	阳白	1	6	22				1122	20	1133	20	66|5			0|125;1|125;20|125	ZhenQi|7000	Coin|40000	
68	本神	1	6	22				1123	20	1134	20	67|5			0|125;1|125;20|125	ZhenQi|7000	Coin|40000	
69	天髎	1	6	23				1124	20	1135	20	68|5			0|126;1|126;20|126	ZhenQi|7500	Coin|40000	
70	臑俞	1	6	23				1125	20	1136	20	69|5			0|127;1|127;20|127	ZhenQi|7500	Coin|40000	
71	阳交	1	6	23				1126	20	1137	20	70|5			0|128;1|128;20|128	ZhenQi|7500	Coin|40000	
72	金门	2	6	24	1	4813				1138	20	71|5			0|129;1|129;20|129	item|6279|1	ZhenQi|8000	Coin|40000
