nId	szName	szSmallIcon	szIcon	szBigIcon	szBigIconAtlas	szWordIcon	szSchoolIcon	szSchoolIconAtlas	szSelectIcon	szSelectIcon2	szBackground1	szBackground2	szShareBgTextureM	szShareBgTextureF	DefaultWeapon	StatueNpc	nJumpSkillId1	nJumpSkillId2	nJumpSkillId3	nJumpSkillId4	nJumpSkillId5	nJumpSkillId6	nJumpSkillId7	nJumpSkillId8	nJumpSkillId9	nJumpSkillId10
11	丐帮	Faction_GB	FactionGaibang	FactionIcon_Gaibang02	UI/Atlas/Login/Login.prefab	Faction_Gaibang	Faction_Gaibang	UI/Atlas/Login/Login02.prefab	FactionSelect_GB	FactionSelect_GB	FactionSelectBg_GB_M.jpg	FactionSelectBg_GB_F.jpg	ShareBg_Gaibang_M.jpg	ShareBg_Gaibang_F.jpg		3	3461	3462	3463	3464	3465					3467
12	五毒	Faction_WDU	FactionWudu	FactionIcon_Wudu02	UI/Atlas/Login/Login.prefab	Faction_Wudu	Faction_Wudu	UI/Atlas/Login/Login02.prefab	FactionSelect_WDu	FactionSelect_Wdu	FactionSelectBg_WDu_F.jpg	FactionSelectBg_WDu_F.jpg	ShareBg_Wudu.jpg	ShareBg_Wudu.jpg		4	3469	3470	3471	3472	3473					3475
13	藏剑	Faction_CJ	FactionCangJian	FactionIcon_Cangjian02	UI/Atlas/Login/Login.prefab	Faction_Cangjian	Faction_Cangjian	UI/Atlas/Login/Login02.prefab	FactionSelect_CJ	FactionSelect_CJ	FactionSelectBg_CJ_M.jpg	FactionSelectBg_CJ_M.jpg	ShareBg_Cangjian.jpg	ShareBg_Cangjian.jpg		3	3524	3525	3526	3527	3528					3530
14	长歌	Faction_CG	FactionChangGe	FactionIcon_Changge02	UI/Atlas/Login/Login.prefab	Faction_Changge	Faction_Changge	UI/Atlas/Login/Login02.prefab	FactionSelect_CG	FactionSelect_CG	FactionSelectBg_CG_F.jpg	FactionSelectBg_CG_F.jpg	ShareBg_Changge.jpg	ShareBg_Changge.jpg		4	3532	3533	3534	3535	3536					3538
15	天山	Faction_TS	FactionTianShan	FactionIcon_Tianshan02	UI/Atlas/Login/Login.prefab	Faction_Tianshan	Faction_Tianshan	UI/Atlas/Login/Login02.prefab	FactionSelect_TS	FactionSelect_TS	FactionSelectBg_TS_M.jpg	FactionSelectBg_TS_F.jpg	ShareBg_Tianshan_M.jpg	ShareBg_Tianshan_F.jpg		2	1075	1076	1077	1078	1079					1081
16	霸刀	Faction_BD	FactionBaDao	FactionIcon_Badao02	UI/Atlas/Login/Login.prefab	Faction_Badao	Faction_Badao	UI/Atlas/Login/Login02.prefab	FactionSelect_BD	FactionSelect_BD	FactionSelectBg_BD_M.jpg	FactionSelectBg_BD_F.jpg	ShareBg_Badao_M.jpg	ShareBg_Badao_F.jpg		1	7	11	1019	1023	1027					1045
17	华山	Faction_HS	FactionHuaShan	FactionIcon_Huashan02	UI/Atlas/Login/Login.prefab	Faction_Huashan	Faction_Huashan	UI/Atlas/Login/Login02.prefab	FactionSelect_HS	FactionSelect_HS	FactionSelectBg_HS_M.jpg	FactionSelectBg_HS_F.jpg	ShareBg_Huashan_M.jpg	ShareBg_Huashan_F.jpg		5	1033	1034	1035	1036	1037					1049
18	明教	Faction_MJ	FactionMingJiao	FactionIcon_Mingjiao02	UI/Atlas/Login/Login.prefab	Faction_Mingjiao	Faction_Mingjiao	UI/Atlas/Login/Login02.prefab	FactionSelect_MJ	FactionSelect_MJ	FactionSelectBg_MJ_M.jpg	FactionSelectBg_MJ_F.jpg	ShareBg_Mingjiao_M.jpg	ShareBg_Mingjiao_F.jpg		5	1033	1034	1035	1036	1037					1049
19	段氏	Faction_DS	FactionDuanshi	FactionIcon_Duanshi02	UI/Atlas/Login/Login.prefab	Faction_Duanshi	Faction_Duanshi	UI/Atlas/Login/Login02.prefab	FactionSelect_DS	FactionSelect_DS	FactionSelectBg_DS_M.jpg	FactionSelectBg_DS_F.jpg	ShareBg_Duanshi_M.jpg	ShareBg_Duanshi_F.jpg		2	1075	1076	1077	1078	1079					1081
20	万花	Faction_WH	FactionWanhua	FactionIcon_Wanhua02	UI/Atlas/Login/Login05.prefab	Faction_Wanhua	Faction_Wanhua	UI/Atlas/Login/Login02.prefab	FactionSelect_WH	FactionSelect_WH	FactionSelectBg_WH_M.jpg	FactionSelectBg_WH_F.jpg	ShareBg_Wanhua_M.jpg	ShareBg_Wanhua_F.jpg		2	1075	1076	1077	1078	1079					1081
21	杨门	Faction_YM	FactionYangmen	FactionIcon_Yangmen02	UI/Atlas/Login/Login05.prefab	Faction_Yangmen	Faction_Yangmen	UI/Atlas/Login/Login02.prefab	FactionSelect_YM	FactionSelect_YM	FactionSelectBg_YM_M.jpg	FactionSelectBg_YM_F.jpg	ShareBg_Yangmen_M.jpg	ShareBg_Yangmen_F.jpg	1	2	1075	1076	1077	1078	1079					1081
