SrcItem	TarItem	CosumeItem1	ConsumeCount1	CosumeItem2	ConsumeCount2	CosumeItem3	ConsumeCount3	CosumeItemBAK1	ConsumeCountBAK1	CosumeItemBAK2	ConsumeCountBAK2	TimeFrame	DESC
999021	999022	2804	200	2527	480							OpenDay721	未开放,坐骑
999022	999023	2804	300	2527	600							OpenDay721	未开放,坐骑
999023	999024	2804	1100	2527	1100							OpenDay721	未开放,坐骑
999024	999025	2804	1600	2527	1600							OpenDay721	未开放,坐骑
999025	999026	2804	2200	2527	2200							OpenDay721	未开放,坐骑
999026	999027	2804	2900	2527	2900							OpenDay721	未开放,坐骑
999027	999028	2804	3700	2527	3700							OpenDay721	未开放,坐骑
999028	999029	2804	4600	2527	4600							OpenDay721	未开放,坐骑
999029	999030	2804	5600	2527	5600							OpenDay721	未开放,坐骑
999031	999032	2804	200	2527	480							OpenDay721	未开放,坐骑
999032	999033	2804	300	2527	600							OpenDay721	未开放,坐骑
999033	999034	2804	1100	2527	1100							OpenDay721	未开放,坐骑
999034	999035	2804	1600	2527	1600							OpenDay721	未开放,坐骑
999035	999036	2804	2200	2527	2200							OpenDay721	未开放,坐骑
999036	999037	2804	2900	2527	2900							OpenDay721	未开放,坐骑
999037	999038	2804	3700	2527	3700							OpenDay721	未开放,坐骑
999038	999039	2804	4600	2527	4600							OpenDay721	未开放,坐骑
999039	999040	2804	5600	2527	5600							OpenDay721	未开放,坐骑
999011	999012	2804	200	2527	480							OpenDay721	未开放,坐骑
999012	999013	2804	300	2527	600							OpenDay721	未开放,坐骑
999013	999014	2804	1100	2527	1100							OpenDay721	未开放,坐骑
999014	999015	2804	1600	2527	1600							OpenDay721	未开放,坐骑
999015	999016	2804	2200	2527	2200							OpenDay721	未开放,坐骑
999016	999017	2804	2900	2527	2900							OpenDay721	未开放,坐骑
999017	999018	2804	3700	2527	3700							OpenDay721	未开放,坐骑
999018	999019	2804	4600	2527	4600							OpenDay721	未开放,坐骑
999019	999020	2804	5600	2527	5600							OpenDay721	未开放,坐骑
999001	999002	2804	400	2527	400							OpenDay721	未开放,坐骑
999002	999003	2804	700	2527	700							OpenDay721	未开放,坐骑
999003	999004	2804	1100	2527	1100							OpenDay721	未开放,坐骑
999004	999005	2804	1600	2527	1600							OpenDay721	未开放,坐骑
999005	999006	2804	2200	2527	2200							OpenDay721	未开放,坐骑
999006	999007	2804	2900	2527	2900							OpenDay721	未开放,坐骑
999007	999008	2804	3700	2527	3700							OpenDay721	未开放,坐骑
999008	999009	2804	4600	2527	4600							OpenDay721	未开放,坐骑
999009	999010	2804	5600	2527	5600							OpenDay721	未开放,坐骑
3446	999101	2804	30	3462	30							OpenLevel119	云蛟驰霄绳==>真•云蛟驰霄绳Lv1
999101	999102	2804	60	3462	60							OpenLevel129	真•云蛟驰霄绳Lv2
999102	999103	2804	90	3462	90							OpenLevel139	真•云蛟驰霄绳Lv3
999103	999104	2804	1100	3462	1100							OpenDay721	真•云蛟驰霄绳Lv4
999104	999105	2804	1600	3462	1600							OpenDay721	真•云蛟驰霄绳Lv5
999105	999106	2804	2200	3462	2200							OpenDay721	真•云蛟驰霄绳Lv6
999106	999107	2804	2900	3462	2900							OpenDay721	真•云蛟驰霄绳Lv7
999107	999108	2804	3700	3462	3700							OpenDay721	真•云蛟驰霄绳Lv8
999108	999109	2804	4600	3462	4600							OpenDay721	真•云蛟驰霄绳Lv9
999109	999110	2804	5600	3462	5600							OpenDay721	真•云蛟驰霄绳Lv10
3451	999201	2804	30	3469	30							OpenLevel119	云蛟驰霄鞍==>真•云蛟驰霄鞍Lv1
999201	999202	2804	60	3469	60							OpenLevel129	真•云蛟驰霄鞍Lv2
999202	999203	2804	90	3469	90							OpenLevel139	真•云蛟驰霄鞍Lv3
999203	999204	2804	1100	3469	1100							OpenDay721	真•云蛟驰霄鞍Lv4
999204	999205	2804	1600	3469	1600							OpenDay721	真•云蛟驰霄鞍Lv5
999205	999206	2804	2200	3469	2200							OpenDay721	真•云蛟驰霄鞍Lv6
999206	999207	2804	2900	3469	2900							OpenDay721	真•云蛟驰霄鞍Lv7
999207	999208	2804	3700	3469	3700							OpenDay721	真•云蛟驰霄鞍Lv8
999208	999209	2804	4600	3469	4600							OpenDay721	真•云蛟驰霄鞍Lv9
999209	999210	2804	5600	3469	5600							OpenDay721	真•云蛟驰霄鞍Lv10
3456	999301	2804	30	3476	30							OpenLevel119	云蛟驰霄蹬==>真•云蛟驰霄蹬Lv1
999301	999302	2804	60	3476	60							OpenLevel129	真•云蛟驰霄蹬Lv2
999302	999303	2804	90	3476	90							OpenLevel139	真•云蛟驰霄蹬Lv3
999303	999304	2804	1100	3476	1100							OpenDay721	真•云蛟驰霄蹬Lv4
999304	999305	2804	1600	3476	1600							OpenDay721	真•云蛟驰霄蹬Lv5
999305	999306	2804	2200	3476	2200							OpenDay721	真•云蛟驰霄蹬Lv6
999306	999307	2804	2900	3476	2900							OpenDay721	真•云蛟驰霄蹬Lv7
999307	999308	2804	3700	3476	3700							OpenDay721	真•云蛟驰霄蹬Lv8
999308	999309	2804	4600	3476	4600							OpenDay721	真•云蛟驰霄蹬Lv9
999309	999310	2804	5600	3476	5600							OpenDay721	真•云蛟驰霄蹬Lv10
