ServerId	Normal	Battle	Baihu	TeamBattle	Indiffer	DaXueZhang	BiWuZhaoQin	WLDH	BLBoss	ZoneBossMaster	FactionBattle	QYHCross	CrossDomain	KeyQuestFuben
10064	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10065	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10066	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10067	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10068	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10069	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10070	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10071	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10072	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10073	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10074	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10075	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10076	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10077	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10078	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10079	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10081	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10082	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10083	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10084	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10085	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10086	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10087	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10088	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10089	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10090	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10091	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10092	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10093	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10094	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10095	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10096	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10097	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10098	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10099	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10100	1	1	1	1	1	1	1	1	1	1	1	1	1	1
