SoundID	Desc	Bank	Sound
5427	桃花怒气技落花焚星焱	Th	Play_Th_00
5500	逍遥登场	Xy	Play_Xy_Dc
5501	逍遥枪法一式	Xy	Play_Xy_01_01
5502	逍遥枪法二式	Xy	Play_Xy_01_02
5503	逍遥枪法三式	Xy	Play_Xy_01_03
5504	逍遥枪法四式	Xy	Play_Xy_01_04
5505	逍遥一招被击	Xy	Play_Xy_01_Hit
5506	逍遥二招拉人	Xy	Play_Xy_02_01
5507	逍遥二招拉人拉回来	Xy	Play_Xy_02_02
5508	逍遥无敌斩	Xy	Play_Xy_03_00
5509	逍遥无敌斩收招	Xy	Play_Xy_03_05
5510	逍遥白虹贯日	Xy	Play_Xy_04_01
5513	逍遥风卷残云	Xy	Play_Xy_05_01
5527	逍遥怒气技寰宇逍遥游	Xy	Play_Xy_00
5530	逍遥（女）登场	New_Dc1903	Play_XiaoYao_DC_Female
5531	逍遥（女）枪法一式	Skill_XiaoYao_Fm	Play_Xy_01_01_Female
5532	逍遥（女）枪法二式	Skill_XiaoYao_Fm	Play_Xy_01_02_Female
5533	逍遥（女）枪法三式	Skill_XiaoYao_Fm	Play_Xy_01_03_Female
5534	逍遥（女）枪法四式	Skill_XiaoYao_Fm	Play_Xy_01_04_Female
5535	逍遥（女）二招拉人	Skill_XiaoYao_Fm	Play_Xy_02_01_Female
5536	逍遥（女）无敌斩	Skill_XiaoYao_Fm	Play_Xy_03_00_Female
5537	逍遥（女）无敌斩收招	Skill_XiaoYao_Fm	Play_Xy_03_05_Female
5538	逍遥（女）白虹贯日	Skill_XiaoYao_Fm	Play_Xy_04_01_Female
5539	逍遥（女）风卷残云	Skill_XiaoYao_Fm	Play_Xy_05_01_Female
5600	武当登场	Wd	Play_Wd_Dc
5601	武当普攻1	Wd	Play_Wd_01_01
5602	武当普攻2	Wd	Play_Wd_01_02
5603	武当普攻3	Wd	Play_Wd_01_03
5604	武当普攻4	Wd	Play_Wd_01_04
5605	武当普攻被击	Wd	Play_Wd_01_Hit
5606	人剑合一	Wd	Play_Wd_02_01
5607	坐忘无我	Wd	Play_Wd_03_01
5608	剑飞惊天	Wd	Play_Wd_04_01
5609	天地无极	Wd	Play_Wd_05_01
5610	武当怒气	Wd	Play_Wd_00
5621	武当（女）普攻2	Wd	Play_Wd_01_02Female
5622	武当（女）普攻3	Wd	Play_Wd_01_03Female
5623	武当（女）普攻4	Wd	Play_Wd_01_04Female
5624	武当（女）人剑合一	Wd	Play_Wd_02_01Female
5625	武当（女）剑飞惊天	Wd	Play_Wd_04_01Female
5626	武当（女）天地无极	Wd	Play_Wd_05_01Female
5627	武当（女）登场	New_Dc	Play_FemaleWd_Dc
5711	天忍登场	Tr	Play_Tr_Dc
5700	天忍怒气	Tr	Play_Tr_00
5701	天忍普攻1	Tr	Play_Tr_01_01
5702	天忍普攻2	Tr	Play_Tr_01_02
5703	天忍普攻3	Tr	Play_Tr_01_03
5704	天忍普攻4	Tr	Play_Tr_01_04
5705	天忍普攻被击	Tr	Play_Tr_01_Hit
5706	死亡回旋	Tr	Play_Tr_02_01
5707	魔焰在天发招	Tr	Play_Tr_03_01
5708	魔焰在天子弹	Tr	Play_Tr_03_02
5709	血月之影	Tr	Play_Tr_04_01
5710	摄魂乱心	Tr	Play_Tr_05_01
5712	死亡回旋	Tr_M	Play_Tr_02_01_M
6201	天王锤法被击	Tw	Play_Tw01_Hit
5800	少林怒气技能	Sl	Play_Sl_00
5801	少林普攻第一段	Sl	Play_Sl_01_01
5802	少林普攻第二段	Sl	Play_Sl_01_02
5803	少林普攻第三段	Sl	Play_Sl_01_03
5804	少林普攻第四段	Sl	Play_Sl_01_04
5805	少林普攻被击	Sl	Play_Sl_01_Hit
5806	少林降龙棍	Sl	Play_Sl_02_01
5807	少林大力金刚指	Sl	Play_Sl_03_01
5808	少林金刚伏魔	Sl	Play_Sl_04_01
5809	少林十二擒龙手	Sl	Play_Sl_05_01
5810	少林被动罗汉阵	Sl	Play_Sl_06_00
5900	翠烟怒气技能	Cy	Play_Cy_00
5901	翠烟普攻第一段	Cy	Play_Cy_01_01
5902	翠烟普攻第二段	Cy	Play_Cy_01_02
5903	翠烟普攻第三段	Cy	Play_Cy_01_03
5904	翠烟普攻第四段	Cy	Play_Cy_01_04
5905	翠烟普攻被击	Cy	Play_Cy_01_Hit
5906	翠烟天罗璇玑	Cy	Play_Cy_02_01
5907	翠烟雨打梨花	Cy	Play_Cy_03_01
5908	翠烟召唤宝宝	Cy	Play_Cy_04_01
5909	翠烟宝宝普攻	Cy	Play_Cy_04_02
5910	翠烟冰踪无影	Cy	Play_Cy_05_01
5911	翠烟冰踪无影被击	Cy	Play_Cy_05_Hit
5912	翠烟宝宝撞击	Cy	Play_Cy_04_03
5920	唐门怒气	Tm	Play_Tm_00
5921	唐门普攻123	Tm	Play_Tm_01_00
5922	唐门普攻4	Tm	Play_Tm_01_04
5923	唐门缠身刺	Tm	Play_Tm_02_01
5924	唐门缠身刺被击	Tm	Play_Tm_02_02
5925	唐门暴雨梨花	Tm	Play_Tm_03_01
5926	唐门暴雨梨花被击	Tm	Play_Tm_03_02
5927	唐门迷影纵	Tm	Play_Tm_04_01
5928	唐门九宫飞星	Tm	Play_Tm_05_01
5929	唐门普攻被击	Tm	Play_Tm_01_Hit
5940	昆仑怒气	Kl	Play_Kl_00
5941	昆仑普攻第一段	Kl	Play_Kl_01_01
5942	昆仑普攻第二段	Kl	Play_Kl_01_02
5943	昆仑普攻第三段	Kl	Play_Kl_01_03
5944	昆仑普攻第四段	Kl	Play_Kl_01_04
5945	昆仑仙人指路	Kl	Play_Kl_02_01
5946	昆仑啸风三连击	Kl	Play_Kl_03_01
5947	昆仑混沌剑阵	Kl	Play_Kl_04_01
5948	昆仑雷动九天发招	Kl	Play_Kl_05_01
5949	昆仑雷动九天的被击	Kl	Play_Kl_05_02
5950	昆仑普攻被击	Kl	Play_Kl_01_Hit
5951	昆仑男怒气	Skill_KunLun_M	Play_Kl_00Male
5952	昆仑男混沌剑阵	Skill_KunLun_M	Play_Kl_04_01Male
5960	丐帮怒气	Gb	Play_GB_00
5961	丐帮普攻1	Gb	Play_GB_01_01
5962	丐帮普攻2	Gb	Play_GB_01_02
5963	丐帮普攻3	Gb	Play_GB_01_03
5964	丐帮普攻4	Gb	Play_GB_01_04
5965	丐帮普攻被击	Gb	Play_GB_01_Hit
5966	丐帮亢龙有悔	Gb	Play_GB_02_01
5967	丐帮困龙功1	Gb	Play_GB_03_01
5968	丐帮困龙功2	Gb	Play_GB_03_02
5969	丐帮醉蝶狂舞	Gb	Play_GB_04_01
5970	丐帮龙战于野	Gb	Play_GB_05_01
5971	丐帮UI登场	Gb	Play_GB_Dc
5972	丐帮（女）-怒气	Skill_GaiBang_Fm	Play_GB_00_Female
5973	丐帮（女）-困龙功1	Skill_GaiBang_Fm	Play_GB_03_01_Female
5974	丐帮（女）-登录	New_Dc1907	Play_GaiBang_Dc_Female
5980	五毒怒气	WuDu	Play_WuDu_00
5981	五毒普攻1	WuDu	Play_WuDu_01_01
5982	五毒普攻2	WuDu	Play_WuDu_01_02
5983	五毒普攻3	WuDu	Play_WuDu_01_03
5984	五毒普攻4	WuDu	Play_WuDu_01_04
5985	五毒普攻被击	WuDu	Play_WuDu_01_Hit
5986	五毒阴风蚀骨	WuDu	Play_WuDu_02_01
5987	五毒召唤毒虫	WuDu	Play_WuDu_03_01
5988	蟾蜍的攻击子弹	WuDu	Play_WuDu_03_ChanChu
5989	黑蜘蛛攻击子弹	WuDu	Play_WuDu_03_HeiZhu
5990	灵蛇的攻击子弹	WuDu	Play_WuDu_03_LingShe
5991	五毒迷心蛊	WuDu	Play_WuDu_04_01
5992	五毒万蛊蚀心	WuDu	Play_WuDu_05_01
5993	五毒UI登场	WuDu	Play_WuDu_Dc
5994	五毒召唤毒虫-灵蛇	WuDu	Play_WuDu_DiZi01
5995	五毒召唤毒虫-碧蟾	WuDu	Play_WuDu_DiZi05
5996	五毒召唤毒虫-赤蝎	WuDu	Play_WuDu_DiZi03
5997	五毒召唤毒虫-风蜈	WuDu	Play_WuDu_DiZi02
5998	五毒召唤毒虫-墨蛛	WuDu	Play_WuDu_DiZi04
6000	藏剑大招音效	Cj	Play_Cj_00
6001	藏剑普攻1	Cj	Play_Cj_01_01
6002	藏剑普攻2	Cj	Play_Cj_01_02
6003	藏剑普攻3	Cj	Play_Cj_01_03
6004	藏剑普攻4	Cj	Play_Cj_01_04
6005	藏剑普攻被击	Cj	Play_Cj_Hit
6006	九溪弥烟	Cj	Play_Cj_02_01
6007	心剑	Cj	Play_Cj_03_01
6008	平湖断月	Cj	Play_Cj_04_01
6009	峰插云景	Cj	Play_Cj_05_01
6010	藏剑出场音效	Cj	Play_Cj_Dc
6020	长歌大招	Cg	Play_Cg_00
6021	长歌普攻1	Cg	Play_Cg_01_01
6022	长歌普攻2	Cg	Play_Cg_01_02
6023	长歌普攻3	Cg	Play_Cg_01_03
6024	长歌普攻4	Cg	Play_Cg_01_04
6025	长歌普攻被击	Cg	Play_Cg_01_Hit
6026	平沙落雁	Cg	Play_Cg_02_01
6027	云生结海	Cg	Play_Cg_03_01
6028	清音长啸	Cg	Play_Cg_04_01
6029	江逐月天	Cg	Play_Cg_05_01
6030	长歌出场音效	Cg	Play_Cg_Dc
6040	天山-怒气	Ts	Play_Ts_00
6041	天山普攻1	Ts	Play_Ts_01_01
6042	天山普攻2	Ts	Play_Ts_01_02
6043	天山普攻3	Ts	Play_Ts_01_03
6044	天山普攻4	Ts	Play_Ts_01_04a
6045	天山普攻5	Ts	Play_Ts_01_04b
6046	天山普攻6	Ts	Play_Ts_01_04c
6047	天山-技能1	Ts	Play_Ts_02_01
6048	天山-技能2	Ts	Play_Ts_03_01
6049	天山-技能3	Ts	Play_Ts_04_01
6050	天山-技能4	Ts	Play_Ts_05_01
6051	天山-普攻被击	Ts	Play_Ts_Hit
6070	霸刀（男）-怒气	Bd	Play_Bd_00Male
6071	霸刀（男）普攻1	Bd	Play_Bd_01_01
6072	霸刀（男）普攻2	Bd	Play_Bd_01_02
6073	霸刀（男）普攻3	Bd	Play_Bd_01_03Male
6074	霸刀（男）普攻4	Bd	Play_Bd_01_04Male
6075	霸刀（男）-技能1	Bd	Play_Bd_02_01
6076	霸刀（男）-技能2	Bd	Play_Bd_03_01Male
6077	霸刀（男）-技能3	Bd	Play_Bd_04_01Male
6078	霸刀（男）-技能4	Bd	Play_Bd_05_01
6081	霸刀（女）-怒气	Bd	Play_Bd_00Female
6082	霸刀（女）普攻3	Bd	Play_Bd_01_03Female
6083	霸刀（女）-技能3	Bd	Play_Bd_04_01Female
6084	霸刀男登场	New_Dc	Play_MaleBd_Dc
6085	霸刀女登场	New_Dc	Play_FemaleBd_Dc
6086	霸刀普攻被击	Bd	Play_Bd_Hit
6087	霸刀（女）普攻4	Bd	Play_Bd_01_04Female
6088	霸刀（女）-技能2	Bd	Play_Bd_03_01Female
6100	华山（男）-怒气	Skill_HuaShan	Play_Hs_00Male
6101	华山（男）普攻1	Skill_HuaShan	Play_Hs_01_01Male
6102	华山（男）普攻2	Skill_HuaShan	Play_Hs_01_02
6103	华山（男）普攻3	Skill_HuaShan	Play_Hs_01_03Male
6104	华山（男）普攻4	Skill_HuaShan	Play_Hs_01_04Male
6105	华山（男）-萧史乘龙	Skill_HuaShan	Play_Hs_02_01Male
6106	华山（男）-天绅倒悬	Skill_HuaShan	Play_Hs_03_01
6107	华山（男）-朝阳一气剑	Skill_HuaShan	Play_Hs_04_01Male
6108	华山（男）-风送紫霞	Skill_HuaShan	Play_Hs_05_01Male
6109	华山（女）-怒气	Skill_HuaShan	Play_Hs_00Female
6110	华山（女）普攻1	Skill_HuaShan	Play_Hs_01_01Female
6111	华山（女）普攻3	Skill_HuaShan	Play_Hs_01_03Female
6112	华山（女）普攻4	Skill_HuaShan	Play_Hs_01_04Female
6113	华山（女）-萧史乘龙	Skill_HuaShan	Play_Hs_02_01Female
6114	华山（女）-朝阳一气剑	Skill_HuaShan	Play_Hs_04_01FeMale
6115	华山（女）-风送紫霞	Skill_HuaShan	Play_Hs_05_01Female
6116	华山被击	Skill_HuaShan	Play_Hs_Hit
6117	华山男登场	New_Dc1807	Play_HuaShan_Dc_Male
6118	华山女登场	New_Dc1807	Play_HuaShan_Dc_Female
6121	明教（男）普攻1	Skill_Mingjiao	Play_Mj_01_01
6122	明教（男）普攻2	Skill_Mingjiao	Play_Mj_01_02
6123	明教（男）普攻3	Skill_Mingjiao	Play_Mj_01_03
6124	明教（男）普攻4	Skill_Mingjiao	Play_Mj_01_04
6126	明教（男）-焚山噬川	Skill_Mingjiao	Play_Mj_02_01
6127	明教（男）-电光石火	Skill_Mingjiao	Play_Mj_03_01_Male
6128	明教（男）-火光残影	Skill_Mingjiao	Play_Mj_04_01
6129	明教（男）-毁天灭地（天上循环）	Skill_Mingjiao	Play_Mj_05_01
6130	明教（男）-毁天灭地（落地）	Skill_Mingjiao	Stop_Mj_05_01
6131	明教（男）-怒气	Skill_Mingjiao	Play_Mj_00_Male
6132	明教（女）-电光石火	Skill_Mingjiao	Play_Mj_03_01_Female
6133	明教（女）-怒气	Skill_Mingjiao	Play_Mj_00_Female
6134	明教被击	Skill_Mingjiao	Play_Mj_01_Hit
6135	明教男登场	New_Dc1810	Play_MingJiao_Dc_Male
6136	明教女登场	New_Dc1810	Play_MingJiao_DC_Female
6141	段氏普攻1	Skill_DuanShi	Play_DS_01_01
6142	段氏普攻2	Skill_DuanShi	Play_DS_01_02
6143	段氏普攻3	Skill_DuanShi	Play_DS_01_03
6144	段氏普攻4	Skill_DuanShi	Play_DS_01_04
6145	段氏（男）-一阳指	Skill_DuanShi	Play_DS_02_01_Male
6146	段氏（男）-五罗轻烟	Skill_DuanShi	Play_DS_03_01_Male
6147	段氏-六脉神剑_发招	Skill_DuanShi	Play_DS_04_01
6148	段氏-水龙狱	Skill_DuanShi	Play_DS_05_01
6149	段氏（男）-怒气	Skill_DuanShi	Play_DS_00_Male
6150	段氏（女）-一阳指	Skill_DuanShi	Play_DS_02_01_Female
6151	段氏（女）-五罗轻烟	Skill_DuanShi	Play_DS_03_01_Female
6152	段氏（女）-怒气	Skill_DuanShi	Play_DS_00_Female
6153	段氏男登场	New_Dc1903	Play_DuanShi_DC_Male
6154	段氏女登场	New_Dc1903	Play_DuanShi_DC_Female
6155	段氏-六脉神剑_子弹	Skill_DuanShi	Play_DS_04_02
6161	万花普攻1	Skill_WanHua	Play_Wh_01_01
6162	万花普攻2	Skill_WanHua	Play_Wh_01_02
6163	万花普攻3	Skill_WanHua	Play_Wh_01_03
6164	万花普攻4	Skill_WanHua	Play_Wh_01_04
6165	万花（男）-执颖点墨	Skill_WanHua	Play_Wh_02_01_Male
6166	万花-兰摧玉折	Skill_WanHua	Play_Wh_03_01
6167	万花-墨虎如生	Skill_WanHua	Play_Wh_04_01
6168	万花-绘虎点睛	Skill_WanHua	Play_Wh_05_01
6169	万花-绘虎点睛老虎攻击	Skill_WanHua	Play_Wh_05_01TigerAt
6170	万花（男）-怒气	Skill_WanHua	Play_Wh_00_Male
6171	万花（女）-执颖点墨	Skill_WanHua	Play_Wh_02_01_Female
6172	万花（女）-怒气	Skill_WanHua	Play_Wh_00_Female
6173	万花-被击	Skill_WanHua	Play_Wh_01_Hit
6174	万花（男）-登录	New_Dc1907	Play_WanHua_Dc_Male
6175	万花（女）-登录	New_Dc1907	Play_WanHua_Dc_Female
6180	杨门怒气	Skill_Ym	Play_Ym_00
6181	杨门弓普攻1	Skill_Ym	Play_Ym_Arrow_01_01
6182	杨门弓普攻2	Skill_Ym	Play_Ym_Arrow_01_02
6183	杨门弓普攻3	Skill_Ym	Play_Ym_Arrow_01_03
6184	杨门弓普攻4	Skill_Ym	Play_Ym_Arrow_01_04
6185	杨门弓-BUFF	Skill_Ym	Play_Ym_Arrow_02_01
6186	杨门弓（男）-弧形箭	Skill_Ym	Play_Ym_Arrow_03_01Male
6187	杨门弓（女）-弧形箭	Skill_Ym	Play_Ym_Arrow_03_01Female
6188	杨门弓（男）-落箭	Skill_Ym	Play_Ym_Arrow_04_01Male
6189	杨门弓（女）-落箭	Skill_Ym	Play_Ym_Arrow_04_01Female
6190	杨门切为弓	Skill_Ym	Play_Ym_Arrow_05_01
6191	杨门枪普攻1	Skill_Ym	Play_Ym_Spear_01_01
6192	杨门枪普攻2	Skill_Ym	Play_Ym_Spear_01_02
6193	杨门枪普攻3	Skill_Ym	Play_Ym_Spear_01_03
6194	杨门枪普攻4	Skill_Ym	Play_Ym_Spear_01_04
6195	杨门枪（男）-BUFF	Skill_Ym	Play_Ym_Spear_02_01Male
6196	杨门枪（女）-BUFF	Skill_Ym	Play_Ym_Spear_02_01Female
6197	杨门枪（男）-跳	Skill_Ym	Play_Ym_Spear_03_01Male
6198	杨门枪（女）-跳	Skill_Ym	Play_Ym_Spear_03_01Female
6199	杨门枪-横扫	Skill_Ym	Play_Ym_Spear_04_01
6200	杨门切为枪	Skill_Ym	Play_Ym_Spear_05_01
10010	襄阳-城市	Bgm	Play_Bgm_LuoYang
10011	临安-城市	Bgm_LinAn	Play_Bgm_LinAn
10020	新手村-爱的废墟-歌曲	Album	Play_AiDeFeiXu
	新手村-城市(春)	Bgm	Play_Bgm_XinShouCun
10030	恶人谷-副本01(暗)	Bgm	Play_Bgm_Battle_Team
10040	落叶谷-副本01(秋)	Bgm	Play_Bgm_Battle_Team
10050	新手关卡（雪景）	Bgm	Play_Bgm_Battle_Team
10052	新手关卡-环境风雪声	Amb	Play_Amb_Wind
10090	恶人谷-副本02(暗)	Bgm	Play_Bgm_Battle_Team
10100	恶人谷-副本03(暗)	Bgm	Play_Bgm_Battle_Team
