Name	ScriptFunc	OpenWeek	WeekFlag	TimeFrame	CloseTimeFrame	Time1	Time2	Time3	Time4	Time5	Time6	Time7	Time8	Time9	Time10	Time11	Time12	Time13	Time14	Time15	Param	Param2	Param3	Param4
StartBattle21	StartBattle		246	OpenDay1A	OpenDay118	16:30	20:30														2			
StopBattle21	StopBattle		246	OpenDay1A	OpenDay118	17:00	21:00														2			
StartBattle22	StartBattle		246	OpenDay1A	OpenLevel59	22:30															2			
StopBattle22	StopBattle		246	OpenDay1A	OpenLevel59	23:00															2			
StartBattle23	StartBattle		246	OpenLevel59	OpenDay118	22:30															1			
StopBattle23	StopBattle		246	OpenLevel59	OpenDay118	23:00															1			
StartBattleCross	DoNothing		3	OpenLevel99		20:30	22:30														3			
StopBattleCross	DoNothing		3	OpenLevel99		21:00	23:00														3			
StartBattleHundred	DoNothing		5	OpenLevel99		20:30	22:30														4			
StopBattleHundred	DoNothing		5	OpenLevel99		21:00	23:00														4			
AuctionRunPerday	AuctionRunPerday		1234567			22:00																		
UpdateStrangerMap	UpdateStrangerMap		1234567			5:00																		
KinRobber1	KinRobber		1234567			12:00															1			
KinRobberStop1	KinRobberStop		1234567			12:30																		
KinRobber2	KinRobber		1234567			16:00															2			
KinRobberStop2	KinRobberStop		1234567			16:30																		
KinRobber3	KinRobber		1234567			19:00															3			
KinRobberStop3	KinRobberStop		1234567			19:30																		
KinGatherStop	KinGatherStop		1234567	OpenDay1		19:25																		
KinGather	KinGatherStart		1234567	OpenDay1		19:15																		
KinGatherPrepare	KinGatherPrepare		1234567	OpenDay1		19:12																		
StartUpdatePunishTask	StartUpdatePunishTask		1234567			18:00																		
NewDayOn4	OnNewDayBegin		1234567			4:00																		
HeroChallengeUpdate	HeroChallengeUpdate		1234567			4:00																		
CheckRankBoard	CheckRankBoard		1234567			0:00	2:00	4:00	6:00	8:00	10:00	12:00	14:00	16:00	18:00	20:00	22:00							
LogDailyKinData	LogDailyKinData		1234567			0:00																		
LogDailyRole	LogDailyRole		1234567			23:50																		
StartWhiteTiger	StartWhiteTiger		12456	OpenDay3		0:00	11:00	13:00	15:00	17:00	20:00													
EndEnterWhiteTiger	DoNothing		12456	OpenDay3		0:05	11:05	13:05	15:05	17:05	20:05													
CloseWhiteTiger	CloseWhiteTiger		12456	OpenDay3		0:30	11:30	13:30	15:30	17:30	20:25													
StartWhiteTiger2	StartWhiteTiger		37	OpenDay3		0:00	11:00	13:00	15:00	17:00														
EndEnterWhiteTiger2	DoNothing		37	OpenDay3		0:05	11:05	13:05	15:05	17:05														
CloseWhiteTiger2	CloseWhiteTiger		37	OpenDay3		0:30	11:30	13:30	15:30	17:30														
StartWhiteTiger3	StartWhiteTiger		37	OpenDay3	OpenKeyQuestFuben	20:00																		
EndEnterWhiteTiger3	DoNothing		37	OpenDay3	OpenKeyQuestFuben	20:05																		
CloseWhiteTiger3	CloseWhiteTiger		37	OpenDay3	OpenKeyQuestFuben	20:25																		
OpenKeyQuestFuben	OpenKeyQuestFuben		37	OpenKeyQuestFuben		19:50																		
CloseKeyQuestFuben	CloseKeyQuestFuben		37	OpenKeyQuestFuben		20:21																		
CheckStartTeamBattle	CheckStartTeamBattle		37	OpenDay4		21:00	23:00																	
EndTeamBattle	DoNothing		37	OpenDay4		21:05	23:05																	
CheckStartTeamBattle2	CheckStartTeamBattle		6	OpenDay4	OpenDomainBattle	21:00	23:00																	
EndTeamBattle2	DoNothing		6	OpenDay4	OpenDomainBattle	21:05	23:05																	
StartKinEscort	StartKinEscort		246	OpenDay5	OpenDay89	20:00																		
CloseKinEscort	CloseKinEscort		246	OpenDay5	OpenDay89	21:59																		
StartKinEscort2	StartKinEscort		26	OpenDay89		20:00																		
CloseKinEscort2	CloseKinEscort		26	OpenDay89		21:59																		
StartFactionBattle	StartFactionBattle		14	OpenDay4		21:00																		
CloseFactionBattle	CloseFactionBattle		14	OpenDay4		21:40																		
StartKinTrain	StartKinTrain		5	OpenDay4		21:00																		
CloseKinTrain	StopKinTrain		5	OpenDay4		21:40																		
StartKinTrain2	StartKinTrain		2	OpenDay4	OpenDomainBattle	21:00																		
CloseKinTrain2	StopKinTrain		2	OpenDay4	OpenDomainBattle	21:40																		
UpdateKinLeader	UpdateKinLeader		1234567			0:00																		
StartFactionMonkey	StartFactionMonkey		1234567			0:00																		
EndFactionMonkey	EndFactionMonkey		1234567			0:00																		
KinActivityDaily	KinActivityDaily		1234567			3:55																		
KinTransferCareerNew	KinTransferCareerNew		1234567			0:00																		
NewDayBegin_Zero	NewDayBegin_Zero		1234567			0:00																		
DeclareWarDomainBattle	DeclareWarDomainBattle		246	OpenDomainBattle		0:00																		
AcutionAwardDomainBattle	AcutionAwardDomainBattle		1234567	OpenDomainBattle		19:10																		
NotifyKinDomainBattle	NotifyKinDomainBattle		246	OpenDomainBattle		20:45																		
NotifyDomainBattle	NotifyDomainBattle		246	OpenDomainBattle		20:50																		
StartDomainBattle	StartDomainBattle		246	OpenDomainBattle		21:00																		
CloseDomainBattle	CloseDomainBattle		246	OpenDomainBattle		21:30																		
Activity	CheckAndStartActivity		1234567			0:00																		
CheckNewMonth	CheckNewMonth		1234567			0:00																		
CheckFirstCollection	CheckFirstCollection		1234567	OpenLevel59		4:00																		
UpdateCollectionRankBoard	UpdateCollectionRankBoard		1234567	OpenLevel59		0:00	2:00	4:00	6:00	8:00	10:00	12:00	14:00	16:00	18:00	20:00	22:00							
MarketStallCheckAllLimit	MarketStallCheckAllLimit		1234567			4:10																		
MarketStallOutputLimitData	MarketStallOutputLimitData		1234567			3:00																		
MarketStallCheckWarningMail	MarketStallCheckWarningMail		1234567			0:00																		
TeacherStudentDaily	TeacherStudentDaily		1234567			0:00																		
StartImperialTomb	StartImperialTomb		1234567	OpenDay89		10:00																		
CloseImperialTomb	CloseImperialTomb		1234567	OpenDay89		23:59																		
StartEmperor1	StartEmperor		7	OpenDay89	OpenLevel129Add10	21:55																		
CallBoss1	CallBoss		7	OpenDay89	OpenLevel129Add10	22:00																		
CallEmperor1	CallEmperor		7	OpenDay89	OpenLevel129Add10	22:08																		
CloseEmperor1	CloseEmperor		7	OpenDay89	OpenLevel129Add10	22:30																		
ClearEmperorData1	ClearEmperorData		7	OpenDay89	OpenLevel129Add10	23:00																		
StartEmperor2	StartEmperor		4	OpenDay89		21:55																		
CallBoss2	CallBoss		4	OpenDay89		22:00																		
CallEmperor2	CallEmperor		4	OpenDay89		22:08																		
CloseEmperor2	CloseEmperor		4	OpenDay89		22:30																		
ClearEmperorData2	ClearEmperorData		4	OpenDay89		23:00																		
StartFemaleEmperor	StartFemaleEmperor		7	OpenLevel129Add10		21:55																		
CallBoss3	CallBoss		7	OpenLevel129Add10		22:00																		
CallEmperor3	CallEmperor		7	OpenLevel129Add10		22:08																		
CloseEmperor3	CloseEmperor		7	OpenLevel129Add10		22:30																		
ClearEmperorData3	ClearEmperorData		7	OpenLevel129Add10		23:00																		
OpenIndifferNotify	OpenIndifferNotify		246	OpenDay118		16:15	20:16	22:15													10			
OpenIndifferNotify	OpenIndifferNotify		246	OpenDay118		16:20	20:21	22:20													5			
OpenIndiffer	OpenIndiffer		246	OpenDay118		16:25	22:25																	
CloseInfiffer	CloseInfiffer		246	OpenDay118		16:30	22:30																	
OpenIndiffer2	OpenIndiffer		246	OpenDay118		20:26																		
CloseInfiffer2	CloseInfiffer		246	OpenDay118		20:31																		
ChangeZone_Battle3	ChanageZone		3		OpenLevel109	20:27	22:27														Battle			battle1
ChangeZone_Normal3	ChanageZone		3		OpenLevel109	21:09	23:09														Normal			battle1
ChangeZone_Battle3830	ChanageZone		3	OpenLevel109		20:27	22:27														Battle			battle2
ChangeZone_Normal3830	ChanageZone		3	OpenLevel109		20:58	23:09														Normal			battle2
ChangeZone_Battle5	ChanageZone		5			20:27	22:27														Battle			battle3
ChangeZone_Normal5	ChanageZone		5			21:09	23:09														Normal			battle3
ChangeZone_Baihu	ChanageZone		12456	OpenDay3		23:55	10:55	12:55	14:55	17:02	19:55										Baihu			baihu1
ChangeZone_BaihuNormal	ChanageZone		12456	OpenDay3		0:24	11:24	13:24	15:24	17:24	20:24										Normal			baihu1
ChangeZone_Baihu2	ChanageZone		37	OpenDay3		23:55	10:55	12:55	14:55	17:02											Baihu			baihu1
ChangeZone_BaihuNormal2	ChanageZone		37	OpenDay3		0:24	11:24	13:24	15:24	17:24											Normal			baihu1
ChangeZone_Baihu3	ChanageZone		37	OpenDay3	OpenKeyQuestFuben	19:55															Baihu			baihu1
ChangeZone_BaihuNormal3	ChanageZone		37	OpenDay3	OpenKeyQuestFuben	20:24															Normal			baihu1
ChangeZone_KeyQuetFuben	ChanageZone		37	OpenKeyQuestFuben		19:49															KeyQuestFuben			keyQuest1
ChangeZone_ChangeZone_KeyQuetNormal	ChanageZone		37	OpenKeyQuestFuben		20:22															Normal			keyQuest1
ChangeZone_TeamBattle	ChanageZone		3	OpenLevel109		20:59	23:12														TeamBattle			TeamBattle
ChangeZone_TeamBattle	ChanageZone		3		OpenLevel109	21:12	23:12														TeamBattle			TeamBattle
ChangeZone_TeamBattle	ChanageTeamBattleZone		7			21:12	23:12														TeamBattle			TeamBattle
ChangeZone_TeamBattleNormal	ChanageTeamBattleZone		37			21:28	23:32														Normal			TeamBattle
ChangeZone_Indiffer	ChanageZone		246			16:24	20:25	22:24													Indiffer			Indiffer
ChangeZone_IndifferNormal	ChanageZone		246			17:00	21:00	23:00													Normal			Indiffer
ChangeZone_BiWuZhaoQin	ChanageZone		7			20:25															BiWuZhaoQin			
ChangeZone_BiWuZhaoQinNormal	ChanageZone		7			21:40															Normal			
ChangeZone_BattleQualify	ChanageTeamBattleZone		7			20:27															Battle		WuLinDaHuiAct	BattleQualify
ChangeZone_BattleQualifyNormal	ChanageTeamBattleZone		7			21:09															Normal		WuLinDaHuiAct	BattleQualify
ChangeZone_WLDH	ChanageZone		1234567			15:43															WLDH	WuLinDaHuiAct		WLDH1
ChangeZone_WLDH_Normal	ChanageZone		1234567			16:19															Normal	WuLinDaHuiAct		WLDH1
ChangeZone_WLDH	ChanageZone		1234567			21:29															WLDH	WuLinDaHuiAct		WLDH2
ChangeZone_WLDH_Normal	ChanageZone		1234567			22:04															Normal	WuLinDaHuiAct		WLDH2
ChangeZone_BLBoss	ChanageZone		1			21:53															BLBoss		CloseActBLBoss	BLBoss
ChangeZone_BLBoss_Normal	ChanageZone		1			23:01															Normal		CloseActBLBoss	BLBoss
ChanageZone_ZoneBossMaster	ChanageZone		5	OpenLevel89		12:28	19:28														ZoneBossMaster			ZoneBossMaster
ChanageZone_ZoneBossMaster_Normal	ChanageZone		5	OpenLevel89		12:43	19:43														Normal			ZoneBossMaster
ChangeZone_FactionBattle	ChanageZone		1	OpenLevel109		20:59															FactionBattle		WuLinDaHuiAct	FactionBattle
ChangeZone_FactionBattle_Normal	ChanageZone		1	OpenLevel109		21:41															Normal		WuLinDaHuiAct	FactionBattle
ChangeZone_QYH	ChanageZone		4	OpenLevel79		21:01															QYHCross			QYHCross
ChangeZone_QYH_Normal	ChanageZone		4	OpenLevel79		21:28															Normal			QYHCross
CrossDomainChangeZone	OnCrossDomainChangeZone		7	OpenCrossDomainBattle		20:25															CrossDomain		WuLinDaHuiAct	CrossDomain
CrossDomainChangeZone	ChanageZone		7	OpenCrossDomainBattle		21:41															Normal		WuLinDaHuiAct	CrossDomain
ChangeZone_IndifferAct	ChanageZone		67			13:25															Indiffer	JueDiAct		IndifferAct
ChangeZone_IndifferActNormal	ChanageZone		67			17:00															Normal	JueDiAct		IndifferAct
ChangeKinEncounterZone	ChangeKinEncounterZone		1357	OpenLevel89		20:25															KinEncounter	KinEncounterAct		KinEncounter
ChangeKinEncounterZone	ChangeKinEncounterZone		1357	OpenLevel89		21:42															Normal	KinEncounterAct		KinEncounter
QYHCrossPreStart	DoNothing		4	OpenLevel79		21:02																		
QYHCrossStart	DoNothing		4	OpenLevel79		21:03																		
QYHCrossEnd	DoNothing		4	OpenLevel79		21:27																		
SaveAllPlayerQueryData1	SaveAllPlayerQueryData		1234567			0:00	2:00	4:00	6:00	8:00	10:00	12:00	14:00	16:00	18:00	20:00	22:00							
SaveAllPlayerQueryData2	SaveAllPlayerQueryData		1234567			1:00	3:00	5:00	7:00	9:00	11:00	13:00	15:00	17:00	19:00	21:00	23:00							
CheckCardPickCutAct	CheckCardPickCutAct		3			4:00																		
UpdateCardPickSchedule	UpdateCardPickSchedule		1234567			0:00																		
CheckCalendarHonor	CheckCalendarHonor		1234567			0:00																		
CheckTaskValidTime	CheckTaskValidTime		1234567			5:00																		
UpdateLevelAddExpP	UpdateLevelAddExpP		1234567			4:00	10:00																	
SendLeagueTeamBattleTip	SendLeagueTeamBattleTip		3	OpenLevel109		4:05																		
AcutionDealer	StartAuctionDealer		1234567			19:05																		
ShowAuctionDealerItems	ShowAuctionDealerItems		1234567			12:00																		
WeddingDaily	WeddingDaily		1234567			0:00																		
LotteryDraw	LotteryDraw		7	OpenLevel69		19:30																		
LotteryNotify	LotteryNotify		1	OpenLevel69		19:30																		
LotteryWorldMsg1	LotteryWorldMsg		7	OpenLevel69		19:20															10			
LotteryWorldMsg2	LotteryWorldMsg		7	OpenLevel69		19:25															5			
SendCrossBossKinMail1	SendCrossBossKinMail		4	OpenLevel89		19:45																		
SendCrossBossKinMail2	SendCrossBossKinMail		5	OpenLevel89		4:00																		
WuLinDaShiDayClose	WuLinDaShiDayClose		1234567	OpenLevel39		3:00																		
CrossDomainStartAidSignUp	OnCrossDomainStartAidSignUp		7	OpenCrossDomainBattle		10:00																		
CrossDomainAidSignUpNotice	OnCrossDomainAidSignUpNotice		7	OpenCrossDomainBattle		12:25	19:10																	
CrossDomainLocalAttendMail	OnCrossDomainLocalAttendMail		7	OpenCrossDomainBattle		4:00																		
CrossDomainPrepareNotice	OnCrossDomainPrepareNotice		7	OpenCrossDomainBattle		20:50																		
CrossDomainLocalStart	OnCrossDomainLocalStart		7	OpenCrossDomainBattle		21:00																		
CrossDomainLocalEnd	DoNothing		7	OpenCrossDomainBattle		21:40																		
ChangeZone_BiWuZhaoQin	ChanageZone		1			20:26															BiWuZhaoQin	NpcBiWuZhaoQin_ChangeZone		NPCBiWuZhaoQin
ChangeZone_BiWuZhaoQinNormal	ChanageZone		1			21:40															Normal	NpcBiWuZhaoQin_ChangeZone		NPCBiWuZhaoQin
StartKinSecret	StartKinSecretFuben		1	OpenLevel79		20:30																		
CloseKinSecret	StopKinSecretFuben		1	OpenLevel79		20:55																		
AnalyzeStrongerRecommendData	AnalyzeStrongerRecommendData		1	OpenLevel49		4:00																		
CheckFirstAnalyzeStronger	CheckFirstAnalyzeStronger		1234567	OpenLevel49		4:00																		
StartBBHome	StartHomeBB01		1234567	OpenLevel39		9:00	13:30	18:30	22:30															
EndBBHome	KickoutPlayerBbHome		1234567	OpenLevel39		9:30	14:00	19:00	23:00															
