ResID	ResFilePath	LowResFilePath	LockRotate	Desc
202	Effect/Prefabs/JueSe/TW/at_02_GG.prefab			
203	Effect/Prefabs/JueSe/TW/at_03_GG.prefab			
204	Effect/Prefabs/JueSe/TW/at_04_GG.prefab			
206	Effect/Prefabs/JueSe/zhanshi/JN_01_G_X.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianWang/TW_JN_01_J.prefab		
208	Effect/Prefabs/JueSe/zhanshi/JN_02_G_G.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianWang/TW_JN_02_J.prefab		
210	Effect/Prefabs/JueSe/zhanshi/JN_03.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianWang/TW_JN_03_J.prefab		
212	Effect/Prefabs/JueSe/zhanshi/JN_04_G_X.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianWang/TW_JN_04_J.prefab		
213	Effect/Prefabs/JueSe/zhanshi/JN_04_BUFF.prefab			
214	Effect/Prefabs/JueSe/zhanshi/JN_05_G_X.prefab			
261	Effect/Prefabs/JueSe/ShaoLin/SL_at_01.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/ShaoLin/SL_at_01_J.prefab		
262	Effect/Prefabs/JueSe/ShaoLin/SL_at_02.prefab	Effect/Prefabs/JueSe/Juese_JianBan/ShaoLin/SL_at_02_J.prefab		
263	Effect/Prefabs/JueSe/ShaoLin/SL_at_03.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/ShaoLin/SL_at_03_J.prefab		
264	Effect/Prefabs/JueSe/ShaoLin/SL_at_04.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/ShaoLin/SL_at_04__J.prefab		
266	Effect/Prefabs/JueSe/ShaoLin/SL_JN_01_XuLi.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/ShaoLin/SL_JN_01_XuLi_J.prefab		
268	Effect/Prefabs/JueSe/ShaoLin/SL_JN_02.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/ShaoLin/SL_JN_02_J.prefab		
270	Effect/Prefabs/JueSe/ShaoLin/SL_JN_03.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/ShaoLin/SL_JN_03_J.prefab		
272	Effect/Prefabs/JueSe/ShaoLin/SL_JN_04.prefab			
273	Effect/Prefabs/JueSe/ShaoLin/SL_LHZ_buff.prefab			
275	Effect/Prefabs/JueSe/ShaoLin/SL_buff_fanji.prefab			
281	Effect/Prefabs/JueSe/ShaoLin/SL_jgnm_sf.prefab			
283	Effect/Prefabs/JueSe/ShaoLin/SL_JN_05_01.prefab			
284	Effect/Prefabs/JueSe/ShaoLin/SL_JN_05_02.prefab			
285	Effect/Prefabs/JueSe/ShaoLin/SL_JN_05_03.prefab			
286	Effect/Prefabs/JueSe/ShaoLin/SL_JN_01_01.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/ShaoLin/SL_JN_01_01_J.prefab		
287	Effect/Prefabs/JueSe/ShaoLin/SL_JN_01_02.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/ShaoLin/SL_JN_01_02_J.prefab		
288	Effect/Prefabs/JueSe/ShaoLin/SL_JN_01_03.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/ShaoLin/SL_JN_01_03_J.prefab		
296	Effect/Prefabs/JueSe/NPC/XX/state_forceatk.prefab			
301	Effect/Prefabs/JueSe/emei/at_01_g.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/EMei/EM_at_01_J.prefab		
302	Effect/Prefabs/JueSe/emei/at_02_g.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/EMei/EM_at_02_J.prefab		
303	Effect/Prefabs/JueSe/emei/at_03_g.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/EMei/EM_at_03_J.prefab		
304	Effect/Prefabs/JueSe/emei/at_03.prefab			
306	Effect/Prefabs/JueSe/emei/JN_01.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/EMei/EM_JN_01_J.prefab		
308	Effect/Prefabs/JueSe/emei/JN_02_DD.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/EMei/EM_JN_02_D_J.prefab		
310	Effect/Prefabs/JueSe/emei/JN_03_G.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/EMei/EM_JN_03_J.prefab		
312	Effect/Prefabs/JueSe/emei/JN_04.prefab			
313	Effect/Prefabs/JueSe/emei/JN_04_CX.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/EMei/EM_JN_04_CX_J.prefab		
341	Effect/Prefabs/JueSe/emei/at_JZ_02_G.prefab			
342	Effect/Prefabs/JueSe/emei/at_JZ_01_G.prefab			
346	Effect/Prefabs/JueSe/emei/JN_05_01_G.prefab			
347	Effect/Prefabs/JueSe/emei/JN_05_02_G.prefab			
348	Effect/Prefabs/JueSe/emei/JN_05_03_G.prefab			
349	Effect/Prefabs/JueSe/emei/JN_05_04_G.prefab			
364	Effect/Prefabs/JueSe/emei/JN_mlcz.prefab			
401	Effect/Prefabs/JueSe/taohua/at_01_D.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TaoHua/TH_at_01_D_J.prefab		
402	Effect/Prefabs/JueSe/taohua/at_02_D.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TaoHua/TH_at_02_D_J.prefab		
403	Effect/Prefabs/JueSe/taohua/at_03_D.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TaoHua/TH_at_03_D_J.prefab		
404	Effect/Prefabs/JueSe/taohua/at_03_D.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TaoHua/TH_at_03_D_J.prefab		
406	Effect/Prefabs/JueSe/taohua/JN_01_BUFF.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TaoHua/TH_JN_01_BUFF_J.prefab		
407	Effect/Prefabs/JueSe/taohua/JN_02_D.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TaoHua/TH_JN_02_D_J.prefab		
410	Effect/Prefabs/JueSe/taohua/JN_03.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TaoHua/TH_JN_03_J.prefab		
412	Effect/Prefabs/JueSe/taohua/JN_04_D_G.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TaoHua/TH_JN_04_D_G_J.prefab		
427	Effect/Prefabs/JueSe/taohua/JN_05_01.prefab			
428	Effect/Prefabs/JueSe/taohua/JN_05_02.prefab			
429	Effect/Prefabs/JueSe/taohua/JN_05_03.prefab			
430	Effect/Prefabs/JueSe/taohua/JN_05_04.prefab			
431	Effect/Prefabs/JueSe/taohua/JN_dl.prefab			
435	Effect/Prefabs/JueSe/taohua/JN_04_DM.prefab			
436	Effect/Prefabs/JueSe/taohua/JN_04_D_G_X.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TaoHua/TH_JN_04_D_G_X_J.prefab		
437	Effect/Prefabs/JueSe/taohua/JN_04_DM_X.prefab			
440	Effect/Prefabs/JueSe/taohua/JN_04_D_XS.prefab			
444	Effect/Prefabs/JueSe/taohua/TH_KangJu.prefab			
501	Effect/Prefabs/JueSe/xiaoyao/at_01.prefab			
502	Effect/Prefabs/JueSe/xiaoyao/at_02.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/XiaoYao/XY_at_02.prefab		
503	Effect/Prefabs/JueSe/xiaoyao/at_03.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/XiaoYao/XY_at_03.prefab		
504	Effect/Prefabs/JueSe/xiaoyao/at_04.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/XiaoYao/XY_at_04.prefab		
506	Effect/Prefabs/JueSe/xiaoyao/JN_01_JZ_01.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/XiaoYao/XY_JN_01_JZ_01_J.prefab		
507	Effect/Prefabs/JueSe/xiaoyao/JN_02_CY.prefab			
508	Effect/Prefabs/JueSe/xiaoyao/JN_02_Y.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/XiaoYao/XY_JN_02_Y_J.prefab		
510	Effect/Prefabs/JueSe/xiaoyao/JN_03.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/XiaoYao/XY_JN_03_J.prefab		
513	Effect/Prefabs/JueSe/xiaoyao/JN_04.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/XiaoYao/XY_JN_04_J.prefab		
514	Effect/Prefabs/JueSe/xiaoyao/JN_dl.prefab			
523	Effect/Prefabs/JueSe/xiaoyao/JN_SanYuangGuiYi.prefab			
527	Effect/Prefabs/JueSe/xiaoyao/JN_05_BUFF.prefab			
601	Effect/Prefabs/JueSe/WuDang1/at_01_BJ_J.prefab			
602	Effect/Prefabs/JueSe/WuDang1/at_02_BJ_J.prefab			
604	Effect/Prefabs/JueSe/WuDang1/at_04_BJ_J.prefab			
609	Effect/Prefabs/JueSe/WuDang1/WD_JN_01.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/WuDang/WD_JN_01_J.prefab		
611	Effect/Prefabs/JueSe/WuDang1/WD_JN_02_D.prefab			
613	Effect/Prefabs/JueSe/WuDang1/WD_JN_03_bufff.prefab			
615	Effect/Prefabs/JueSe/WuDang1/WD_JN_04_SJ_01.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/WuDang/WD_JN_04_SJ_01_J.prefab		
616	Effect/Prefabs/JueSe/WuDang1/WD_JN_04_SJ_02.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/WuDang/WD_JN_04_SJ_02_J.prefab		
631	Effect/Prefabs/JueSe/WuDang1/WD_JN_05_DM.prefab			
633	Effect/Prefabs/JueSe/WuDang1/WD_JN_05_LJ_X.prefab			
635	Effect/Prefabs/JueSe/WuDang1/WD_JN_05_DM_X.prefab			
645	Effect/Prefabs/JueSe/WuDang1/WD_JN_03_bufff.prefab			
701	Effect/Prefabs/JueSe/TR/TR_at_01.prefab			
702	Effect/Prefabs/JueSe/TR/TR_at_02.prefab			
703	Effect/Prefabs/JueSe/TR/TR_at_03.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianRen/TR_at_03_J.prefab		
704	Effect/Prefabs/JueSe/TR/TR_at_04.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianRen/TR_at_04_J.prefab		
706	Effect/Prefabs/JueSe/TR/TR_JN_01_BUFF_3.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianRen/TR_JN_01_BUFF_3_J.prefab		
707	Effect/Prefabs/JueSe/TR/TR_JN_01_D.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianRen/TR_JN_01_D_J.prefab		
708	Effect/Prefabs/JueSe/TR/TR_JN_02_D.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianRen/TR_JN_02_D_J.prefab		
711	Effect/Prefabs/JueSe/TR/TR_JN_03.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianRen/TR_JN_03_J.prefab		
722	Effect/Prefabs/JueSe/TR/TR_JN_04_buff.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/TianRen/TR_JN_04_buff_J.prefab		
801	Effect/Prefabs/JueSe/CuiYan/CY_at_01.prefab	Effect/Prefabs/JueSe/Juese_JianBan/CuiYan/CY_at_01_J.prefab		
802	Effect/Prefabs/JueSe/CuiYan/CY_at_02.prefab			
803	Effect/Prefabs/JueSe/CuiYan/CY_at_03.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/CuiYan/CY_at_03_J.prefab		
804	Effect/Prefabs/JueSe/CuiYan/CY_at_04.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/CuiYan/CY_at_04_J.prefab		
806	Effect/Prefabs/JueSe/CuiYan/CY_JN_01_D.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/CuiYan/CY_JN_01_D_J.prefab		
807	Effect/Prefabs/JueSe/CuiYan/CY_JN_01.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/CuiYan/CY_JN_01_J.prefab		
808	Effect/Prefabs/JueSe/JueSe_JianBan/CuiYan/CY_JN_02_D_01_J.prefab			
809	Effect/Prefabs/JueSe/CuiYan/CY_JN_02_D_02.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/CuiYan/CY_JN_02_D_02_J.prefab		
810	Effect/Prefabs/JueSe/CuiYan/CY_JN_03_SF.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/CuiYan/CY_JN_03_SF_J.prefab		
814	Effect/Prefabs/JueSe/CuiYan/CY_JN_02_D_03.prefab			
816	Effect/Prefabs/JueSe/CuiYan/CY_JN_04_D1.prefab	Effect/Prefabs/JueSe/JueSe_JianBan/CuiYan/CY_JN_04_D1_J.prefab		
817	Effect/Prefabs/JueSe/CuiYan/CY_JN_04_JZ.prefab			
831	Effect/Prefabs/JueSe/CuiYan/CY_JN_02_X.prefab			
833	Effect/Prefabs/JueSe/CuiYan/CY_JN_03_CC.prefab			
834	Effect/Prefabs/JueSe/CuiYan/CY_JN_03_XMci.prefab			
837	Effect/Prefabs/JueSe/CuiYan/CY_JN_05.prefab			
839	Effect/Prefabs/JueSe/CuiYan/CY_xbwx_buff.prefab			
870	Effect/Prefabs/JueSe/CuiYan/CY_JN_04_JZ _big.prefab			
927	Effect/Prefabs/JueSe/NPC/XX/du_02.prefab			
942	Effect/Prefabs/JueSe/NPC/Fuben/partner/jushi.prefab			
948	Effect/Prefabs/JueSe/NPC/Fuben/partner/lingxi.prefab			
949	Effect/Prefabs/JueSe/NPC/Fuben/NPC_011-020/npc_019_at_01_d.prefab			
950	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/npc_019_XinYan_BUFF.prefab			
959	Effect/Prefabs/JueSe/NPC/Fuben/partner/shuanglongtuzhu_at_01_D.prefab			
962	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_011-020/boss013_n_zhuixinjian_D.prefab			
968	Effect/Prefabs/JueSe/NPC/Fuben/NPC_011-020/npc_018_feihualuo_jz.prefab			
969	Effect/Prefabs/JueSe/NPC/Fuben/NPC_011-020/npc_018_feihualuo_D.prefab			
970	Effect/Prefabs/JueSe/NPC/Fuben/NPC_011-020/npc_018_mingyuejue_buff.prefab			
973	Effect/Prefabs/JueSe/NPC/Fuben/NPC_100-110/npc_100_qingxinshu_buff.prefab			
974	Effect/Prefabs/JueSe/NPC/Fuben/NPC_081-090/npc_082_at_02.prefab			
984	Effect/Prefabs/JueSe/NPC/Fuben/partner/MuYeLiuXing.prefab			
985	Effect/Prefabs/JueSe/NPC/Fuben/partner/MuYeLiuXing_D.prefab			
986	Effect/Prefabs/JueSe/NPC/Fuben/NPC_031-040/npc_032_at_02_gaoshanliushui_jz.prefab			
1001	Effect/Prefabs/JueSe/UI/tanhao_lv.prefab			
1002	Effect/Prefabs/JueSe/UI/tanhao_lan.prefab			
1003	Effect/Prefabs/JueSe/UI/wenhao_hui.prefab			
1004	Effect/Prefabs/JueSe/UI/wenhao_lv.prefab			
1005	Effect/Prefabs/JueSe/UI/wenhao_lan.prefab			
1006	Effect/Prefabs/JueSe/UI/wenhao_huang.prefab			
1008	Effect/Prefabs/JueSe/UI/JS.prefab			
1009	Effect/Prefabs/JueSe/UI/ZhanChang_qinggong_qishen.prefab			
1010	Effect/Prefabs/JueSe/UI/ZhanChang_qinggong_luodi.prefab			
1059	Effect/Prefabs/JueSe/UI/jigaoyichou.prefab			
1060	Effect/Prefabs/JueSe/UI/ganbaixiafeng.prefab			
1062	Effect/Prefabs/JueSe/BUFF/chuangong.prefab			
1063	Effect/Prefabs/JueSe/BUFF/chuangong_quan.prefab			
1086	Effect/Prefabs/JueSe/BUFF/chuangong_DL.prefab			
1115	Effect/Prefabs/JueSe/NPC/Fuben/partner/duanhunci.prefab			
1295	Effect/Prefabs/JueSe/NPC/Fuben/NPC_100-110/npc_109_at01.prefab			
1296	Effect/Prefabs/JueSe/NPC/Fuben/NPC_111-120/npc_118_heilong.prefab			
1303	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_003_at_01_1.prefab			
1304	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_003_at_01_2.prefab			
1305	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_003_at_01_3.prefab			
1307	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_003_at_03.prefab			
1308	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_111-120/BOSS_111_at_02.prefab			
1314	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_111-120/BOSS_111_at_03.prefab			
1317	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_111-120/BOSS_111_at_01.prefab			
1318	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_111-120/BOSS_111_at_03_BJ.prefab			
1323	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_022_at_01.prefab			
1327	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_022_at_03.prefab			
1328	Effect/Prefabs/JueSe/UI/YuJing_Q.prefab			
1330	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_021_at_01.prefab			
1332	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_021_at_02.prefab			
1335	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_004_at_01.prefab			
1336	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_004_at_02.prefab			
1340	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_022_at_02.prefab			
1350	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/BOSS_002_at_01.prefab			
1367	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_015_DM.prefab			
1368	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_029_at_01.prefab			
1370	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_029_at_02.prefab			
1373	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_015_b_xuli.prefab			
1375	Effect/Prefabs/JueSe/NPC/Fuben/NPC_001-010/npc_003_at_02.prefab			
1376	Effect/Prefabs/JueSe/NPC/Fuben/NPC_001-010/npc_003_at_03.prefab			
1377	Effect/Prefabs/JueSe/NPC/Fuben/NPC_001-010/npc_003_at01_D.prefab			
1380	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_027_at_01.prefab			
1381	Effect/Prefabs/JueSe/NPC/Fuben/NPC_021-030/NPC_027_at_02.prefab			
1383	Effect/Prefabs/JueSe/NPC/Fuben/BOSS_001-010/boss_001_at_01.prefab			
1392	Effect/Prefabs/JueSe/NPC/Fuben/NPC_031-040/npc_032_at01.prefab			
1394	Effect/Prefabs/JueSe/NPC/Fuben/NPC_031-040/npc_032_at02.prefab			
1396	Effect/Prefabs/JueSe/NPC/Fuben/NPC_031-040/npc_032_at_03.prefab			
1398	Effect/Prefabs/JueSe/NPC/HX/npc_fire_6_a.prefab			
1452	Effect/Prefabs/JueSe/UI/YuJing_V_06.prefab			
1453	Effect/Prefabs/JueSe/UI/YuJing_Z.prefab			
1454	Effect/Prefabs/JueSe/UI/YuJing_Q_X.prefab			
1457	Effect/Prefabs/JueSe/NPC/Fuben/TongYong/TY_jinqinggong.prefab			
