SkillId		MagicDesc
317	绵里藏针	[00ff00]userdesc_1011%[-]几率触发击退效果并每[00ff00]recover_life_p2/15[-]秒回复自己[00ff00]recover_life_p1%[-]生命，持续[00ff00]skill_statetime1/15[-]秒，触发间隔[00ff00]userdesc_1021/15[-]秒
323	剑法进阶	提升[峨嵋剑法][00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_waterdamage_v1[-]点水系伤害
341	佛心慈佑	提升自己与队友[00ff00]resist_allseriesstate_rate_v1[-]点抗属性效果几率、[00ff00]resist_allseriesstate_time_v1[-]点抗属性效果时间、[00ff00]resist_allspecialstate_rate_v1[-]点抗负面效果几率与[00ff00]resist_allspecialstate_time_v1[-]点抗负面效果时间
343	佛法无边	永久提升[00ff00]physics_potentialdamage_p1%[-]基础攻击力、[00ff00]lifemax_p1%[-]基础生命、[00ff00]attackspeed_v1[-]点攻击速度、[00ff00]state_slowall_attackrate1[-]点迟缓几率与[00ff00]state_palsy_resisttime1[-]点抗麻痹时间
345	冰心云裳	永久提升自己[00ff00]ignore_deadlystrike_vp1%[-]忽略基础会心几率和[00ff00]weaken_deadlystrike_damage_p1%[-]会心免伤
325	初级·天舞宝轮	[00ff00]userdesc_1011%[-]几率造成虚弱、混乱、沉默、迟缓或冰冻，持续[00ff00]userdesc_1012/15[-]秒。
314	慈航普度	清除与免疫属性效果，持续[00ff00]skill_statetime1/15[-]秒。
320	白露凝霜	[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_waterdamage_v1[-]点水系伤害，同时有[00ff00]state_slowall_attack1%[-]几率附带[00ff00]state_slowall_attack2/15[-]秒的迟缓效果
357	清心普善	提升自身[00ff00]lifereplenish_p1%[-]生命回复效率。天舞宝轮额外回复[00ff00]dir_recover_life_pp1/100%[-]最大生命，慈航普度额外回复[00ff00]userdesc_1011/100%[-]最大生命
365	初级·江海凝波	提高[00ff00]add_usebasedmg_p12%[-]基础攻击
366	中级·江海凝波	提高[00ff00]add_usebasedmg_p12%[-]基础攻击，提高[00ff00]add_slowall_r2%[-]造成迟缓的几率
367	中级·天舞宝轮	减少天舞宝轮冷却时间[00ff00]deccdtime2/15[-]秒。[00ff00]userdesc_1011%[-]几率造成虚弱、混乱、沉默、迟缓或冰冻，持续[00ff00]userdesc_1012/15[-]秒
369	中级·慈航普度	减少慈航普度冷却时间[00ff00]deccdtime2/15[-]秒。清除与免疫属性效果，持续[00ff00]skill_statetime1/15[-]秒
372	中级·白露凝霜	提高白露凝霜[00ff00]add_usebasedmg_p12%[-]基础攻击。对命中目标范围造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_waterdamage_v1[-]点水系伤害，同时有[00ff00]state_slowall_attack1%[-]几率附带[00ff00]state_slowall_attack2/15[-]秒的迟缓效果
374	高级·江海凝波	提高[00ff00]add_usebasedmg_p12%[-]基础攻击、[00ff00]add_slowall_r2%[-]造成迟缓的几率、[00ff00]add_igdefense_p12%[-]最终忽闪几率与[00ff00]add_deadlystrike_p12%[-]最终会心几率
376	高级·天舞宝轮	减少天舞宝轮冷却时间[00ff00]deccdtime2/15[-]秒。降低[00ff00]defense_p1%[-]基础闪避值，持续[00ff00]skill_statetime1/15[-]秒。[00ff00]userdesc_1011%[-]几率造成虚弱、混乱、沉默、迟缓或冰冻，持续[00ff00]userdesc_1012/15[-]秒
378	高级·慈航普度	减少慈航普度冷却时间[00ff00]deccdtime2/15[-]秒；清除与免疫属性效果，持续[00ff00]skill_statetime1/15[-]秒；立刻回复[00ff00]dir_recover_life_pp1/100%[-]最大生命
381	高级·白露凝霜	提高白露凝霜[00ff00]add_usebasedmg_p12%[-]基础攻击与[00ff00]add_deadlystrike_p12%[-]最终会心几率。对击中目标范围造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_waterdamage_v1[-]点水系伤害，同时有[00ff00]state_slowall_attack1%[-]几率附带[00ff00]state_slowall_attack2/15[-]秒的迟缓效果
401	桃花箭术	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_firedamage_v1[-]点火系伤害
407	飞火流星	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_firedamage_v1[-]点火系伤害，[00ff00]state_palsy_attack1%[-]几率麻痹[00ff00]state_palsy_attack2/15[-]秒
406	火凤燎原	提升[00ff00]ignore_all_resist2%[-]的忽略最终抗性、 [00ff00]attackspeed_v1[-]点攻速、[00ff00]runspeed_v1[-]点移动速度和[00ff00]defense_p1%[-]基础闪避，持续[00ff00]skill_statetime1/15[-]秒
410	九曜连珠	初始造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_firedamage_v1[-]点火系伤害，[00ff00]state_palsy_attack1%[-]几率麻痹[00ff00]state_palsy_attack2/15[-]秒；持续伤害每次造成[00ff00]userdesc_1011%[-]基础攻击 + [00ff00]userdesc_1021[-]点火系伤害，[00ff00]userdesc_1031%[-]几率麻痹[00ff00]userdesc_1032/15[-]秒
409	流风回雪	永久提升[00ff00]physics_potentialdamage_p1%[-]基础攻击力、[00ff00]defense_p1%[-]基础闪避与[00ff00]state_hurt_resistrate1[-]点抗受伤几率
412	穿云破月	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_firedamage_v1[-]点火系伤害
443	逆转九阴	近程伤害抗性增加[00ff00]melee_dmg_p1%[-]；每[00ff00]userdesc_1011/15[-]秒第一次受到攻击时若敌人距离自身较近，则击退周身敌人并使其[00ff00]skill_statetime1/15[-]秒内基础攻击力减少[00ff00]physics_potentialdamage_p1%[-]
420	百步穿杨	提升[桃花箭术][00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_firedamage_v1[-]点火系伤害
441	轻云蔽月	攻击速度增加[00ff00]attackspeed_v1[-]点，[桃花箭术]基础攻击增加[00ff00]add_usebasedmg_p12%[-]并且无视无敌，每次持续时间延长[00ff00]skill_statetime1/15[-]秒
425	浴火重生	有[00ff00]userdesc_1011%[-]几率触发[火凤燎原]与每[00ff00]recover_life_p2/15[-]秒回复自己[00ff00]recover_life_p1%[-]生命，持续[00ff00]skill_statetime1/15[-]秒，触发间隔[00ff00]userdesc_1021/15[-]秒
442	凤羽霓裳	永久提升[00ff00]physics_potentialdamage_p1%[-]基础攻击力、[00ff00]lifemax_p1%[-]基础生命、[00ff00]defense_p1%[-]基础闪避、[00ff00]attackspeed_v1[-]点攻击速度、[00ff00]state_palsy_attackrate1[-]点麻痹几率与[00ff00]state_hurt_resisttime1[-]点抗受伤时间
417	初级·飞火流星	[00ff00]rand_ignoreskill1%[-]几率移除[00ff00]rand_ignoreskill2[-]个增益，并有[00ff00]state_burn_attack1%[-]几率灼烧[00ff00]state_burn_attack2/15[-]秒
413	初级·火凤燎原	清除并免疫负面和受伤效果，持续[00ff00]skill_statetime1/15[-]秒
423	初级·穿云破月	基础攻击提高[00ff00]add_usebasedmg_p12%[-]
446	初级·九曜连珠	[00ff00]add_fixed_r2%[-]几率造成[00ff00]add_fixed_t2/15[-]秒定身
447	中级·九曜连珠	[00ff00]add_fixed_r2%[-]几率造成[00ff00]add_fixed_t2/15[-]秒定身；[00ff00]userdesc_1011%[-]几率刷新冷却
448	中级·飞火流星	[00ff00]rand_ignoreskill1%[-]几率移除[00ff00]rand_ignoreskill2[-]个增益，并有[00ff00]state_burn_attack1%[-]几率灼烧[00ff00]state_burn_attack2/15[-]秒；基础攻击增加[00ff00]add_usebasedmg_p12%[-]
450	中级·火凤燎原	增加火凤燎原持续时间[00ff00]add_state_time12/15[-]秒；清除并免疫负面和受伤效果，持续[00ff00]skill_statetime1/15[-]秒
452	中级·穿云破月	冷却时间减少[00ff00]deccdtime2/15[-]秒，基础攻击提高[00ff00]add_usebasedmg_p12%[-]
454	高级·九曜连珠	[00ff00]add_fixed_r2%[-]几率造成[00ff00]add_fixed_t2/15[-]秒定身；[00ff00]userdesc_1011%[-]几率刷新冷却；提高[00ff00]add_usebasedmg_p12%[-]基础攻击
456	高级·飞火流星	[00ff00]rand_ignoreskill1%[-]几率移除[00ff00]rand_ignoreskill2[-]个增益，并有[00ff00]state_burn_attack1%[-]几率灼烧[00ff00]state_burn_attack2/15[-]秒；基础攻击增加[00ff00]add_usebasedmg_p12%[-]；每远离[00ff00]1[-]米伤害提高[00ff00]add_adddmgbydist2/10%[-]
458	高级·火凤燎原	增加火凤燎原持续时间[00ff00]add_state_time12/15[-]秒。清除并免疫负面和受伤效果并增加[00ff00]defense_p1%[-]基础闪避，持续[00ff00]skill_statetime1/15[-]秒
460	高级·穿云破月	冷却时间减少[00ff00]deccdtime2/15[-]秒，基础攻击提高[00ff00]add_usebasedmg_p12%[-]；每次击中所有技能剩余冷却时间缩短[00ff00]reduce_cd_time12/15[-]秒（同时最多触发missile_hitcount3次）
462	月落星沉	[00ff00]userdesc_1021%[-]几率触发：攻击力为目标生命上限的[00ff00]damage_maxlife_p1%[-]，目标生命上限最多视为自身生命上限的[00ff00]damage_maxlife_p2%[-]
501	逍遥枪法	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_wooddamage_v1[-]点木系伤害
510	白虹贯日	对冲刺到的目标，造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_wooddamage_v1[-]点木系伤害，同时有[00ff00]state_zhican_attack1%[-]几率附带[00ff00]state_zhican_attack2/15[-]秒的致缠效果
507	七探蛇盘	[近程攻击]  在多名敌人间穿梭攻击，每次攻击造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_wooddamage_v1[-]点木系伤害，同一目标最多受2次伤害，过程中自身免疫控制效果
506	斗转星移	对目标造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_wooddamage_v1[-]点木系伤害，有[00ff00]state_zhican_attack1%[-]几率致缠[00ff00]state_zhican_attack2/15[-]秒；同时将敌人拉回到自己身边
509	小无相功	永久提升[00ff00]deadlystrike_p1%[-]基础会心、[00ff00]runspeed_v1[-]点移动速度、[00ff00]attackspeed_v1[-]点攻速与[00ff00]state_stun_resistrate1[-]点抗眩晕几率
513	风卷残云	每隔[00ff00]0.33[-]秒造成[00ff00]dotdamage_wood1%[-]基础攻击 + [00ff00]dotdamage_wood2[-]点木系伤害，持续[00ff00]skill_statetime1/15[-]秒；同时对附近的敌人造成浮空，持续[00ff00]state_float_attack2/15[-]秒
522	三元归一	每隔1秒，获得[00ff00]physics_potentialdamage_p1%[-]基础攻击力加成，最多叠加[00ff00]superposemagic1[-]倍；技能攻击命中敌人后，当前已获得的加成可保持[00ff00]skill_statetime1/15[-]秒
532	枪法进阶	提升[逍遥枪法][00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_wooddamage_v1[-]点木系伤害
516	凌波微步	每隔[00ff00]ignoreattackontime1/15[-]秒忽略[00ff00]ignoreattackontime2/15[-]秒攻击
541	逍遥御风	清除并免疫属性和负面效果，同时提升[00ff00]defense_p1%[-]基础闪避值、[00ff00]deadlystrike_p1%[-]基础会心几率和[00ff00]runspeed_v1[-]点移动速度，持续[00ff00]skill_statetime1/15[-]秒，最多叠加[00ff00]superposemagic1[-]层
543	唯我独尊	永久提升[00ff00]physics_potentialdamage_p1%[-]基础攻击力、[00ff00]lifemax_p1%[-]基础生命、[00ff00]all_series_resist_p1%[-]基础全系抗性、[00ff00]attackspeed_v1[-]点攻击速度、[00ff00]state_zhican_attackrate1[-]点致缠几率与[00ff00]state_stun_resisttime1[-]点抗眩晕时间
517	初级·七探蛇盘	额外造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_wooddamage_v1[-]点木系伤害
514	初级·斗转星移	伤害的[00ff00]add_steallife_p2/100%[-]转换成生命回复
519	初级·风卷残云	造成[00ff00]state_zhican_attack2/15[-]秒致缠，全系抗性降低[00ff00]all_series_resist_p1%[-]，持续[00ff00]skill_statetime1/15[-]秒
544	初级·白虹贯日	致缠几率增加[00ff00]add_zhican_r2%[-]，并有[00ff00]add_fixed_r2%[-]几率造成[00ff00]add_fixed_t2/15[-]秒定身
545	中级·白虹贯日	增加[00ff00]add_usebasedmg_p12%[-]基础攻击，致缠几率增加[00ff00]add_zhican_r2%[-]，并有[00ff00]add_fixed_r2%[-]几率造成[00ff00]add_fixed_t2/15[-]秒定身
546	中级·七探蛇盘	冷却时间缩短[00ff00]deccdtime2/15[-]秒；额外造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_wooddamage_v1[-]点木系伤害
548	中级·斗转星移	提高斗转星移[00ff00]add_usebasedmg_p12%[-]基础攻击与[00ff00]add_zhican_t2/15[-]秒致缠时间；伤害的[00ff00]add_steallife_p2/100%[-]转换成生命回复
549	中级·风卷残云	风卷残云冷却时间减少[00ff00]deccdtime2/15[-]秒。造成[00ff00]state_zhican_attack2/15[-]秒致缠，全系抗性降低[00ff00]all_series_resist_p1%[-]，持续[00ff00]skill_statetime1/15[-]秒
552	高级·白虹贯日	增加[00ff00]add_usebasedmg_p12%[-]基础攻击，会心伤害增加[00ff00]add_deadlydmg_p12%[-]，致缠几率增加[00ff00]add_zhican_r2%[-]，并有[00ff00]add_fixed_r2%[-]几率造成[00ff00]add_fixed_t2/15[-]秒定身
554	高级·七探蛇盘	冷却时间缩短[00ff00]deccdtime2/15[-]秒；额外[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_wooddamage_v1[-]点木系伤害；抗属性和负面几率降低[00ff00]resist_allseriesstate_rate_v1[-]点，持续[00ff00]deccdtime2/15[-]秒
556	高级·斗转星移	提高斗转星移[00ff00]add_usebasedmg_p12%[-]基础攻击与[00ff00]add_zhican_t2/15[-]秒致缠时间；伤害的[00ff00]add_steallife_p2/100%[-]转换成生命回复；冷却时间减少[00ff00]deccdtime2/15[-]秒
558	高级·风卷残云	每次伤害提高[00ff00]add_dotdamage_wood2%[-]基础攻击；风卷残云冷却时间减少[00ff00]deccdtime2/15[-]秒；造成致缠[00ff00]state_zhican_attack2/15[-]秒；全系抗性降低[00ff00]all_series_resist_p1%[-]，持续[00ff00]skill_statetime1/15[-]秒
561	悲酥清风	周围每多一个敌人，自动提升[00ff00]all_series_resist_p1%[-]基础全系抗性与[00ff00]physics_potentialdamage_p1%[-]基础攻击力，最多叠加[00ff00]add_mult_proc_sate12[-]倍
601	武当剑法	造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_earthdamage_v1[-]点土系伤害
609	无我无剑	造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_earthdamage_v1[-]点土系伤害，追加[00ff00]damage_curlife_p1%*目标当前生命百分比*目标最大生命[-]的攻击力，目标最大生命最多视为自身最大生命的[00ff00]damage_curlife_p2%[-]，[00ff00]state_stun_attack1%[-]几率眩晕[00ff00]state_stun_attack2/15[-]秒；使用次数最多累计[00ff00]skill_point1/100[-]次
611	人剑合一	造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_earthdamage_v1[-]点土系伤害，[00ff00]state_stun_attack1%[-]几率造成[00ff00]state_stun_attack2/15[-]秒眩晕；施展后重置其他技能冷却；受到技能攻击有[00ff00]userdesc_1011%[-]几率发动[8dccf7]<剑飞惊天>[-]反击，造成[00ff00]userdesc_1021%[-]基础攻击 + [00ff00]userdesc_1031[-]点土系伤害
613	坐忘无我	每点敏捷抵御[00ff00]magicshield1/100[-]点伤害，护盾持续期间有[00ff00]ignore_dmgskill1/100%[-]几率免疫诅咒 ；持续[00ff00]magicshield2/15[-]秒或护盾被击破
614	迷踪幻影	永久提升[00ff00]physics_potentialdamage_p1%[-]基础攻击力、[00ff00]all_series_resist_p1%[-]基础全系抗性、[00ff00]state_slowall_resistrate1[-]点抗迟缓几率和[00ff00]runspeed_v1[-]点移动速度
615	天地无极	每次攻击造成[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_earthdamage_v1[-]点土系伤害，[00ff00]state_stun_attack1%[-]几率眩晕[00ff00]state_stun_attack2/15[-]秒
617	太一真气	永久免疫冰冻，吸取生命增加[00ff00]steallife_p1%[-]；被攻击命中时[00ff00]skill_statetime1/15[-]秒内清除并免疫自身受到的属性效果，触发间隔[00ff00]userdesc_1011/15[-]秒
619	高级剑法	提升[8dccf7]<武当剑法>[-][00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_earthdamage_v1[-]点土系伤害
621	初级·无我无剑	永久提高自身会心伤害[00ff00]deadlystrike_damage_p1%[-]
624	初级·坐忘无我	[8dccf7]<剑飞惊天>[-]的基础攻击力提高[00ff00]add_usebasedmg_p12%[-]，持续[00ff00]5[-]秒
626	初级·天地无极	攻击力为[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_earthdamage_v1[-]点土系伤害
630	玄天心法	触发几率[00ff00]userdesc_1011%[-]，触发间隔[00ff00]userdesc_1021/15[-]秒
645	真武七截	提升自己[00ff00]physics_potentialdamage_p1%[-]基础攻击力，提升附近队友[00ff00]userdesc_1061%[-]基础攻击力
644	太极无意	永久提升[00ff00]physics_potentialdamage_p1%[-]基础攻击力、[00ff00]lifemax_p1%[-]基础生命上限、[00ff00]all_series_resist_p1%[-]基础全系抗性、[00ff00]defense_p1%[-]基础闪避、[00ff00]attackspeed_v1[-]点攻击速度、[00ff00]state_stun_attackrate1[-]点眩晕几率与[00ff00]state_slowall_resisttime1[-]点抗迟缓时间
647	初级·人剑合一	每次穿透后伤害提高[00ff00]addpowerwhencol2%[-]，最多提高[00ff00]addpowerwhencol3%[-]
648	中级·人剑合一	每次穿透后伤害提高[00ff00]addpowerwhencol2%[-]，最多提高[00ff00]addpowerwhencol3%[-]；基础攻击力提高[00ff00]physics_potentialdamage_p1%[-]，攻击速度提高[00ff00]attackspeed_v1[-]点，持续[00ff00]skill_statetime1/15[-]秒
649	中级·无我无剑	永久提高自身会心伤害[00ff00]deadlystrike_damage_p1%[-]；[00ff00]skill_statetime1/15[-]秒内下一次[8dccf7]<武当剑法>[-]会触发[8dccf7]<剑飞惊天>[-]
652	中级·坐忘无我	[8dccf7]<剑飞惊天>[-]的基础攻击力提高[00ff00]add_usebasedmg_p12%[-]，持续[00ff00]5[-]秒；每点敏捷增加[00ff00]add_shield2/100[-]点抵御伤害
654	中级·天地无极	额外的范围攻击攻击力为[00ff00]attack_usebasedamage_p1%[-]基础攻击 + [00ff00]attack_earthdamage_v1[-]点土系伤害；发招后[00ff00]skill_statetime1/15[-]秒内忽略全系抗性增加[00ff00]ignore_all_resist_vp1%[-]，生命吸取增加[00ff00]steallife_p1%[-]
656	高级·人剑合一	每次穿透后伤害提高[00ff00]addpowerwhencol2%[-]，最多提高[00ff00]addpowerwhencol3%[-]；基础攻击力提高[00ff00]physics_potentialdamage_p1%[-]，攻击速度提高[00ff00]attackspeed_v1[-]点，持续[00ff00]skill_statetime1/15[-]秒；所有直接攻击技能伤害提高[00ff00]style_skill_damage_p2%[-]
658	高级·无我无剑	永久提高自身会心伤害[00ff00]deadlystrike_damage_p1%[-]；[00ff00]skill_statetime1/15[-]秒内下一次[8dccf7]<武当剑法>[-]会触发[8dccf7]<剑飞惊天>[-]；施展间隔缩短[00ff00]deccdtime2/15[-]秒
661	高级·坐忘无我	[8dccf7]<剑飞惊天>[-]的基础攻击力提高[00ff00]add_usebasedmg_p12%[-]，持续[00ff00]5[-]秒；每点敏捷额外增加[00ff00]add_shield2/100[-]点抵御伤害；[00ff00]skill_statetime1/15[-]秒内远近程伤害抗性增加[00ff00]melee_dmg_p1%[-]
