MissileId	MissileName	MoveKind	Speed	DmgRangeType	DmgRange	DmgRangeY	IgnoreDmgRange	DmgInterval	LifeTime	DelayDeleteFrame	IsDmgVanish	CanRepeatDmg	MissileResID	CollResID	DmgRangeSpeed	IsDrag	PosOffsetLenght	IsNoChangeDir	MissRate	CollSoundID	FlySoundID	VanishSoundID	ColFollowTarget	AcceSpeed	CollBrigth	CollBrigthFrame	IsIgnoreBarrier	AutoExplode	VanishResID	MissileHeight	HeightSpeed	EnemyResID	IsRepresent	IsChildInheritDir	MissileParam1	MissileParam2	MissileParam3	MissileParam1Des	MissileParam2Des	MissileParam3Des	IsChildInheritPowerAdd	IsNotHeightSpeed	InheritPos	IsHitFloat
132	连环箭	1	100	1	5			1	12		1		132	3401																														
133	铁骑突袭	1	100	1	4				30				132	3403			100										1																	
134	万箭齐发	0	0	1	60				3																		1																	
135	万箭齐发_子	0	0	1	6			6	25				135	3401				1							1000	3	1																	
136	焚星落羽	1	60	0	3				15			1					-100																											
137	焚星落羽_子1	1	20	0	3				10			1																																
138	焚星落羽_子2	0	0	0	10				25				138																															
139	焚星落羽_子3	0	0	0	6				150		1		139																															
140	枪法	0	0	0	9				6					3501			120								1000	3	1																	
141	遣散	1	60	1	5				10				401											30			1																	
142	横扫千军	0	0	0	20				5					3027											1000	3																		
144	长枪贯日_子	1	120	0	6				6					3027			110								1000	3	0																	
146	撕咬	0	0	0	5				3					146											1000	3																		
147	潜土突刺	0	0	1	10				10					3401											1000	3																		
148	狼王地裂	1	180	1	5				3															30			1																	
150	瞬身撕咬_子1	0	0	0	5				2		1			3022																														
151	瞬身撕咬_子2	0	0	0	0				25				6508																															
152	潜土突刺_效果	0	0	0	3				30				1827														1																	
153	角击	0	0	0	5				10					342												3																		
154	漩涡	0	0	1	20			15	61			1	154	3025		1										3																		
156	寒冰冲顶_子	0	0	1	16				3					342			50									3	1																	
157	撕咬	0	0	0	5				10					146												3																		
160	甩尾	1	60	1	7				20				160	3027			80							10			1																	
162	风刃舞	0	0	1	25				5					3027												3																		
163	影风斩	1	60	1	5				20				163														1																	
164	龙卷呼啸	1	30	1	5				60				62				80										1																	
165	天火烈爪	0	0	0	9				6					165			120									3	1																	
166	npc近身单体3_刀光金	0	0	0	1				3					166																														
167	npc近身单体3_刀光水	0	0	0	1				3					167																														
168	npc近身单体3_刀光火	0	0	0	1				3					168																														
169	npc近身单体3_刀光木	0	0	0	1				3					169																														
170	npc近身单体3_刀光土	0	0	0	1				3					170																														
171	狼王地裂_效果	0	0	0	6				30				148				250										1																	
172	影风斩_子1	1	60	0	8				20																		1																	
173	影风斩_子2	0	0	1	5				20				173														1																	
174	npc近身单体_地	0	0	0	1				3					3024																														
175	npc近身单体_水	0	0	0	1				3					3025																														
176	npc近身单体_火	0	0	0	1				3					3026																														
177	npc近身单体_风	0	0	0	1				3					3027																														
178	群体刀光重击	0	0	1	10				20				178				0																											
179	群体刀光重击_子	0	0	1	10				3								0																											
180	群体重击	0	0	1	10				3					180																														
181	自爆	0	0	1	8				3																																			
182	弓箭	1	120	0	3				9				182	3401										10			1																	
183	焚星落羽_子4	0	0	0	10				25				4139																															
184	焚星落羽_子5	0	0	0	10				3																																			
187	烈焰奔袭_伤害	1	140	0	12				6					3026			110										0																	
188	烈焰奔袭_效果	0	0	0	6				20				52				0										1																	
196	交叉刀光_金	1	70	0	5				14				196	166													1																	
201	天王锤法	0	0	0	13				3					3024			126			6201					1000	3	1																	
202	天王锤法2	0	0	0	13				3					3024			126			6201					1000	3	1																	
203	天王锤法3	0	0	0	13				3					3024			126			6201					1000	3	1																	
204	天王锤法4	0	0	0	13				3					3024			126			6201					1000	3	1																	
207	野蛮冲撞_子	0	0	0	14				3					3024											1000	3	1																	
208	霸王怒吼	0	0	1	26				3					3024											1000	3	1																	
211	血战八方_子1	0	0	1	20				3					3024											1000	3	1																	
214	日月山河碎	0	0	0	32				70					3024													1						1											
215	日月山河碎_子	0	0	0	64				50		1			3024											1000	3	1																	
247	气盖八荒_子.伤害	0	0	1	15				3	12			208	3024											1000	3	1																	
261	少林棍法	0	0	0	13				3					3261			126			5805					1000	3	1																	
262	少林棍法2	0	0	0	13				3					3261			126			5805					1000	3	1																	
263	少林棍法3	0	0	1	26				3					3263						5805					1000	3	1																	
264	少林棍法4	0	0	1	26				3					3263						5805					1000	3	1																	
266	降龙棍	1	750	0	13				2					3024	1										1000	3	1																	
268	大力金刚指	0	0	0	13				5					3268											1000	3	1																	
272	十二擒龙手	0	0	1	26				3					3024											1000	3	1																	
274	罗汉阵_子	0	0	1	20				3	12			275	3024						5810					1000	3	1																	
283	日月山河碎	0	0	0	32				70					3024													1						1											
284	日月山河碎_子	0	0	0	64				50		1			3024											1000	3	1																	
286	降龙棍_特效1	0	0	0	5				30				286				50										1						1											
287	降龙棍_特效2	0	0	0	5				30				287				250										1						1											
288	降龙棍_特效3	0	0	0	5				30				288				500										1						1											
290	金刚怒目_特效	0	0	1	20				30				281														1																	
297	十二擒龙手秘籍_子	0	0	1	26				3					3024													1																	
299	罗汉金身_子	2	200	1	5				2		1																																	
301	峨眉剑法	1	120	0	10				5				3301	341						5305				10	1000	3	1																	
302	峨眉剑法2	1	120	0	10				5				3302	341						5305				10	1000	3	1																	
303	峨眉剑法3	1	120	0	10				5				3303	342						5305				10	1000	3	1																	
304	峨眉剑法4	1	120	0	10				5				3304	342						5305				10	1000	3	1																	
305	峨眉剑法4_子	1	120	0	10				5				3304											10			1																	
306	慈航普度	2	250	1	8				75				306														1																	1
307	慈航普度_效果	0	0	1	8				3		1																1																	1
308	白露凝霜	2	60	1	5				30			1	308	3308			150			5309					1000	3	1																	
310	江海凝波	1	90	1	14				10				310				280										1						1											
311	江海凝波_子	1	90	1	14				10					3025			80			5311					1000	3	1																	
312	天舞宝轮	0	0	1	26			15	90			1	313	3312													1					6312												
313	天舞宝轮_子1	0	0	1	26				3					3313						5313					1000	3	1																	
319	绵里藏针_子2	0	0	1	20				3					3025													1																	
321	玄冰无息_子	0	0	1	12				3					3025													1																	
322	玄冰无息_特效	0	0	1	12				15				1837														1																	
324	剑法进阶_伤害	1	120	0	10				5					342						5305				10	1000	3	1																	
327	六道轮回_子2	0	0	0	1				2																																			
336	六道轮回_虚弱	0	0	0	1				2																																			
337	六道轮回_混乱	0	0	0	1				2																																			
338	六道轮回_沉默	0	0	0	1				2																																			
339	六道轮回_迟缓	0	0	0	1				2																																			
340	六道轮回_冰冻	0	0	0	1				2																																			
341	佛心慈佑	0	0	0	64				2																																			
342	佛心慈佑_队友	0	0	0	64				2																																			
345	作废	0	0	0	64				2																																			
346	冰魄红莲劫	0	0	0	64				15					3025	1										1000	3																		
348	冰魄红莲劫_效果1	0	0	0	6				15				349				150										1						1											
349	冰魄红莲劫_效果2	0	0	0	6				15				348				270										1						1											
350	冰魄红莲劫_效果3	0	0	0	6				15				348				390										1						1											
351	冰魄红莲劫_效果4	0	0	0	6				15				347				510										1						1											
352	冰魄红莲劫_效果5	0	0	0	6				15				346				630										1						1											
353	冰魄红莲劫_效果6	0	0	0	6				15				346				750										1						1											
354	冰魄红莲劫_效果7	0	0	0	6				20				346				750										1						1											
355	冰魄红莲劫_效果8	0	0	0	6				20				346				850										1						1											
364	绵里藏针_特效	0	0	1	20				30				364												1000	3	1																	
401	桃花箭术1	1	150	0	10				6				401	3401						5405				30	1000	3	1																	
402	桃花箭术2	1	150	0	10				6				402	3402						5405				30	1000	3	1																	
403	桃花箭术3	1	150	0	10				6				402	3402						5405				30	1000	3	1																	
404	桃花箭术4	1	150	0	10				6				403	3403						5405				30	1000	3	1																	
407	飞火流星	1	750	0	20				2					3407						5408					1000	3	1																	
408	飞火流星_表现	1	60	0	6				13				407				200							60			1						1											
410	九曜连珠	0		1	15				3	23			410	3026																														
411	九曜连珠_子	0	0	1	15			3	16			1		3026						5411					1000	3																		
412	穿云破月	1	200	0	15				6					3412						5413			1		1000	3	1																	
435	穿云破月_表现1.旧	0	0	0	15				11				435										1				1						1											
436	穿云破月_表现1.小箭	1	200	0	15				6				436				-100						1				1						1											
437	穿云破月_辅效果2.旧	0	0	0	15				11				437										1				1						1											
438	穿云破月_表现2.大箭.触发减cd	1	200	0	15				6				412										1				1																	
440	穿云破月_表现3.大箭.拖尾	1	200	0	15				15				440										1				1						1											
418	初级·飞火流星_子_驱散和灼伤	0	0	1	2				2		1																																	
421	百步穿杨_伤害	1	150	0	10				6					3403						5405				30	1000	3	1																	
422	百步穿杨_3子弹特效	1	150	0	10				6				403											30			1																	
427	落花焚星焱	1	60	0	3				11			1					-100										1						1											
428	落花焚星焱_子1	1	20	0	3				10			1															1						1											
429	落花焚星焱_落箭	0	0	0	10				6				428														1						1											
430	落花焚星焱_伤害	0	0	0	64			5	31			1		3026													1																	
431	落花焚星焱_地裂	0	0	0	10				23			1	3428														1						1											
444	逆转九阴_子.击退并降低攻击	0	0	1	29				3	27			444	3026											1000	3	1																	
463	月落星沉	2	150	1	3				30				412	3401											1000	3	1																1	
465	飞火流星_击退	1	500	0	20				2																1000	3	1																	
501	逍遥枪法1	0	0	0	13				6					3501			126			5505					1000	3	1																	
502	逍遥枪法2	0	0	0	13				6					3502			126			5505					1000	3	1																	
503	逍遥枪法3	0	0	0	13				6					3503			126			5505					1000	3	1																	
504	逍遥枪法4	0	0	0	13				6					3504			126			5505					1000	3	1																	
506	斗转星移	0	0	0	5				12					506									1		1000	3	1																	
508	七探蛇盘_子1	0	0	0	5				2		1														1000	3	1																	
528	七探蛇盘_子2	0	0	0	0				25				507														1						1											
529	七探蛇盘_子3	0	0	0	0				25				6508														1						1											
511	白虹贯日_子1	1	140	0	12				6					3027			110								1000	3																		
513	风卷残云	0	0	1	25				5					3027											1000	3	1																	
518	惊雷破天_子	0	0	0	3				10					1314													1																	
520	初级·风卷残云_子1_追加致残	0	0	0	5				10																																			
526	斗转星移_子	0	0	0	5				12														1				1																	
527	寰宇逍遥游	0	0	0	64				5					3027											1000	3	1																	
535	寰宇逍遥游_伤害	0	0	0	64				5					3027											1000	3	1																	
534	逍遥枪法3-击退	0	0	0	10				6					3503			130								1000	3	1																	
601	武当剑法	0	0	0	13				6					3601			126			5605					1000	3	1																	
602	武当剑法2	0	0	0	13				6					3602			126			5605					1000	3	1																	
603	武当剑法3	0	0	0	13				6					3603			126			5605					1000	3	1																	
604	武当剑法4	0	0	0	13				6					3604			126			5605					1000	3	1																	
606	人剑合一.剑飞惊天	1	200	0	10				6				3304	3601			-100								1000	3	1																	
609	无我无剑	0	0	1	20				6	39			609	3603			200			5605					1000	3	1																	
612	人剑合一.伤害	1	250	0	15				4	2			611	3603			-150			5605					1000	3	1																	
615	天地无极	0	0	1	25				5	10			615	3615											1000	3	1																	
616	天地无极.二段伤害	0	0	1	25				5	30			616	3615											1000	3	1																	
627	初级·天地无极_自身范围伤害	0	0	1	25				5					3615											1000	3	1																	
631	万剑封天诀	1	60	0	3				11			1					-100										1																	
632	万剑封天诀_子1	1	20	0	3				10			1															1																	
633	万剑封天诀_落剑	0	0	0	10				15				633														1																	
634	万剑封天诀_伤害	0	0	0	64			9	19			1		3603											1000	3	1																	
635	万剑封天诀_地裂	0	0	0	10				23			1	635														1																	
645	真武七截	0	0	0	64				2																																			
646	真武七截_队友	0	0	0	64				2																																			
666	七星诀.自身范围诅咒	0	0	1	25				5																1000	3	1																	
701	天忍刺杀术	0	0	0	13				3					3701			126			5705					1000	3	1																	
702	天忍刺杀术2	0	0	0	13				3					3701			126			5705					1000	3	1																	
703	天忍刺杀术3	0	0	0	13				3					3703			126			5705					1000	3	1																	
704	天忍刺杀术4	0	0	0	13				3					3703			126			5705					1000	3	1																	
705	魔焰在天	3	0	1	25			7	225			1															1																	
707	魔焰在天_子2	2	50	0	10			1	15		1		707	3707							5708				1000	3	1																	
708	死亡回旋	2	135	1	12				16		1			3701			100							1	1000	3	1		3710															
709	死亡回旋_子1	2	135	1	1				16		1		708				150							1			1						1											
714	血月之影_普攻1	0	0	0	13				3					3701			126			5705					1000	3	1																	
715	血月之影_普攻2	0	0	0	13				3					3701			126			5705					1000	3	1																	
716	血月之影_普攻3	0	0	0	13				3					3703			126			5705					1000	3	1																	
717	血月之影_普攻4	0	0	0	13				3					3703			126			5705					1000	3	1																	
722	摄魂乱心	2	250	1	20				74				722														1																	
723	摄魂乱心_子1	0	0	1	20				5					3026		1									1000	3	1																	
738	摄魂乱心_子2	2	250	1	20				10				3722														1																	
740	千魔影幻杀_伤害	0	0	0	64				3					3740											1000	3	1																	
771	飞鸿无迹_子	0	0	1	5				3		1																																	
801	翠烟御伞诀	1	120	0	10				6				3801	6801						5905				10	1000	3	1																	
802	翠烟御伞诀2	1	120	0	10				6				3802	6801						5905				10	1000	3	1																	
803	翠烟御伞诀3	1	120	0	10				6				3803	6803						5905				10	1000	3	1																	
804	翠烟御伞诀4	1	120	0	10				6				3804	6803						5905				10	1000	3	1																	
805	璇玑罗舞_子1_子.直线攻击	1	120	0	7				6				3805	6803						5905				10	1000	3	1																	
806	璇玑罗舞	1	100	1	9			1	7			1	806	342			100								1000	3	1																	
807	璇玑罗舞_子1.持续dohitskill	0	0	1	72			10	121			1	807														1					6807												
808	雨打梨花	2	250	1	5			76	75				808														1					1454												
809	雨打梨花_特效	2	250	1	5			72	71				814														1																	
813	冰踪无影_子.冰冻	0	0	1	15				3											5911					1000	3	1																	
814	雨打梨花_特效3_作废	0	0	1	18				70																		1					1454												
816	冰踪无影.跟踪子弹	2	60	1	5				30		1		816	817						5911					1000	3	1																	
817	冰踪无影_子.伤害	0	0	1	15				3																																			
818	雪影	0	0	0	64				2																																			
819	雪影_队友	0	0	0	64				2																																			
826	冰肌玉骨_子2	0	0	1	20				3					3025													1																	
828	璇玑罗舞_子2.击退_作废	1	100	1	9			1	6			1		342											1000	3	1																	
829	雨打梨花伤害	0	0	1	18				3					342											1000	3	1																	
830	雨打梨花伤害2_作废	0	0	1	18				3					342											1000	3	1																	
831	雨打梨花伤害3_作废	0	0	1	18				3					342											1000	3	1																	
832	熊猫-爪子	0	0	0	1				3					1899																														
834	熊猫冲顶_子	0	0	1	12				3					3834			50									3	1																	
837	翠烟怒气	0	0	0	64				3					6801													1																	
839	冰肌玉骨_子3	0	0	1	20				30				839														1																	
869	中级·冰踪无影.冰冻结束伤害	0	0	1	15				3	22			364							5911					1000	3	1																	
870	初级·冰踪无影.变大特效	0	0	1	15				25				870																															
879	高级·召唤啵啵_减普攻光环.范围子弹	0	0	1	25				3																		1																	
901	挥砍术	0	0	0	1				3					166																														
902	冰锥术	1	70	0	5				30		1		2560	3025			50																											
903	飞镖术	1	70	0	3				8		1		1394	3027																														
904	火球术	1	70	0	5				10		1		1835	3412																														
905	雷光术	1	70	0	3				16		1		106	3024																														
906	破天斩	0	0	0	1				3					166																														
907	冰封指	1	70	0	5				30		1		2560	3025			50																											
908	袖里箭	1	70	0	3				8		1		1394	3027																														
909	烈焰指	1	70	0	5				10		1		1835	3412																														
910	怒雷指	1	70	0	3				16		1		106	3024																														
911	半月斩	0	0	0	15				3					4305			120										1																	
912	惊涛骇浪	1	30	1	14				30				310				180																1											
913	惊涛骇浪_子	1	30	1	14				30					3025			80			5311					1000	3																		
914	穿心刺	0	0	0	14				3					3024													1																	
915	穿心刺_效果	0	0	0	14				20				1827														1																	
916	推山填海	0	0	0	6			8	81			1	52					1																										
917	九天狂雷	2	100	1	6				25					1314																														
918	九天狂雷_伤害	0	0	1	6				3																																			
919	九天狂雷_地裂效果	0	0	1	6				25				1318																															
921	治愈术	0	0	0	8				40				306																															
923	群体治愈术	0	0	0	64				5					3312																														
925	百草仙露	0	0	0	64				5					306																														
928	群体毒瘴	0	0	0	64				5																																			
931	群体金刚	0	0	0	64				5																																			
934	群体明王	0	0	0	64				5																																			
940	蓄力箭	1	100	1	5				7					3403										30			1																	
941	蓄力箭_效果	1	100	1	5				7				132											30			1																	
942	巨石	0	0	1	8				8				942														1		24															
943	巨石_伤害	0	0	1	8				3					3024													1																	
944	投掷	1	60	0	3				16		1		54	3024																														
945	飞羽	1	60	0	3				16		1		54	3024																														
946	振翅	1	60	0	8				15				62														1																	
947	撞击	1	60	0	5				3					3059																														
948	灵犀	0	0	0	64				2																																			
949	天罗地网	1	60	0	3				16		1		949	3949																														
951	驭雷术	0	0	1	6				25				1314																															
952	驭雷术_伤害	0	0	1	6				3																																			
953	呼风术	1	25	0	6				28						1																													
954	呼风术_效果	1	30	0	6				40				62				100										1																	
956	影袭_子1	1	100	0	5				5				40	168										10																				
957	影袭_子2	0	0	0	0				25																																			
959	双龙吐珠	1	50	0	3				16		1		959	3959																														
960	阴风蚀骨	1	50	0	4				8					3027	1																													
961	阴风蚀骨_效果	0	0	0	4				30				1548														1																	
962	追心箭	1	60	0	4				16		1		962	3962																														
963	明察秋毫	0	0	0	64				2																																			
964	琉璃散落	1	60	1	5				20		1		1570	3027			100										1																	
965	落樱漫天	0		1	15			10	26			1	410																				1											
966	落樱漫天_子	0	0	1	15			3	16			1		3026						5411					1000	3																		
967	风来吴山	3	0	1	20			7	141			1	2880	167																														
968	飞花落	0	0	1	6				4					3026															968															
969	飞花落_特效	0	0	1	6				15				969																															
971	寻觅彩虹	0	0	0	6				10				2696				50																											
972	寻觅彩虹_子	2	60	0	6				25		1		2696	3025			50																											
974	沧月	0	0	0	3				3					3027																														
975	斗转星移	0	0	0	5				12					506									1		1000	3																		
976	斗转星移_子	0	0	0	5				12														1																					
977	风花雪月	1	80	0	5				9		1		2641	3025			50																											
978	风雪冰天	0	0	1	14				25				1377					1									1																	
979	风雪冰天_伤害	0	0	1	14				3					3025													1																	
980	魔焰在天	3	0	1	20			7	225			1																																
982	魔焰在天_子2	2	50	0	10			1	15		1		707	3707																														
983	翠烟掌法	1	60	0	4				12				55	3025																														
984	牧野流星	0	0	1	6				4					3025															984															
985	牧野流星_特效	0	0	1	6				15				985																															
986	高山流水	0	0	0	5				3					986																														
988	云海梦蝶	0	0	0	64				2																																			
989	爪击	0	0	0	1				3					3022																														
990	爪击	0	0	0	1				3					3022																														
991	挥砍	0	0	0	1				3					166																														
992	落石	0	0	1	8				8				942														1		24															
993	落石_伤害	0	0	1	8				3					3024													1																	
994	投掷	1	60	0	3				16		1		54	3024																														
996	剥及而复	0	0	0	8				5					3604									1																					
997	剥及而复_特效	0	0	0	8				25				2802										1																					
998	人剑合一	1	120	0	6				8				611	3603										20																				
999	慈航普度	0	0	0	8				40				306																															
1031	商会守卫_中程爪子	0	0	0	1				3					3022																														
1032	商会守卫_中程爆点	0	0	0	1				3					3021																														
1101	行云诀	0	0	0	8				3					3024			100			6201					1000	3	1																	
1102	惊雷诀	0	0	0	8				3					3024			100			6201					1000	3	1																	
1103	降龙诀	0	0	0	9				3					3024			110			6201					1000	3	1																	
1104	破天诀	0	0	0	10				3					3024			120			6201					1000	3	1																	
1111	回风落雁	0	0	0	8				3					3024			100			6201					1000	3	1																	
1112	回风落雁2	0	0	0	8				3					3024			100			6201					1000	3	1																	
1113	回风落雁3	0	0	0	9				3					3024			110			6201					1000	3	1																	
1114	回风落雁4	0	0	0	10				3					3024			120			6201					1000	3	1																	
1116	断魂刺_子	0	0	1	5				12					3024													1																	
1131	峨眉剑法	1	100	0	5				6				3301	341						5305																								
1132	峨眉剑法2	1	100	0	5				6				3302	341						5305																								
1133	峨眉剑法3	1	100	0	5				6				3303	342						5305																								
1134	峨眉剑法4	1	100	0	5				6				3304	342						5305																								
1136	江海凝波	1	30	1	14				35				310				180																											
1137	江海凝波_子	1	30	1	14				35					3025			80			5311																								
1140	峨眉剑法	1	100	0	5				6				3301	341						5305																								
1141	峨眉剑法2	1	100	0	5				6				3302	341						5305																								
1142	峨眉剑法3	1	100	0	5				6				3303	342						5305																								
1143	峨眉剑法4	1	100	0	5				6				3304	342						5305																								
1144	天舞宝轮	0	0	1	26			15	150			1	313	3312																		6312												
1145	天舞宝轮_子	0	0	1	26				3					3313						5313																								
1181	桃花箭术	1	200	0	5				10		0		401	3401						5405				30	1000	3	1																	
1182	桃花箭术2	1	150	0	5				10		0		402	3402						5405				20	1000	3	1																	
1183	桃花箭术3	1	150	0	5				10		0		402	3402						5405				20	1000	3	1																	
1184	桃花箭术4	1	150	0	5				10		0		403	3403						5405				30	1000	3	1																	
1188	飞火流星	1	80	0	6				8					3407	1										1000	3																		
1189	飞火流星_效果	1	60	0	6				13				407				200							60			1																	
1191	桃花箭术	1	200	0	5				10		0		401	3401						5405				30	1000	3	1																	
1192	桃花箭术2	1	150	0	5				10		0		402	3402						5405				20	1000	3	1																	
1193	桃花箭术3	1	150	0	5				10		0		402	3402						5405				20	1000	3	1																	
1194	桃花箭术4	1	150	0	5				10		0		403	3403						5405				30	1000	3	1																	
1221	逍遥枪法1	0	0	0	9				6					3027			120								1000	3	1																	
1222	逍遥枪法2	0	0	0	9				6					3027			120								1000	3	1																	
1223	逍遥枪法3	0	0	0	10				6					3027			130								1000	3	1																	
