AutoName	AutoId	AutoType	CastPercent	CastSkillId	CastSkillLevel	ParentSkillId	RelativeSkillStyle	TargetStateStyle	MinPerCastTime	MaxCastCount	Param1	Param2
同伴.勇敢	98	18	{1,100},{10,100}	2601	-1					-1		
同伴.不屈	99	18	{1,100},{10,100}	2603	-1					-1		
真元.冰清玉润	100	6	{1,100},{10,100}	3802	-1				{1,15*60},{3,15*50},{8,15*40},{16,15*36}	-1		
真元.逆水行舟	101	6	{1,100},{10,100}	3805	-1				{1,15*50},{3,15*40},{8,15*30},{16,15*22}	-1		
女帝之力	102	13	{1,30},{30,30}	3922	-1				{1,15*5},{10,15*5}	-1		
经脉.任脉·曲骨	103	2	{1,30},{20,50}	4802	-1		normal_melee,normal_remote		{1,15*10},{20,15*5}	-1		
经脉.督脉·长强	104	13	{1,5},{20,15}	4805	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*15},{20,15*10}	-1		
经脉.冲脉·幽门	105	1	{1,25},{20,25}	4808	-1		normal_melee,normal_remote,skill_melee,skill_remote,control,skill_sp_gold		{1,15*38},{20,15*18}	-1		
经脉.阳跷脉.睛明	106	12	100	4810	-1				{1,15*45},{20,15*30}	-1		
经脉.阴跷脉·公孙	107	2	{1,100},{20,100}	4812	-1		skill_melee,skill_remote,control,skill_sp_gold		{1,15*38},{20,15*20}	-1		
经脉.阳维脉·金门	108	9	{1,100},{20,100}	4814	-1		normal_melee,normal_remote,skill_melee,skill_remote,control,skill_sp_gold		{1,15*10},{20,15*10}	-1		
段氏.妙谛指	111	2	{1,20},{10,50},{11,53}	5634	-1		normal_melee,normal_remote		15	-1		
段氏.枯荣禅功	112	4	{1,40},{10,90},{11,95}	5643	-1				{1,15*30},{10,15*30}	-1		
段氏.北冥神功.减敌方基础攻击	113	13	100	5647	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold			-1		
段氏.北冥神功.冰环触发buff	114	2	100	5649	-1		normal_melee,normal_remote		3*15	-1		
段氏.秘籍.水龙狱.提高生命上限与回复生命	115	2	100	5667	-1	5627,5628			1*15	-1		
万花.墨守成规	116	27	100	5832	-1	5805,5810,5812,5839				-1		
万花.墨守成规_叠加BUFF	117	27	100	5833	-1	5808			15*15	-1		
万花.虎啸山林	118	3	{1,40},{10,90},{11,95}	5845	-1				{1,15*30},{10,15*30}	-1		
五毒.百毒穿心	119	9	{1,100},{10,100}	4342	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*6},{10,15*3},{11,15*3}	-1		
五毒.无形蛊	120	13	{1,50},{10,70},{11,75}	4346	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*5},{10,15*5}	-1		
五毒.回魂秘咒	121	4	{1,40},{10,90},{11,95}	4348	-1				{1,15*30},{10,15*30}	-1		
五毒.五毒奇经_五毒	122	2	{1,2},{10,20},{11,22}	4351	-1		skill_melee,skill_remote,skill_sp_gold		{1,15*5},{10,15*5}	-1		
五毒.阴风蚀骨.高级秘籍	123	24	{1,0},{15,0},{16,100},{20,100}	4371	-1	4309				-1		
华山.风送紫霞秘籍.成功引爆概率回复1剑意	124	2	{1,10},{10,100},{11,100},{20,100}	5205	1	5236				-1		
华山.风送紫霞秘籍.每隔一段时间叠加紫气	125	6	{1,0},{15,0},{16,100},{20,100}	5234	1				{1,60*15},{15,60*15},{16,15*15},{20,5*15}	-1		
万花.兰摧玉折中级秘籍.释放有几率刷新自身cd	126	24	{1,0},{10,0},{11,8},{15,40},{20,40}	5862	-1	5808				-1		
万花.绝学.减技能CD	127	2	{1,8},{10,40},{11,40}	5873	-1	5801,5802,5803,5804				-1		
天王.气盖八荒.几率触发伤害	128	2	{1,20},{10,50},{11,50}	247	-1		skill_melee,skill_remote,skill_sp_gold			-1		
藏剑.云栖松.保命触发飞剑	132	3	{1,40},{10,90},{11,95}	4425	-1				{1,15*39},{10,15*30},{11,15*30}	-1		
藏剑.黄龙吐翠.几率触发伤害	133	2	{1,6},{10,15},{11,15}	4429	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold			-1		
藏剑.秘籍.玉泉鱼跃.概率2次伤害	134	24	{1,0},{10,0},{11,5},{20,50}	4409	-1	4408				-1		
心剑_新手藏剑	135	2	{1,100},{10,100}	4489	-1		normal_melee,normal_remote			-1		
华山.萧史乘龙.自动获得剑意	136	6	100	5205	1				2*15	-1		
华山.云天弧光.残血触发反击	137	18	{1,12},{10,50},{15,50}	5226	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		5	-1		
华山.识破护盾触发buff	138	13	100	5222	-1		normal_melee,normal_remote,skill_melee,skill_remote			1		
华山.天光云影.技能击中触发云天弧光	139	2	{1,4},{10,16},{11,24}	5226	-1		skill_melee,skill_remote,skill_sp_gold		1	-1		
华山.朝阳一气剑秘籍.被击刷新cd	140	13	{1,0},{15,0},{16,4},{20,20}	5253	-1		skill_melee,skill_remote,skill_sp_gold		4*15	-1		
长歌.夜引风岚.反击击退	141	1	{1,10},{10,30},{11,32}	4523	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*3},{10,15*3}	-1		
长歌.魔音缠绕.反击debuff	142	13	100	4528	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*5},{10,15*5}	-1		
长歌.回梦逐光	143	4	{1,40},{10,90},{11,95}	4530	-1				{1,15*30},{10,15*30}	-1		
长歌.阳春白雪.普攻触发禁疗	144	24	{1,10},{10,30},{11,32}	4540	-1		normal_melee,normal_remote		{1,15*4},{10,15*2},{11,15*2}	-1		
天山.飞燕凌波.秘籍.普攻最后一击触发减cd	145	24	100	4649	-1	4604				-1		
天山.银瓶玉碎.受击减少1层debuff	146	13	100	4631	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		15	-1		
天山.空山凝云.受击对目标发射空子弹	147	13	100	4615	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		15	-1		
天山.凤栖梧桐	148	6	100	4620	-1				75	-1		
天山.琴瑟和鸣.触发伤害和回血	149	2	{1,5},{10,50},{11,50}	4635	-1		normal_melee,normal_remote	curse		-1		
天山.凤栖梧桐.自动减少1层buff	150	6	100	4630	-1				30	-1		
天山.逆水寒.保命	151	4	{1,40},{10,90},{11,95}	4627	-1				{1,15*30},{10,15*30}	-1		
霸刀.残阳映血.残血时每秒回血	152	6	100	5057	-1				15	-1		
杨门.否极阳回.保命奇门遁	153	4	{1,40},{10,90},{11,95}	6018	-2				30*15	-1		
杨门.否极阳回.濒死状态	154	14	{1,40},{10,90},{11,95}		-1				30*15	-1		
昆仑.御风行_概率触发	162	1	15	4121	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		60	-1		
昆仑.御风行_必然触发	163	1	100	4121	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		15*15	-1		
藏剑.心剑高级秘籍.受击减少心剑cd	164	13	100	4456	-1		skill_melee,skill_remote,skill_sp_gold		15	-1		
藏剑.断潮高级秘籍.释放有几率刷新自身cd	165	24	{1,0},{15,0},{16,8},{20,40}	4438	-1	4406				-1		
藏剑.映波锁澜.技能击中后短时间内抗性提高免控	166	2	100	4423	-1		skill_melee,skill_remote,skill_sp_gold			-1		
桃花.九曜连珠.普攻概率刷新	167	2	{1,0},{10,0},{11,1},{15,5},{20,5}	445	-1		normal_melee,normal_remote		15	-1		
桃花.轻云蔽月.释放技能提高攻速和普攻伤害	168	24	100	466	-1		skill_remote			-1		
霸刀.浴血蹈锋.隔时间获得降低耗血buff_作废	169	6	100	5018	-1				30*15	-1		
霸刀.否极泰来.濒死时获得buff	170	14	{1,40},{10,90},{11,95}	5018	-1				30*15	-1		
霸刀.否极泰来.子2.濒死概率免死回血	171	14	100	5030	-1				2	-1		
霸刀.避实就虚.被击叠加减抗	172	1	100	5027	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		2*15	-1		
霸刀.连环刀.击中叠加buff	173	2	{1,100},{10,100}	5035	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		15	-1		
打断道具回血	175	1	100	5116	-1					-1		
明教.星火燎原	176	4	{1,40},{10,90},{11,95}	5531	-1				{1,15*30},{10,15*30}	-1		
明教.火舞凌天	177	2	100	5535	-1		skill_melee,skill_sp_gold			-1		
明教.毁天灭地.闪避后减CD	178	25	{1,100},{10,100}	5556	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*1},{10,15*1}	-1		
明教.火光残影.击中后减CD	179	6	{1,100},{10,100}	5558	-1				15	-1		
绝学.明教.火光残影.普攻概率减CD	180	2	{1,20},{10,50}	5560	-1		normal_melee,normal_remote		15	-1		
绝学.通用.残血受击获得增益	181	18	100	5357	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		2*15	-1		
绝学.天王.金钟罩受击概率解控回血	182	1	{1,5},{10,50}	5358	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		1*15	-1		
绝学.逍遥.白虹贯日概率重置cd	183	28	{1,4},{10,40}	5360	-1	510				-1		
绝学.唐门.暴雨梨花散镖击中有几率刷新技能cd	184	2	{1,1},{10,10}	5364	-1	4009			5	-1		
绝学.五毒.普攻叠加会心伤害	185	2	100	5365	-1		normal_melee,normal_remote		2	-1		
绝学.长歌.释放平沙雁落强化清音长啸	186	2	100	5367	-1	4506			2	-1		
绝学.长歌.释放清音长啸强化平沙雁落	187	2	100	5368	-1	4512			2	-1		
绝学.霸刀.浴血蹈锋效果结束回血	188	26	100	5369	-1	5015			2	-1		
绝学.天王.血战八方提升攻击	189	2	100	5370	-1	211			2	-1		
绝学.桃花.桃花箭术提升主角攻击	190	2	100	5372	-1		normal_remote		5	-1		
绝学.逍遥.白虹贯日减少七探蛇盘cd	191	27	100	5373	-1	510			15	-1		
绝学.天忍.血月之影附带回血与减技能cd	192	6	100	5375	-1				15	-1		
绝学.冰心雪莲.技能叠加普攻伤害	193	2	100	5377	-1		skill_remote		15	-1		
绝学.五毒.普攻减少万蛊噬心和迷心蛊的cd	194	27	100	5381	-1		normal_melee,normal_remote		2	-1		
绝学.明教.不灭之光.闪避后回血和增加基础会	195	25	{1,100},{10,100}	5562	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*2},{10,15*2},{11,15*2}	-1		
绝学.通用.挥袂生风.1层	196	27	100	5388	-1		skill_melee,skill_remote,buff_melee,buff_remote,skill_sp_gold		15*30	-1		
绝学.通用.挥袂生风.近战	197	27	100	5389	-1		skill_melee,buff_melee,skill_sp_gold		15	-1		
绝学.通用.挥袂生风.远程	198	27	100	5390	-1		skill_remote,buff_remote		15	-1		
