StateEffectId	StateName	EffectResID1	SlotID1	EffectResID2	SlotID2	HeadResID	Alpha	ChangeSize	ChangeSizeSpeed	RunActID	HeadWord	MagicDesc	Icon	IconAtlas	NotShowTime	HideBody	HideHead	ShowSort	HightLightSkill	RequireSuperpose
706	魔焰在天	706										攻击6次后消失	TianrenSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
707	魔焰在天	6707										移动速度 [FF3030]降低runspeed_p1%[-]	TianrenSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
711	血月之影									31		隐身\n移动速度 +[00ff00]runspeed_v1[-]\n攻速 +[00ff00]attackspeed_v1[-]\n基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]	TianrenSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
712	血月之影_破隐									31		移动速度 +[00ff00]runspeed_v1[-]\n攻速 +[00ff00]attackspeed_v1[-]\n基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]	TianrenSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
713	血月之影_破隐									31		天忍刺杀术连招伤害 +[00ff00]50%[-]	TianrenSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
743	魔焰七杀											忽略全系抗性-[00ff00]ignore_all_resist2%[-]	Gb_mj04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
746	破碎虚空											基础闪避 +[00ff00]defense_p1%[-]\n抗负面效果几率 +[00ff00]resist_allspecialstate_rate_v1[-]点	Tianren_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
764	秘籍：魔焰在天											基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]	TianrenSkill_02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
766	秘籍：血月之影											基础闪避 +[00ff00]defense_p1%[-]\n免疫负面效果	TianrenSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
767	秘籍：血月之影											基础闪避 +[00ff00]defense_p1%[-]\n免疫负面效果	TianrenSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
769	秘籍：摄魂乱心											基础闪避 [FF3030]降低defense_p1%[-]\n抗属性效果几率 [FF3030]降低resist_allseriesstate_rate_v1[-]\n抗负面效果几率 [FF3030]降低resist_allspecialstate_rate_v1[-]	Tianren_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
810	召唤啵啵											“啵啵”	CuiyanSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
818	雪影											移动速度 +[00ff00]runspeed_v1[-]\n忽略基础闪避 +[00ff00]ignore_defense_vp1%[-]	Cuiyan_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
819	雪影											移动速度 +[00ff00]runspeed_v1[-]\n忽略基础闪避 +[00ff00]ignore_defense_vp1%[-]	Cuiyan_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
857	秘籍：冰踪无影	973										基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]\n忽略敌人最终闪避几率 +[00ff00]ignore_defense_p1%[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
860	秘籍：璇玑罗舞											璇玑罗舞的基础攻击力 +[00ff00]add_usebasedmg_p12%[-]	Cuiyan_bd05_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
879	中级：召唤啵啵	2849										普攻伤害[FF3030]缩小 style_skill_damage_p2%[-]	CuiyanSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
927	毒瘴术	927																		
930	金刚护体	2416																		
933	不动明王	2416																		
937	枯木逢春	6306																		
939	涅槃重生	2849																		
948	灵犀	948																		
950	心眼	950																		
958	涅槃重生	6306																		
970	明月诀	970																		
973	清心术	973																		
995	悲酥清风	927																		
1001	任务叹号_绿					1001														
1002	任务叹号_蓝					1002														
1003	任务问号_灰					1003														
1004	任务问号_绿					1004														
1005	任务问号_蓝					1005														
1006	任务问号_黄					1006														
1008	任务加速	1008								31										
1009	自动寻路中										Golden_01|Golden_02|Golden_06|Golden_07|Golden_05									
1010	自动战斗中										Golden_01|Golden_02|Golden_03|Golden_04|Golden_05									
1011	跟战中										|Blue_01|Blue_02|Blue_03									
1012	挖宝中										|Blue_04|Blue_05|Blue_03									
1057	打怪经验											打怪经验：增加[00ff00]enhance_exp_p1%[-]	BUFF_xiulianzhu	UI/Atlas/NewAtlas/Buff/Buff.prefab						
1059	切磋胜利					1059														
1060	切磋失败					1060														
1062	传功特效	1062																		
1063	传功特效_全特效	1063																		
1085	结拜：有福同享											属性伤害 +[00ff00]physical_damage_v1[-]\n生命点数 +[00ff00]lifemax_v1[-]\n全系抗性 +[00ff00]all_series_resist_v1[-]	BUFF_intimacy	UI/Atlas/NewAtlas/Buff/Buff.prefab	1					
1086	打坐修炼	1086																		
1087	禁止移动、技能、物品	59																		
1096	同伴脚底光环_白	9032																		
1097	同伴脚底光环_绿	9033																		
1098	同伴脚底光环_蓝	9034																		
1099	同伴脚底光环_紫	9035																		
1100	同伴脚底光环_金	9036																		
1105	金钟罩	9076																		
1367	狂暴噬血							133	5											
1457	锁足（禁止轻功）	1457																		
1500	箭头					1500														
1501	重伤状态					4501	700													
1502	气绝状态	1502				4502	700													
1503	光环_回血	1503																		
1504	光环_加抗	1504																		
1505	光环_加抗_子	1505																		
1506	光环_回血_子	1506																		
1507	回血					4507														
1508	攻击力					4508														
1509	抗性					4509														
1510	跑速					4510														
1512	buffball	1512																		
1513	buffball	1513																		
1514	宝箱光环	9012																		
1517	保护状态						400					保护状态期间不会受到任何伤害	BUFF_Protect	UI/Atlas/NewAtlas/Buff/Buff.prefab						
1519	篝火	9044																		
1533	光环_攻速	1533																		
1534	光环_攻速_子	1534																		
1535	光环_伤害	1535																		
1536	光环_伤害_子	1536																		
1537	狂暴	1367	16	7367	15			133	5											
1676	天王怒气特效	1676																		
1677	峨眉怒气特效	1677																		
1678	桃花怒气特效	1678																		
1679	逍遥怒气特效	1679																		
1696	代言人光环_男	1696																		
1697	代言人光环_女	1697																		
1705	buff_攻击力	1705																		
1732	鼓舞战吼	197										攻击力 +[00ff00]basic_damage_v1[-]\n生命 +[00ff00]lifemax_v1[-]\n全系抗性 +[00ff00]all_series_resist_v1[-]\n属性效果几率 +[00ff00]add_seriesstate_rate_v1[-]\n属性效果时间 +[00ff00]add_seriesstate_time_v1[-]	Taohua_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
1733	鼓舞战吼											攻击力 +[00ff00]basic_damage_v1[-]\n生命 +[00ff00]lifemax_v1[-]\n全系抗性 +[00ff00]all_series_resist_v1[-]\n属性效果几率 +[00ff00]add_seriesstate_rate_v1[-]\n属性效果时间 +[00ff00]add_seriesstate_time_v1[-]	Taohua_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
1772	忠贯白日	613										总抵御伤害点数：[00ff00]t_magicshield1[-]	WudangSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
1833	狂热					4508														
1883	视野光环（直径2.8）	1883																		
1884	视野光环（直径6米）	1453																		
1885	光环秒杀	1885																		
1889	全屏中毒光环_子2	1889																		
2035	致命光环-火	2035																		
2037	抗性光环-火	1504																		
2038	抗性光环-火_子	1505																		
2095	回复光环	2070																		
2251	狂暴噬血																			
2301	新服祝福：共战											野外修炼打怪获得的经验增加[00ff00]10%[-]	meigui_02	UI/Atlas/Item/Item/Item2.prefab						
2302	新服祝福：财运											通过摇钱树、每日目标、随机地宫、野外修炼、商会任务获得的银两增加[00ff00]10%[-]	chongjujianghu	UI/Atlas/Item/Item/Item6.prefab						
2303	新服祝福：天工											通过家族捐献、武神殿、惩恶任务、家族烤火答题、武林盟主获得的贡献增加[00ff00]10%[-]	BUFF_intimacy	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2304	祝福·火											忽略闪避 +[00ff00]ignore_defense_v1[-]\n会心几率 +[00ff00]deadlystrike_v1[-]	BUFF_Fire	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2305	祝福·土											全系抗性 +[00ff00]all_series_resist_v1[-]	BUFF_Earth	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2306	饮酒状态											  	BUFF_nverhong	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2307	佳节的祝福											属性伤害 +[00ff00]physical_damage_v1[-]\n生命上限 +[00ff00]lifemax_v1[-]\n全系抗性 +[00ff00]all_series_resist_v1[-]	BUFF_zhuxiudan	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2308	亲密度加成											  	BUFF_intimacy	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2310	欠款											  	Gold	UI/Atlas/NewAtlas/Buff/Buff.prefab	1					
2311	秦始皇陵停留时间											  	Buff_yemingzhu	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2312	PK保护											  	BUFF_Protect	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2313	沧海月明											打怪经验：增加[00ff00]enhance_exp_p1%[-]	Buff_canghaiyueming	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2314	欠款负面状态											打怪经验： [FF3030]降低enhance_exp_p1%[-]\n基础攻击力： [FF3030]降低physics_potentialdamage_p1%[-]\n基础全系抗性： [FF3030]降低all_series_resist_p1%[-]	Gold	UI/Atlas/NewAtlas/Buff/Buff.prefab	1					
2316	腊八粥											家族烤火可获得[FFFE0D]额外经验加成[-]	labazhou	UI/Atlas/Item/Item/Item5.prefab						
2317	重聚江湖											亲密度获取 +[00ff00]100%[-]\n打怪经验 +[00ff00]enhance_exp_p1%[-]\n攻击力 +[00ff00]basic_damage_v1[-]\n全系抗性 +[00ff00]all_series_resist_v1[-]\n生命 +[00ff00]lifemax_v1[-]	chongjujianghu	UI/Atlas/Item/Item/Item6.prefab						
2318	欠款负面状态											战力： [FF3030]降低fightpower_v11[-]	Gold	UI/Atlas/NewAtlas/Buff/Buff.prefab	1					
2319	女侠的青睐											属性伤害 +[00ff00]physical_damage_v1[-]\n生命上限 +[00ff00]lifemax_v1[-]\n全系抗性 +[00ff00]all_series_resist_v1[-]	meigui_02	UI/Atlas/Item/Item/Item2.prefab						
2320	神秘灵果											对怪物伤害 +[00ff00]damage4npc_p1%[-]	ArborDay_04	UI/Atlas/Item/Item/Item7.prefab						
2321	家园隐藏身体															1				
2322	清明鬼魂状态	1502					700													
2323	家园隐身躲猫猫															1				
2324	无敌新颖	2416						150	3			无敌！	Tianwang_bd03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2325	天罚											  	buff_cell	UI/Atlas/NewAtlas/Buff/Buff.prefab						
2326	香粳白玉粽											打怪经验：增加[00ff00]enhance_exp_p1%[-]	DuanwuZongzi1	UI/Atlas/Item/Item/Item13.prefab						
2327	蜜枣粽子											基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]	Zongzi01	UI/Atlas/Item/Item/Item20.prefab						
2328	什锦粽子											基础全系抗性 +[00ff00]all_series_resist_p1%[-]	Zongzi02	UI/Atlas/Item/Item/Item20.prefab						
2329	紫薯粽子											基础闪避 +[00ff00]defense_p1%[-]	Zongzi03	UI/Atlas/Item/Item/Item20.prefab						
2330	红豆粽子											基础生命 +[00ff00]lifemax_p1%[-]	Zongzi04	UI/Atlas/Item/Item/Item20.prefab						
2331	咸肉粽子											基础会心 +[00ff00]deadlystrike_p1%[-]	Zongzi05	UI/Atlas/Item/Item/Item20.prefab						
2515	哲别光环技能	9044																		
2522	袁承志光环技能	9044																		
2527	叶无心光环技能	9044																		
2563	纳兰真光环技能	9044																		
2554	劈空掌					9053														
2398	光环_反弹	2398																		
2399	光环_反弹_子	2399																		
2400	光环_反射	2400																		
2401	光环_反射_子	2401																		
2402	视野光环（小）	1454																		
2403	视野光环（大）	95																		
2404	中毒光环	2404																		
2405	强力（buff）	2405																		
2416	无敌-被动	2416																		
2468	中毒光环	1396																		
2497	火焰陷阱	2497																		
2646	白狼入阵	2646																		
2708	反弹（buff）	2708																		
2709	荆棘（buff）	2709																		
2776	定身免拉	59																		
2784	混乱光环	1883																		
2844	龙象九重					2844														
2845	龙象九重_子					2845														
2849	雪映红尘_特效	2849																		
2858	诀别					4508														
2886	羁绊符	2886																		
2888	风雪步法	2888																		
2900	沧海月明_特效	2900																		
2978	精忠报国	1367						130												
3029	嗜血之意	1367						130												
3056	变小至80%							80												
3057	变小至60%							60												
3058	变小至40%							40												
3059	变小至20%							20												
3066	长生不老	2416																		
3070	站立10秒_无敌	2416					700													
3077	始皇降临	14																		
3078	始皇降临					6034														
3106	旋风陷阱	1887																		
3109	火焰陷阱	2497																		
3115	无敌光环	13115		13116																
3116	无敌光环_子	2416																		
3166	着手回春					4507						每[00ff00]recover_life_p2/15[-]秒回复[00ff00]recover_life_p1%[-]生命	buff_recover	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3167	不灭剑意					4508						基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]	buff_adddamage	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3168	金刚不坏					4509						基础全系抗性 +[00ff00]all_series_resist_p1%[-]	buff_series	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3169	风驰电掣					4510						移动速度 +[00ff00]runspeed_p1%[-]	buff_runspeed	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3191	会心之力	970										会心一击 +[00ff00]deadlystrike_v1[-]\n会心伤害 +[00ff00]deadlystrike_damage_p1%[-]	buff_huixin	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3192	金刚护体	2416										免疫伤害与控制	buff_wudi	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3194	着手回春					4507						每[00ff00]recover_life_p2/15[-]秒回复[00ff00]recover_life_p1%[-]生命	buff_recover	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3195	不动明王	1504										免疫控制状态	ShaolinSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3196	风驰电掣					4510						移动速度 +[00ff00]runspeed_v1[-]	buff_runspeed	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3197	隐身											(使用技能会立刻打破隐身状态)	hd_changecard_gq	UI/Atlas/Item/Item/Item5.prefab						
3198	药品效果					4507						每[00ff00]recover_life_p2/15[-]秒回复[00ff00]recover_life_p1%[-]生命\n(此效果受到攻击后会被移除)	buff_recover	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3217	激怒					13217		133	5											
3272	同伴觉醒_大模型	13272						120	120											
3273	同伴觉醒_常规	13273						120	120											
3274	同伴觉醒_地面动物1	13274						120	120											
3275	同伴觉醒_地面动物2	13275						120	120											
3255	轮回往生	2849																		
3256	轮回往生	6306																		
3263	高级金刚	3306																		
3366	踏冰诀	13366										移动速度 +[00ff00]runspeed_v1[-]	BUFF_Wood	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3367	乘霜式	13367										雪球的飞行速度 +[00ff00]100%[-]	BUFF_Water	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3370	雪影舞	13370										免疫控制状态	BUFF_Gold	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3371	坚冰御	13371										抵御伤害[00ff00]100%[-]	BUFF_Fire	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3399	变雪人隐藏本体															1	1			
3450	高级秘籍：金钟罩											基础全系抗性 +[00ff00]all_series_resist_p1%[-]\n回复效率 +[00ff00]lifereplenish_p1%[-]	TianwangSkill_03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3458	高级秘籍：金刚伏魔											大力金刚指最大攻击目标数 +[00ff00]addms_hittotal_c12[-]	Sl_mj03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3549	隐藏名字																1			
3550	夫妻同心											属性伤害 +[00ff00]physical_damage_v1[-]\n生命上限 +[00ff00]lifemax_v1[-]\n全系抗性 +[00ff00]all_series_resist_v1[-]\n闪避 +[00ff00]defense_v1[-]	tongxinguo	UI/Atlas/Item/Item/Item9.prefab						
3551	新人的祝福											属性伤害 +[00ff00]physical_damage_v1[-]\n生命上限 +[00ff00]lifemax_v1[-]\n全系抗性 +[00ff00]all_series_resist_v1[-]	ArborDay_01	UI/Atlas/Item/Item/Item7.prefab						
3701	测试金											抵挡角色伤害 +[00ff00]playerdmg_npc_p1%[-]	BUFF_Gold	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3702	测试木											完全闪避 +[00ff00]miss_alldmg_v1[-]	BUFF_Wood	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3703	测试水											吸取生命抗性 +[00ff00]steallife_resist_v1[-]	BUFF_Water	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3704	测试火											吸取生命抗性 +[00ff00]steallife_resist_p1%[-]	BUFF_Fire	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3705	测试土											吸取生命 +[00ff00]steallife_p1%[-]	BUFF_Earth	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3716	仇恨对象标识					13716														
3767	塔防标记					13767														
3805	免疫状态	13805										免疫属性效果\n免疫负面效果	Wudang_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
3921	女帝之力	13921																		
3928	合纵连横	2886										最终伤害抵消 [FF3030]降低reduce_final_damage_p1%[-]	mingcaqiuhao	UI/Atlas/NewAtlas/CompanionSkill/CompanionSkill_02.prefab						
3932	纯阳无极功	13932										基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]\n吸取生命 +[00ff00]steallife_p1%[-]	chunyangwujigong	UI/Atlas/NewAtlas/CompanionSkill/CompanionSkill_02.prefab						
4015	淬毒术											基础攻击力 +[00ff00]physics_potentialdamage_p1%[-]\n会心伤害 +[00ff00]deadlystrike_damage_p1%[-]	Tangmen_bd01_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
4016	淬毒术											会心伤害 +[00ff00]deadlystrike_damage_p1%[-]	Tangmen_bd01_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
4020	心眼											近程伤害抗性 +[00ff00]melee_dmg_p1%[-]\n远程伤害抗性 +[00ff00]remote_dmg_p1%[-]	Tangmen_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
4028	移形换影											隐身\n清除并免疫属性状态\n清除并免疫负面状态	Tangmen_bd07_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
4046	中级秘籍：迷影纵											基础闪避 +[00ff00]defense_p1%[-]\n免疫负面效果\n免疫属性效果	Tm_mj02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
