Level	HitParam0	HitParam1	MissParam0	MissParam1	DeadlyStrikeParam0	DeadlyStrikeParam1	SeriesResistParam0	SeriesResistParam1	SeriesTrimParam0	SeriesTrimParam1	StateBaseRateParam	StateBaseTimeParam
63	1	325	1	6225	0.9	1130	1	1270	1	704	250	250
64	1	330	1	6300	0.9	1140	1	1290	1	712	250	250
65	1	335	1	6375	0.9	1150	1	1310	1	720	250	250
66	1	340	1	6450	0.9	1160	1	1330	1	728	250	250
67	1	345	1	6525	0.9	1170	1	1350	1	736	250	250
68	1	350	1	6600	0.9	1180	1	1370	1	744	250	250
69	1	355	1	6675	0.9	1190	1	1390	1	752	250	250
70	1	360	1	6750	0.9	1200	1	1410	1	760	250	250
71	1	365	1	6825	0.9	1210	1	1430	1	768	250	250
72	1	370	1	6900	0.9	1220	1	1450	1	776	250	250
73	1	375	1	6975	0.9	1230	1	1470	1	784	250	250
74	1	380	1	7050	0.9	1240	1	1490	1	792	250	250
75	1	385	1	7125	0.9	1250	1	1510	1	800	250	250
76	1	390	1	7200	0.9	1260	1	1530	1	808	250	250
77	1	395	1	7275	0.9	1270	1	1550	1	816	250	250
78	1	400	1	7350	0.9	1280	1	1570	1	824	250	250
79	1	405	1	7425	0.9	1290	1	1590	1	832	250	250
80	1	410	1	7500	0.9	1300	1	1610	1	840	250	250
81	1	415	1	7575	0.9	1310	1	1630	1	848	250	250
82	1	420	1	7650	0.9	1320	1	1650	1	856	250	250
83	1	425	1	7725	0.9	1330	1	1670	1	864	250	250
84	1	430	1	7800	0.9	1340	1	1690	1	872	250	250
85	1	435	1	7875	0.9	1350	1	1710	1	880	250	250
86	1	440	1	7950	0.9	1360	1	1730	1	888	250	250
87	1	445	1	8025	0.9	1370	1	1750	1	896	250	250
88	1	450	1	8100	0.9	1380	1	1770	1	904	250	250
89	1	455	1	8175	0.9	1390	1	1790	1	912	250	250
90	1	460	1	8250	0.9	1400	1	1810	1	920	250	250
91	1	465	1	8325	0.9	1410	1	1830	1	928	250	250
92	1	470	1	8400	0.9	1420	1	1850	1	936	250	250
93	1	475	1	8475	0.9	1430	1	1870	1	944	250	250
94	1	480	1	8550	0.9	1440	1	1890	1	952	250	250
95	1	485	1	8625	0.9	1450	1	1910	1	960	250	250
96	1	490	1	8700	0.9	1460	1	1930	1	968	250	250
97	1	495	1	8775	0.9	1470	1	1950	1	976	250	250
98	1	500	1	8850	0.9	1480	1	1970	1	984	250	250
99	1	505	1	8925	0.9	1490	1	1990	1	992	250	250
100	1	510	1	9000	0.9	1500	1	2010	1	1000	250	250
101	1	515	1	9075	0.9	1510	1	2030	1	1008	250	250
102	1	520	1	9150	0.9	1520	1	2050	1	1016	250	250
103	1	525	1	9225	0.9	1530	1	2070	1	1024	250	250
104	1	530	1	9300	0.9	1540	1	2090	1	1032	250	250
105	1	535	1	9375	0.9	1550	1	2110	1	1040	250	250
106	1	540	1	9450	0.9	1560	1	2130	1	1048	250	250
107	1	545	1	9525	0.9	1570	1	2150	1	1056	250	250
108	1	550	1	9600	0.9	1580	1	2170	1	1064	250	250
109	1	555	1	9675	0.9	1590	1	2190	1	1072	250	250
110	1	560	1	9750	0.9	1600	1	2210	1	1080	250	250
111	1	565	1	9825	0.9	1610	1	2230	1	1088	250	250
112	1	570	1	9900	0.9	1620	1	2250	1	1096	250	250
113	1	575	1	9975	0.9	1630	1	2270	1	1104	250	250
114	1	580	1	10050	0.9	1640	1	2290	1	1112	250	250
115	1	585	1	10125	0.9	1650	1	2310	1	1120	250	250
116	1	590	1	10200	0.9	1660	1	2330	1	1128	250	250
117	1	595	1	10275	0.9	1670	1	2350	1	1136	250	250
118	1	600	1	10350	0.9	1680	1	2370	1	1144	250	250
119	1	605	1	10425	0.9	1690	1	2390	1	1152	250	250
120	1	610	1	10500	0.9	1700	1	2410	1	1160	250	250
121	1	615	1	10575	0.9	1710	1	2430	1	1168	250	250
122	1	620	1	10650	0.9	1720	1	2450	1	1176	250	250
123	1	625	1	10725	0.9	1730	1	2470	1	1184	250	250
124	1	630	1	10800	0.9	1740	1	2490	1	1192	250	250
125	1	635	1	10875	0.9	1750	1	2510	1	1200	250	250
126	1	640	1	10950	0.9	1760	1	2530	1	1208	250	250
127	1	645	1	11025	0.9	1770	1	2550	1	1216	250	250
128	1	650	1	11100	0.9	1780	1	2570	1	1224	250	250
129	1	655	1	11175	0.9	1790	1	2590	1	1232	250	250
130	1	660	1	11250	0.9	1800	1	2610	1	1240	250	250
131	1	665	1	11325	0.9	1810	1	2630	1	1248	250	250
132	1	670	1	11400	0.9	1820	1	2650	1	1256	250	250
133	1	675	1	11475	0.9	1830	1	2670	1	1264	250	250
134	1	680	1	11550	0.9	1840	1	2690	1	1272	250	250
135	1	685	1	11625	0.9	1850	1	2710	1	1280	250	250
136	1	690	1	11700	0.9	1860	1	2730	1	1288	250	250
137	1	695	1	11775	0.9	1870	1	2750	1	1296	250	250
138	1	700	1	11850	0.9	1880	1	2770	1	1304	250	250
139	1	705	1	11925	0.9	1890	1	2790	1	1312	250	250
140	1	722	1	12731	0.91	2576	1	2861	1	1312	252	252
141	1	739	1	13538	0.92	3261	1	2932	1	1312	255	255
142	1	756	1	14344	0.93	3947	1	3002	1	1312	257	257
143	1	773	1	15150	0.94	4632	1	3073	1	1312	260	260
144	1	790	1	15957	0.95	5318	1	3144	1	1312	262	262
145	1	807	1	16763	0.96	6003	1	3215	1	1312	265	265
146	1	824	1	17570	0.97	6689	1	3286	1	1312	267	267
147	1	841	1	18376	0.98	7374	1	3356	1	1312	270	270
148	1	858	1	19182	0.99	8060	1	3427	1	1312	272	272
149	1	875	1	19989	1	8745	1	3498	1	1312	275	275
150	1	884	1	20189	1	8833	1	3533	1	1312	278	278
151	1	892	1	20389	1	8920	1	3568	1	1312	281	281
152	1	901	1	20589	1	9008	1	3603	1	1312	284	284
153	1	910	1	20789	1	9095	1	3638	1	1312	286	286
154	1	919	1	20988	1	9183	1	3673	1	1312	289	289
155	1	927	1	21188	1	9270	1	3708	1	1312	292	292
156	1	936	1	21388	1	9358	1	3743	1	1312	295	295
157	1	945	1	21588	1	9445	1	3778	1	1312	297	297
158	1	954	1	21788	1	9533	1	3813	1	1312	300	300
159	1	962	1	21988	1	9620	1	3848	1	1312	303	303
160	1	972	1	22208	1	9716	1	3887	1	1312	306	306
161	1	982	1	22428	1	9812	1	3925	1	1312	309	309
162	1	991	1	22648	1	9909	1	3964	1	1312	312	312
163	1	1001	1	22867	1	10005	1	4002	1	1312	315	315
164	1	1011	1	23087	1	10101	1	4041	1	1312	318	318
165	1	1020	1	23307	1	10197	1	4079	1	1312	321	321
166	1	1030	1	23527	1	10293	1	4118	1	1312	324	324
167	1	1039	1	23747	1	10390	1	4156	1	1312	327	327
168	1	1049	1	23967	1	10486	1	4195	1	1312	330	330
169	1	1059	1	24187	1	10582	1	4233	1	1312	333	333
170	1	1069	1	24429	1	10688	1	4275	1	1312	337	337
171	1	1080	1	24670	1	10794	1	4318	1	1312	340	340
172	1	1090	1	24912	1	10899	1	4360	1	1312	343	343
173	1	1101	1	25154	1	11005	1	4402	1	1312	347	347
174	1	1112	1	25396	1	11111	1	4445	1	1312	350	350
175	1	1122	1	25638	1	11217	1	4487	1	1312	353	353
176	1	1133	1	25880	1	11323	1	4529	1	1312	357	357
177	1	1143	1	26122	1	11428	1	4572	1	1312	360	360
178	1	1154	1	26363	1	11534	1	4614	1	1312	363	363
179	1	1164	1	26605	1	11640	1	4656	1	1312	367	367
180	1	1176	1	26871	1	11756	1	4703	1	1312	370	370
181	1	1188	1	27137	1	11873	1	4749	1	1312	374	374
182	1	1199	1	27403	1	11989	1	4796	1	1312	378	378
183	1	1211	1	27669	1	12106	1	4843	1	1312	381	381
184	1	1223	1	27936	1	12222	1	4889	1	1312	385	385
185	1	1234	1	28202	1	12338	1	4936	1	1312	388	388
186	1	1246	1	28468	1	12455	1	4982	1	1312	392	392
187	1	1258	1	28734	1	12571	1	5029	1	1312	396	396
188	1	1269	1	29000	1	12688	1	5075	1	1312	399	399
189	1	1281	1	29266	1	12804	1	5122	1	1312	403	403
190	1	1294	1	29558	1	12932	1	5173	1	1312	407	407
191	1	1306	1	29851	1	13060	1	5224	1	1312	411	411
192	1	1319	1	30144	1	13188	1	5276	1	1312	415	415
193	1	1332	1	30436	1	13316	1	5327	1	1312	419	419
194	1	1345	1	30729	1	13444	1	5378	1	1312	423	423
195	1	1358	1	31022	1	13572	1	5429	1	1312	427	427
196	1	1370	1	31314	1	13700	1	5480	1	1312	431	431
197	1	1383	1	31607	1	13828	1	5532	1	1312	435	435
198	1	1396	1	31900	1	13956	1	5583	1	1312	439	439
199	1	1409	1	32192	1	14084	1	5634	1	1312	443	443
200	1	1423	1	32514	1	14225	1	5690	1	1312	448	448
