ShowAwardID	Award1	Award2	Award3	Award4	Award5
35	item|2089|0	item|2258|0	item|2673|0	item|1395|0	
36	item|2089|0	item|2259|0	item|2674|0	item|1395|0	
37	item|2089|0	item|1399|0	item|1394|0		
38	item|2089|0	item|1400|0	item|1394|0		
39	item|2089|0	item|1401|0	item|1394|0		
40	item|2090|0	item|1398|0	item|2672|0	item|1395|0	
41	item|2090|0	item|2258|0	item|2673|0	item|1395|0	
42	item|2090|0	item|2259|0	item|2674|0	item|1395|0	
43	item|2943|0	item|1399|0	item|3217|0	item|1395|0	
44	item|2943|0	item|1400|0	item|3216|0	item|1395|0	
45	item|2943|0	item|1401|0	item|3215|0	item|1395|0	
46	item|1403|0	item|2113|0	item|1757|0	item|1394|0	
47	item|1402|0	item|2113|0	item|1758|0	item|1394|0	
48	item|2511|0	item|2113|0	item|1759|0	item|1394|0	
49	item|1403|0	item|2114|0	item|1757|0	item|1394|0	
50	item|1402|0	item|2114|0	item|1758|0	item|1394|0	
51	item|2511|0	item|2114|0	item|1759|0	item|1394|0	
52	item|1752|0	item|2943|0	item|1377|0	item|1395|0	
53	item|1751|0	item|2943|0	item|1376|0	item|1395|0	
54	item|1753|0	item|2943|0	item|2235|0	item|1395|0	
55	item|1749|0	item|2943|0	item|1375|0	item|1395|0	
56	item|1748|0	item|2943|0	item|1374|0	item|1395|0	
57	item|1750|0	item|2943|0	item|2236|0	item|1395|0	
58	item|2943|0	item|1398|0	item|2672|0	item|1395|0	
59	item|2943|0	item|2258|0	item|2673|0	item|1395|0	
60	item|2943|0	item|2259|0	item|2674|0	item|1395|0	
61	item|2944|0	item|1399|0	item|3217|0	item|1395|0	
62	item|2944|0	item|1400|0	item|3216|0	item|1395|0	
63	item|2944|0	item|1401|0	item|3215|0	item|1395|0	
64	item|1752|0	item|2944|0	item|1377|0	item|1395|0	
65	item|1751|0	item|2944|0	item|1376|0	item|1395|0	
66	item|1753|0	item|2944|0	item|2235|0	item|1395|0	
67	item|1749|0	item|2944|0	item|1375|0	item|1395|0	
68	item|1748|0	item|2944|0	item|1374|0	item|1395|0	
69	item|1750|0	item|2944|0	item|2236|0	item|1395|0	
70	item|2944|0	item|1398|0	item|2672|0	item|1395|0	
71	item|2944|0	item|2258|0	item|2673|0	item|1395|0	
72	item|2944|0	item|2259|0	item|2674|0	item|1395|0	
73	item|1405|0	item|2967|0	item|1754|0	item|1395|0	
74	item|1404|0	item|2967|0	item|1755|0	item|1395|0	
75	item|2260|0	item|2967|0	item|1756|0	item|1395|0	
76	item|1405|0	item|2968|0	item|1754|0	item|1395|0	
77	item|1404|0	item|2968|0	item|1755|0	item|1395|0	
78	item|2260|0	item|2968|0	item|1756|0	item|1395|0	
79	item|2945|0	item|1399|0	item|3217|0	item|1395|0	
80	item|2945|0	item|1400|0	item|3216|0	item|1395|0	
81	item|2945|0	item|1401|0	item|3215|0	item|1395|0	
82	item|2945|0	item|1752|0	item|1377|0	item|1395|0	
83	item|2945|0	item|1751|0	item|1376|0	item|1395|0	
84	item|2945|0	item|1753|0	item|2235|0	item|1395|0	
85	item|2945|0	item|1749|0	item|1375|0	item|1395|0	
86	item|2945|0	item|1748|0	item|1374|0	item|1395|0	
87	item|2945|0	item|1750|0	item|2236|0	item|1395|0	
88	item|2945|0	item|1398|0	item|2672|0	item|1395|0	
89	item|2945|0	item|2258|0	item|2673|0	item|1395|0	
90	item|2945|0	item|2259|0	item|2674|0	item|1395|0	
91	item|3667|0	item|1399|0	item|3217|0	item|1395|0	
92	item|3667|0	item|1400|0	item|3216|0	item|1395|0	
93	item|3667|0	item|1401|0	item|3215|0	item|1395|0	
94	item|3667|0	item|1752|0	item|1377|0	item|1395|0	
95	item|3667|0	item|1751|0	item|1376|0	item|1395|0	
96	item|3667|0	item|1753|0	item|2235|0	item|1395|0	
97	item|3667|0	item|1749|0	item|1375|0	item|1395|0	
98	item|3667|0	item|1748|0	item|1374|0	item|1395|0	
99	item|3667|0	item|1750|0	item|2236|0	item|1395|0	
100	item|3667|0	item|1398|0	item|2672|0	item|1395|0	
101	item|3667|0	item|2258|0	item|2673|0	item|1395|0	
102	item|3667|0	item|2259|0	item|2674|0	item|1395|0	
103	item|4576|0	item|2969|0	item|4540|0	item|1395|0	
104	item|4577|0	item|2969|0	item|4541|0	item|1395|0	
105	item|4578|0	item|2969|0	item|4542|0	item|1395|0	
106	item|3667|0	item|3553|0	item|4595|0	item|1396|0	
107	item|4576|0	item|3675|0	item|4540|0	item|1395|0	
108	item|4577|0	item|3675|0	item|4541|0	item|1395|0	
109	item|4578|0	item|3675|0	item|4542|0	item|1395|0	
110	item|5761|0	item|1399|0	item|3217|0	item|1395|0	
111	item|5761|0	item|1400|0	item|3216|0	item|1395|0	
112	item|5761|0	item|1401|0	item|3215|0	item|1395|0	
113	item|5761|0	item|1752|0	item|1377|0	item|1395|0	
114	item|5761|0	item|1751|0	item|1376|0	item|1395|0	
115	item|5761|0	item|1753|0	item|2235|0	item|1395|0	
116	item|5761|0	item|1749|0	item|1375|0	item|1395|0	
117	item|5761|0	item|1748|0	item|1374|0	item|1395|0	
118	item|5761|0	item|1750|0	item|2236|0	item|1395|0	
119	item|5761|0	item|1398|0	item|2672|0	item|1395|0	
120	item|5761|0	item|2258|0	item|2673|0	item|1395|0	
121	item|5761|0	item|2259|0	item|2674|0	item|1395|0	
122	item|5761|0	item|3553|0	item|4595|0	item|1396|0	
123	item|3553|0	item|6112|0	item|4595|0	item|1396|0	
124	item|5762|0	item|1752|0	item|1377|0	item|1395|0	
125	item|5762|0	item|1751|0	item|1376|0	item|1395|0	
126	item|5762|0	item|1753|0	item|2235|0	item|1395|0	
127	item|5762|0	item|1749|0	item|1375|0	item|1395|0	
128	item|5762|0	item|1748|0	item|1374|0	item|1395|0	
129	item|5762|0	item|1750|0	item|2236|0	item|1395|0	
130	item|5762|0	item|1398|0	item|2672|0	item|1395|0	
131	item|5762|0	item|2258|0	item|2673|0	item|1395|0	
132	item|5762|0	item|2259|0	item|2674|0	item|1395|0	
133	item|5762|0	item|3553|0	item|4595|0	item|1396|0	
134	item|5762|0	item|1399|0	item|3217|0	item|1395|0	
135	item|5762|0	item|1400|0	item|3216|0	item|1395|0	
136	item|5762|0	item|1401|0	item|3215|0	item|1395|0	
137	item|6467|0	item|5801|0	item|7429|0	item|2804|0	
138	item|6467|0	item|5801|0	item|7432|0	item|2804|0	
139	item|6467|0	item|5802|0	item|7429|0	item|2804|0	
140	item|6467|0	item|5802|0	item|7432|0	item|2804|0	
141	item|5763|0	item|1399|0	item|1479|0	item|9436|0	
142	item|5763|0	item|1400|0	item|1478|0	item|9435|0	
143	item|5763|0	item|1401|0	item|1477|0	item|9434|0	
144	item|3553|0	item|6112|0	item|4595|0	item|1397|0	
145	item|5763|0	item|1752|0	item|1377|0	item|1395|0	
146	item|5763|0	item|1751|0	item|1376|0	item|1395|0	
147	item|5763|0	item|1753|0	item|2235|0	item|1395|0	
148	item|5763|0	item|1749|0	item|1375|0	item|1395|0	
149	item|5763|0	item|1748|0	item|1374|0	item|1395|0	
150	item|5763|0	item|1750|0	item|2236|0	item|1395|0	
151	item|5763|0	item|1398|0	item|2672|0	item|1396|0	
152	item|5763|0	item|2258|0	item|2673|0	item|1396|0	
153	item|5763|0	item|2259|0	item|2674|0	item|1396|0	
154	item|5763|0	item|1399|0	item|3217|0	item|1396|0	
155	item|5763|0	item|1400|0	item|3216|0	item|1396|0	
156	item|5763|0	item|1401|0	item|3215|0	item|1396|0	
157	item|5763|0	item|3553|0	item|4595|0	item|10140|0	
158	item|6467|0	item|5803|0	item|7429|0	item|2804|0	
159	item|6467|0	item|5803|0	item|7432|0	item|2804|0	
160	item|6467|0	item|5804|0	item|7429|0	item|2804|0	
161	item|6467|0	item|5804|0	item|7432|0	item|2804|0	
162	item|5764|0	item|1752|0	item|1377|0	item|1395|0	
163	item|5764|0	item|1751|0	item|1376|0	item|1395|0	
164	item|5764|0	item|1753|0	item|2235|0	item|1395|0	
165	item|5764|0	item|1749|0	item|1375|0	item|1395|0	
166	item|5764|0	item|1748|0	item|1374|0	item|1395|0	
167	item|5764|0	item|1750|0	item|2236|0	item|1395|0	
168	item|5764|0	item|1398|0	item|2672|0	item|1396|0	
169	item|5764|0	item|2258|0	item|2673|0	item|1396|0	
170	item|5764|0	item|2259|0	item|2674|0	item|1396|0	
171	item|5764|0	item|1399|0	item|3217|0	item|1396|0	
172	item|5764|0	item|1400|0	item|3216|0	item|1396|0	
173	item|5764|0	item|1401|0	item|3215|0	item|1396|0	
174	item|5764|0	item|3553|0	item|4595|0	item|10140|0	
175	item|5764|0	item|1399|0	item|1479|0	item|9436|0	
176	item|5764|0	item|1400|0	item|1478|0	item|9435|0	
177	item|5764|0	item|1401|0	item|1477|0	item|9434|0	
178	item|3553|0	item|6112|0	item|4595|0	item|1397|0	
179	item|5765|0	item|1752|0	item|1377|0	item|1395|0	
180	item|5765|0	item|1751|0	item|1376|0	item|1395|0	
181	item|5765|0	item|1753|0	item|2235|0	item|1395|0	
182	item|5765|0	item|1749|0	item|1375|0	item|1395|0	
183	item|5765|0	item|1748|0	item|1374|0	item|1395|0	
184	item|5765|0	item|1750|0	item|2236|0	item|1395|0	
185	item|5765|0	item|1398|0	item|2672|0	item|1396|0	
186	item|5765|0	item|2258|0	item|2673|0	item|1396|0	
187	item|5765|0	item|2259|0	item|2674|0	item|1396|0	
188	item|5765|0	item|1399|0	item|3217|0	item|1396|0	
189	item|5765|0	item|1400|0	item|3216|0	item|1396|0	
190	item|5765|0	item|1401|0	item|3215|0	item|1396|0	
191	item|5765|0	item|3553|0	item|4595|0	item|10140|0	
192	item|5765|0	item|1399|0	item|1479|0	item|9436|0	
193	item|5765|0	item|1400|0	item|1478|0	item|9435|0	
194	item|5765|0	item|1401|0	item|1477|0	item|9434|0	
195	item|3553|0	item|6112|0	item|4595|0	item|1397|0	
196	item|6467|0	item|5805|0	item|7429|0	item|2804|0	
197	item|6467|0	item|5805|0	item|7432|0	item|2804|0	
198	item|6467|0	item|5805|0	item|10127|0	item|2804|0	
199	item|6467|0	item|5805|0	item|10126|0	item|2804|0	
200	item|6467|0	item|5803|0	item|10127|0	item|2804|0	
201	item|6467|0	item|5803|0	item|10126|0	item|2804|0	
202	item|6467|0	item|5804|0	item|10127|0	item|2804|0	
203	item|6467|0	item|5804|0	item|10126|0	item|2804|0	
204	item|10316|0	item|1752|0	item|1377|0	item|1395|0	
205	item|10316|0	item|1751|0	item|1376|0	item|1395|0	
206	item|10316|0	item|1753|0	item|2235|0	item|1395|0	
207	item|10316|0	item|1749|0	item|1375|0	item|1395|0	
208	item|10316|0	item|1748|0	item|1374|0	item|1395|0	
209	item|10316|0	item|1750|0	item|2236|0	item|1395|0	
210	item|10316|0	item|1398|0	item|2672|0	item|1396|0	
211	item|10316|0	item|2258|0	item|2673|0	item|1396|0	
212	item|10316|0	item|2259|0	item|2674|0	item|1396|0	
213	item|10316|0	item|1399|0	item|3217|0	item|1396|0	
214	item|10316|0	item|1400|0	item|3216|0	item|1396|0	
215	item|10316|0	item|1401|0	item|3215|0	item|1396|0	
216	item|10316|0	item|3553|0	item|4595|0	item|10140|0	
217	item|10316|0	item|1399|0	item|1479|0	item|9436|0	
218	item|10316|0	item|1400|0	item|1478|0	item|9435|0	
219	item|10316|0	item|1401|0	item|1477|0	item|9434|0	
220	item|3553|0	item|6112|0	item|4595|0	item|1397|0	
221	item|6467|0	item|10356|0	item|7429|0	item|2804|0	
222	item|6467|0	item|10356|0	item|7432|0	item|2804|0	
223	item|6467|0	item|10356|0	item|10127|0	item|2804|0	
224	item|6467|0	item|10356|0	item|10126|0	item|2804|0	
225	item|5761|0	item|1398|0	item|1480|0	item|9437|0	
226	item|5761|0	item|2258|0	item|1481|0	item|9438|0	
227	item|5761|0	item|2259|0	item|1482|0	item|9439|0	
228	item|5762|0	item|1398|0	item|1480|0	item|9437|0	
229	item|5762|0	item|2258|0	item|1481|0	item|9438|0	
230	item|5762|0	item|2259|0	item|1482|0	item|9439|0	
231	item|5763|0	item|1398|0	item|1480|0	item|9437|0	
232	item|5763|0	item|2258|0	item|1481|0	item|9438|0	
233	item|5763|0	item|2259|0	item|1482|0	item|9439|0	
234	item|5764|0	item|1398|0	item|1480|0	item|9437|0	
235	item|5764|0	item|2258|0	item|1481|0	item|9438|0	
236	item|5764|0	item|2259|0	item|1482|0	item|9439|0	
237	item|5765|0	item|1398|0	item|1480|0	item|9437|0	
238	item|5765|0	item|2258|0	item|1481|0	item|9438|0	
239	item|5765|0	item|2259|0	item|1482|0	item|9439|0	
240	item|10316|0	item|1398|0	item|1480|0	item|9437|0	
241	item|10316|0	item|2258|0	item|1481|0	item|9438|0	
242	item|10316|0	item|2259|0	item|1482|0	item|9439|0	
243	item|5761|0	item|1399|0	item|1479|0	item|9436|0	
244	item|5761|0	item|1400|0	item|1478|0	item|9435|0	
245	item|5761|0	item|1401|0	item|1477|0	item|9434|0	
246	item|5762|0	item|1399|0	item|1479|0	item|9436|0	
247	item|5762|0	item|1400|0	item|1478|0	item|9435|0	
248	item|5762|0	item|1401|0	item|1477|0	item|9434|0	
249	item|6467|0	item|10357|0	item|7429|0	item|2804|0	
250	item|6467|0	item|10357|0	item|7432|0	item|2804|0	
251	item|6467|0	item|10357|0	item|10127|0	item|2804|0	
252	item|6467|0	item|10357|0	item|10126|0	item|2804|0	
253	item|10317|0	item|1752|0	item|1377|0	item|1395|0	
254	item|10317|0	item|1751|0	item|1376|0	item|1395|0	
255	item|10317|0	item|1753|0	item|2235|0	item|1395|0	
256	item|10317|0	item|1749|0	item|1375|0	item|1395|0	
257	item|10317|0	item|1748|0	item|1374|0	item|1395|0	
258	item|10317|0	item|1750|0	item|2236|0	item|1395|0	
259	item|10317|0	item|1398|0	item|2672|0	item|1396|0	
260	item|10317|0	item|2258|0	item|2673|0	item|1396|0	
261	item|10317|0	item|2259|0	item|2674|0	item|1396|0	
262	item|10317|0	item|1399|0	item|3217|0	item|1396|0	
263	item|10317|0	item|1400|0	item|3216|0	item|1396|0	
264	item|10317|0	item|1401|0	item|3215|0	item|1396|0	
265	item|10317|0	item|3553|0	item|4595|0	item|10140|0	
266	item|10317|0	item|1399|0	item|1479|0	item|9436|0	
267	item|10317|0	item|1400|0	item|1478|0	item|9435|0	
268	item|10317|0	item|1401|0	item|1477|0	item|9434|0	
269	item|3553|0	item|6112|0	item|4595|0	item|1397|0	
270	item|10317|0	item|1398|0	item|1480|0	item|9437|0	
271	item|10317|0	item|2258|0	item|1481|0	item|9438|0	
272	item|10317|0	item|2259|0	item|1482|0	item|9439|0	
273	item|11121|0	item|5764|0	item|1399|0	item|9436|0	
274	item|11121|0	item|5764|0	item|1400|0	item|9435|0	
275	item|11121|0	item|5764|0	item|1401|0	item|9434|0	
276	item|11121|0	item|3553|0	item|6112|0	item|1397|0	
277	item|11121|0	item|5764|0	item|1398|0	item|9437|0	
278	item|11121|0	item|5764|0	item|2258|0	item|9438|0	
279	item|11121|0	item|5764|0	item|2259|0	item|9439|0	
280	item|11121|0	item|5765|0	item|1399|0	item|9436|0	
281	item|11121|0	item|5765|0	item|1400|0	item|9435|0	
282	item|11121|0	item|5765|0	item|1401|0	item|9434|0	
283	item|11121|0	item|3553|0	item|6112|0	item|1397|0	
284	item|11121|0	item|5765|0	item|1398|0	item|9437|0	
285	item|11121|0	item|5765|0	item|2258|0	item|9438|0	
286	item|11121|0	item|5765|0	item|2259|0	item|9439|0	
287	item|11121|0	item|10316|0	item|1479|0	item|9436|0	
288	item|11121|0	item|10316|0	item|1478|0	item|9435|0	
289	item|11121|0	item|10316|0	item|1477|0	item|9434|0	
290	item|11121|0	item|3553|0	item|6112|0	item|1397|0	
291	item|11121|0	item|10316|0	item|1480|0	item|9437|0	
292	item|11121|0	item|10316|0	item|1481|0	item|9438|0	
293	item|11121|0	item|10316|0	item|1482|0	item|9439|0	
294	item|11121|0	item|10317|0	item|1479|0	item|9436|0	
295	item|11121|0	item|10317|0	item|1478|0	item|9435|0	
296	item|11121|0	item|10317|0	item|1477|0	item|9434|0	
297	item|11121|0	item|3553|0	item|6112|0	item|1397|0	
298	item|11121|0	item|10317|0	item|1480|0	item|9437|0	
299	item|11121|0	item|10317|0	item|1481|0	item|9438|0	
300	item|11121|0	item|10317|0	item|1482|0	item|9439|0	
301	item|6467|0	item|5805|0	item|11315|0	item|2804|0	
302	item|6467|0	item|5805|0	item|11316|0	item|2804|0	
303	item|6467|0	item|10356|0	item|11315|0	item|2804|0	
304	item|6467|0	item|10356|0	item|11316|0	item|2804|0	
305	item|6467|0	item|10357|0	item|11315|0	item|2804|0	
306	item|6467|0	item|10357|0	item|11316|0	item|2804|0	
307	item|10318|0	item|1752|0	item|1377|0	item|1395|0	
308	item|10318|0	item|1751|0	item|1376|0	item|1395|0	
309	item|10318|0	item|1753|0	item|2235|0	item|1395|0	
310	item|10318|0	item|1749|0	item|1375|0	item|1395|0	
311	item|10318|0	item|1748|0	item|1374|0	item|1395|0	
312	item|10318|0	item|1750|0	item|2236|0	item|1395|0	
313	item|10318|0	item|1398|0	item|2672|0	item|1396|0	
314	item|10318|0	item|2258|0	item|2673|0	item|1396|0	
315	item|10318|0	item|2259|0	item|2674|0	item|1396|0	
316	item|10318|0	item|1399|0	item|3217|0	item|1396|0	
317	item|10318|0	item|1400|0	item|3216|0	item|1396|0	
318	item|10318|0	item|1401|0	item|3215|0	item|1396|0	
319	item|10318|0	item|3553|0	item|4595|0	item|10140|0	
320	item|11121|0	item|10318|0	item|1479|0	item|9436|0	
321	item|11121|0	item|10318|0	item|1478|0	item|9435|0	
322	item|11121|0	item|10318|0	item|1477|0	item|9434|0	
323	item|11121|0	item|3553|0	item|6112|0	item|1397|0	
324	item|11121|0	item|10318|0	item|1480|0	item|9437|0	
325	item|11121|0	item|10318|0	item|1481|0	item|9438|0	
326	item|11121|0	item|10318|0	item|1482|0	item|9439|0	
327	item|6467|0	item|10358|0	item|7429|0	item|2804|0	
328	item|6467|0	item|10358|0	item|7432|0	item|2804|0	
329	item|6467|0	item|10358|0	item|10127|0	item|2804|0	
330	item|6467|0	item|10358|0	item|10126|0	item|2804|0	
331	item|6467|0	item|10358|0	item|11315|0	item|2804|0	
332	item|6467|0	item|10358|0	item|11316|0	item|2804|0	
