AwardID	Rank	Award	AwardRate	Rate	AuctionAward	AuctionAwardCount	AuctionAwardRate	Desc
14	2	item|2224|1;item|3086|1	item|2224|1	50				双首异兽(60)
14	-1	item|3087|1						
15	1	item|956|2;item|3085|1						奔焰豹王(60)
15	2	item|956|1;item|3086|1	item|956|1	50				奔焰豹王(60)
15	-1	item|3087|1						
16	1	item|957|4;item|3085|1						定海金刚(60)
16	2	item|957|2;item|3086|1						定海金刚(60)
16	3	item|957|1;item|3087|1						定海金刚(60)
16	4	item|3087|1	item|957|1	50				定海金刚(60)
16	5	item|3087|1	item|957|1	50				定海金刚(60)
16	-1	item|3087|1						
17	1	item|958|4;item|3085|1						金翅鹏皇(60)
17	2	item|958|2;item|3086|1						金翅鹏皇(60)
17	3	item|958|1;item|3087|1						金翅鹏皇(60)
17	4	item|3087|1	item|958|1	50				金翅鹏皇(60)
17	5	item|3087|1	item|958|1	50				金翅鹏皇(60)
17	-1	item|3087|1						
18	1	item|959|4;item|3085|1						银角犀皇(60)
18	2	item|959|2;item|3086|1						银角犀皇(60)
18	3	item|959|1;item|3087|1						银角犀皇(60)
18	4	item|3087|1	item|959|1	50				银角犀皇(60)
18	5	item|3087|1	item|959|1	50				银角犀皇(60)
18	-1	item|3087|1						
19	1	item|960|4;item|3085|1						定海金刚(70)
19	2	item|960|2;item|3086|1						定海金刚(70)
19	3	item|960|1;item|3087|1						定海金刚(70)
19	4	item|3087|1	item|960|1	50				定海金刚(70)
19	5	item|3087|1	item|960|1	50				定海金刚(70)
19	-1	item|3087|1						
20	1	item|961|4;item|3085|1						金翅鹏皇(70)
20	2	item|961|2;item|3086|1						金翅鹏皇(70)
20	3	item|961|1;item|3087|1						金翅鹏皇(70)
20	4	item|3087|1	item|961|1	50				金翅鹏皇(70)
20	5	item|3087|1	item|961|1	50				金翅鹏皇(70)
20	-1	item|3087|1						
21	1	item|2522|4;item|3085|1						银角犀皇(70)
21	2	item|2522|2;item|3086|1						银角犀皇(70)
21	3	item|2522|1;item|3087|1						银角犀皇(70)
21	4	item|3087|1	item|2522|1	50				银角犀皇(70)
21	5	item|3087|1	item|2522|1	50				银角犀皇(70)
21	-1	item|3087|1						
22	1	item|960|2;item|3085|1						定海金刚(80)
22	2	item|960|1;item|3086|1	item|960|1	50				定海金刚(80)
22	-1	item|3087|1						
23	1	item|961|2;item|3085|1						金翅鹏皇(80)
23	2	item|961|1;item|3086|1	item|961|1	50				金翅鹏皇(80)
23	-1	item|3087|1						
24	1	item|2522|2;item|3085|1						银角犀皇(80)
24	2	item|2522|1;item|3086|1	item|2522|1	50				银角犀皇(80)
24	-1	item|3087|1						
25	1	item|962|4;item|3085|1						赤睛虎皇（80级）
25	2	item|962|2;item|3086|1						赤睛虎皇（80级）
25	3	item|962|1;item|3087|1						赤睛虎皇（80级）
25	4	item|3087|1	item|962|1	50				赤睛虎皇（80级）
25	5	item|3087|1	item|962|1	50				赤睛虎皇（80级）
25	-1	item|3087|1						
26	1	item|963|4;item|3085|1						撼天熊皇（80级）
26	2	item|963|2;item|3086|1						撼天熊皇（80级）
26	3	item|963|1;item|3087|1						撼天熊皇（80级）
26	4	item|3087|1	item|963|1	50				撼天熊皇（80级）
26	5	item|3087|1	item|963|1	50				撼天熊皇（80级）
26	-1	item|3087|1						
27	1	item|964|4;item|3085|1						紫背鳄皇（80级）
27	2	item|964|2;item|3086|1						紫背鳄皇（80级）
27	3	item|964|1;item|3087|1						紫背鳄皇（80级）
27	4	item|3087|1	item|964|1	50				紫背鳄皇（80级）
27	5	item|3087|1	item|964|1	50				紫背鳄皇（80级）
27	-1	item|3087|1						
28	1	item|965|4;item|3085|1						赤睛虎皇（90级）
28	2	item|965|2;item|3086|1						赤睛虎皇（90级）
28	3	item|965|1;item|3087|1						赤睛虎皇（90级）
28	4	item|3087|1	item|965|1	50				赤睛虎皇（90级）
28	5	item|3087|1	item|965|1	50				赤睛虎皇（90级）
28	-1	item|3087|1						
29	1	item|966|4;item|3085|1						撼天熊皇（90级）
29	2	item|966|2;item|3086|1						撼天熊皇（90级）
29	3	item|966|1;item|3087|1						撼天熊皇（90级）
29	4	item|3087|1	item|966|1	50				撼天熊皇（90级）
29	5	item|3087|1	item|966|1	50				撼天熊皇（90级）
29	-1	item|3087|1						
30	1	item|3421|4;item|3085|1						紫背鳄皇（90级）
30	2	item|3421|2;item|3086|1						紫背鳄皇（90级）
30	3	item|3421|1;item|3087|1						紫背鳄皇（90级）
30	4	item|3087|1	item|3421|1	50				紫背鳄皇（90级）
30	5	item|3087|1	item|3421|1	50				紫背鳄皇（90级）
30	-1	item|3087|1						
31	1	item|965|2;item|3085|1						赤睛虎皇（100级）
31	2	item|965|1;item|3086|1	item|965|1	50				赤睛虎皇（100级）
31	-1	item|3087|1						
32	1	item|966|2;item|3085|1						撼天熊皇（100级）
32	2	item|966|1;item|3086|1	item|966|1	50				撼天熊皇（100级）
32	-1	item|3087|1						
33	1	item|3421|2;item|3085|1						紫背鳄皇（100级）
33	2	item|3421|1;item|3086|1	item|3421|1	50				紫背鳄皇（100级）
33	-1	item|3087|1						
34	1	item|4598|4;item|3085|1						冰鳞蜥皇（100级）
34	2	item|4598|2;item|3086|1						冰鳞蜥皇（100级）
34	3	item|4598|1;item|3087|1						冰鳞蜥皇（100级）
34	4	item|3087|1	item|4598|1	50				冰鳞蜥皇（100级）
34	5	item|3087|1	item|4598|1	50				冰鳞蜥皇（100级）
34	-1	item|3087|1						
35	1	item|4599|4;item|3085|1						银钩蝎皇（100级）
35	2	item|4599|2;item|3086|1						银钩蝎皇（100级）
35	3	item|4599|1;item|3087|1						银钩蝎皇（100级）
35	4	item|3087|1	item|4599|1	50				银钩蝎皇（100级）
35	5	item|3087|1	item|4599|1	50				银钩蝎皇（100级）
35	-1	item|3087|1						
36	1	item|4600|4;item|3085|1						狂鬃獒皇（100级）
36	2	item|4600|2;item|3086|1						狂鬃獒皇（100级）
36	3	item|4600|1;item|3087|1						狂鬃獒皇（100级）
36	4	item|3087|1	item|4600|1	50				狂鬃獒皇（100级）
36	5	item|3087|1	item|4600|1	50				狂鬃獒皇（100级）
36	-1	item|3087|1						
37	1	item|4601|4;item|3085|1						冰鳞蜥皇（110级）
37	2	item|4601|2;item|3086|1						冰鳞蜥皇（110级）
37	3	item|4601|1;item|3087|1						冰鳞蜥皇（110级）
37	4	item|3087|1	item|4601|1	50				冰鳞蜥皇（100级）
37	5	item|3087|1	item|4601|1	50				冰鳞蜥皇（100级）
37	-1	item|3087|1						
38	1	item|4602|4;item|3085|1						银钩蝎皇（110级）
38	2	item|4602|2;item|3086|1						银钩蝎皇（110级）
38	3	item|4602|1;item|3087|1						银钩蝎皇（110级）
38	4	item|3087|1	item|4602|1	50				银钩蝎皇（110级）
38	5	item|3087|1	item|4602|1	50				银钩蝎皇（110级）
38	-1	item|3087|1						
39	1	item|4603|4;item|3085|1						狂鬃獒皇（110级）
39	2	item|4603|2;item|3086|1						狂鬃獒皇（110级）
39	3	item|4603|1;item|3087|1						狂鬃獒皇（110级）
39	4	item|3087|1	item|4603|1	50				狂鬃獒皇（110级）
39	5	item|3087|1	item|4603|1	50				狂鬃獒皇（110级）
39	-1	item|3087|1						
40	1	item|4601|2;item|3085|1						冰鳞蜥皇（120级）
40	2	item|4601|1;item|3086|1	item|4601|1	50				冰鳞蜥皇（120级）
40	-1	item|3087|1						
41	1	item|4602|2;item|3085|1						银钩蝎皇（120级）
41	2	item|4602|1;item|3086|1	item|4602|1	50				银钩蝎皇（120级）
41	-1	item|3087|1						
42	1	item|4603|2;item|3085|1						狂鬃獒皇（120级）
42	2	item|4603|1;item|3086|1	item|4603|1	50				狂鬃獒皇（120级）
42	-1	item|3087|1						
43	1	item|7425|4;item|3085|1						龙纹狮王（120级）
43	2	item|7425|2;item|3086|1						龙纹狮王（120级）
43	3	item|7425|1;item|3087|1						龙纹狮王（120级）
43	4	item|3087|1	item|7425|1	50				龙纹狮王（120级）
43	5	item|3087|1	item|7425|1	50				龙纹狮王（120级）
43	-1	item|3087|1						
44	1	item|7426|4;item|3085|1						巨螯蜂后（120级）
44	2	item|7426|2;item|3086|1						巨螯蜂后（120级）
44	3	item|7426|1;item|3087|1						巨螯蜂后（120级）
44	4	item|3087|1	item|7426|1	50				巨螯蜂后（120级）
44	5	item|3087|1	item|7426|1	50				巨螯蜂后（120级）
44	-1	item|3087|1						
45	1	item|7427|4;item|3085|1						龙纹狮王（130级）
45	2	item|7427|2;item|3086|1						龙纹狮王（130级）
45	3	item|7427|1;item|3087|1						龙纹狮王（130级）
45	4	item|3087|1	item|7427|1	50				龙纹狮王（130级）
45	5	item|3087|1	item|7427|1	50				龙纹狮王（130级）
45	-1	item|3087|1						
46	1	item|7428|4;item|3085|1						巨螯蜂后（130级）
46	2	item|7428|2;item|3086|1						巨螯蜂后（130级）
46	3	item|7428|1;item|3087|1						巨螯蜂后（130级）
46	4	item|3087|1	item|7428|1	50				巨螯蜂后（130级）
46	5	item|3087|1	item|7428|1	50				巨螯蜂后（130级）
46	-1	item|3087|1						
47	1	item|947|4;item|3085|1						寒玉鹿王
47	2	item|947|3;item|3086|1						寒玉鹿王
47	-1	item|3087|1						
48	1	item|948|4;item|3085|1						大地狼王
48	2	item|948|3;item|3086|1						大地狼王
48	-1	item|3087|1						
49	1	item|949|4;item|3085|1						白眉猴王
49	2	item|949|3;item|3086|1						白眉猴王
49	-1	item|3087|1						
50	1	item|955|4;item|3085|1						九尾狐王(50)
50	2	item|955|3;item|3086|1						九尾狐王(50)
50	-1	item|3087|1						
51	1	item|2224|4;item|3085|1						双首异兽(50)
51	2	item|2224|3;item|3086|1						双首异兽(50)
51	-1	item|3087|1						
52	1	item|956|4;item|3085|1						奔焰豹王(50)
52	2	item|956|3;item|3086|1						奔焰豹王(50)
52	-1	item|3087|1						
53	1	item|960|4;item|3085|1						定海金刚(70)
53	2	item|960|3;item|3086|1						定海金刚(70)
53	-1	item|3087|1						
54	1	item|961|4;item|3085|1						金翅鹏皇(70)
54	2	item|961|3;item|3086|1						金翅鹏皇(70)
54	-1	item|3087|1						
55	1	item|2522|4;item|3085|1						银角犀皇(70)
55	2	item|2522|3;item|3086|1						银角犀皇(70)
55	-1	item|3087|1						
56	1	item|965|4;item|3085|1						赤睛虎皇（90级）
56	2	item|965|3;item|3086|1						赤睛虎皇（90级）
56	-1	item|3087|1						
57	1	item|966|4;item|3085|1						撼天熊皇（90级）
57	2	item|966|3;item|3086|1						撼天熊皇（90级）
57	-1	item|3087|1						
58	1	item|3421|4;item|3085|1						紫背鳄皇（90级）
58	2	item|3421|3;item|3086|1						紫背鳄皇（90级）
58	-1	item|3087|1						
59	1	item|4601|4;item|3085|1						冰鳞蜥皇（110级）
59	2	item|4601|3;item|3086|1						冰鳞蜥皇（110级）
59	-1	item|3087|1						
60	1	item|4602|4;item|3085|1						银钩蝎皇（110级）
60	2	item|4602|3;item|3086|1						银钩蝎皇（110级）
60	-1	item|3087|1						
61	1	item|4603|4;item|3085|1						狂鬃獒皇（110级）
61	2	item|4603|3;item|3086|1						狂鬃獒皇（110级）
61	-1	item|3087|1						
71	1	item|7492|4;item|3085|1						龙纹狮王（140级）
71	2	item|7492|2;item|3086|1						龙纹狮王（140级）
71	3	item|7492|1;item|3087|1						龙纹狮王（140级）
71	4	item|3087|1	item|7492|1	50				龙纹狮王（140级）
71	5	item|3087|1	item|7492|1	50				龙纹狮王（140级）
71	-1	item|3087|1						
72	1	item|7493|4;item|3085|1						巨螯蜂后（140级）
72	2	item|7493|2;item|3086|1						巨螯蜂后（140级）
72	3	item|7493|1;item|3087|1						巨螯蜂后（140级）
72	4	item|3087|1	item|7493|1	50				巨螯蜂后（140级）
72	5	item|3087|1	item|7493|1	50				巨螯蜂后（140级）
72	-1	item|3087|1						
73	1	item|8357|4;item|3085|1						龙纹狮王（150级）
73	2	item|8357|2;item|3086|1						龙纹狮王（150级）
73	3	item|8357|1;item|3087|1						龙纹狮王（150级）
73	4	item|3087|1	item|8357|1	50				龙纹狮王（150级）
73	5	item|3087|1	item|8357|1	50				龙纹狮王（150级）
73	-1	item|3087|1						
74	1	item|8358|4;item|3085|1						巨螯蜂后（150级）
74	2	item|8358|2;item|3086|1						巨螯蜂后（150级）
74	3	item|8358|1;item|3087|1						巨螯蜂后（150级）
74	4	item|3087|1	item|8358|1	50				巨螯蜂后（150级）
74	5	item|3087|1	item|8358|1	50				巨螯蜂后（150级）
74	-1	item|3087|1						
75	1	item|9796|4;item|3085|1						龙纹狮王（160级）
75	2	item|9796|2;item|3086|1						龙纹狮王（160级）
75	3	item|9796|1;item|3087|1						龙纹狮王（160级）
75	4	item|3087|1	item|9796|1	50				龙纹狮王（160级）
75	5	item|3087|1	item|9796|1	50				龙纹狮王（160级）
75	-1	item|3087|1						
76	1	item|9797|4;item|3085|1						巨螯蜂后（160级）
76	2	item|9797|2;item|3086|1						巨螯蜂后（160级）
76	3	item|9797|1;item|3087|1						巨螯蜂后（160级）
76	4	item|3087|1	item|9797|1	50				巨螯蜂后（160级）
76	5	item|3087|1	item|9797|1	50				巨螯蜂后（160级）
76	-1	item|3087|1						
77	1	item|9998|4;item|3085|1			item|10127|1	4	1500	万毒棘皇（140级）
77	2	item|9998|2;item|3086|1			item|10127|1	2	1500	万毒棘皇（140级）
77	3	item|9998|1;item|3087|1			item|10127|1	1	1500	万毒棘皇（140级）
77	4	item|3087|1	item|9998|1	50				万毒棘皇（140级）
77	5	item|3087|1	item|9998|1	50				万毒棘皇（140级）
77	-1	item|3087|1						
78	1	item|9999|4;item|3085|1			item|10126|1	4	1500	玄冰貂皇（140级）
78	2	item|9999|2;item|3086|1			item|10126|1	2	1500	玄冰貂皇（140级）
78	3	item|9999|1;item|3087|1			item|10126|1	1	1500	玄冰貂皇（140级）
78	4	item|3087|1	item|9999|1	50				玄冰貂皇（140级）
78	5	item|3087|1	item|9999|1	50				玄冰貂皇（140级）
78	-1	item|3087|1						
79	1	item|10000|4;item|3085|1			item|10127|1	4	1500	万毒棘皇（150级）
79	2	item|10000|2;item|3086|1			item|10127|1	2	1500	万毒棘皇（150级）
79	3	item|10000|1;item|3087|1			item|10127|1	1	1500	万毒棘皇（150级）
79	4	item|3087|1	item|10000|1	50				万毒棘皇（150级）
79	5	item|3087|1	item|10000|1	50				万毒棘皇（150级）
79	-1	item|3087|1						
80	1	item|10001|4;item|3085|1			item|10126|1	4	1500	玄冰貂皇（150级）
80	2	item|10001|2;item|3086|1			item|10126|1	2	1500	玄冰貂皇（150级）
80	3	item|10001|1;item|3087|1			item|10126|1	1	1500	玄冰貂皇（150级）
80	4	item|3087|1	item|10001|1	50				玄冰貂皇（150级）
80	5	item|3087|1	item|10001|1	50				玄冰貂皇（150级）
80	-1	item|3087|1						
81	1	item|10002|4;item|3085|1			item|10127|1	4	1500	万毒棘皇（160级）
81	2	item|10002|2;item|3086|1			item|10127|1	2	1500	万毒棘皇（160级）
81	3	item|10002|1;item|3087|1			item|10127|1	1	1500	万毒棘皇（160级）
81	4	item|3087|1	item|10002|1	50				万毒棘皇（160级）
81	5	item|3087|1	item|10002|1	50				万毒棘皇（160级）
81	-1	item|3087|1						
82	1	item|10003|4;item|3085|1			item|10126|1	4	1500	玄冰貂皇（160级）
82	2	item|10003|2;item|3086|1			item|10126|1	2	1500	玄冰貂皇（160级）
82	3	item|10003|1;item|3087|1			item|10126|1	1	1500	玄冰貂皇（160级）
82	4	item|3087|1	item|10003|1	50				玄冰貂皇（160级）
82	5	item|3087|1	item|10003|1	50				玄冰貂皇（160级）
82	-1	item|3087|1						
83	1	item|4601|2;item|3085|1						冰鳞蜥皇（140级）
83	2	item|4601|1;item|3086|1						冰鳞蜥皇（140级）
83	-1	item|3087|1						
84	1	item|4602|2;item|3085|1						银钩蝎皇（140级）
84	2	item|4602|1;item|3086|1						银钩蝎皇（140级）
84	-1	item|3087|1						
85	1	item|4603|2;item|3085|1						狂鬃獒皇（140级）
85	2	item|4603|1;item|3086|1						狂鬃獒皇（140级）
85	-1	item|3087|1						
86	1	item|10435|4;item|3085|1			item|10127|1	4	1500	万毒棘皇（170级）
86	2	item|10435|2;item|3086|1			item|10127|1	2	1500	万毒棘皇（170级）
86	3	item|10435|1;item|3087|1			item|10127|1	1	1500	万毒棘皇（170级）
86	4	item|3087|1	item|10435|1	50				万毒棘皇（170级）
86	5	item|3087|1	item|10435|1	50				万毒棘皇（170级）
86	-1	item|3087|1						
87	1	item|10436|4;item|3085|1			item|10126|1	4	1500	玄冰貂皇（170级）
87	2	item|10436|2;item|3086|1			item|10126|1	2	1500	玄冰貂皇（170级）
87	3	item|10436|1;item|3087|1			item|10126|1	1	1500	玄冰貂皇（170级）
87	4	item|3087|1	item|10436|1	50				玄冰貂皇（170级）
87	5	item|3087|1	item|10436|1	50				玄冰貂皇（170级）
87	-1	item|3087|1						
88	1	item|10433|4;item|3085|1						龙纹狮王（170级）
88	2	item|10433|2;item|3086|1						龙纹狮王（170级）
88	3	item|10433|1;item|3087|1						龙纹狮王（170级）
88	4	item|3087|1	item|10433|1	50				龙纹狮王（170级）
88	5	item|3087|1	item|10433|1	50				龙纹狮王（170级）
88	-1	item|3087|1						
89	1	item|10434|4;item|3085|1						巨螯蜂后（170级）
89	2	item|10434|2;item|3086|1						巨螯蜂后（170级）
89	3	item|10434|1;item|3087|1						巨螯蜂后（170级）
89	4	item|3087|1	item|10434|1	50				巨螯蜂后（170级）
89	5	item|3087|1	item|10434|1	50				巨螯蜂后（170级）
89	-1	item|3087|1						
90	1	item|10991|4;item|3085|1			item|10127|1	4	1500	万毒棘皇（180级）
90	2	item|10991|2;item|3086|1			item|10127|1	2	1500	万毒棘皇（180级）
90	3	item|10991|1;item|3087|1			item|10127|1	1	1500	万毒棘皇（180级）
90	4	item|3087|1	item|10991|1	50				万毒棘皇（180级）
90	5	item|3087|1	item|10991|1	50				万毒棘皇（180级）
90	-1	item|3087|1						
91	1	item|10992|4;item|3085|1			item|10126|1	4	1500	玄冰貂皇（180级）
91	2	item|10992|2;item|3086|1			item|10126|1	2	1500	玄冰貂皇（180级）
91	3	item|10992|1;item|3087|1			item|10126|1	1	1500	玄冰貂皇（180级）
91	4	item|3087|1	item|10992|1	50				玄冰貂皇（180级）
91	5	item|3087|1	item|10992|1	50				玄冰貂皇（180级）
91	-1	item|3087|1						
92	1	item|10989|4;item|3085|1						龙纹狮王（180级）
92	2	item|10989|2;item|3086|1						龙纹狮王（180级）
92	3	item|10989|1;item|3087|1						龙纹狮王（180级）
92	4	item|3087|1	item|10989|1	50				龙纹狮王（180级）
92	5	item|3087|1	item|10989|1	50				龙纹狮王（180级）
92	-1	item|3087|1						
93	1	item|10990|4;item|3085|1						巨螯蜂后（180级）
93	2	item|10990|2;item|3086|1						巨螯蜂后（180级）
93	3	item|10990|1;item|3087|1						巨螯蜂后（180级）
93	4	item|3087|1	item|10990|1	50				巨螯蜂后（180级）
93	5	item|3087|1	item|10990|1	50				巨螯蜂后（180级）
93	-1	item|3087|1						
94	1	item|11321|4;item|3085|1			item|11315|1	4	1500	磐石牛王（160级）
94	2	item|11321|2;item|3086|1			item|11315|1	2	1500	磐石牛王（160级）
94	3	item|11321|1;item|3087|1			item|11315|1	1	1500	磐石牛王（160级）
94	4	item|3087|1	item|11321|1	50				磐石牛王（160级）
94	5	item|3087|1	item|11321|1	50				磐石牛王（160级）
94	-1	item|3087|1						
95	1	item|11322|4;item|3085|1			item|11316|1	4	1500	炙炎牛后（160级）
95	2	item|11322|2;item|3086|1			item|11316|1	2	1500	炙炎牛后（160级）
95	3	item|11322|1;item|3087|1			item|11316|1	1	1500	炙炎牛后（160级）
95	4	item|3087|1	item|11322|1	50				炙炎牛后（160级）
95	5	item|3087|1	item|11322|1	50				炙炎牛后（160级）
95	-1	item|3087|1						
96	1	item|11323|4;item|3085|1			item|11315|1	4	1500	磐石牛王（170级）
96	2	item|11323|2;item|3086|1			item|11315|1	2	1500	磐石牛王（170级）
96	3	item|11323|1;item|3087|1			item|11315|1	1	1500	磐石牛王（170级）
96	4	item|3087|1	item|11323|1	50				磐石牛王（170级）
96	5	item|3087|1	item|11323|1	50				磐石牛王（170级）
96	-1	item|3087|1						
97	1	item|11324|4;item|3085|1			item|11316|1	4	1500	炙炎牛后（170级）
97	2	item|11324|2;item|3086|1			item|11316|1	2	1500	炙炎牛后（170级）
97	3	item|11324|1;item|3087|1			item|11316|1	1	1500	炙炎牛后（170级）
97	4	item|3087|1	item|11324|1	50				炙炎牛后（170级）
97	5	item|3087|1	item|11324|1	50				炙炎牛后（170级）
97	-1	item|3087|1						
98	1	item|11325|4;item|3085|1			item|11315|1	4	1500	磐石牛王（180级）
98	2	item|11325|2;item|3086|1			item|11315|1	2	1500	磐石牛王（180级）
98	3	item|11325|1;item|3087|1			item|11315|1	1	1500	磐石牛王（180级）
98	4	item|3087|1	item|11325|1	50				磐石牛王（180级）
98	5	item|3087|1	item|11325|1	50				磐石牛王（180级）
98	-1	item|3087|1						
99	1	item|11326|4;item|3085|1			item|11316|1	4	1500	炙炎牛后（180级）
99	2	item|11326|2;item|3086|1			item|11316|1	2	1500	炙炎牛后（180级）
99	3	item|11326|1;item|3087|1			item|11316|1	1	1500	炙炎牛后（180级）
99	4	item|3087|1	item|11326|1	50				炙炎牛后（180级）
99	5	item|3087|1	item|11326|1	50				炙炎牛后（180级）
99	-1	item|3087|1						
100	1	item|9796|2;item|3085|1						龙纹狮王（160级）
100	2	item|9796|1;item|3086|1						龙纹狮王（160级）
100	-1	item|3087|1						
101	1	item|9797|2;item|3085|1						巨螯蜂后（160级）
101	2	item|9797|1;item|3086|1						巨螯蜂后（160级）
101	-1	item|3087|1						
102	1	item|10433|2;item|3085|1						龙纹狮王（170级）
102	2	item|10433|1;item|3086|1						龙纹狮王（170级）
102	-1	item|3087|1						
103	1	item|10434|2;item|3085|1						巨螯蜂后（170级）
103	2	item|10434|1;item|3086|1						巨螯蜂后（170级）
103	-1	item|3087|1						
104	1	item|10989|2;item|3085|1						龙纹狮王（180级）
104	2	item|10989|1;item|3086|1						龙纹狮王（180级）
104	-1	item|3087|1						
105	1	item|10990|2;item|3085|1						巨螯蜂后（180级）
105	2	item|10990|1;item|3086|1						巨螯蜂后（180级）
105	-1	item|3087|1						
106	1	item|11739|2;item|3085|1						龙纹狮王（190级）
106	2	item|11739|1;item|3086|1						龙纹狮王（190级）
106	-1	item|3087|1						
107	1	item|11740|2;item|3085|1						巨螯蜂后（190级）
107	2	item|11740|1;item|3086|1						巨螯蜂后（190级）
107	-1	item|3087|1						
108	1	item|11741|4;item|3085|1			item|10127|1	4	1500	万毒棘皇（190级）
108	2	item|11741|2;item|3086|1			item|10127|1	2	1500	万毒棘皇（190级）
108	3	item|11741|1;item|3087|1			item|10127|1	1	1500	万毒棘皇（190级）
108	4	item|3087|1	item|11741|1	50				万毒棘皇（190级）
108	5	item|3087|1	item|11741|1	50				万毒棘皇（190级）
108	-1	item|3087|1						
109	1	item|11742|4;item|3085|1			item|10126|1	4	1500	玄冰貂皇（190级）
109	2	item|11742|2;item|3086|1			item|10126|1	2	1500	玄冰貂皇（190级）
109	3	item|11742|1;item|3087|1			item|10126|1	1	1500	玄冰貂皇（190级）
109	4	item|3087|1	item|11742|1	50				玄冰貂皇（190级）
109	5	item|3087|1	item|11742|1	50				玄冰貂皇（190级）
109	-1	item|3087|1						
110	1	item|11743|4;item|3085|1			item|11315|1	4	1500	磐石牛王（190级）
110	2	item|11743|2;item|3086|1			item|11315|1	2	1500	磐石牛王（190级）
110	3	item|11743|1;item|3087|1			item|11315|1	1	1500	磐石牛王（190级）
110	4	item|3087|1	item|11743|1	50				磐石牛王（190级）
110	5	item|3087|1	item|11743|1	50				磐石牛王（190级）
110	-1	item|3087|1						
111	1	item|11744|4;item|3085|1			item|11316|1	4	1500	炙炎牛后（190级）
111	2	item|11744|2;item|3086|1			item|11316|1	2	1500	炙炎牛后（190级）
111	3	item|11744|1;item|3087|1			item|11316|1	1	1500	炙炎牛后（190级）
111	4	item|3087|1	item|11744|1	50				炙炎牛后（190级）
111	5	item|3087|1	item|11744|1	50				炙炎牛后（190级）
111	-1	item|3087|1						
