nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_ExtInfo	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
2022	WLDS1_23	临安之秋	在川蜀抵抗金军的虞允文宰相积劳成疾，不治身亡。我需要联络武林同道护送其棺椁回京，所幸唐门、翠烟、峨嵋数个门派均在川蜀，若是能够联合他们，此事想必不会有什么问题！	叫上[FFFE0D]霜儿[-]一同前往	叫上[FFFE0D]霜儿[-]一同前往	[url=npc:testtt,$F,472]	[url=npc:testtt,$F,472]			2021	2023	2022	2748							BasicExp|10			5	1													
2023	WLDS1_24	临安之秋	唐门乃武林几大世家之一，在武林中颇有名望，擅长轻功身法，暗器，若能有他们相助，定能大大拖延他们的步伐！	前往[FFFE0D]唐门[-]	前往[FFFE0D]唐门[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2022	2024				1	1	2023			BasicExp|10			5	1													
2024	WLDS1_25	临安之秋	此处便是唐门的联络之处，希望唐门能够尽早动身，助我们一臂之力！	寻求[FFFE0D]唐门[-]的帮助	寻求[FFFE0D]唐门[-]的帮助	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2023	2025				1	1	2024			BasicExp|10			5	1													
2025	WLDS1_26	临安之秋	峨嵋派乃清修之地，门派全为女子，擅长以内力疗伤，剑法似水，连绵不断，也是武林中极为强盛的门派。	前往[FFFE0D]峨嵋[-]	前往[FFFE0D]峨嵋[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2024	2026				1	1	2025			BasicExp|10			5	1													
2026	WLDS1_27	临安之秋	此处便是峨嵋的联络之处，按他们济世为怀的风格，理应会即刻出发！	寻求[FFFE0D]峨嵋派[-]的帮助	寻求[FFFE0D]峨嵋派[-]的帮助	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2025	2027				1	1	2026			BasicExp|10			5	1													
2027	WLDS1_28	临安之秋	翠烟门位于川蜀边境，门派多为女子，门派武学华丽繁杂，精于驯兽之道……什么人！出来！	前往[FFFE0D]翠烟门[-]	前往[FFFE0D]翠烟门[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2026	2028				1	1	2027			BasicExp|10			5	1													
2028	WLDS1_29	临安之秋	可恶！想不到金军竟在此处也有爪牙，这些人分明是中原人士，却卖国求荣，简直是不可饶恕！今日休怪我不客气！	教训这些[FFFE0D]绿林豪客[-]	教训这些[FFFE0D]绿林豪客[-]	[url=npcanddosomething:test, 1027, 408, autofight, 1]				2027	2029				1					BasicExp|10;Coin|2000	1027|5	1	5	1	[url=dialog:test, 2007]												
2029	WLDS1_30	临安之秋	这些人想必是知道我们会寻求帮助，意图中途狙击，好让我们无法通知这几大门派具体的计划，我得加紧脚步，赶往翠烟！	前往[FFFE0D]翠烟门[-]	前往[FFFE0D]翠烟门[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2028	2030				1	1	2029			BasicExp|10			5	1													
2030	WLDS1_31	临安之秋	此处便是翠烟的联络之处，若得她们相助，护送一事几乎可以万无一失。	寻求[FFFE0D]翠烟门[-]的帮助	寻求[FFFE0D]翠烟门[-]的帮助	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2029	2031				1	1	2030			BasicExp|10			5	1	[url=dialog:test, 2030]												
2031	WLDS1_32	临安之秋	总算是联络完了，看来龙五先生那边的形势也不容乐观，所以才需要我们前去骚扰金军，南宫少侠前去行刺完颜洪烈乃鲁莽行动，如今到说不定真有机会，只是我一人前往有些力不从心，得召集一些武林同伴！	[FFFE0D]【组队】[-]闯过龙潭虎穴	[FFFE0D]【组队】[-]闯过龙潭虎穴	[url=doShowWldsTip:x]	[url=doShowWldsTip:x]			2030	2032				1					BasicExp|10			5	1						WLDS_TeamFuben_1							
2032	WLDS1_33	临安之秋	总算是完成了龙五先生交付的任务，接下来便要前往临安小道与霜儿姑娘汇合了，但愿他们也一切顺利。	前往[FFFE0D]临安小道[-]	前往[FFFE0D]临安小道[-]	[url=pos:test, 472, 2500, 5900]	[url=pos:test, 472, 2500, 5900]			2031	2033				1					BasicExp|10			5	1					472								
2033	WLDS1_34	临安之秋	此处地形狭隘，恐怕十分有利于伏击，一定要小心周围，金人决然不会如此轻易让我们回到临安城。	护送[FFFE0D]虞允文的灵枢[-]回临安	护送[FFFE0D]虞允文的灵枢[-]回临安	[url=goanddosomething:test, 472, 2600, 5700, gotofuben, 500, 2, 1]				2032	2034			500|2|1	1					BasicExp|30			5	1													
2034	WLDS1_35	临安之秋	幸不辱命，总算是将马车完好无损的送回了临安，只是危机并未解除，得问问龙五先生接下来有何打算。	回去告知[FFFE0D]龙五[-]	回去告知[FFFE0D]龙五[-]	[url=npc:testtt,$F,472]	[url=npc:testtt,$F,472]			2033	2500	2033	2746		1					BasicExp|10			5	1													
